Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
UJCS-17.Kongress,Prague,1943.??.??,1,"Sajtar, Jaroslav","Pachman, Ludek",1-0,,,E47,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 b7b6 g1e2 c8b7 e1g1 d7d5 a2a3 b4c3 b2c3 c7c5 f2f3 d8c7 c4d5 e6d5 e2g3 b8c6 c1b2 a8d8 e3e4 d5e4 f3e4 c5d4 c3d4 c6d4 f1f6 g7f6 g3f5 c7f4 b2c1 d4f3 g2f3 f4c7 g1h1 g8h8 c1b2 c7c6 d1f1
Prague,Prague,1943.??.??,1,"Pachman, Ludek","Prucha, Karel",0-1,,,B72,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f1e2 g7g6 c1e3 f8g7 d4b3 e8g8 f2f4 c8d7 g2g4 a8c8 h2h4 c6b4 e2f3 f6g4 f3g4 d7g4 d1g4 b4c2 e1f2 c2a1 b3a1 h7h5 g4g5 e7e6 g5d8 f8d8 e3d2 g7f6 f2f3 d8d7 a1b3 b7b6 b3c1 b6b5 c1d3 a7a6 h1h2 f6e7 d2e1 d7b7 a2a3 a6a5 b2b4 a5b4 a3b4 c8a8 f3e3 e7d8 f4f5 d8b6 e3f4 b6d4 c3e2 e6e5 f4f3 a8a3 e2c1 b7c7 h2a2 a3a2 c1a2 c7c2 d3c1 g8g7
Prague,Prague,1943.??.??,2,"Fichtl, Jiri","Pachman, Ludek",0-1,,,B85,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f1e2 a7a6 a2a4 b8c6 e1g1 d8c7 g1h1 f8e7 f2f4 c8d7 e2f3 e8g8 d4b3 a8c8 c1e3 c6b4 a4a5 d6d5 e4e5 f6e8 e3b6 c7b8 f1f2 e8c7 g2g4 c7a8 b6e3 b7b6 g4g5 b6a5 b3a5 a8b6 f2g2 f8d8 a1c1 b6c4 a5c4 c8c4 c3e2 a6a5 e2d4 e7c5 c2c3 c5d4 e3d4 d8c8 c1a1 b4c6 b2b3 c6d4 c3d4 c4c3 a1b1 g7g6 g2d2 b8b4 f3e2 c8b8 d2d3 c3d3 d1d3 a5a4 e2d1 d7b5 d3c2 b5c4 c2f2 a4b3 h2h4 b4c3 h1g2 b3b2 d1c2 c4a2 b1h1 b2b1q c2b1 b8b2
UJCS-17.Kongress,Prague,1943.??.??,2,"Pachman, Ludek","Louma, Jiri",1/2-1/2,,,D53,d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c1g5 f8e7 g1f3 c7c6 g5f6 e7f6 e2e3 b8d7 d1c2 e8g8 f1d3 g7g6 c4d5 e6d5 h2h4 h7h6 e1c1 f6g7 c3e2 d8a5 c1b1 c6c5 d4c5 d7c5 f3d4 c8d7 c2d2 a5d2 d1d2 c5e4 d3e4 d5e4 h1c1 a8c8 d2c2 g7e5 c2c5 e5b8 c5c8 f8c8 c1c8 d7c8 e2c3 f7f5 c3d5 g8f7 b1c2 c8d7 g2g3
Prague,Prague,1943.??.??,3,"Pachman, Ludek","Dietze, Max",1/2-1/2,,,C73,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 d7d6 a4c6 b7c6 d2d4 e5d4 f3d4 c8d7 e1g1 g8f6 c2c4 f8e7 b1c3 e8g8 f2f3 c6c5 d4e2 d7e6 b2b3 f6d7 c1b2 d7b6 e2f4 e7f6 a1b1 f6e5 c3e2 e5b2 b1b2 a6a5 e4e5 d6e5 f4e6 f7e6 b2d2 d8g5 e2g3 f8d8 g3e4 g5e3 g1h1 d8d2 d1d2 e3d2 e4d2 a5a4 d2e4 a4b3 a2b3 b6d7 f1d1 g8f8 e4g5 f8e7 g5h7 a8a2 h7g5 d7f6 d1b1 e5e4 f3f4 a2d2 h1g1 d2c2 b1e1 c2c3 g5e4 f6e4 e1e4 c3b3 e4e5 e7d6 e5g5 b3c3 g1f2 c3c4 f2e3 c4c1 g5g7 c1e1 e3d3 e1d1 d3c2 d1f1 g7g4 d6d5 h2h4 c5c4 g2g3 f1f2 c2c3 f2f3 c3c2 f3f2 c2d1 c4c3 h4h5 d5d4 f4f5 d4d3 g4f4 f2d2 d1c1 d2c2 c1d1
UJCS-17.Kongress,Prague,1943.??.??,3,"Thelen, Bedrich","Pachman, Ludek",1-0,,,D45,d2d4 g8f6 g1f3 d7d5 c2c4 c7c6 e2e3 e7e6 b1c3 b8d7 f3e5 f8e7 f2f4 d8c7 f1d3 a7a6 b2b3 e7b4 c1b2 f6e4 d3e4 d5e4 e1g1 b4c3 b2c3 e8g8 c3b4 f8d8 d1h5 d7f8 b4f8 d8f8 c4c5 b7b5 c5b6 c7b6 a1c1 b6a5 c1c6 a5d2 c6c7 d2e3 g1h1 g7g6 h5d1 a6a5 e5g4 e3d3 d1a1 c8a6 f1d1 d3e2 g4f6 g8g7 d4d5 e6e5 d1g1 f8c8 c7c8 a8c8 a1e5 c8c2 f6h5 g7f8 d5d6
UJCS-17.Kongress,Prague,1943.??.??,4,"Pachman, Ludek","Opocensky, Karel",1/2-1/2,,,E32,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 e8g8 c1g5 d7d6 e2e3 b8d7 g1e2 e6e5 d4d5 h7h6 g5h4 a7a5 a2a3 b4c5 h4f6 d7f6 a1b1 c7c6 b2b4 a5b4 a3b4 c5b6 e2g3 c6d5 c4d5 c8d7 f1d3 a8c8 c2b2 d8c7 g3e2 f6h7 e1g1 f7f5 b1c1 c7d8 c3b5 e5e4 c1c8 d8c8 b5d6 c8c7 d6b5 c7c8 f1c1 c8e8 b5c7 b6c7 c1c7 e4d3 e2f4 h7f6 f4d3 b7b6 d3e5 e8e7 b2d4 e7d6 c7b7 d7c8 b7b6 d6d8 d5d6 f6d7 e5d7 d8d7 h2h3 c8b7 d4c4 f8f7 c4c5 g8h7 c5d4 d7e6 f2f3 f7d7 g1f2 b7d5 d4c5 e6e5 c5c2 h6h5 c2d2 d7d6 b6d6 e5d6 h3h4 d6e5 b4b5 h7g6 d2b4 d5b7 b5b6 g6f7 b4c4 f7e7 c4b4 e7d7 b4a4 d7d6 a4b3 d6c6 b3f7 c6b6 f7h5 b7d5 h5g5 b6c5 g5d8 d5c6 d8a5 c5d6 a5b4 d6e6 b4c4 c6d5 c4b4 e6f7 b4d2 f7g6 d2d1 g6h6 d1d2 h6h5 g2g3 h5g6 f2g2 d5c6 g2f2 c6d5 f2g2 e5e6 d2d4 e6c6 d4f4 c6c2 g2h3 c2d3 h4h5 g6h5 g3g4 f5g4 f4g4 h5h6 g4h4 h6g6 h4g4 g6f6 g4f4 f6g6 f4g4 g6f7 g4h5 g7g6 h5h7 f7f6 h7h8 f6e7 h8g7 d5f7 g7e5 f7e6 h3h4 d3d5 e5g5 e7f7 e3e4 d5d1 g5f4
Prague,Prague,1943.??.??,4,"Bartosek, Milan","Pachman, Ludek",0-1,,,D39,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 c1g5 f8b4 b1c3 d5c4 e2e4 c7c5 f1c4 c5d4 f3d4 b4c3 b2c3 d8a5 c4b5 c8d7 g5f6 g7f6 d1b3 e8g8 e1g1 d7b5 d4b5 b8a6 b5d6 a6c5 b3c4 a8d8 f1d1 a5b6 e4e5 f6e5 d6e4 c5e4 c4e4 d8d1 a1d1 f8d8 d1d8 b6d8 h2h3 d8d5 e4e3 a7a5 a2a3 d5d6 e3c1 b7b5 h3h4 a5a4 h4h5 d6e7 c1e3 f7f6 e3g3 g8h8 h5h6 e7f8 g3h4 h8g8 h4h5 f6f5 g2g3 e5e4 g1g2 f8d8 g3g4 g8f8 g4f5 d8d5 g2g3 e6f5 h5g5 d5e5 g3g2 f8f7 g5h5 f7f6 h5h4 f6g6 h4h3 f5f4 g2f1 e5f5 h3h4 e4e3 h4e7 g6h6 e7c7 f5d3 f1g2 d3e4 g2h2 e3f2 c7d6 h6h5 d6c5 h5g4 c5f2 e4e3 f2f1 e3g3
UJCS-17.Kongress,Prague,1943.??.??,5,"Zita, Frantisek","Pachman, Ludek",1/2-1/2,,,E06,c2c4 e7e6 g2g3 d7d5 f1g2 g8f6 g1f3 f8e7 d2d4 e8g8 b1d2 c7c5 c4d5 f6d5 e1g1 b8c6 d2b3 c5d4 b3d4 c6d4 f3d4 e7f6 e2e3 d8b6 d1b3 f8d8 f1d1 c8d7 c1d2 a8c8 b3b6 a7b6 a1c1 c8c1 d1c1 f6d4 e3d4 d7c6 a2a3 g8f8 d2g5 d8c8 g1f1 h7h6 g5d2 d5e7 g2h3 c6b5 f1e1 c8c1 d2c1 f8e8 e1d2 e8d7 b2b3 e7d5 a3a4 b5c6 c1a3 g7g6 h3f1 h6h5 f1d3 d5f6 h2h4 c6d5 d3c2 f6g4 d2e2 g4h6 a3f8 h6f5 e2d3 d7e8 f8b4 e8d7 b4d2 d7c6 d3c3 f5d6 d2e1
Prague+,Prague,1943.??.??,5,"Pachman, Ludek","Carls, Carl Johan Margot",1-0,,,D83,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c1f4 f8g7 e2e3 e8g8 d1b3 b7b6 c4d5 c8b7 f4e5 f6d5 e5g7 g8g7 g1f3 d5c3 b2c3 b7f3 g2f3 b8d7 f3f4 c7c5 d4d5 d8c7 c3c4 e7e5 f4f5 e5e4 f1h3 c7e5 e1e2 d7f6 a1d1 f8d8 a2a4 d8d6 b3a3 a8e8 a3a1 g6g5 h1g1 h7h6 a1e5 e8e5 d1a1 a7a6 a1b1 f6d7 f5f6 d7f6 b1b2 e5e8 h3f5 g7f8 g1b1 e8b8 f2f3 e4f3 e2f3 f8e7 e3e4 f6d7 f5d7 e7d7 e4e5 d6g6 a4a5 b6b5 c4b5 a6b5 b2b5 b8c8 b5b7 c8c7 b7c7 d7c7 b1b5 f7f6 b5c5 c7d7 c5c6 g6g8 c6f6
UJCS-17.Kongress,Prague,1943.??.??,6,"Dobias, Josef","Pachman, Ludek",1/2-1/2,,,E49,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 d7d5 a2a3 b4c3 b2c3 c7c5 g1e2 b8c6 e1g1 b7b6 e2g3 c8a6 c4d5 a6d3 d1d3 e6d5 f2f3 c5d4 e3d4 f8e8 c1g5 h7h6 g5f4 d8d7 g3f5 e8e6 f1e1 a8e8 g1f2 f6h5 f4d2 c6a5 g2g4 e6e1 a1e1 e8e1 f2e1 h5f6 d2f4 a5c4 e1f2 d7e6 d3c2 a7a5 a3a4 e6d7 c2b3 h6h5 h2h3 h5g4 h3g4 f6e8 f2g2 g8f8 b3d1 f8g8 d1h1 d7e6 g2f2 e8d6 f5d6 c4d6 h1b1 d6c4 b1b5 g8f8 f2f1 f8e7 f1f2 e6d7 b5b3 d7c6 f2e2 e7d7 e2f2 d7c8 b3c2 g7g6 c2b3 c8b7 f2g3 b7a6 b3d1 b6b5 a4b5 c6b5 d1e2 b5d7 f4c1 a6b6 g3h4 a5a4 h4g5 a4a3 e2c2 d7a7 c2b3 b6c6 b3a2 c6d6 c1f4 d6e7 g5h4 f7f6 g4g5 f6g5 f4g5 e7f7 h4g4 f7e6 a2b1 a7f7 b1b8 f7f5 g4h4 f5f3 b8c8 e6d6 c8b8 d6c6 b8a8 c6b5 a8e8
Prague,Prague,1943.??.??,6,"Sucha, Ruzena","Pachman, Ludek",0-1,,,C44,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f1c4 f8c5 f3g5 g8h6 g5f7 h6f7 c4f7 e8f7 d1h5 g7g6 h5c5 d7d6 c5b5 d8h4 b1d2 f7g7 b2b3 h8f8 e1g1 c6e5 f2f3 c7c5 c1b2 h4g5 b5e2 c8e6 e2f2 g5h5 a1e1 f8f4 g2g3 f4f7 g3g4 e6g4 f3g4 f7f2 g4h5 f2d2 h5h6 g7g8
Prague,Prague,1943.??.??,6,"Thelen, Bedrich","Pachman, Ludek",1-0,,,A46,d2d4 g8f6 g1f3 b7b6 c1g5 e7e6 e2e4 h7h6 g5f6 d8f6 f1d3 d7d6 e1g1 e6e5 b1d2 a7a6 c2c3 b8c6 d3c4 c8d7 c4d5 a8d8 d2c4 b6b5 c4e3 c6e7 d5b3 c7c6 a2a4 g7g5 a4b5 a6b5 d4d5 c6c5 c3c4 f8g7 c4b5 e8g8 b3c4 d8b8 f3d2 d7b5 c4b5 b8b5 d2c4 b5b7 a1a6 f8d8 d1a4 f6g6 a4a5 b7d7 a6a8 d8f8 a8f8 g7f8 a5b5 d7a7 b5b8 a7a4 b8e8 a4a6 f2f3 g8g7 e8b5 a6a8 b5b6 g7g8 b6b7 a8a4 b7d7 a4a6 f1b1 h6h5 h2h3 g6f6 d7b5 a6a8 b2b4 c5b4 b5b4 a8a2 b4b3 a2a7 b3c3 e7g6 e3f5 g6e7 f5e3 e7g6 e3f5 g5g4 h3g4 h5g4 f3g4 a7a2 c3b3 a2e2 c4e3 f6g5 g1f1 e2d2 f1e1 d2d4 f5d4 e5d4 e3f5 g5g4 b3f3 g4g5 f3g3 g5h5 b1b8 h5h1 e1f2 d4d3 g3g5 d3d2 b8f8
