Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Bad Woerishofen op,Bad Woerishofen,1994.??.??,2,"Schmidt, Erhard","Paehtz, Elisabeth",1/2-1/2,2315,,A13,g2g3 d7d5 f1g2 e7e6 c2c4 g8f6 c4d5 e6d5 g1f3 f8e7 e1g1 e8g8 b2b3 h7h6 c1b2 c8f5 b1c3 c7c6 d2d3 b8d7 d1d2 f8e8 f1e1 d7c5 a1c1 e7d6 f3d4 f5h7 g2h3 c5d7 d4f5 h7f5 h3f5 a7a6 d3d4 d7b6 c1d1 d8c7 d2d3 a8d8 d3f3 e8e7 b2c1 d8e8 f5b1 f6e4 c3e4 d5e4 f3g4 g8h8 f2f3 b6d5 b1e4 d5f6 g4f5 f6e4 f3e4 e7e4 e2e3
Bad Woerishofen op,Bad Woerishofen,1994.??.??,7,"Paehtz, Elisabeth","Mix, T.",1-0,,,C19,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 g8e7 a2a3 b4c3 b2c3 c7c5 f1d3 b8c6 g1f3 c8d7 e1g1 b7b6 c1e3 d8c7 d1d2 c5c4 d3e2 e7f5 e3f4 h7h6 h2h3 e8c8 f1b1 g7g5 f4h2 c6a5 a3a4 d8g8 f3e1 h6h5 d2d1 g5g4 h3g4 h5g4 e2g4 h8h4 g4f5 e6f5 h2g3 c7d8 g3h4 d8h4 d1f3 f5f4 f3d5 g8h8 d5a8 c8c7 a8a7 c7c8 a7a6 a5b7 a6c4 c8b8 f2f3 h4h2 g1f2 h2g3 f2e2
EU-ch U10 Girls,Herculane,1994.??.??,1,"Paehtz, Elisabeth","Gara, Ticia",1-0,,,B76,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 c1e3 f8g7 f2f3 e8g8 d1d2 b8c6 g2g4 c8d7 e1c1 a8c8 h2h4 h7h5 g4g5 f6e8 f1e2 c6e5 d1f1 e5c4 e2c4 c8c4 f3f4 a7a6 f4f5 b7b5 f5g6 f7g6 f1f8 g7f8 h1e1 e7e5 d4b3 d7e6 d2f2 f8g7 f2f3 d8c7 f3g2 c7c8
EU-ch U10 Girls,Herculane,1994.??.??,2,"Paehtz, Elisabeth","Hodova, Lucie",1-0,,,C45,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4 f8c5 c1e3 d8f6 c2c3 g8e7 f1c4 f6g6 d4c6 g6c6 c4f7 e8f7 d1h5 e7g6 h5c5 c6c5 e3c5 d7d6 c5a3 c8e6 e1g1 h8f8 b1d2 f7g8 f1e1 g6e5 f2f3 c7c5 b2b3 b7b6 a1d1 a8d8 d2f1 f8f6 g1h1 h7h6 f1e3 g8h7 e1e2 f6f7 e2d2 f7d7 h2h3 e5g6 h1h2 g6e7 c3c4 g7g5 a3b2 e7g6 g2g3 a7a6
EU-ch U10 Girls,Herculane,1994.??.??,3,"Kapustynska, K.","Paehtz, Elisabeth",0-1,,,D60,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 f8e7 g1f3 b8d7 e2e3 e8g8 f1d3 d5c4 d3c4 a7a6 e1g1 b7b5 c4d3 c8b7 d1d2 c7c5 f1e1 a8c8 e3e4 c5d4 f3d4 d7e5 g5e3 e5d3 d2d3 e6e5 c3d5 b7d5 d4f5 d5e4 d3d8 e7d8 f5d6 c8c6 a1d1 d8c7 d6e4 f6e4 h2h3 e4f6 b2b4 f8c8 e3c5 c7b6 e1e5 b6c5 b4c5 a6a5 d1c1 f6d7 e5e7 c6c5 c1c5 d7c5 g2g3 g8f8 e7e3 c5a4 g1g2 c8c2 e3a3 c2c3 a3c3 a4c3 a2a3 c3b1 g2f3 b1a3 f3e3 f8e7 e3d4 e7d6 d4c3 d6c5 c3b3 b5b4 f2f4 h7h6 g3g4 c5d4 f4f5 d4e4 b3b2 a5a4 h3h4 e4f4 g4g5 h6g5 h4g5 f4f5 b2c1 f5g5 c1d2 f7f5 d2d3 f5f4 d3e2 b4b3 e2d2 b3b2
EU-ch U10 Girls,Herculane,1994.??.??,4,"Kosteniuk, Alexandra","Paehtz, Elisabeth",0-1,,,D02,d2d4 d7d5 g1f3 g8f6 c1f4 c7c5 e2e3 d8b6 b1c3 c8d7 d1d2 e7e6 f1d3 f8e7 h2h3 a7a6 e1g1 e8g8 f3e5 g8h8 e5f3 b6a7 a2a4 b8c6 d3e2 b7b6 f1d1 f8d8 e2f1 d7c8 f3e5 c6e5 f4e5 c5d4 e5d4 e7c5 d4f6 g7f6 d2e2 d8g8 e2h5 a7e7 g1h1 c8b7 f1d3 f6f5 d1g1 g8g7 c3e2 a8g8 e2d4 g7g5 h5f3 e7f6 c2c3 c5d6 f3d1 f6h6 d1f3 g5h5 d3e2 h5h4 e2d3 f5f4 a1e1 g8g3 d4f5 h4h3
EU-ch U10 Girls,Herculane,1994.??.??,5,"Paehtz, Elisabeth","Geczi, Mirjam",0-1,,,D30,d2d4 d7d5 c2c4 e7e6 e2e3 g8f6 g1f3 b8c6 a2a3 f8d6 b2b3 e8g8 f1d3 d5c4 b3c4 b7b6 c1b2 c8b7 e1g1 f8e8 e3e4 e6e5 d4d5 c6e7 b1d2 e7g6 d2b3 c7c6 d1d2 c6d5 c4d5 a8c8 f1c1 d8d7 a3a4 c8c1 b3c1 d7e7 b2c3 e8c8 c1e2 d6c5 h2h3 e7c7 a1c1 h7h6 d2b2 c8e8 e2g3 b7d5 e4d5 e5e4 d3b5 e4f3 c3f6 c7g3 b5f1 e8e2 c1c2 g3f2 g1h2 c5d6
EU-ch U10 Girls,Herculane,1994.??.??,6,"Motoc, Alina","Paehtz, Elisabeth",0-1,,,E87,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 e8g8 c1e3 e7e5 d4d5 f6h5 d1d2 f7f5 e1c1 b8d7 f1d3 d7c5 g1e2 c5d3 d2d3 h5f4 e2f4 e5f4 e4f5 g7d4 a2a3 d4g7 c1b1
EU-ch U10 Girls,Herculane,1994.??.??,7,"Paehtz, Elisabeth","Gutsko, A.",1-0,,,E85,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 e8g8 c1e3 e7e5 g1e2 e5d4 e2d4 b8d7 d1d2 f8e8 e1c1 a7a6 g2g4 d7e5 d2g2 c8d7 h2h4 d8e7 f1e2 c7c5 d4c2 b7b5 g4g5 f6h5 c3d5 e7d8 c2a3 b5b4 a3c2 a6a5 f3f4 e5c6 e2h5 g6h5 d5f6 g8h8 f6e8 d8e8 d1d6 g7f8 d6d2 a5a4 c2e1 a4a3 b2b3 d7g4 e1c2 a8a7 h1e1 a7a5 d2d1 f8g7 e4e5 e8c8 d1d5 c8e6 d5c5 a5c5 e3c5
EU-ch U10 Girls,Herculane,1994.??.??,8,"Cherednichenko, Elena","Paehtz, Elisabeth",1-0,,,D45,d2d4 d7d5 c2c4 e7e6 c4d5 e6d5 b1c3 c7c6 d1c2 f8d6 e2e3 g8f6 f1d3 e8g8 g1f3 b8d7 e1g1 f8e8 a2a3 a7a5 a1b1 d8e7 b2b4 a5b4 a3b4 d6b4 c1d2 b4d6 b1a1 a8a1 f1a1 d7f8 c3a4 f6e4 d2e1 f8g6 a4b6 d6c7 b6a4 c8g4 f3d2 e4d2 e1d2 e7h4 g2g3 h4e7 a4c5 c7d6 a1a7 d6c5 c2c5 e7c5 d4c5 g6e5 a7a4 g4e6 d3e2 e5d7 d2b4 f7f6 a4a7 e8b8 e2d3 d7e5 d3e2 e6g4 e2g4 e5g4 b4a5 g4e5 a5c7 b8c8 c7e5 f6e5 a7b7 g8f8 g1f1 c8e8 b7c7 e8e6 f1e2 g7g6 c7h7 e6e7 h7h8 f8f7
