Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Buenos Aires,Buenos Aires,1952.??.??,1,"Casas, Fernando","Panno, Oscar",1/2-1/2,,,B52,e2e4 c7c5 g1f3 d7d6 f1b5 c8d7 b5d7 d8d7 e1g1 g8f6 f1e1 b8c6 c2c3 g7g6 d2d4 c5d4 c3d4 f8g7 d4d5 c6b4 b1c3 e8g8 c1e3 f8c8 e3d4 b7b6 d1e2 d7b7 a2a3 b4a6 b2b4 a6c7 b4b5 e7e5 d4e3 f6d7 f3d2 c8f8 c3a2
Buenos Aires,Buenos Aires,1952.??.??,2,"Panno, Oscar","Luckis, Marcos",1-0,,,A33,c2c4 g8f6 b1c3 e7e6 g1f3 c7c5 d2d4 c5d4 f3d4 b8c6 g2g3 f8b4 f1g2 e8g8 e1g1 b4c3 b2c3 c6e5 d1b3 d7d6 c1a3 d8e7 d4b5 f8d8 f1d1 f6e8 d1d2 f7f5 a1d1 e5f7 a3b4 a7a5 b4a3 a8a6 e2e4 f5e4 g2e4 e7f6 f2f4 e6e5 d2f2 f6h6 e4d5 c8e6 d5b7 a6b6 b7d5 e6d5 c4d5 e5f4 f2f4 f7g5 g1h1 g5h3 f4f3 h3g5 f3f1 g5e4 c3c4 e8f6 a3c1 h6h5 b3f3 f6g4 h2h4 g4f2 h1g2 h5f3 g2f3 d8f8 c1f4 f2d1 f1d1 e4c5 d1d2 c5d7 f3g2 f8f6 d2e2 h7h6 e2e7 d7c5 e7e8 g8f7 e8c8 c5d3 f4e3 b6b7 e3d4 f6g6 h4h5 d3f4 g2f3 f4h5 g3g4 b7d7 g4h5 g6g5 c8c6 g5h5 b5d6 f7g8 d4f2 d7d8 c6c8 d8c8 d6c8 g8f8 d5d6 f8e8 c8b6 h5h1 f2d4 h1b1 c4c5
Buenos Aires,Buenos Aires,1952.??.??,3,"Benko, Francisco","Panno, Oscar",1/2-1/2,,,B22,e2e4 c7c5 c2c3 d7d5 d2d3 b8c6 f1e2 g8f6 d1c2 e7e5 c1g5 f8e7 b1d2 c8e6 g1f3 e8g8 e1g1 f6e8 g5e7 d8e7 f1e1 a8d8 a2a3 e8c7 b2b4 f7f6 b4c5 e7c5 c2b2 c5b5 b2c2 b5a5 a3a4 d5e4 d3e4 a5c5 d2b3 c5e7 c2b2 g8h8 a4a5 d8d7 b3d2 e7c5 b2a3 c5a3 a1a3 f8d8 d2f1 c7e8 e1b1 e8d6 f3d2 h8g8 f2f3 d8c8 b1b2 g8f8 f1e3 g7g6 g1f2 f6f5 e3c4 e6c4 d2c4 d6c4 e2c4 f8e7 c4d5 c8c7 g2g4 c6d8 g4f5 g6f5 f2e3 f5f4 e3d3 d8e6 b2g2 e6c5 d3c2 e7f6 g2g8 d7g7 g8f8 f6e7 f8f5 g7g2 c2b1 g2h2
Buenos Aires,Buenos Aires,1952.??.??,4,"Panno, Oscar","Sanchez, JC.",1/2-1/2,,,D57,d2d4 d7d5 g1f3 g8f6 c2c4 e7e6 b1c3 f8e7 c1g5 e8g8 e2e3 h7h6 g5h4 f6e4 h4e7 d8e7 c4d5 e4c3 b2c3 e6d5 d1b3 c7c6 f1d3 b8d7 e1g1 d7f6 f3e5 f6g4 e5g4 c8g4 c3c4 a8d8 a1b1 b7b6 b1c1 g4e6 c4d5 c6d5 c1c3 e7b7 b3a4 e6d7 a4a6 b7a6 d3a6 d7c8 a6d3 c8e6 f1c1 d8c8 d3a6 c8c3 c1c3 f8d8 c3c7 d8d7 c7c8 g8h7 g1f1 h7g6 f1e2 g6f6 f2f3 f6e7 c8c6 e7d8 c6c8 d8e7 a2a3 d7d8 c8c3 f7f6 e2d3 e7d6 e3e4 d8b8 a6b5 b8c8 c3c8 e6c8 d3c3 c8b7 b5d3 b7c6 c3d2 g7g5 d2e3 a7a5 e3d2 b6b5 d2c3 h6h5 g2g3 c6d7
Buenos Aires,Buenos Aires,1952.??.??,5,"Reinhardt, Bahamonte","Panno, Oscar",1-0,,,E86,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 e8g8 c1e3 e7e5 g1e2 c7c6 d1d2 e5d4 e2d4 d6d5 c4d5 c6d5 e4e5 f6e8 f3f4 f7f6 e5f6 e8f6 f1e2 b8c6 e1g1 f8e8 e3f2 c8g4 e2b5 f6e4 d4c6 e4d2 c6d8 e8d8 f1e1 d5d4 c3d1 g7f6 h2h3 g4f5 e1e2 d2e4 g2g4 e4d6 b5a4 f5e4 a4b3 g8f8 e2d2 d4d3 a1c1 d6b5 f2c5 f8g7 d1f2 e4d5 g4g5 f6d4 d2d3 d5c6 c1d1 d4f2 g1f2 d8d3 d1d3 a7a5 a2a4 b5c7 c5d6 c7e8 d6e7 e8c7 e7d8 c7d5 d3d5 c6d5 d8f6
Buenos Aires,Buenos Aires,1952.??.??,6,"Panno, Oscar","Incutto, Carlos",1-0,,,D68,d2d4 d7d5 c2c4 e7e6 g1f3 g8f6 b1c3 f8e7 c1g5 b8d7 e2e3 e8g8 a1c1 c7c6 f1d3 d5c4 d3c4 f6d5 g5e7 d8e7 e1g1 d5c3 c1c3 e6e5 d1c2 e5e4 f3d2 d7f6 f1c1 g8h8 a2a3 c8d7 c2b1 a8e8 b2b4 e7d6 h2h3 f6d5 d2e4 d5c3 e4d6 c3b1 d6e8 b1a3 e8d6 a3c4 c1c4 b7b6 d4d5 c6d5 c4c7 d7e6 c7a7 f8d8 a7b7 h8g8 b7b6 g8f8 d6b5 f8e7 b6b7 e6d7 b5d4 e7d6 d4b3 d8a8 b3c5 d7e8 g1h2 d6c6 h2g3 c6d6 g3f4 e8c6 b7f7 a8b8 c5b3 b8b4 b3d4 c6e8 f7g7 e8g6 g2g4 b4b2 f2f3 b2b1 h3h4 b1h1 h4h5 g6d3 d4f5
Buenos Aires,Buenos Aires,1952.??.??,7,"Rubinstein, Patt","Panno, Oscar",0-1,,,D77,c2c4 g8f6 g2g3 g7g6 f1g2 f8g7 g1f3 e8g8 e1g1 d7d5 d2d4 d5c4 b1a3 b8c6 a3c4 c8e6 b2b3 a7a5 c1b2 e6d5 e2e3 a5a4 d1e2 h7h6 f1d1 d8c8 f3e1 d5g2 g1g2 c8f5 d4d5 c6b4 f2f3 b4d5 e3e4 f5e6 e2f2 d5b4 f2c5 b4a6 c5b5 c7c6 b5b6 f6d7 b6e3 a4b3 b2g7 g8g7 a2b3 g7h7 e1d3 c6c5 d3f4 e6c6 e4e5 a6b4 a1a8 f8a8 e5e6 f7e6 f4e6 b4d5 e3e4 d7f6 e4e5 a8a2 g2h3 b7b5 c4d2 c6d6 f3f4 d6e5 f4e5 f6e8 d2e4 d5b6 d1d8 a2a8 d8a8 b6a8 e4c5 e8c7 h3g4 h7g8 g4f3 g8f7 e6c7 a8c7 f3e4 f7g7 g3g4 g6g5 e4d4 g7f7 b3b4 f7e8 e5e6 e8f8 d4e5 f8g7 c5b3 c7a6 b3d4 a6b4 d4f5 g7f8 f5h6 b4c6 e5d5 b5b4 d5c4 f8g7 h6f5 g7f6 h2h4 c6e5 c4b4 e5g4 f5e7 g5h4 e7d5 f6e6 d5f4 e6f5 f4h3 g4e5 b4c3 f5g4 h3f2 g4f3 f2h3 f3g3 h3g5 e5f7 g5e4 g3f3 e4d2 f3g2
Buenos Aires,Buenos Aires,1952.??.??,8,"Panno, Oscar","Garcia Vera, Romeo",1-0,,,D45,c2c4 e7e6 g1f3 d7d5 d2d4 g8f6 b1c3 c7c6 e2e3 b8d7 d1c2 f8d6 b2b3 d8e7 f1e2 e8g8 e1g1 f8e8 c1b2 d6a3 b2a3 e7a3 e3e4 d5e4 c3e4 f6e4 c2e4 c6c5 d4c5 a3c5 f1d1 d7f6 e4e5 c5e7 f3d4 c8d7 e2f3 a8b8 c4c5 b8c8 b3b4 d7c6 f3e2 f6d5 b4b5 c6d7 d4b3 e7f6 e5f6 d5f6 a1c1 e6e5 b3a5 b7b6 c5c6 d7e6 a5b7 c8c7 e2c4 e6c8 b7d6 e8f8 d1e1 c7e7 c1d1 g7g6 f2f3 g8g7 c4b3 h7h5 e1e3 f6g8 d1e1 f7f6 f3f4 c8e6 f4e5 e6b3 e5f6 g7f6 e1f1 f6g7 e3b3 g8f6 b3f3
Buenos Aires,Buenos Aires,1952.??.??,9,"Burgalat, Francisco","Panno, Oscar",0-1,,,D77,d2d4 g8f6 g1f3 g7g6 g2g3 f8g7 f1g2 e8g8 e1g1 d7d5 c2c4 d5c4 b1a3 b8c6 a3c4 c8e6 c4e3 f6d5 f1e1 d5e3 c1e3 e6d5 d1a4 d8d7 a1d1 f8d8 d1d2 c6e5 a4d7 e5f3 g2f3 d8d7 f3d5 d7d5 e1d1 a8d8 g1g2 g8f8 f2f3 c7c5 d4c5 d5d2 d1d2 d8d2 e3d2 g7b2 d2b4 b2d4 f3f4 f8e8 g2f3 f7f5 e2e3 d4b2 f3e2 e8d7 e2d3 d7c6 e3e4 f5e4 d3e4 e7e6 a2a4 a7a6 g3g4 b2g7 h2h3 g7b2 g4g5 b2g7 b4a3 g7h8 h3h4 h8g7 a3b4 g7b2
Buenos Aires,Buenos Aires,1952.??.??,10,"Panno, Oscar","Huguet, Horacio",1/2-1/2,,,A29,c2c4 g8f6 b1c3 e7e5 g2g3 b8c6 f1g2 f8b4 g1f3 b4c3 b2c3 e8g8 e1g1 d8e7 a1b1 a8b8 f3h4 e7e6 d2d3 d7d5 c4d5 f6d5 c1d2 f8d8 d1c2 e6d6 h4f3 c8g4 h2h3 g4h5 f1d1 g8h8 e2e4 d5b6 g3g4 h5g6 d2e3 d6e7 f3d2 b6c8 d2c4 c8d6 e3c5 e7e8 c4e3 b7b6 c5a3 c6a5 e3f5 c7c5 d1e1 d6b5 a3c1 e8d7 a2a4 b5c7 e1d1 c7e6 c1e3 b8c8 c2a2 d7c7 b1c1 c7d7 c1a1 f7f6 a2b2 g6f7 g2f1 g7g6 f5g3 d7e7 b2a3 e7f8 a1b1 f8d6 d1d2 c8c7 b1d1 c7d7 a3b2 a5c6
