Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Biel schev,Biel,1987.??.??,?,"Polgar, Judit","Nemet, Ivan",1/2-1/2,2355,2390,B70,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 g2g3 b8c6 d4e2 f8g7 f1g2 e8f8 e1g1 c8d7 h2h3 a7a5 a2a4 c6b4 c3d5 d7c6 c2c3 b4a6 c1g5 a6c5 d1c2
Biel schev,Biel,1987.??.??,?,"Gobet, Fernand","Polgar, Judit",1-0,2355,2355,B80,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 g2g3 f8e7 f1g2 e8g8 e1g1 b8c6 f1e1 c8d7 c1e3 c6e5 d1e2 a8c8 a1d1 e5c4 e3c1 d8b6 b2b3 b6a5 b3c4 a5c3 d4b5 d7b5 c4b5 c3c2 e4e5 d6e5 g2b7 c2e2 e1e2 c8b8 b7c6 e7c5 c1b2 f8d8 d1d8 b8d8 b2e5 f6g4 e5c7 d8c8 c7f4 c8d8 g1g2 g8f8 h2h3 g4f6 e2c2 c5b6 a2a4 f8e7 f4d2 f6d5 a4a5 b6d4 d2c1 e6e5 b5b6 a7b6 a5a6 e7e6 c1a3 d5c7 c6b7 c7b5 b7c8 e6d5 c8b7 d5e6 b7c8 e6d5 a3e7 d8e8 e7b4 e8d8 c8b7 d5e6 f2f4 f7f6 g2f3 g7g6 c2c1 h7h5 h3h4 e6f7 c1d1 f7e6 f4e5 f6e5 f3e4 b5a7 d1d3 d8d7 b4a3 d7c7 b7d5 e6d7 d3f3 c7c2 f3f7 d7d8 d5e6 b6b5 a3d6 c2f2 f7g7
Biel schev,Biel,1987.??.??,?,"Huss, Andreas","Polgar, Judit",1/2-1/2,2375,2355,A59,d2d4 g8f6 g1f3 g7g6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 b5a6 f8g7 b1c3 c8a6 e2e4 a6f1 e1f1 d7d6 g2g3 e8g8 f1g2 b8d7 h1e1 d8b6 e1e2 f8b8 c1f4 f6g4 a1c1 d7e5 f3e5 g4e5 b2b3 b6a6 f4e5 g7e5 c3b1 b8b4 e2c2 c5c4 b3c4 b4c4 d1d3 c4c2 d3a6 a8a6 c1c2 f7f5 f2f3 g8f7 g2f2 h7h5 f2e3 h5h4 g3h4 f5e4 f3e4 e5f6 e3f4 f6h4 b1d2 a6a4 d2c4 h4f6 f4e3 a4a8 e3d3 a8h8 d3e3 f6g5 e3f3 h8a8 a2a3 a8a4 f3e2 g5f4 h2h3 a4a8 c2c3 f7f6 c3f3 g6g5 e2d3 a8a6 d3c2 e7e6 f3d3 e6d5 d3d5 f6e6 c2b3 e6d7 e4e5 f4e5 c4e5 d7e6 e5d3 a6a3 b3a3 e6d5 d3b4 d5e4 b4c6 e4f4 c6d4 f4g3
Biel schev,Biel,1987.??.??,?,"Landenbergue, Claude","Polgar, Judit",0-1,2300,2355,B38,g1f3 c7c5 c2c4 b8c6 d2d4 c5d4 f3d4 g7g6 e2e4 f8g7 c1e3 g8f6 b1c3 d7d6 f1e2 e8g8 e1g1 c8d7 d4c2 a7a5 f2f3 d7e6 d1d2 f6d7 a1c1 d7c5 f1d1 a5a4 c2a3 d8a5 c3d5 e6d5 c4d5 a5d2 d1d2 c6b4 e3c5 d6c5 c1a1 f7f5 e2c4 g8h8 a1e1 f5e4 e1e4 g7f6 a3b5 f8d8 e4e6 b4c6 d5d6 h8g7 e6e4 e7d6 b5c7 c6d4 c7a8 d8a8 c4d5 a8b8 d2d1 b7b5 b2b3 a4a3 d1d2 b5b4 d5c4 d6d5 c4d5 b8d8 d5c4 d4f3 g2f3 d8d2 e4e2 d2d1 g1f2 d1a1 f2g3 f6b2 e2e7 g7f8 e7f7 f8e8 f7h7 a1a2 h7a7 b2c3
Biel schev,Biel,1987.??.??,?,"Zueger, Beat","Polgar, Judit",1/2-1/2,2405,2355,A57,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 b5b6 a6a5 b1c3 c8a6 f2f4 d7d6 g1f3 d8b6 e2e4 a6f1 h1f1 g7g6 e4e5 f6d7 e5e6 f7e6 d5e6 d7f6 f4f5 g6f5 f3g5 h7h6 g5f7 h8g8 f1f5 g8g2 f5f6 e7f6 d1h5 g2g1 e1d2 b6b4 d2c2 b4g4 f7d6 e8e7 h5c5 g1g2 c1d2 g2d2 c2d2 g4f4 d2c2 f4h2 c2b3 h2d6 c3d5 e7d8 c5d6 f8d6 a1g1 b8d7 e6d7 a8b8 b3c4 d8d7 d5f6 d7e6 f6e4 d6f4 e4c5 e6f5 c5d3 f4e3 g1f1 f5e4 d3c5 e3c5 c4c5 b8b2 f1h1 b2a2 h1h6 a5a4
Biel schev,Biel,1987.??.??,?,"Polgar, Judit","Zueger, Beat",0-1,2355,2405,C14,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 g5e7 d8e7 f2f4 e8g8 g1f3 a7a6 f1d3 f7f6 e5f6 d7f6 d1d2 b7b6 e1g1 c7c5 b2b3 b8c6 c3e2 c8b7 c2c3 a8c8 a1e1 e7d6 e2g3 c5d4 c3d4 f8e8 e1e2 c6b4 d3b1 a6a5 f1e1 b7a6 e2e5 b4c6 f3g5 d6b4 d2b4 a5b4 e5e6 e8e6 g5e6 c8e8 f4f5 c6d4 e1d1 d4e6 f5e6 e8e6 b1f5 e6e5 d1d4 g7g6 d4b4 g6f5 b4b6 f5f4 b6f6 f4g3 h2g3 e5e1 g1h2 a6d3 f6d6 d3e4 a2a4 e1a1 g3g4 a1a3 h2g3 a3b3 g3f4 g8f7 a4a5 f7e7 d6h6 e4g6 f4e5 b3b5 a5a6 b5a5 h6h1 g6e4 h1h6 e7d7 h6f6 d7c7 e5d4 c7b8
Biel schev,Biel,1987.??.??,?,"Polgar, Judit","Huss, Andreas",0-1,2355,2375,C15,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 g1e2 g8e7 a2a3 b4c3 e2c3 e8g8 c1g5 f7f6 g5e3 b8c6 f1b5 a7a6 b5c6 e7c6 d1f3 d5e4 f3e4 f6f5 e4f4 c6e7 f4f3 f5f4 e3f4 e7g6 g2g3 g6f4 g3f4 d8d4 a1d1 d4f4 f3f4 f8f4 e1g1 b7b6 d1d8 f4f8 f1d1 c8b7 d8d7 a8c8 d7e7 f8e8 d1d7 e8e7 d7e7 g8f8 e7e6 f8f7 e6e2 c8d8 f2f3 d8d4 c3e4 b7e4 f3e4 f7e6 g1f2 e6e5 f2f3 g7g6 c2c3 d4d1 f3g4 d1g1 g4f3 g1f1 f3g3 f1f7 e2e3 h7h5 h2h4 f7f4 e3d3 f4g4 g3f3 g4h4 d3d7 h4f4 f3g3 h5h4 g3h3 g6g5 d7c7 f4f3 h3g2 g5g4 c7g7 h4h3 g2h2 f3f2 h2h1 e5f4 g7d7 g4g3 d7d1 g3g2 h1g1 f4f3
Biel schev,Biel,1987.??.??,?,"Costa, Jean Luc","Polgar, Judit",0-1,2320,2355,A31,d2d4 g8f6 c2c4 c7c5 g1f3 c5d4 f3d4 e7e5 d4b5 d7d5 c4d5 f8c5 b5c3 e8g8 g2g3 f6g4 e2e3 f7f5 f1g2 f5f4 h2h3 g4f2 e1f2 f4e3 f2e1 f8f2 h1g1 d8f8 d1d3 b8a6 a2a3 c8f5 g2e4 f5e4 d3e4 c5d4 c1e3 a6c5 e3d4 e5d4 e4d4 a8e8 e1d1 f8f3
Biel schev,Biel,1987.??.??,?,"Polgar, Judit","Landenbergue, Claude",1/2-1/2,2355,2300,B05,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 c8g4 f1e2 c7c6 c2c4 d5b6 b1d2 b8d7 e1g1 d6e5 f3e5 g4e2 d1e2 e7e6 d2f3 d7e5
Biel schev,Biel,1987.??.??,?,"Nemet, Ivan","Polgar, Judit",1/2-1/2,2390,2355,A40,d2d4
