Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
OHRA op,Brussels,1987.??.??,1,"Polgar, Sofia","Flear, Glenn C",1-0,2315,2480,C30,e2e4 e7e5 f2f4 f8c5 g1f3 d7d6 c2c3 g8f6 f4e5 d6e5 d2d4 e5d4 c3d4 c5b4 c1d2 d8e7 f1d3 f6e4 d3e4 e7e4 e1f2 b4d2 b1d2 e4d3 h1e1 c8e6 d1a4 c7c6 a4b4 b8d7 b4b7 e8g8 b7c6 a8b8 b2b3 d7f6 f2g1 f8c8 c6d6 b8b6 d6f4 c8c2 a1d1 f6d5 f4h4 b6b8 d2e4 d3a6 e4g5 e6f5 e1e5 f5g6 h4g3 b8d8 f3h4 f7f6 e5e6 a6a2 e6d6 c2c8 h4g6 h7g6 g3h3 f6g5 d6d5 a2e2 d5d8 c8d8 h3d3 e2d3 d1d3 d8d5 g1f2 g8f7 f2e3 f7e6 d3c3 d5b5 e3e4 e6d6 c3f3 d6e6 f3e3 e6d6 e4f3 b5b4 f3g4 b4d4 g4g5 d4d2 e3g3 d6e7 g5g6 e7f8 g6h7 d2d4 g3f3 f8e8 h2h3 g7g5 h7g6 g5g4 f3e3 e8f8 h3h4 a7a5 h4h5 d4b4 g6g5 f8g8 e3e5 b4b3 e5a5 g4g3 g5h4
OHRA op,Brussels,1987.??.??,2,"Piket, Jeroen","Polgar, Sofia",1-0,2450,2315,A44,d2d4 c7c5 d4d5 e7e5 b1c3 d7d6 e2e4 g7g6 f1e2 f8g7 g1f3 g8e7 e1g1 e8g8 a2a4 f7f5 f3g5 f5f4 e2g4 f8e8 g4e6 c8e6 g5e6 d8d7 g2g3 f4g3 f2g3 b8a6 d1f3 e7c6 c1e3 c6d4 e3d4 c5d4 c3b5 g7h6 c2c3 d4c3 b2c3 b7b6 f3f6 a6c5 b5c7 c5e4 f6h4 h6e3 g1g2 e4c3 h4c4 e3d4 c7a8 e8a8 f1f3 e5e4 f3c3
OHRA op,Brussels,1987.??.??,3,"Polgar, Sofia","Iclicki, Willy",1-0,2315,,B13,e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 c2c4 g8f6 b1c3 b8c6 g1f3 c8g4 c4d5 f6d5 d1b3 g4f3 g2f3 d5b6 c1e3 e7e6 e1c1 f8e7 h1g1 g7g6 e3h6 d8c7 f1h3 c6b4 c1b1 b4d5 d1c1 c7d7 c3e4 d7a4 b3a4 b6a4 b2b3 a4b6 e4c5 e7f6 g1g4 a8b8 g4e4 e8d8 h6d2 h8e8 a2a4 e8e7 h3f1 d8e8 f1b5 e8f8 a4a5 a7a6 b5c4 b6d7 d2h6 f8e8 c5b7 b8b7 c4d5 b7b8 h6f4 e6e5 d4e5
OHRA op,Brussels,1987.??.??,4,"Karolyi, Tibor Jr","Polgar, Sofia",1-0,2435,2315,E11,d2d4 g8f6 g1f3 e7e6 c2c4 f8b4 c1d2 c7c5 e2e3 e8g8 d2b4 c5b4 f1e2 d7d6 e1g1 b8c6 a2a3 f8e8 d4d5 e6d5 c4d5 c6e7 a3b4 e7d5 b4b5 c8f5 f3d4 f5g6 d1b3 d5b6 b1c3 b6d7 a1a3 f6e4 b3a2 d8g5 c3d5 a8c8 a3a7 e4d2 f1d1 g6b1 a2a5 b1e4 d5f4 d2c4 a5b4 d7e5 e2c4 c8c4 b4a3 g5g4 d1e1 e5d3 f2f3 e4f3 a3d3 c4d4 d3d4 g7g5 e1f1 f3e4 d4d2 g5f4 f1f4 g4g5 a7a4 d6d5 h2h3 h7h5 d2f2 e8c8 a4d4 c8c5 g1h2 c5b5 b2b4 f7f5 f2g3 g5g3 h2g3 g8h7 g3h4 h7g6 g2g4 h5g4 h3g4 f5g4 h4g4 b5b6 f4e4 d5e4 g4f4 g6f6 f4e4 f6e6 e4d3 b6a6 d3c4 a6a3 d4d3 a3a1 c4c5 a1b1 b4b5 b1b2 d3d6 e6e5 d6d7
OHRA op,Brussels,1987.??.??,5,"Polgar, Sofia","Scholz, Guillermo",1-0,2315,2310,B14,e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 c2c4 g8f6 b1c3 e7e6 g1f3 b8c6 c4c5 f8e7 f1b5 c8d7 e1g1 e8g8 f1e1 a7a6 b5a4 b7b6 a4c6 d7c6 f3e5 c6e8 b2b4 a6a5 b4b5 b6c5 a2a4 a8c8 c1e3 e8d7 d4c5 e7c5 e3c5 c8c5 d1d4 d8c7 c3e2 f8c8 h2h3 f6e4 e2f4 d7e8 f4d3 c5c3 a1c1 e4d6 b5b6 c3c1
OHRA op,Brussels,1987.??.??,6,"Polgar, Sofia","Kouatly, Bachar",0-1,2315,2470,B33,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 d8b6 d4b3 g8f6 b1c3 e7e6 c1e3 b6c7 f1d3 c6e5 f2f3 f8b4 e1g1 b4c3 b2c3 d7d6 b3d4 a7a6 d1e1 h7h6 a2a4 c8d7 d4e2 e5c4 d3c4 c7c4 a4a5 d7b5 e2d4 c4f1 e1f1 b5f1 g1f1 e8c8 a1b1 f6d7 f1e2 d7e5 b1b4 e5c6 d4c6 b7c6 c3c4 e6e5 c4c5 d6d5 b4b6 c8c7 e4d5 c6d5 b6a6 d8a8 a6d6 h8d8 d6d8 c7d8 e3d2 d8c7 d2c3 f7f6 h2h4 h6h5 g2g4 h5g4 f3g4 c7c6 c3b4 c6b5 c2c3 a8a5
OHRA op,Brussels,1987.??.??,7,"Gutman, Lev","Polgar, Sofia",1-0,2475,2315,A04,g1f3 c7c5 g2g3 b8c6 d2d4 c5d4 f3d4 g7g6 d4c6 b7c6 f1g2 f8g7 e1g1 g8f6 b1d2 e8g8 d2b3 d8c7 c1d2 a8b8 d2a5 c7e5 a5c3 e5h5 e2e4 d7d6 d1h5 f6h5 e4e5 d6e5 b3a5 e5e4 a5c6 b8b7 c6a5 b7b5 a2a4 b5c5 a5b3 c5c4 c3g7 g8g7 c2c3 f7f5 f1d1 h5f6 b3d4 c8d7 g2f1 c4c7 f1b5 g7f7 c3c4 e7e5 d4b3 d7e6 a1c1 f8a8 d1d6 f7e7 d6a6 a8b8 b3a5 e6d5 c1d1 d5a8 d1d6 f6g4 h2h3 e4e3 f2e3 g4e3 d6e6 e7f7 e6e5 e3d1 a6d6 d1b2 e5e2 a7a6 d6a6 b2d3 a5b3 f5f4 a6d6 f4f3 e2e3 d3c5 b3c5 c7c5 g1f2 b8b5 c4b5 c5c2 f2f1 c2h2 d6d7 f7f6 d7d8 a8b7 d8f8 f6g5 f8f3 b7f3 e3f3 h2a2 f3f4 a2a1 f1e2 a1a2
OHRA op,Brussels,1987.??.??,8,"Van Houtte, Thierry","Polgar, Sofia",1/2-1/2,,2315,B22,e2e4 c7c5 g1f3 e7e6 c2c3 g8f6 e4e5 f6d5 d2d4 c5d4 c3d4 d7d6 a2a3 b8c6 f1d3 d6e5 d4e5 f8e7 e1g1 e8g8 d1c2 h7h6 c2e2 d8e8 c1d2 f7f5 e5f6 d5f6 b1c3 g8h8 f3h4 h8g8 h4g6 f8f7 d2e3 e7d6 a1d1 f6d5 c3e4 d6c7 e4g3 f7f6 e2h5 d5e7 g6e7 e8e7 g3e4 f6f5 h5h3 e6e5 h3g3 g8h8 e3c5 e7f7 e4d6 c7d6 c5d6 f5g5 g3e3 c6d4 d3e4 c8g4 f2f3 g4h3 f3f4 g5g2 e4g2 h3g2 f4e5 g2f1 d1f1 f7g6 g1h1 d4e6 e3f3 g6c2 f3b7 a8c8 b7g2 c2d3 g2f3 d3d2 f3g2
OHRA op,Brussels,1987.??.??,9,"Polgar, Sofia","Pein, Malcolm",1/2-1/2,2315,2485,C33,e2e4 e7e5 f2f4 e5f4 f1c4 g8f6 b1c3 c7c6 d2d4 f8b4 d1f3 d7d5 e4d5 e8g8 g1e2 c8g4 f3f4 g4e2 c4e2 f6d5 f4g3 f8e8 c1d2 b8d7 g3f2 d8e7 c3d5 b4d2 e1d2 c6d5 a1e1 e7g5 d2d1 d7f6 e2f3 f6e4 f3e4 d5e4 h1f1 g5d5 b2b3 a8d8 c2c3 g7g6 g2g4 b7b5 d1c2 a7a5 c2b1 a5a4 b3b4 d8c8 e1e3 c8c6 e3h3 e8c8 f2h4 h7h5 g4h5 d5h5 h4h5 g6h5 b1c2 c6g6 h3g3 g8g7 c2d2 g6g3 h2g3 g7g6 f1c1 f7f5 d2e3 g6g5 d4d5 g5g4 d5d6 c8d8 c1d1 d8d7 d1d5 g4g3 d5f5 d7d6 f5h5 d6d3 e3e4 d3c3 h5b5 c3a3 b5a5 a3a2 e4d4 g3f4 b4b5 a4a3 b5b6 a2a1 d4c5 a3a2 b6b7 a1b1 c5c6 b1c1 c6b6 c1b1
Duncan Lawrie Women-Men,London,1988.10.22,1,"Polgar, Sofia","Westerinen, Heikki MJ",1-0,2345,2395,B00,e2e4 b8c6 b1c3 g8f6 d2d4 e7e6 d4d5 e6d5 e4d5 c6e5 d1e2 d8e7 d5d6 c7d6 c1g5 e7e6 g5f6 g7f6 f2f4 e5g4 g1f3 f8h6 f3d4 e6e2 f1e2 g4e3 g2g3 e8d8 e1d2 h8e8 e2d3 b7b6 h1e1 e3g4 e1e8 d8e8 d3f5 g4e5 c3b5 e8f8 a1e1 c8b7 b5d6 e5f3 d4f3 b7f3 f5h7 a8d8 h7d3 f3g4 d2c3 h6g7 d3f5 g4f3 c3d4 f3c6 c2c4 d8a8 b2b4 a7a6 b4b5 a6b5 c4b5 c6f3 f5d7 f6f5 d4c4 g7b2 d7c6 a8d8 d6b7 d8d4 c4b3
