Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Lloyds Bank op,London,1982.??.??,2,"Polgar, Zsuzsa","Ftacnik, Lubomir",0-1,2135,2535,A70,d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 g1f3 g7g6 e2e4 f8g7 c1f4 e8g8 f3d2 f8e8 f1e2 b7b6 e1g1 c8a6 f1e1 a6e2 d1e2 f6h5 f4e3 a7a6 a2a4 b8d7 h2h3 f7f5 e4f5 h5g3 e2g4 g3f5 e3g5 d8c7 d2e4 d7e5 g4d1 e8f8 a1b1 a8b8 c3e2 h7h6 g5e3 f5e3 f2e3 g6g5 d1c2 c7e7 e1f1 b6b5 a4b5 a6b5 b2b4 f8f1 b1f1 e5c4 f1f3 c5b4 e2g3 b8f8 g3f5 e7e5 g2g4 b4b3 c2d3 b3b2 f3f1 f8a8 f5h6 g7h6 e4f6 e5f6 f1f6 a8a1 f6f1 a1f1 d3f1 c4d2
Lloyds Bank op,London,1982.??.??,9,"Leclerc, Louis","Polgar, Zsuzsa",0-1,2200,2135,B22,e2e4 c7c5 c2c3 e7e6 d2d4 d7d5 e4d5 e6d5 g1f3 b8c6 b1d2 c5d4 c3d4 f8d6 f1d3 g8e7 e1g1 e8g8 d3h7 g8h7 f3g5 h7g8 d1h5 c8f5 f1e1 f5g6
Elekes mem-A,Budapest,1983.??.??,?,"Utasi, Tamas","Polgar, Zsuzsa",1-0,2340,2275,E61,d2d4 g8f6 g1f3 g7g6 c2c4 f8g7 e2e3 c7c5 b1c3 e8g8 d4c5 b8a6 f1e2 a6c5 e1g1 b7b6 d1c2 c8b7 b2b4 c5e6 c1b2 a8c8 c2b3 f6e4 c3e4 g7b2 b3b2 b7e4 a1c1 d8c7 f3d2 e4b7 e2f3 b7f3 d2f3 a7a5 a2a3 a5b4 a3b4 d7d6 f3d4 e6d4 e3d4 c7b7 b2d2 c8c7 c1c3 b7a6 d2h6 f7f6 h6e3 a6a4 b4b5 g8g7 f1c1 f8a8 h2h4 a4b4 h4h5 a8c8 e3e6 b4b2 c4c5 b6c5 d4c5 b2b5 h5h6 g7h6 e6f7 c7c5 c3h3 h6g5 f2f4 g5g4 f7e6 f6f5 h3h4
Elekes mem-A,Budapest,1983.??.??,?,"Vegh, Endre","Polgar, Zsuzsa",1/2-1/2,2375,2275,E80,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 b8c6 g1e2 a7a6 c1g5 a8b8 d1d2 b7b5 c4b5 a6b5 d4d5 c6a5 e2d4 c8d7 f1e2 b5b4 c3d1 c7c5 d5c6 a5c6 d4c6 d7c6 e1g1 e8g8 a1c1
Elekes mem-A,Budapest,1983.??.??,?,"Poettinger, Harald","Polgar, Zsuzsa",1-0,2200,2275,A57,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 e2e3 a6b5 f1b5 d8a5 b1c3 c8b7 c1d2 a5b6 d1b3 e7e6 b5c4 b6b3 c4b3 e6d5 g1e2 b8a6 e1g1 g7g6 e2f4 a6c7 f1d1 f8g7 d2e1 c5c4 b3c2 e8g8 b2b4 a8a3 c3b1 a3a8 e1c3 c7b5 f4e2 b5c3 b1c3 f8b8 a2a4 f6e8 a1b1 e8c7 b4b5 a8a5 d1d2 f7f5 g2g3 g8f7 b1d1 c7e6 h2h4 e6c7 g1f1 f7e7 e3e4 f5e4 c2e4 b8d8 b5b6 c7a8 e4d5 d8b8 d5b7 b8b7 d2d5 a5a6 a4a5 a8b6 d5b5 g7c3 e2c3 e7e6 d1b1 d7d5
Elekes mem-A,Budapest,1983.??.??,?,"Polgar, Zsuzsa","Berg, Klaus",0-1,2275,2400,A57,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 e2e3 g7g6 b1c3 f8g7 g1f3 e8g8 a2a4 c8b7 e3e4 e7e6 c1g5 e6d5 b5a6 b8a6 e4d5 d8a5 g5f6 g7f6 d1d2 a6b4 f1c4 b7a6 c4a6 a5a6 e1d1 a6c4 h1e1 f8e8 e1e3 c4b3 d1e2 b4c2 a1c1 c2e3 f2e3 f6d4 f3d4 c5d4 d2d4 b3b2 d4d2 b2b4 c1b1 b4h4 e2f3 a8a6 g2g3 h4h3 d5d6 a6a4 d2d5 a4a3 c3e4 e8e6 b1b8 g8g7 b8b7 h3f1
Elekes mem-A,Budapest,1983.??.??,?,"Tokaji, Nagy Gyorgy","Polgar, Zsuzsa",1/2-1/2,2260,2275,A48,d2d4 g8f6 g1f3 g7g6 c1f4 f8g7 e2e3 e8g8 h2h3 c7c5 c2c3 b7b6 b1d2 c8b7 f1e2 d7d6 e1g1 b8d7 b2b4 f6d5 d1b3 c5b4 c3b4 d5f4 e3f4 d7f6 a1c1 d8d7 b3a3 f6d5 c1c2 d5f4 e2a6 f8c8 f1c1 c8c2 c1c2 a8c8 c2c8 d7c8 a6b7 c8b7 a3e3 f4d5 e3e4 e7e6 b4b5 b7c8 g1h2 c8c3 e4h4 g7f6 h4g3 f6d4 g3d6 g8g7 d2e4 c3d3 e4g5 d4f6 d6d7 f6g5 f3g5 d3f5 g5f3 f5f4 h2g1 f4c1 g1h2 c1f4 h2g1 f4c1 g1h2 c1c7 d7c7 d5c7 a2a4 c7d5 f3e5 d5c3 e5c6 c3a4 h2g3 g7f6 f2f4 g6g5 c6a7 g5f4 g3f4 e6e5 f4e3 f6e6 e3d3 e6d5 a7c6 a4c5 d3e3 f7f6 g2g4 c5e6 c6e7 d5c5 e7g8 c5b5 g8f6 e6f4 f6h7 f4h3 e3e4 h3f2 e4e5 f2g4 e5d4 b5a4 h7g5 b6b5 g5e4 b5b4 e4d2 a4a3 d4d3 g4e5 d3d4 e5c6 d4c5 c6e5 c5d4 e5d7 d4c4 a3a4 c4d4 a4a3 d4c4 d7b6 c4b5 b6d5 b5c5 d5c3 d2c4 a3b3 c4d2 b3a4 c5c4
Elekes mem-A,Budapest,1983.??.??,?,"Polgar, Zsuzsa","Fuesthy, Z.",1-0,2275,2200,A30,g1f3 c7c5 g2g3 b7b6 f1g2 c8b7 c2c4 g8f6 e1g1 e7e6 b1c3 f8e7 d2d4 c5d4 d1d4 d7d6 b2b3 b8d7 c1b2 a7a6 a1d1 e8g8 e2e4 d8c7 d4e3 f8e8 h2h3 a8d8 f1e1 c7b8 f3d4 e7f8 e1e2 g7g6 e3d2 f8g7 d2e1 d7c5 d4c2 b7c6 e4e5 c6g2 e5f6 b8b7 f6g7 g2h3 c3d5 b7a8 d5f6 g8g7 f6e8 g7f8 f2f3
Elekes mem-A,Budapest,1983.??.??,?,"Polgar, Zsuzsa","Knezevic, Milorad",1/2-1/2,2275,2435,E11,d2d4 g8f6 c2c4 e7e6 g1f3 f8b4 c1d2 b4d2 d1d2 f6e4 d2c2 f7f5 b1d2 e4d2 c2d2 d7d6 g2g3 b8d7 f1g2 d7f6 e1g1 d8e7 b2b4 e6e5 d4e5 d6e5 d2b2 e5e4 f3d4 e8g8 c4c5 c7c6 b4b5 c8d7 a1c1 f6d5 e2e3 a7a6 a2a4 a6b5
Elekes mem-A,Budapest,1983.??.??,?,"Polgar, Zsuzsa","Marosi, Gyorgy",1-0,2275,2350,A65,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 e8g8 c1g5 c7c5 d4d5 e7e6 d1d2 e6d5 c4d5 a7a6 g1e2 d8a5 a2a4 b8d7 e2g3 f8e8 f1e2 b7b5 c3d1 a5d2 e1d2 b5a4 a1a4 h7h6 g5f4 d7e5 d1e3 f6d7 h2h4 a8b8 d2c2 b8b6 b2b3 c8b7 h4h5 e8b8 h5g6 f7g6 f4h6 b7c8 h6g7 g8g7 a4a3 b6b4 g3f1 c5c4 e2c4 d7c5 f1d2 c8d7 c2c3 b4b6 f3f4 e5c4 e3c4 b6b7 c4d6 b7c7 d2c4 d7b5 c3d4 b5c4 b3c4 c5b3 d4c3 b3c5 e4e5 b8f8 a3a1 f8f4 d6e8
Elekes mem-A,Budapest,1983.??.??,?,"Polgar, Zsuzsa","Navarovszky, Laszlo",1/2-1/2,2275,2355,D20,d2d4 d7d5 c2c4 d5c4 e2e3 e7e5 f1c4 e5d4 g1f3 f8b4 c1d2 b4d2 d1d2 g8f6 d2d4 d8d4 f3d4 a7a6 c4e2 c7c5 d4b3 b7b6 e2f3 a8a7 b1d2 c8e6
