Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Wch U12 Disney,Paris,1994.??.??,6,"Bacrot, Etienne","Ponomariov, Ruslan",1-0,2255,,D34,d2d4 d7d5 c2c4 e7e6 g1f3 c7c5 c4d5 e6d5 g2g3 g8f6 f1g2 f8e7 e1g1 e8g8 b1c3 b8c6 c1g5 c5d4 f3d4 h7h6 g5e3 f8e8 a1c1 c8g4 h2h3 g4e6 d4c6 b7c6 c3a4 d8d7 g1h2 e6f5 e3c5 e7d8 c5d4 a7a5 d4f6 g7f6 a4c5 d7e7 e2e4 d5e4 f1e1 e7e5 g2e4 e5b2 c5d3 b2b5 c1c5 e8e4 c5b5 c6b5 d1f3 e4e1 d3e1 a8b8 f3f5 b5b4 f5c2 d8b6 c2d2 g8g7 d2d6 b8b7 e1d3 b6c7 d6c6 b7a7 h2g2 c7d8 d3f4 a5a4 c6c5 a7b7 c5d5 b7b8 d5d6 b8b5 d6d8 b4b3 a2b3 a4b3 f4e6 g7g6 d8d3 b5f5 e6d4
Wch U12 Disney,Paris,1994.??.??,7,"Murphy, R.","Ponomariov, Ruslan",1-0,,,B01,e2e4 d7d5 e4d5 g8f6 d2d4 f6d5 f1e2 g7g6 g1f3 f8g7 e1g1 b8c6 c2c4 d5b6 c4c5 b6d5 b1c3 e8g8 c1g5 c8g4 h2h3 g4f5 d1b3 d5c3 b2c3 a8b8 a1d1 h7h6 g5h4 g6g5 h4g3 e7e6 c3c4 d8e7 f1e1 e6e5 d4d5 c6d4 f3d4 e5d4 d5d6 c7d6 g3d6 e7d7 e2f3 f8e8 d6b8 e8b8 c5c6 d7c7 c6b7 f5e6 b3d3 g7f8 d3d4 f8c5
Wch U12,Szeged,1994.??.??,1,"Ponomariov, Ruslan","Ermekov, Almas",1-0,,,C66,e2e4 e7e5 g1f3 b8c6 f1b5 d7d6 c2c3 c8d7 e1g1 g8f6 f1e1 f8e7 d2d4 e5d4 c3d4 e8g8 b1c3 a7a6 b5e2 c6a7 e4e5 f6e8 c3d5 d6e5 d4e5 d7e6 d5e7 d8e7 c1g5 e7b4 d1c2 a7c6 g5d2 b4g4 f3g5 e6f5 c2b3 g4d4 b3b7 a8b8 b7c6 d4d2 g5f3 d2b2 c6a6 g7g6 a2a4 e8g7 a6c6 b2b6 c6c1 b8a8 e2c4 g7e6 f3h4 e6d4 h4f5 g6f5 c1c3 c7c5 e1b1 b6c7 f2f4 a8a5 c3g3 g8h8 g3h4 f8g8 h4f6 g8g7 a1a3 h8g8 c4f7 g7f7 a3g3 g8f8 b1b8 c7b8 f6h8 f8e7 h8b8 a5a4 b8d6
Wch U12,Szeged,1994.??.??,2,"De Melo, J.","Ponomariov, Ruslan",0-1,,,A90,d2d4 f7f5 g2g3 g8f6 f1g2 e7e6 c2c4 c7c6 g1h3 f8b4 b1d2 d7d6 a2a3 b4d2 c1d2 e6e5 d4e5 d6e5 d2b4 d8d1 a1d1 c8e6 b2b3 h7h6 f2f3 b8d7 b4d6 e8f7 c4c5 b7b6 b3b4 b6b5 f3f4 e5e4 h3f2 f6d5 d1d5 e6d5 g3g4 g7g6 e2e3 a7a5 e1g1 a5b4 a3b4 a8a3 f1e1 h8a8
Wch U12,Szeged,1994.??.??,3,"Ponomariov, Ruslan","Azarov, Sergei",1-0,,,C68,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5c6 d7c6 b1c3 c8g4 h2h3 g4f3 d1f3 g8f6 d2d3 d8d7 f3g3 d7e6 c1e3 e8c8 e1c1 f8b4 c3e2 e6a2 c2c3 b4d6 g3g7 f6d7 g7g4 h8g8 g4f5 g8g6 c1c2 a2a4 c2b1 f7f6 g2g4 a4b5 d1d2 c6c5 c3c4 b5b3 h1c1 c8b8 c1c3 b3b4 h3h4 g6g7 e2g3 b8a7 d2d1 g7e7 g4g5 d7b6 g5f6 e7f7 g3h5 b6a4 c3c2 b4b3 d1c1 b3d3 e3h6 d8e8 h6g7 a4b6 b1a2 e8b8 g7h6 b6d5 c4d5 d3b5 f5e6
Wch U12,Szeged,1994.??.??,4,"Markus, Robert","Ponomariov, Ruslan",0-1,,,B02,e2e4 g8f6 e4e5 f6d5 c2c4 d5b6 c4c5 b6d5 b1c3 e7e6 f1c4 d5c3 d2c3 f8c5 d1g4 g7g6 c1f4 b8c6 h2h4 d7d5 a1d1 d8e7 c4b5 h7h6 g1f3 c8d7 a2a4 a7a5 f4d2 e8c8 b5c6 d7c6 b2b4 c5b6 d1a1 f7f5 g4g6 d5d4 d2h6 d8g8 h6g5 e7d7 g6f6 c6f3 g2f3 d4c3 f6e7 a5b4 e7b4 g8g5 a1d1 d7c6 a4a5 b6c5
Wch U12,Szeged,1994.??.??,5,"Ponomariov, Ruslan","Bacrot, Etienne",1/2-1/2,,2255,B53,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 d1d4 a7a6 c2c4 b8c6 d4d2 g7g6 b2b3 g8f6 b1c3 f8g7 c1b2 e8g8 f1e2 c8g4 a1d1 d8a5 e1g1 b7b5 c4b5 a6b5 e2b5 f6e4 c3e4 a5b5 b2g7 g8g7 d2c3 f7f6 a2a4 b5b6 f1e1 a8b8 e4d2 d6d5 h2h3 g4d7 c3d3 e7e6 h3h4 c6b4 d3b1 e6e5 d2c4 b6c7 c4e5 f6e5 f3e5 d7f5 b1b2 g7g8 h4h5 b8e8 f2f3 g6h5 d1c1 c7g7 b2d4 b4c2 c1c2 f5c2 d4d5 g8h8 b3b4 c2a4 b4b5 e8e7 e1e4 a4c2 e4e2 c2f5 b5b6 f5e6 d5d6 f8e8 e5c6 e7d7 e2e6 g7a1 g1h2 d7d6 e6e8 h8g7 b6b7 a1f6 e8e4 d6d8 c6d8 f6d8 f3f4 g7f7 e4e3 d8b6 e3f3 b6b7 f4f5 f7f6 h2g1 b7b2 g1h2 h5h4 h2g1 b2e2 g1h2 e2e1 f3h3 f6f5 h3f3 f5g4 f3h3 e1g3 h3g3 h4g3 h2h1 g4f4 h1g1 f4e3 g1h1 e3e2 h1g1 h7h6 g1h1 h6h5 h1g1 h5h4 g1h1 e2e3 h1g1 e3e4 g1h1 e4f4 h1g1 f4e3 g1h1 h4h3 h1g1 e3e2 g2h3 e2f3 g1f1
Wch U12,Szeged,1994.??.??,6,"Jedynak, Radoslaw","Ponomariov, Ruslan",1/2-1/2,2070,,D40,d2d4 d7d5 c2c4 e7e6 b1c3 c7c5 e2e3 g8f6 g1f3 b8c6 f1e2 d5c4 e2c4 c5d4 f3d4 c6d4 e3d4 a7a6 c1g5 f8e7 e1g1 b7b5 c4b3 c8b7 d1d2 e8g8 f1d1 b5b4 c3a4 f6d5 g5e7 d8e7 a4c5 a6a5 a2a3 b4a3 a1a3 b7c6 b3a4 d5b4 a4c6 b4c6 c5b3 f8d8 b3a5 c6d4 a3d3
Wch U12,Szeged,1994.??.??,7,"Ponomariov, Ruslan","Aronian, Levon",0-1,,,B53,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 d1d4 a7a6 c2c4 b8c6 d4d2 g7g6 b2b3 f8g7 b1c3 g8f6 c1b2 e8g8 f1e2 d8a5 c3d5 a5d2 f3d2 f6d5 b2g7 g8g7 c4d5 c6d4 a1c1 c8d7 c1c7 d7b5 e2c4 b5c4 c7c4 a8c8 h1f1 c8c4 d2c4 f7f5 e4f5 f8f5 c4e3 f5e5 e1d2 d4f5 e3f5 g6f5 f2f4 e5d5 d2e3 g7f6 h2h3 h7h5 f1f2 f6e6 f2b2 d5c5 e3d4 c5c1 b2e2 e6d7 d4d3 c1d1 d3e3 b7b5 e2c2 a6a5 e3e2 d1a1 e2f3 d7e6 c2d2 a1f1 f3e3 e6f6 d2d5 f1a1 d5b5 a1a2 e3f3 e7e5 f4e5 d6e5 g2g3 e5e4 f3e3 a2g2 b5b6 f6g5 h3h4 g5g4 b6g6 g4h3 g6g5 g2g3 e3e2 f5f4 g5a5 h3h4 a5a4 g3b3 a4e4 b3e3 e4e3 f4e3 e2e3 h4g3 e3e2 g3g2
Wch U12,Szeged,1994.??.??,8,"Ganguly, Surya Shekhar","Ponomariov, Ruslan",1/2-1/2,2130,,B11,e2e4 c7c6 g1f3 d7d5 b1c3 c8g4 h2h3 g4f3 d1f3 d5e4 c3e4 b8d7 d2d4 g8f6 f1c4 e7e6 c2c3 f6e4 f3e4 d7f6 e4f3 f6d5 c1d2 f8e7 f3g3 e7f6 e1g1 d8b6 b2b4 e8g8 c4d3 a7a5 a2a3 a5b4 a3b4 a8a7 a1a7 b6a7 c3c4 a7a2 c4d5 a2d2 d5e6 f7e6 g3e3 d2a2 e3e4 g7g6 b4b5 a2d5 b5c6 b7c6 e4e2 d5d4 e2e6 g8g7 e6e4 f8d8 e4d4 d8d4 d3a6 d4a4 a6d3 c6c5 f1c1 f6d4 g1f1 g7f6 f1e2 f6e5 d3c4 e5e4 g2g3 a4b4 c1c2 b4a4 c4g8 h7h6 g8c4 g6g5 h3h4 g5h4 g3h4 a4a3 c4e6 e4f4 h4h5 a3f3 e6f7 f3f2 e2d3 f2f1 d3c4 f4e5 c2e2 e5d6 f7g6 f1f3 e2c2 f3f4 c2d2 f4f3 d2c2 f3e3 g6d3 e3h3 d3g6 h3a3 g6e8 a3e3 e8f7 d6e5 f7g6 e3a3 c2e2 e5f4 e2c2 f4e3 c4d5 a3a4 c2c4 a4a6 c4c2 a6b6 c2c4 e3d2 c4c2 d2d1 c2c4 d4e3 g6c2 d1c1 c2g6 c1b2 g6f7 b6b7 f7e6 e3d4 d5c6 b7e7 c6d6 e7g7 d6c6 g7g5 e6f7 g5f5 f7g6 f5f2 g6h7 f2f8 h7e4 f8e8 e4g6 e8e7 c6b5 b2b3 g6c2 b3a3 c2g6 e7b7 b5c6 b7b8 g6f7 b8f8 f7e6 f8f6 c6d7 a3b2 d7e7 f6f4 e7d6 f4h4 e6f7 h4h3 d6c6 h3f3 f7e6 f3f6 c6d7 b2a3 d7e7 a3b3 c4c5 f6e6 e7e6 d4c5 e6e5
