Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Wch U20 prel-B,Antwerp,1955.??.??,1,"Portisch, Lajos","Donia, M.",1-0,,,E30,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 c1g5 c7c5 d4d5 e6d5 c4d5 d7d6 e2e3 c8f5 d1f3 f5g6 f1b5 b8d7 h2h4 h7h6 g5f6 d8f6 f3f6 g7f6 g1e2 a7a6 b5d7 e8d7 e1c1 g6h5 f2f3 f6f5 e2f4 h5g6 h1e1 a8e8 e1e2 e8e7 d1h1 h6h5 h1h3 e7e8 h3g3 h8g8 c3d1 b4a5 d1f2 a5d8 g3h3 d8f6 h3h1 e8e7 f2d3 g8e8 c1d2 c5c4 f4g6 f7g6 d3f4 f6b2 f4g6 c4c3 d2d3 e7h7 g6f4 b7b5 d3c2 a6a5 f4d3 h7e7 d3b2 c3b2 h1e1 e7e5 e3e4 f5e4 f3e4 e8g8 c2d3 g8g4 e2b2 b5b4 b2f2 d7c7 f2f7 c7b6 a2a4 g4g2 e1c1 g2g3 d3d4 g3c3 c1c3 b4c3 f7d7 e5e6 d5e6 c3c2 d7d6 b6c7 d6d5 c2c1q d5c5 c1c5 d4c5 c7c8 c5c6 c8d8
Wch U20 final-A,Antwerp,1955.??.??,1,"Farre Mallofre, Miguel","Portisch, Lajos",1-0,,,E62,g1f3 g8f6 c2c4 g7g6 g2g3 f8g7 f1g2 e8g8 e1g1 d7d6 d2d4 b8c6 b1c3 c8g4 h2h3 g4f3 g2f3 f6d7 e2e3 e7e5 d4e5 d6e5 a1b1 f7f5 d1d5 f8f7 f1d1 e5e4 f3e2 d8f8 d5b5 a8b8 c3d5 d7e5 b2b4 c6d8 b5a4 d8e6 d5f4 e6g5 g1g2 f8c8 c1b2 g5f3 h3h4 g7f6 a4a7 b8a8 a7c5 a8a2 f4d5 f6h8 d5e7 f7e7 c5e7 e5c6 e7d7 c8d7 d1d7 h8b2 b4b5 c6e5 d7c7 b2a3 e2f3 e4f3 g2g1 e5g4 b1f1 a2c2 c7b7 c2c4 b5b6 a3d6 b7d7 d6e5 f1b1 c4c8 b6b7 c8e8 b1c1 g4f6 c1c8 g8f8 d7d8 e8d8 c8d8 f8e7 b7b8q e5b8 d8b8 h7h5 b8b7 e7f8 g1f1 f6e4 f1e1 e4c5 b7b5 c5e4 b5b7 e4c5 b7c7 c5d3 e1f1 d3e5 c7c5 e5d7 c5c4 f8e7 c4f4 d7e5 e3e4 f5e4 f4e4 e7d6 e4d4 d6e6 f1e1 e6e7
Wch U20 prel-B,Antwerp,1955.??.??,2,"Johannsson, Ingi Randver","Portisch, Lajos",0-1,,,E15,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8a6 d1a4 f8e7 f1g2 c7c6 f3e5 e8g8 b1c3 d8e8 b2b4 d7d5 b4b5 a6b7 c4d5 f6d5 c3d5 c6d5 a4b3 b8d7 c1f4 a7a6 b5a6 b7a6 g2f3 d7e5 f4e5 e8c6 e1g1 a6c4 f1c1 b6b5 b3c2 a8a3 c1b1 f8a8 b1b2 b5b4 a1e1 c6a4 c2d2 a3a2 e2e4 a2b2 d2b2 a4a3
Wch U20 final-A,Antwerp,1955.??.??,2,"Spassky, Boris V","Portisch, Lajos",1-0,,,E30,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 c1g5 h7h6 g5h4 c7c5 d4d5 b7b5 d5e6 f7e6 c4b5 e8g8 e2e3 b4c3 b2c3 d8a5 h4f6 f8f6 d1d2 d7d5 g1f3 c5c4 a1b1 a7a6 b5b6 c8b7 f1e2 b8d7 e1g1 b7c6 f3d4 e6e5 b6b7 a8b8 d4c6 f6c6 b1b4 d7f6 f1b1 f6e4 d2c2 e4d6 c2g6 a5c5 g6h5 d6f7 e2d1 e5e4 d1a4 g7g6 h5h3 c6f6 h3g3 c5d6 b4b6 d6g3 h2g3 g8g7 b6f6 g7f6 a4c6 f6e5 b1d1 f7d8 c6d5 d8b7 d5c4
Wch U20 prel-B,Antwerp,1955.??.??,3,"Portisch, Lajos","Tringov, Georgi P",1/2-1/2,,,E97,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 e1g1 b8c6 c1e3 f6g4 e3g5 f7f6 g5c1 f6f5 c1g5 d8d7 d4e5 g4e5 f3e5 d6e5 c4c5 c6d4 e2c4 g8h8 f2f4 h7h6 g5h4 f5e4 f4e5 d4f5 h4f6 g7f6 e5f6 d7d1 c3d1 c8d7 f6f7 d7c6 f1e1 a8d8 d1c3 d8d2 b2b4 e4e3 e1e2 d2d4 c4b3 d4b4 c3d1 f5d4 e2e3 d4b3 a2b3 a7a6 d1b2 b4d4 b2c4 h8g7 c4e5 c6d5 c5c6 b7c6 a1a6 d4d2 e3g3 d5f7 a6c6 d2d5 e5f3 d5d7 b3b4 g6g5 h2h4 f7d5
Wch U20 final-A,Antwerp,1955.??.??,3,"Portisch, Lajos","Van Oosterom, Joop",1-0,,,A44,d2d4 c7c5 d4d5 e7e5 e2e4 d7d6 f1d3 g7g6 g1e2 g8f6 c2c3 f8g7 e1g1 d8a5 b1a3 a5c7 f2f4 b8d7 g1h1 e8g8 a3b5 c7b8 c3c4 a7a6 b5c3 e5f4 c1f4 d7e5 e2g3 e5d3 d1d3 f6d7 g3f5 d7e5 d3g3 f7f6 f5g7 g8g7 g3e3 e5g4 e3d2 f8f7 c3a4 b7b6 b2b4 c8d7 a4b2 g4e5 f4e5 d6e5 b4c5 b6c5 b2d3 b8d6 d2a5 d7g4 f1f2 f7b7 h2h3 g4c8 a1f1 f6f5 a5c3 b7e7 f2e2 f5e4 e2e4 c8f5 e4e5 e7e5 d3e5 d6f6 c3g3 f6d6 f1f5
Wch U20 final-A,Antwerp,1955.??.??,4,"Tringov, Georgi P","Portisch, Lajos",1/2-1/2,,,B88,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f1c4 e7e6 c4b3 a7a6 e1g1 d8c7 c1e3 c6e5 d1e2 b7b5 f2f4 e5g4 h2h3 g4e3 e2e3 e6e5 d4e2 c8e6 c3d5 e6d5 e4d5 f8e7 g1h1 e8g8 e2g3 f6d7 c2c3 e5f4 e3f4 g7g6 a1e1 d7e5 f4d4 c7d8 g3e4 a8c8 e1e2 f7f5 e4f2 e7f6 d4d1 g8h8 f2d3 e5d3 d1d3 f6e5 g2g3 d8g5 h1g2 c8e8 b3d1 f5f4 g3g4 e8e7 d3f3 f8e8 f1e1 e7c7 e2e4 e8c8 d1b3 g5f6 e1e2 h8g7 e2e1 c8f8 e1f1 f8c8 f1e1 c8h8 b3d1 c7c5 e4e2 h7h5 g4h5 h8h5 g2f1 c5c8 e2g2 h5h6 e1e2 c8h8 g2h2 h8f8 e2g2 g7h8 g2g4 b5b4 c3b4 e5b2 d1c2 b2e5 h2g2 f8g8 a2a4 g8g7 b4b5 a6b5 a4b5 g7a7 g4g6 a7a1 f1e2 f6f8 g2g5 h6g6 g5g6 e5g7 g6e6 f8f7 f3g4 f4f3 e2f2 f7a7 e6e3 g7h6
Wch U20 prel-B,Antwerp,1955.??.??,4,"Johannessen, Svein","Portisch, Lajos",1/2-1/2,,,C63,e2e4 e7e5 g1f3 b8c6 f1b5 f7f5 b1c3 g8f6 d2d4 e5d4 f3d4 f5e4 e1g1 f8e7 f1e1 e8g8 c3e4 c6d4 d1d4 d7d5 e4f6 e7f6 d4d1 c8f5 c2c3 d8d6 c1e3 a8d8 b5d3 f5d3 d1d3 c7c5 a1d1 g8h8 d3b5 b7b6 b5a4 d5d4 c3d4 c5d4 e3d2 a7a5 b2b4 f6e5 g2g3 d6f6 f2f4 e5d6 b4a5 d6c5 e1e5
Wch U20 final-A,Antwerp,1955.??.??,5,"Portisch, Lajos","Johannessen, Svein",1-0,,,B04,e2e4 c7c6 d2d4 g8f6 e4e5 f6d5 c2c4 d5c7 g1f3 d7d6 f1e2 g7g6 e1g1 f8g7 b1c3 e8g8 e5d6 d8d6 c3e4 d6d8 h2h3 b8d7 c1f4 c6c5 f4e3 f7f5 e4c5 d7c5 d4c5 g7b2 a1b1 b2g7 d1c1 e7e5 f1d1 d8e8 e3h6 e5e4 f3d4 e8e7 h6g7 g8g7 c1b2 g7g8 c5c6 b7b6 d4b5 c7e8 c4c5 e8f6 e2c4 g8h8 c5b6 a7b6 b5d6 f5f4 b2b6 e4e3 f2e3 f4f3 d6c8 a8c8 g2f3 e7e5 c4f1 e5g5 f1g2 c8a8 d1d2
Wch U20 prel-B,Antwerp,1955.??.??,5,"Portisch, Lajos","Muller, Vilhelm",1-0,,,D36,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c4d5 e6d5 c1g5 b8d7 e2e3 c7c6 d1c2 h7h6 g5h4 f8e7 f1d3 d7b6 g1f3 c8e6 e1g1 e8g8 f3e5 b6d7 f2f4 d7e5 d4e5 f6e8 h4e7 d8e7 c3e2 f7f5 e2d4 g7g6 a1c1 a8c8 c2c5 e7c5 c1c5 g8f7 b2b4 a7a6 a2a4 e8g7 f1c1 e6d7 g1f2 g7e6 d4e6 f7e6 g2g4 f8g8 c1g1 e6f7 h2h3 f7e6 c5c1 e6f7 a4a5 h6h5 g4f5 g6f5 d3e2 h5h4 e2h5 f7e7 g1g8 c8g8 c1g1 g8g1 f2g1 e7f8 g1f2 f8g7 f2e2 g7f8 e2d3 c6c5 b4c5 d7b5 d3d4 b5f1 d4d5 f8e7 h5f3 f1h3 e3e4 f5e4 d5e4 e7e6 e4e3 h3f1 f3b7 h4h3 e3f2 f1b5 c5c6 b5c4 c6c7
