Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
URS-ch U26,Vilnius,1978.??.??,1,"Petrosian, Arshak B","Psakhis, Lev",0-1,2415,2480,A47,g1f3 b7b6 d2d4 c8b7 c1f4 g8f6 e2e3 g7g6 f1e2 f8g7 h2h3 c7c5 e1g1 e8g8 b1d2 b8c6 c2c3 d7d5 f3e5 f6d7 e5d7 d8d7 d2f3 a8d8 a2a4 f7f6 c3c4 c5d4 e3d4 d5c4 e2c4 g8h8 f4e3 c6a5 c4b5 d7f5 b2b4 a5c6 d1b3 e7e5 d4e5 f6e5 a1c1 c6d4 e3d4 e5d4 b5c6 b7c6 c1c6 d4d3 f1d1 f8e8 c6c7 e8e2 c7f7 f5e4 f3g5 e2e1 d1e1 e4e1 g1h2 e1e5 f2f4 e5d5 b3d1 h7h6 f7g7 h8g7 d1a1 g7g8 a1f6 h6g5 f6g6 g8f8
URS-ch U26,Vilnius,1978.??.??,2,"Yurtaev, Leonid","Psakhis, Lev",0-1,2375,2480,B27,e2e4 c7c5 g1f3 b7b6 d2d4 c5d4 f3d4 c8b7 b1c3 d7d6 f1d3 b8d7 e1g1 g8f6 f2f4 g7g6 e4e5 d6e5 f4e5 d7e5 d3b5 f6d7 c1f4 f8g7 f4e5 g7e5 d1g4 e8g8 b5d7 h7h5 g4h4 d8d7 a1d1 d7c7 d1d2 a8d8 f1d1 c7c5 g1h1 e5f6 h4f2 d8d6 c3b5 d6d7 f2e1 f8d8 c2c3 e7e5 d4e6
URS-ch U26,Vilnius,1978.??.??,3,"Psakhis, Lev","Vladimirov, Evgeny",0-1,2480,2445,A01,b2b3 e7e5 c1b2 d7d6 g2g3 g7g6 f1g2 f8g7 c2c4 g8e7 b1c3 e8g8 d2d3 c7c5 d1d2 b8c6 e1c1 c8e6 f2f4 d6d5 c4d5 e7d5 g1h3 c6b4 g2d5 e6d5 c3d5 d8d5 c1b1 a7a5 f4e5 a5a4 h3f4 d5c6 b3a4 c6a4 a2a3 a4b3 d2c3 a8a3 c3b3 a3b3 b1c1 b7b5 h1f1 f8e8 f1f3 g7e5 b2e5 e8e5 d3d4 b3f3 e2f3 c5d4 d1d4 b4c6 d4d3 g8g7 c1d2 c6a5 d2c3 a5c4 c3d4 e5e1 f4d5 e1h1 d5c7 h1h2 c7b5 c4d2 d4e5 d2f3 e5f4 f3g5 d3d7 h2f2 f4g4 h7h5
URS-ch U26,Vilnius,1978.??.??,4,"Dolmatov, Sergey","Psakhis, Lev",1/2-1/2,2495,2480,A31,e2e4 c7c5 g1f3 b7b6 c2c4 c8b7 b1c3 d7d6 d2d4 c5d4 f3d4 g8f6 f2f3 e7e6 f1e2 f8e7 e1g1 e8g8 c1e3 b8d7 d1d2 a7a6 f1d1 f8e8 e2f1 d8c7 a1c1 a8c8 d2f2 c7b8 d4b3 b7a8 g1h1 e7d8 f2g3 d7e5 b3d2 a8c6 f3f4 e5g6 b2b4 c6b7 c4c5 d6c5 b4c5 b6c5 e4e5 f6d5 c3d5 b7d5 f1a6 g6h4 d1g1 c8c6 a6c4 d8e7
URS-ch U26,Vilnius,1978.??.??,5,"Psakhis, Lev","Kharitonov, Andrei Y",1/2-1/2,2480,2435,B15,e2e4 g7g6 d2d4 f8g7 b1c3 c7c6 g1f3 d7d5 h2h3 g8f6 f1d3 d5e4 c3e4 f6e4 d3e4 b8d7 e1g1 e8g8 c1g5 d8b6 f1e1 d7f6 d1c1 c6c5 d4c5 b6c5 e4d3 c8e6 g5h6 e6d5 h6g7 g8g7 c1f4 d5f3 f4f3 c5c7 a2a3 f8d8 a1d1
URS-ch U26,Vilnius,1978.??.??,6,"Agzamov, Georgy","Psakhis, Lev",1-0,2390,2480,B27,e2e4 c7c5 g1f3 b7b6 d2d4 c5d4 f3d4 c8b7 b1c3 a7a6 c1g5 d8c7 f1d3 e7e6 e1g1 f8c5 d4b3 c5d6 g1h1 g8f6 d1e2 b8c6 g5e3 d6e5 c3a4 b6b5 a4b6 a8b8 c2c3 e5f4 e3f4 c7f4 a2a4 c6e5 f2f3 f4h4 d3c2 e8g8 a4a5 f6h5 e2f2 h4e7 f1d1 d7d6 d1d4 b8d8 a1d1 g7g5 f2d2 e7f6 b3c5 e5f3 g2f3 f6f3 d2g2 f3f6 c5b7 h5f4 g2f2 d8b8 b6d7 f6e7 d7b8 e7b7 d4d6 b7b8 f2b6
URS-ch U26,Vilnius,1978.??.??,7,"Psakhis, Lev","Rastenis, Gedeminas",1/2-1/2,2480,2200,B42,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 a7a6 f1d3 g7g6 e1g1 f8g7 c2c3 d8c7 c1g5 d7d6 b1d2 g8f6 f2f4 h7h6 g5f6 g7f6 f4f5 g6f5 d1h5 c7c5 g1h1 f5f4 e4e5 c5e5 d4f5 d6d5 a1e1 e5c7 f5h6 b8c6 d2f3 c7e7 g2g4 f4g3 f3d4 c6d4 c3d4 c8d7 f1f4 e8c8 e1f1 h8h6 h5h6 f6g5 f4f7 e7f7 h6g5 f7g8 g5g3 g8g3 h2g3 d8g8 h1g2 g8g4 f1f4 g4f4 g3f4 c8d8 g2f3 d8e7 f3e3 e7f6 e3d2 d7e8 d2c3 e8g6 d3f1 a6a5 b2b4 b7b6 a2a3 g6e8 c3d2 e8d7 d2e3 d7a4 f1h3
URS-ch U26,Vilnius,1978.??.??,8,"Mikhalchishin, Adrian","Psakhis, Lev",1/2-1/2,2460,2480,B27,e2e4 c7c5 g1f3 b7b6 d2d4 c5d4 f3d4 c8b7 b1c3 d7d6 c1g5 b8d7 c3d5 a7a6 d1f3 d8c8 d4f5 g7g6 d5e7 f8e7 f5g7 e8f8 g7e6 f8e8 e6g7 e8f8 g7e6 f8e8 e6g7 e8f8 g7e6
URS-ch U26,Vilnius,1978.??.??,9,"Psakhis, Lev","Jussupow, Artur",1/2-1/2,2480,2450,C42,e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5f3 f6e4 d2d4 d6d5 f1d3 f8e7 e1g1 b8c6 f1e1 c8g4 c2c4 e4f6 c4d5 f6d5 b1c3 e8g8 d3e4 g4e6 d1c2 h7h6 e4h7 g8h8 h7f5 c6b4 c2b1 e6f5 b1f5 d8c8 f5h5 d5f6 h5h4 e7d8 e1e2 c8f5 h4f4 f5f4 c1f4 b4d5 f4e5 d5c3 b2c3 f6d7 e5g3 c7c6 g3d6 f8g8 a1b1 b7b5 a2a4 a7a6 c3c4 d8f6 g2g4 b5c4 b1b7 a8d8 f3e5 d7e5 d4e5 g8e8 g1f1 h8g8 f2f4 g7g5 f4f5 c4c3 b7c7 f6e5 d6e5 d8d1 f1f2 d1d2 c7c6 e8e5 e2d2 c3d2 c6d6 e5e4 f2g3 e4a4 d6d2 a4a3 g3g2 g8g7 d2d6 a3a5 g2g3 h6h5 g4h5 a5f5 d6a6 f5f4 a6a5 f7f6 a5a7 g7h6 a7f7 h6h5 h2h4 h5g6 h4g5 g6f7 g5g6
URS-ch U26,Vilnius,1978.??.??,10,"Panchenko, Alexander N","Psakhis, Lev",1-0,2495,2480,B27,e2e4 c7c5 g1f3 b7b6 d2d4 c5d4 f3d4 c8b7 b1c3 d7d6 c1g5 b8d7 f1c4 a7a6 d1e2 b6b5 c4d5 d8c8 e1g1 g8f6 a1d1 e7e6 d4e6 f7e6 d5e6 c8c5 c3d5 b7d5 e4d5 e8c8 d1d3 c8b7 d3c3 c5d4 a2a4 d4e5 g5e3 d7c5 a4b5 a6a5 b5b6 f8e7 f1a1 d8a8 e2b5 a8a6 b5c6 b7b8 c6c7 b8a8 b6b7 c5b7 c7c8
