Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
ARG-ch,Buenos Aires,1966.??.??,1,"Garcia, Raimundo","Quinteros, Miguel A",1/2-1/2,,,E74,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f1e2 e8g8 c1g5 c7c5 d4d5 h7h6 g5f4 d8a5 f4d2 e7e6 g1f3 e6d5 c4d5 f8e8 e1g1 a5c7 d1c2 a7a6 a2a4 c8g4 a4a5 b8d7 h2h3 g4f3 e2f3 e8b8 f3e2 f6e8 a1a2 b7b5 a5b6 c7b6 f1a1 e8c7 g1h1 b6b3 c2c1 g8h7 c3d1 b3b7 d2c3 c7b5 c3g7 h7g7 d1c3 b5d4 e2a6 b7b4 c1f1 d7f6 a6d3 b4b7 f1d1 a8a2 a1a2 b8a8 a2a8 b7a8 c3e2 d4e2 d1e2 a8b8 d3c4 b8e8 c4d3 e8e5 g2g3 g6g5 h1g2 f6d7 e2c2 e5f6 d3e2 d7e5 e2g4 e5g4 h3g4 f6e7 b2b4 c5b4 c2b2 e7e5 b2b4 g7h7 b4c4 h7g7 c4d3 e5b2 g2f3 b2a1 f3e2 a1b2 e2e3 b2c1 d3d2 c1a3 e3e2 a3a1 d2b4 a1a6 e2e3 f7f6 b4c3 a6a7 e3f3 a7a6 f3g2 a6b6 c3c8 b6b4 c8e8 b4b7 e8d8 b7b4 d8e7 g7g6 e7e8 g6g7 e8e6 b4b8 e6d7 g7g6 d7a4 g6g7 a4a3 b8c7 a3d3 c7d7 g2h3 d7a7 d3c2 a7b6 h3g2 b6a7 c2c8 a7e7 c8e6 e7c7 e6e8 c7b7 e8c6 b7b8 c6c3 b8a7 f2f4 a7a2 g2f3 a2b1 f3f2 g5f4
ARG-ch,Buenos Aires,1966.??.??,3,"Quinteros, Miguel A","Bazan, Osvaldo",1/2-1/2,,,A36,g2g3 c7c5 f1g2 b8c6 c2c4 g7g6 b1c3 f8g7 e2e3 d7d6 g1e2 e7e5 a2a3 a7a5 d2d3 g8e7 a1b1 e8g8 e1g1 a8b8 h2h3 c8e6 d1b3 d8d7 g1h2 f8d8 c3d5 b7b5 b3d1 b5b4 a3a4 f7f5 b2b3 e6f7 c1b2 e7d5 g2d5 f7d5 c4d5 c6e7 e3e4 e7c8 b2c1 d8f8 h2g2 c8b6 c1e3 b8e8 d1d2 d7e7 f2f3 b6d7 g3g4 f5f4 e3f2 g7f6 f1h1 f6h4 f2h4 e7h4 d2e1 g6g5
ARG-ch,Buenos Aires,1966.??.??,4,"Behrensen, Jorge","Quinteros, Miguel A",0-1,,,E61,d2d4 g8f6 c2c4 d7d6 b1c3 g7g6 g1f3 f8g7 h2h3 e8g8 c1f4 c7c6 e2e3 a7a6 a2a4 a6a5 f1e2 f6d7 e1g1 e7e5 f4h2 f7f5 d1b3 g8h8 a1d1 d8e7 b3a3 f8e8 d1d2 b8a6 c3a2 g7f8 a3c3 e5e4 f3e1 b7b6 e1c2 e7f6 c3b3 c8b7 a2c3 f6d8 f2f3 e4f3 e2f3 d7f6 d2e2 f8g7 b3a3 d6d5 c4d5 f6d5 f3d5 c6d5 c3b5 g7f8 a3b3 b7c6 c2a3 f8g7 e2c2 d8d7 f1c1 e8e6 c2c3 a6b4 b5c7 c6a4 c7a8 a4b3 c3c8 e6e8 a8b6 e8c8 c1c8 d7c8 b6c8 b4d3 c8b6 d3b2 b6d7 b2c4 a3c4 d5c4 h2c7 a5a4 c7a5 f5f4 a5c3 f4e3 g2g4 h8g8 g4g5 g8f7 g1f1 b3d1 f1e1 e3e2 d7b6 a4a3 b6c4 g7f8 d4d5 a3a2 c4e5 f7g8 e5d3 d1b3 e1e2 b3c4 d5d6 f8d6 e2d2 c4d3 d2d3 d6f8
ARG-ch,Buenos Aires,1966.??.??,5,"Quinteros, Miguel A","Rubinetti, Jorge A",1-0,,,E32,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 e8g8 c1g5 d7d6 g1f3 b8d7 f3d2 h7h6 g5h4 b7b6 a2a3 b4c3 c2c3 c8b7 h4g3 d8e7 e2e3 a7a5 b2b3 e6e5 d4d5 c7c6 e3e4 c6d5 e4d5 b6b5 f1e2 b5c4 b3c4 d7c5 c3e3 f8e8 e1g1 b7c8 f1e1 c8f5 f2f4 f6d7 d2f3 f7f6 f3h4 f5e4 e2h5 e8b8 h4g6 e7d8 f4e5 d6e5 d5d6 b8b3 e3e2 d8b6 g3f2 b3b2 e2e4 c5e4 f2b6 b2b6 e1e4 b6d6 e4e1 d7c5 e1d1 a8d8 d1d6 d8d6 g6e7 g8f8 e7f5 d6d8 a1b1 c5e4 h2h4 e4c5 b1b5
ARG-ch,Buenos Aires,1966.??.??,6,"Pelikan, Jorge","Quinteros, Miguel A",1-0,,,A68,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f4 c7c5 d4d5 e8g8 g1f3 e7e6 f1e2 e6d5 c4d5 b7b5 e4e5 d6e5 f4e5 f6g4 c1f4 b8d7 e5e6 f7e6 d5e6 f8f4 d1d5 g8h8 d5a8 d7b6 a8a7 c8e6 a1d1 g7d4 c3b5 g4e3 b5d4 e3g2 e1f2 d8h4 f2g1 h4g4 f3e5 g4h3 d4f3 g2e3 g1f2 e3d1 h1d1 h3h2 f2e1 h2g3 e1d2 b6d5 a7c5 d5f6 c5f8 f6g8 e5g6 h7g6 d1h1 e6h3 h1h3 g3h3 f8f4 h3c8 f4d4 h8h7 f3g5 h7h6
ARG-ch,Buenos Aires,1966.??.??,7,"Quinteros, Miguel A","Bronstein, Luis",1-0,,,E55,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 d7d5 e2e3 c7c5 a2a3 b4c3 b2c3 e8g8 g1f3 b7b6 f1d3 d5c4 d3c4 c8b7 e1g1 b8d7 c2e2 d8e7 f3e5 d7e5 d4e5 f6d7 f2f4 b7e4 c1b2 a8d8 a1d1 d7b8 c4b5 h7h6 c3c4 d8d1 f1d1 f8d8 d1d2 a7a6 b5a4 b8c6 b2c3 d8d2 e2d2 e7d8 g1f2 d8d2 c3d2 c6a7 a4b3 g8f8 g2g4 f8e7 f2e2 e7d7 h2h4 d7c6 h4h5 a7c8 d2e1 b6b5 e1h4 c8b6 c4b5 a6b5 h4e7 c5c4 b3d1 b6d7 e2d2 c6d5 d2c3 f7f6 e5f6 g7f6 d1e2 e6e5 a3a4 d5e6 e7a3 e5f4 e3f4 b5a4 e2c4 e4d5 c4b5 d5f3 f4f5 e6e5 b5d7 f3g4 d7e8 e5f5 a3c1
ARG-ch,Buenos Aires,1966.??.??,8,"Figueroa, Eduardo","Quinteros, Miguel A",1-0,,,B23,e2e4 c7c5 b1c3 b8c6 g2g3 e7e6 f1g2 g8e7 g1e2 g7g6 d2d4 c5d4 e2d4 a7a6 e1g1 f8g7 c1e3 e8g8 a2a4 d8c7 d4c6 b7c6 e3c5 d7d5 a4a5 f8e8 c5b6 c7b8 c3a4 c8b7 f1e1 e7c8 b6c5 e8d8 d1d2 g7f8 e4e5 f8c5 a4c5 c8a7 a1a4 b8c7 a4h4 h7h5 d2h6 c7e7 b2b4 a8b8 g2f3 e7f8 h6g5 b7a8 c5e6 f8e8 e6f4 e8d7 e5e6 f7f6 g5g6 d7g7 g6h5
ARG-ch,Buenos Aires,1966.??.??,9,"Quinteros, Miguel A","Chemes, L.",1-0,,,D43,c2c4 e7e6 b1c3 d7d5 d2d4 g8f6 g1f3 b8d7 g2g3 c7c6 f1g2 f8b4 d1b3 d8e7 e1g1 e8g8 c4c5 b4c3 b3c3 f6e4 c3c2 e6e5 e2e3 f7f5 f3e1 e4g5 d4e5 e7c5 c2d1 d7b6 b2b3 c5e7 e1d3 c8e6 a2a4 f8d8 c1a3 e7e8 a3c5 g5e4 c5d4 a8c8 a1c1 e8f7 f2f3 e4g5 h2h4 h7h6 h4g5 h6g5 d3c5
ARG-ch,Buenos Aires,1966.??.??,10,"Garcia, JM.","Quinteros, Miguel A",0-1,,,A26,g1f3 g8f6 c2c4 g7g6 b1c3 f8g7 g2g3 e8g8 f1g2 d7d6 e1g1 e7e5 d2d3 b8c6 c1d2 h7h6 a1b1 c8e6 e2e4 d8d7 c3d5 f6e8 d2e3 c6d8 c4c5 f7f5 d1c1 g6g5 g1h1 e6d5 e4d5 f5f4 c5c6 b7c6 d5c6 d7f7 g3f4 e5f4 e3d4 g5g4 d4g7 e8g7 f3h4 f7h5 c1c4 g8h8 g2d5 h5h4 b1e1 f8f5 f1g1 h4g5 d5f3 h6h5 c4c3 d8f7 d3d4 d6d5 f3d1 g5f6 d1c2 f5g5 c3d3 g7f5 h2h4 g5g7 g1g2 f5d4
ARG-ch,Buenos Aires,1966.??.??,11,"Quinteros, Miguel A","Pugach, Mario",1-0,,,A53,d2d4 g8f6 c2c4 d7d6 b1c3 b8d7 e2e4 e7e5 g1e2 a7a5 b2b3 c7c6 g2g3 f8e7 f1g2 e8g8 e1g1 f8e8 h2h3 e7f8 f1e1 g7g6 c1e3 f8g7 d1c2 d8e7 a1d1 h7h6 e3c1 e5d4 e2d4 d7c5 c1f4 f6h5 f4e3 g8h7 g1h2 h5f6 f2f3 f6d7 e3f2 d7f8 f3f4 f8e6 d4e2 e6c7 c2d2 g7f8 g3g4 c7a6 f2g3 c5d7 c3a4 a6c5 a4c3 c5a6 e2g1 e7f6 g1f3 a6c5 g3h4 f6g7 h4f2 g7f6 f2d4 f6e7 d2f2 c5e6 d4e3 f8g7 c3a4 e6f8 e3d4 d7f6 e4e5 d6e5 d4c5 e7e6 f3e5 f6g8 e5f3
