Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Wch U10,Menorca,1996.??.??,2,"Radjabov, Teimour","Dos Santos Fier, Alex",1-0,,,D00,d2d4 g8f6 e2e3 e7e6 f1d3 d7d5 f2f4 c7c5 c2c3 b8c6 g1f3 b7b6 e1g1 c8b7 f3e5 f8d6 b1d2 d8c7 d1e2 c5c4 d3c2 e8c8 b2b3 c4b3 a2b3 h7h5 c2d3 d6e5 f4e5 f6e8 c1a3 f7f6 e5f6 e8f6 e3e4 e6e5 f1f6 g7f6 e4d5 d8d5 d3e4 d5d8 d4d5 c6b8 e4f5 d8d7 c3c4 c8d8 d2e4 d7f7 a3d6 b8a6 d6c7
Wch U10,Menorca,1996.??.??,3,"Erwich, Marc","Radjabov, Teimour",1-0,,,C02,e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3 d8b6 g1f3 b8c6 a2a3 c5c4 g2g3 c8d7 f1h3 h7h6 e1g1 e8c8 f3e1 c6a5 b1d2 f8e7 e1g2 d8f8 f2f4 g7g6 g2e3 h6h5 f1e1 g8h6 e3f1 h6f5 h3g2 g6g5 f4g5 e7g5 d2c4 a5c4 c1g5 h8g8 g5c1 c4b2 c1b2 b6b2 e1e2 b2b6 a1b1 b6a6 c3c4 h5h4 c4d5 e6d5 g2d5 d7c6 d5c6 b7c6 e2b2 a6c4 b2b4 c4d5 d1d3 g8g5 b4b8 c8d7
Wch U10,Menorca,1996.??.??,4,"Radjabov, Teimour","Goguadze, Mikheil",1-0,,,A06,g1f3 d7d5 b2b3 c7c5 c1b2 f7f6 e2e3 e7e5 d2d4 e5e4 f3d2 c8e6 c2c4 b8c6 c4d5 e6d5 d4c5 g8e7 b1c3 e7g6 d2e4 d5e6 e4d6 f8d6 c5d6 d8d7 c3e4 e8c8 b2a3 g6e5 a1c1 c8b8 e4c5 d7f7 f1e2 h7h5 d1d2 g7g5 f2f4 g5f4 e3f4 e5g4 h2h3 g4h6 e2f3 f7e8 e1f2 e6d7 h1e1 e8f7 c5b7 d8c8 b7a5 h6g4 f2g1
Wch U10,Menorca,1996.??.??,5,"Harikrishna, Penteala","Radjabov, Teimour",1-0,,,A10,c2c4 f7f5 b1c3 g8f6 d2d3 e7e6 e2e4 d7d6 g2g3 b7b6 f1g2 c8b7 g1e2 g7g6 e1g1 d8d7 c1g5 f8e7 e2f4 c7c6 e4f5 e6e5 f4e6 g6f5 e6g7 e8f7 g7h5 f6g8 g5e7 g8e7 f2f4 h8f8 f4e5 d6e5 d1g4 f7e8 g4g7 d7d4 g1h1 b8d7 c3e4 e8d8 e4g5 d4d6 g7f8 d7f8 g5f7 d8d7 f7d6 d7d6 h5g7 b7c8 g2h3 f8g6 h3f5 e7f5 g7f5 c8f5 f1f5
Wch U10,Menorca,1996.??.??,7,"Radjabov, Teimour","Nakamura, Asuka",1-0,,,E60,g1f3 d7d6 d2d4 g8f6 b2b3 g7g6 c1b2 f8g7 g2g3 e8g8 f1g2 c7c6 e1g1 b8d7 c2c4 d8c7 b1c3 f8d8 d1c2 e7e5 f1d1 d8e8 e2e4 b7b6 b2a3 g7f8 d1d2 c8b7 a1d1 a8d8 d4e5 d6e5 a3d6 f8d6 d2d6 e8e7 c2d2 e7e8 f3e5 e8e5 d6f6 e5e8 f6d6
Wch U10,Menorca,1996.??.??,8,"Radjabov, Teimour","Catalino Sadorra, Jul",1-0,,,A49,g1f3 g8f6 b2b3 g7g6 c1b2 f8g7 g2g3 e8g8 f1g2 d7d6 d2d4 b8d7 e1g1 e7e5 d4e5 d6e5 f3e5 f6g4 e5d3 g7b2 d3b2 d8f6 c2c3 f8d8 d1c2 d7c5 b3b4 c5e6 b1d2 f6e7 d2f3 e6g7 f3d4 g7f5 d4f5 c8f5 e2e4 f5e6 h2h3 g4e5 c2e2 c7c5 f2f4 e5d7 b4b5 c5c4 b2c4 e6c4 e2c4 a8c8 c4b4 e7c5 g1h2 c5c3 b4c3 c8c3 f1d1 c3c7 d1d6 g8f8 a1d1 f8e7 g3g4 c7c2 a2a4 c2c4 e4e5 c4c7 a4a5 b7b6 a5b6 a7b6 g2c6 c7a7 d6d7 d8d7 d1d7 a7d7 c6d7 e7d7 f4f5 d7e7 h2g3 g6g5 g3f3 e7d7 f3e4 d7e7 e4d5 e7d7 e5e6
Wch U10,Menorca,1996.??.??,9,"Gashimov, Vugar","Radjabov, Teimour",1/2-1/2,2250,,B40,e2e4 e7e6 d2d4 c7c5 g1f3 c5d4 f3d4 g8f6 f1d3 b8c6 d4c6 b7c6 e1g1 d7d5 b1d2 f8e7 b2b3 d8c7 c1b2 e7d6 h2h3 c8b7 d1e2 d6e5 b2e5 c7e5 d3a6 b7a6 e2a6 e8g8 e4d5 e5c3 a6d3 c3d3 c2d3 c6d5 f1c1 a8c8 d3d4 f6d7 f2f4 f7f6 d2f3 g8f7 g1f2 f7e7 f2e3 e7d6 e3d3 d7b8 b3b4 b8d7 b4b5 d7b6
Wch U10,Menorca,1996.??.??,10,"Radjabov, Teimour","Chaparinov, Ivan",1-0,,,A04,g1f3 c7c5 b2b3 d7d6 c1b2 b8d7 g2g3 g8f6 f1g2 g7g6 e1g1 f8g7 d2d3 e8g8 b1d2 f6e8 b2g7 e8g7 f3e1 e7e5 c2c3 g7e6 e1c2 f7f5 e2e4 f5f4 d1e2 h7h5 h2h4 g8g7 d3d4 d8f6 g2h3 c5d4 h3e6 f6e6 c3d4 e6h3 e2f3 e5d4 c2d4 d7e5 f3g2 h3g4 a1c1 f4f3 g2h2 d6d5 f1e1 e5d3 c1c7 g7g8 e1e3 d3f4 d2f3 d5e4 e3e1 e4f3 e1e7 f8f7 e7f7 f4h3 h2h3 g4h3 d4f3 c8e6 f3g5 h3g4 f7g7 g8f8 g5h7 f8e8 h7f6
Wch U10,Menorca,1996.??.??,11,"Radjabov, Teimour","Hera, Imre Jr",1-0,,2065,B50,e2e4 c7c5 g1f3 e7e6 b2b3 d7d6 c1b2 g8f6 d2d3 b8c6 g2g3 e6e5 f1g2 g7g6 e1g1 f8g7 b1d2 e8g8 a2a4 h7h6 d2c4 c8e6 f3d2 d8d7 f2f4 e5f4 g3f4 d6d5 c4e5 c6e5 f4e5 f6e8 e4d5 e6d5 d2e4 d5e4 g2e4 d7e7 d1f3 g7e5 b2e5 e7e5 e4b7 a8b8 b7d5 e5d4 g1h1 g8g7 a1e1 e8f6 d5c4 f8e8 e1e8 b8e8 f3b7 e8f8 b7a7 d4e3 a7b7 e3e2 b7f3 e2f3 f1f3 f6g4 a4a5 g4e5 f3f1 e5c4 d3c4 f8a8 f1a1 g7f6 c2c3 f6e5 b3b4 c5b4 c3b4 e5d4 a1c1 a8b8 c4c5 b8b4 c5c6 b4b8 c6c7 b8c8 a5a6 d4d5 a6a7 d5d6 a7a8q c8a8 c7c8q a8c8 c1c8 d6e6 h1g2 e6f5 g2f3 f5g5 c8c5 g5h4 c5c7 f7f5 c7c6 h4g5 f3g3 f5f4 g3f3 g5h5 f3f4
EU-ch U10,Rimavska Sobota,1996.??.??,1,"Radjabov, Teimour","Anisimov, Pavel",1-0,,,D04,d2d4 g8f6 e2e3 g7g6 g1f3 f8g7 b2b3 d7d5 c1b2 e8g8 f1d3 b8c6 a2a3 c8g4 b1d2 e7e6 e1g1 f8e8 h2h3 g4f5 d3f5 e6f5 c2c4 g7h6 g2g3 d8e7 g1g2 a8d8 b3b4 d5c4 d2c4 e7e6 c4e5 f6d5 f1e1 c6e5 f3e5 f7f6 e5d3 e6e4 g2h2 b7b6 b4b5 g6g5 f2f3 e4e6 e3e4 d5e7 a3a4 h6g7 d4d5 e6d7 d1b3 g8h8 a4a5 f5e4 f3e4 e7g6 a1c1 g6e5 b2e5 f6e5 c1c6 d7f7 b3c2 d8d7 c2g2 e8f8 c6e6 d7e7 e1f1 f7e8 e6e7 e8e7 f1f8 e7f8 a5a6 h7h6 g2c2 f8f3 d3b2 g7f8 b2c4 f3f6 h2g2 f8c5 c2e2 h8g7 c4b2 g7f7 b2d3 c5d6 e2g4 f6g6 g4d7 f7f8 d3f2 g6e8 d7e8 f8e8 f2g4 h6h5 g4f6 e8e7 f6h5 d6b4 h5g7 b4d6 g7e6 d6b4 e6c7 e7d6 c7e6 b4d2 g2f3 d2c1 f3g4 c1d2 g4f5 d2c1 e6g5 c1g5 f5g5 d6c5 h3h4 c5b5 h4h5 b5a6 h5h6
