Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
FSIM December,Budapest HUN,2007.12.02,2,"Rapport,R","Horvath,And",1/2-1/2,2197,2312,B06,e2e4 g7g6 d2d4 f8g7 b1c3 c7c6 f1c4 d7d6 d1f3 e7e6 g1e2 b8d7 c1f4 b7b5 c4b3 d7b6 f3g3 b5b4 c3a4 g8f6 g3f3 c8a6 a4b6 a7b6 f4d6 d8d6 e4e5 d6d8 e5f6 g7f6 f3c6 e8f8 a1d1 f8g7 c6e4 a8a7 e1g1 a7d7 c2c3 b4c3 b2c3 d8c7 d1c1 h7h5 f1e1 a6b7 e4e3 h8c8 e2f4 g7h7 f4d3 c7c6 f2f3 c6d6 d3e5 d7c7 e3f4 f6g7 c1d1 c8d8 b3c2 h7g8 g1h1 b7d5 c2b1 d6e7 f4e3 b6b5 d1c1 d8c8 e3d2 e7a3 b1d3 c7c3 c1c3 a3c3 d2c3 c8c3 d3b5 d5a2 h2h3 c3c7
FSIM December,Budapest HUN,2007.12.03,3,"Vegh,E","Rapport,R",1/2-1/2,2303,2197,A65,d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 e2e4 g7g6 f1d3 f8g7 g1e2 e8g8 e1g1 f6g4 h2h3 g4e5 d3c2 b8a6 f2f4 e5d7 e2g3 c5c4 c1e3 d8a5 d1d2 b7b5 e4e5 d6e5 f4f5 e5e4 g3e4 b5b4 c3e2 g7e5 e3h6 c8b7 a1d1 f8e8 f5g6 h7g6 d2g5 a6c7 f1f7 a5b6 f7f2 e8f8 g5e7 b4b3 a2b3 c4b3 c2b1 c7d5 e7d7 a8d8 d7g4 d5e3 d1d8 e3g4 d8f8 g8h7 h3g4 b7e4 b1e4 h7h6 f8g8 e5g7 g1f1 h6h7 g8g7 h7g7 e2c3 b6e3 f2e2 e3c5 e4f3 a7a5 c3e4 c5c1 f1f2 a5a4 g4g5 a4a3 b2a3 c1a3 e4d2 a3c5 f2f1 c5c1 f1f2 c1c5 f2f1 c5c1 f1f2
FSIM December,Budapest HUN,2007.12.04,4,"Rapport,R","Kahn,E",0-1,2197,2314,A43,e2e4 d7d6 d2d4 g7g6 b1c3 f8g7 f2f4 b8d7 g1f3 c7c5 d4d5 a7a6 a2a4 d8c7 f3d2 g8f6 d2c4 e8g8 f1e2 a8b8 a4a5 b7b5 a5b6 d7b6 e1g1 b6c4 e2c4 b8b4 d1e2 f6d7 c4a6 c8a6 a1a6 c7b7 a6a2 f8a8 a2a8 b7a8 c3b1 a8a4 c2c3 b4e4 e2d3 f7f5 b1d2 e4f4 d2f3 d7e5 d3d2 e5f3 g2f3 f4h4 d2e1 g7f6 e1e2 a4c4 e2e6 g8g7 f1e1 h4h3 f3f4 c4d3 c1e3 d3c2 e3f2 h3f3 f2g3 f3d3 g3f2 d3d1 b2b4 d1e1 e6e1 c2c3 e1c3 f6c3 b4c5 d6c5 f2c5 g7f6 d5d6 e7d6 c5d6 f6e6 d6b8 c3b4 g1g2 b4d6 b8a7 d6f4 h2h3 g6g5 g2f3 f4c1 a7b6 h7h5 b6d8 g5g4 h3g4 h5g4 f3g3 e6d5 d8c7 d5e4 c7d6 c1b2 g3g2 b2e5 d6e7 f5f4 e7h4 f4f3 g2f2 g4g3
FSIM December,Budapest HUN,2007.12.05,5,"Cooke,E","Rapport,R",1-0,2253,2197,B79,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 c1e3 f8g7 f2f3 e8g8 f1c4 b8c6 d1d2 c8d7 e1c1 d8a5 c4b3 f8c8 h2h4 c6e5 h4h5 c8c3 b2c3 f6h5 g2g4 h5f6 e3h6 g7h6 h1h6 b7b5 d1h1 a5a3 c1d1 a3c5 h6h7 f6h7 d2h6 e7e6 g4g5 d7e8 b3e6 e5d7 h6h7 g8f8 e6d7 f8e7 d7e8 a8e8 h7g7 c5c4 g7f6 e7d7 h1e1 c4c3 f6d6 d7d6 d4b5 d6e5 b5c3 e5f4 d1e2 f4g5 e1g1 g5h6 e2d3 e8b8 g1b1
FSIM December,Budapest HUN,2007.12.06,6,"Rapport,R","Lenz,A",1/2-1/2,2197,2227,B80,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e6 g2g3 f8e7 f1g2 e8g8 e1g1 a7a6 f1e1 d8c7 h2h3 b8c6 g3g4 f8e8 g4g5 f6d7 d4e2 b7b5 e2g3 c8b7 a2a4 b5b4 c3e2 a8c8 c2c4 b4c3 e2c3 d7c5 g3h5 c7d8 b2b4 c5d7 h3h4 g7g6 h5f4 e7f8 c1b2 c6e5 a1c1 d8b6 c3a2 c8c1 b2c1 b7c6 h4h5 e5c4 a4a5 b6b7 d1d4 d7e5 h5h6 f7f5 g5f6 b7f7 d4c3 f7f6
FSIM December,Budapest HUN,2007.12.07,7,"Werner,Di","Rapport,R",0-1,2346,2197,D40,d2d4 g8f6 g1f3 e7e6 c2c4 c7c5 e2e3 d7d5 d4c5 f8c5 a2a3 e8g8 b2b4 c5d6 c1b2 b8c6 b1c3 a7a6 a1c1 d5c4 f1c4 e6e5 f3g5 c8f5 d1f3 f5g4 f3g3 e5e4 g3h4 g4f5 f2f4 e4f3 e1g1 c6e5 g5f3 e5c4 h4c4 f5d3 c4h4 d8e7 f1e1 f8e8 e3e4 d6b8 e4e5 f6d7 h4e7 e8e7 c3d5 e7e8 d5c7 b8c7 c1c7 d3b5 c7b7 a8c8 f3d4 d7e5 h2h3 c8d8 e1a1 e5d3 b2c3 d3f4 g1h2 f4e2 d4b5 a6b5 c3e1 e2d4 e1f2 d4c2 a1a2 d8d2 f2e3 c2e3 a2d2 e3f1 h2g1 f1d2 b7b5 d2b1 a3a4 b1c3 b5a5 g8f8 b4b5 e8b8 a5a7 f8e8 g1f2 c3d5 f2f3 d5e7 f3e4 e7c8 a7a6 e8d7 e4d5 b8b6 a6a5 d7c7 d5c5
FSIM December,Budapest HUN,2007.12.08,8,"Rapport,R","Szabo,Ben",1/2-1/2,2197,2160,C49,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 f1b5 f8b4 e1g1 e8g8 d2d3 d7d6 c1g5 b4c3 b2c3 d8e7 b5c6 b7c6 f1e1 c8g4 c3c4 c6c5 d1e2 f8e8 h2h3 g4d7 a1b1 a8b8 e2d2 h7h6 g5e3 b8b6
FSIM December,Budapest HUN,2007.12.10,10,"Rapport,R","Lengyel,B",1/2-1/2,2197,2263,C98,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c6a5 b3c2 c7c5 d2d4 d8c7 b1d2 a5c6 d4d5 c6a5 b2b3 c8d7 d2f1 a5b7 c3c4 b7a5 c2d3 f8b8 c1d2 g7g6 f1g3 f6e8 f3h2 e8g7 h2g4 d7g4 d1g4 b5b4 d2h6 e7f6 e1e3 c7c8 e3f3 c8g4 h3g4 g7e8 g3f1 f6e7 f3h3 a5b7 h6d2 f7f6 f1e3 a6a5 d3c2 a8a7 g1f1 b7d8 f1e2 e7f8 g2g3 d8f7 f2f4 h7h6 h3h1 f8g7 a1f1 b8b7 e3g2 b7e7 e2f3 e8c7 g2h4 f7h8 g4g5 h6g5 f4g5 e7f7 g5f6 g7f6 f3g2 a7a8 c2d1 f6e7 f1f7 g8f7 h4f3 f7g8 f3g5 e7g5 d2g5 h8f7 g5d2 g8g7 a2a3 c7e8
FSIM December,Budapest HUN,2007.12.11,11,"Boguszlavszkij,J","Rapport,R",0-1,2304,2197,D00,d2d4 d7d5 g2g3 g8f6 f1g2 c7c6 b1d2 c8g4 f2f3 g4h5 g1h3 c6c5 c2c3 b8c6 h3f4 c5d4 f4h5 f6h5 c3d4 c6d4 d2b3 d4c6 e2e4 d5e4 d1e2 e7e6 e1g1 h5f6 f3e4 f8e7 e4e5 f6d7 c1f4 e8g8 f1d1 d8b6 g1h1 f8d8 a1c1 a8c8 f4e3 b6c7 e3f4 d7f8 d1f1 f8g6 e2f3 e7f8 f1e1 c7b8 a2a3 d8d7 c1c3 c8d8 f3e4 d7d1 c3e3 b8c7 g2f3 d1e1 e3e1 c7b6 e4c2 g6f4 g3f4 c6d4 b3d4 d8d4 f3e4 g7g6 c2g2 f8h6 f4f5 b6a5 b2b4 a5e5 f5e6 f7f5 g2b2 h6g5 b2c3 f5e4 c3c8 g8g7 e1f1 g5f6 c8b7 g7h6 b7a7 e5e6 a7c5 e4e3 c5f8 f6g7
16th Donau Open,Aschach Donau AUT,2007.12.27,2,"Rapport,R","Lau,Ra",1-0,2197,2468,B06,e2e4 g7g6 d2d4 f8g7 b1c3 d7d6 f2f4 c7c6 g1f3 c8g4 c1e3 d8b6 a1b1 b8d7 f1e2 g4f3 e2f3 e7e5 c3e2 g8f6 d1d2 b6a6 e2c3 e8g8 f3e2 a6a5 e1g1 e5d4 d2d4 f6d5 d4d2 d5e3 d2e3 a8e8 e3h3 a5d8 b1d1 d7c5 e4e5 d8b6 g1h1 b6b2 d1d6 b2c2 h3e3 c5e6 d6d2 c2d2 e3d2 f7f6 e2c4 g8h8 d2d6 f6e5 f4e5 f8f1 c4f1 e6f8 d6c7 e8e5 c7b7 e5e1 b7f7 h7h5 g2g3 h8h7 h1g2 e1e3 c3d1 e3e1 d1f2 a7a5 f2h3 e1e5 f1d3
