Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
HUN-ch,Budapest,1967.??.??,1,"Ribli, Zoltan","Szilagyi, Peter",1/2-1/2,,,C85,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 a4c6 d7c6 b1c3 f6d7 d2d4 e5d4 d1d4 e8g8 c1f4 d7c5 d4e3 c5e6 a1d1 d8e8 f4g3 b7b5 g1h1 f7f6 f3d4 e7c5 c3e2 g8h8 f2f4 e6d4 e2d4 c8g4 d1d2 a8d8 f4f5 e8e7 c2c3 f8e8 h2h3 g4h5 f1e1 h5f7 e3f3 d8d4 d2d4 c5d4 c3d4 f7a2 e1a1 a2g8 a1a6 e7e4 f3e4 e8e4 a6c6 e4d4 c6c7 d4d5 b2b4 d5f5 g3d6 h7h5 h3h4 g8c4 h1h2 h8g8 c7c5 f5f2 c5h5 f2b2 h5f5 g8f7 d6c5
HUN-ch,Budapest,1967.??.??,2,"Farago, Ivan","Ribli, Zoltan",0-1,,,D92,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 c1f4 e8g8 a1c1 c7c5 d4c5 c8e6 f3d4 b8c6 d4e6 f7e6 e2e3 d8a5 f1e2 f6e4 d1b3 d5d4 e3d4 f8f4 b3b7 a8b8 b7c6 b8b2 c6a4 b2e2
HUN-ch,Budapest,1967.??.??,4,"Ribli, Zoltan","Szabo, Laszlo",0-1,,,B96,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1g5 e7e6 f2f4 b7b5 e4e5 d6e5 f4e5 d8c7 e5f6 c7e5 f1e2 e5g5 d1d3 a8a7 c3e4 g5e5 e1c1 a7d7 d3g3 e5g3 h2g3 c8b7 d4e6 f7e6 d1d7 e8d7 f6g7 f8g7 e4c5 d7c6 h1h5 c6b6 c5e6 h8e8 e2g4 e8e7 g4f5 b8c6 c2c3 g7e5 g3g4 b7c8 e6f8 c8f5 g4f5 e5f4 c1d1 h7h6 f8e6 e7d7 d1e2 f4c1 b2b3 d7d2 e2f1 c6e5 h5h6 e5g4 h6g6 d2f2 f1g1 c1e3 g6g4 f2f4 g1h2 f4g4 f5f6 e3h6 f6f7 b6c6 h2h3 g4g6
HUN-ch,Budapest,1967.??.??,5,"Meleghegyi, Csaba","Ribli, Zoltan",1-0,,,B22,e2e4 c7c5 c2c3 g8f6 e4e5 f6d5 d2d4 c5d4 g1f3 b8c6 c3d4 d7d6 f1c4 d5b6 c4b5 a7a6 b5c6 b7c6 e1g1 g7g6 d1c2 c8b7 b1c3 d6e5 d4e5 f8g7 c3e4 e8g8 e4c5 b7c8 c1f4 c8f5 c2c1 b6d5 f4h6 d8c7 h6g7 g8g7 f1e1 f7f6 f3d4 c7c8 e5e6 f8d8 h2h3 d5b4 e1d1 f5d3 c1c3 a8b8 a2a3 b4d5 c3d3 b8b2 d3a6 c8c7 a6c6 c7f4 d4f3 d8d6 c6e8 b2f2 e8f7 g7h6 f7f8
HUN-ch,Budapest,1967.??.??,6,"Ribli, Zoltan","Prelovszky, Laszlo",1/2-1/2,,,C10,e2e4 g8f6 b1c3 e7e6 d2d4 c7c5 g1f3 d7d5 e4d5 f6d5 c3d5 d8d5 c2c4 d5e4 f1e2 c5d4 e1g1 b8c6 f1e1 f8e7 e2d3 e4g4 d3e4 e8g8 e4h7 g8h7 f3g5 g4g5 c1g5 e7g5 b2b4 g5f6 e1e4 e6e5 b4b5 c6e7 f2f4 e5f4 e4f4 c8e6 f4f6 g7f6 d1d4 e7f5 d4f6 f8g8 a1f1 g8g6 f6e5 f5h6 f1f6 g6f6 e5f6 a8c8 h2h3 c8c4 g2g4 c4c1 g1f2 e6g4 f6b2 c1h1 b2d4 h1h2 f2e1 h2h3 d4a7 h3h2 a7b7 h2e2 e1f1 e2a2 b5b6 g4h3 f1e1 h3g2 b7d7 a2b2 d7d3 h7g8 d3g3 g8h7
HUN-ch,Budapest,1967.??.??,7,"Tipary, Lajos","Ribli, Zoltan",1-0,,,A45,d2d4 g8f6 c2c3 g7g6 c1g5 f8g7 b1d2 c7c5 g5f6 g7f6 d2e4 d8b6 e4f6 e7f6 a1b1 d7d6 e2e3 e8g8 g1f3 b8c6 f1d3 c5d4 f3d4 c6d4 e3d4 b6a5 a2a3 f8e8 e1f1 a5d5 f2f3 d5g5 d1c1 g5h4 g2g3 h4h5 f1f2 c8d7 c1f4 e8e6 h2h4 a8e8 b1e1 d7c6 e1e6 e8e6 c3c4 h5a5 h1d1 d6d5 f4d2 a5a4 d1c1 d5c4 c1c4 a4b3 c4c3 b3b6 d3c4 e6d6 c3d3 c6f3 c4f7 g8f7 f2f3 d6d5 f3g2 g6g5 h4g5 b6c6 d3f3 d5f5 d2d3 f5g5 d3h7 f7e6 g2f2 e6d5 h7f7 d5d4 f3f4
HUN-ch,Budapest,1967.??.??,8,"Ribli, Zoltan","Tompa, Janos",0-1,,,C93,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 b7b5 a4b3 c8b7 c2c3 f8e7 d2d4 d7d6 b1d2 e8g8 f1e1 h7h6 d2f1 f8e8 f1g3 e7f8 h2h3 c6a5 b3c2 c7c5 d4d5 g7g6 f3h2 f8g7 b2b3 b7c8 f2f4 e5f4 c1f4 a8a7 h2f3 a7e7 d1d2 g8h7 a1d1 a5b7 e4e5 d6e5 f3e5 b7d6 g1h2 e7e5 f4e5 f6g4 h3g4 g7e5 g4g5 h6g5 d2f2 g5g4 h2g1 d8h4 e1e3 f7f5 d1e1 f5f4 e3e5 f4g3 f2c5 e8f8 c2g6 h7g6 c5d6 f8f6 e5h5 h4h5 d6g3 h5d5 e1e5 d5d1 g1h2 f6f7 g3h4 c8f5 h4f2 f7h7 h2g3 d1d3 g3f4 h7f7
HUN-ch,Budapest,1967.??.??,9,"Barcza, Gedeon","Ribli, Zoltan",1-0,,,A15,c2c4 g8f6 g2g3 g7g6 b2b3 f8g7 c1b2 e8g8 f1g2 d7d6 d2d4 c7c5 d4c5 d8a5 d1d2 a5d2 b1d2 d6c5 g1f3 f8d8 e1g1 b8c6 f1d1 c8f5 d2f1 f6e4 b2g7 g8g7 d1c1 g6g5 f1e3 e7e6 g1f1 a7a5 e3f5 e6f5 c1d1 d8d1 a1d1 a5a4 f3e1 a4b3 a2b3 a8a3 e1c2 a3b3 g2e4 f5e4 d1d5 b7b6 d5g5 g7f6 g5g4 f6e5 g4g7 c6a5 c2e3 b3b4 g7h7 a5c4 e3c4 b4c4 h7f7 e5e6 f7b7 c4c1 f1g2 c1b1 h2h4 e6f5 h4h5 f5g5 g3g4 b1b2 g2g3 b2e2 b7b6
HUN-ch,Budapest,1967.??.??,10,"Ribli, Zoltan","Forintos, Gyozo V",1-0,,,B27,e2e4 c7c5 g1f3 g7g6 d2d4 c5d4 d1d4 g8f6 e4e5 b8c6 d4a4 f6d5 a4e4 d5b4 a2a3 d7d5 e4e2 b4a6 b1c3 c8g4 e2b5 d8d7 b5d5 d7d5 c3d5 e8c8 d5e3 g4f3 g2f3 c6e5 f1g2 f8g7 c1d2 a6c7 f3f4 e5c6 e1c1 e7e6 h1e1 c7b5 c2c3 c8b8 e3c4 b8c8 g2c6 b7c6 c4e5 g7e5 f4e5 b5c7 d2e3 c8b7 c3c4 c7a8 d1d8 h8d8 e1d1 d8d1 c1d1 a8c7 d1e2 c7e8 e2f3 e8g7 f3g4 g7f5 g4g5 h7h5 e3f4 f5d4 g5f6 d4f3 h2h4 f3h4 f6f7 h4f3 f7g6 h5h4 g6f6 f3d4 f6g5 d4f5 g5g4 a7a5 b2b4 a5a4 f4g5 f5d4 g5e3 d4c2 e3c1 c2d4 c1b2 d4f5 b2c3 b7c7 c3d2 f5d4 d2e3 d4c2 e3c1 c2e1 g4h4 c6c5 b4b5 c7b6 f2f4 e1d3
HUN-ch,Budapest,1967.??.??,11,"Csom, Istvan","Ribli, Zoltan",1/2-1/2,,,B22,e2e4 c7c5 c2c3 g8f6 e4e5 f6d5 d2d4 c5d4 c3d4 d7d6 f1c4 d5b6 c4b3 d6e5 d1h5 e7e6 d4e5 b8c6 g1f3 d8d3 b1c3 b6c4 c3e2 c8d7 e1g1 d3e2 f1e1 e2d3 e1d1 d3e4 f3g5 e4g6 h5g6 h7g6 b3c4 c6e5 c4e2 f7f6 c1f4 e5c6 g5f7 h8g8 e2f3 e6e5 f4e3 d7e6 f7d6 f8d6 d1d6 e6d7 f3e4 e8c8 e4g6 c8c7 a1d1 c6d4 e3d4 c7d6 d4b6 d6e6 b6d8 g8d8 g6e4 e6e7
