Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Lone Pine,Lone Pine,1975.??.??,1,"Rohde, Michael A","Tarjan, James Edward",0-1,2200,2480,B34,e2e4 c7c5 b1c3 b8c6 g1f3 g7g6 d2d4 c5d4 f3d4 f8g7 c1e3 g8f6 d4c6 b7c6 e4e5 f6g8 f2f4 g8h6 f1d3 d7d6 d1f3 e8g8 e1g1 d6e5 f3c6 h6g4 e3c5 c8d7 c6a6 e5f4 c3d5 d8b8 h2h3 b8e5 d5e7 g8h8 b2b4 g4e3 a6b7 d7e6 a1e1 e5g5 f1f2 a8e8 g1h1 g7f6 e7c6 e6d5 c5e3 f4e3 f2e2 g5g3 c2c4 d5c6 b7c6 f6e5
Lone Pine,Lone Pine,1975.??.??,2,"Grefe, John A","Rohde, Michael A",0-1,2470,2200,B08,e2e4 g7g6 d2d4 f8g7 g1f3 d7d6 f1e2 g8f6 b1c3 e8g8 e1g1 c7c6 a2a4 d8c7 a4a5 e7e5 d4e5 d6e5 e2c4 b8d7 b2b4 f6h5 g2g3 b7b5 c4a2 d7f6 c1e3 c8g4 d1e2 h7h6 f1d1 f6h7 h2h4 g6g5 h4g5 h5f4 g3f4 e5f4 e3c5 h7g5 d1d3 f8d8 a1d1 g5f3 d3f3 g7c3 f3g3 f4g3 e2g4 g8h8 d1d8 a8d8 g4f3 g3f2 c5f2 c3g7 f3f7 c7f7 a2f7 g7d4
Lone Pine,Lone Pine,1975.??.??,3,"Rohde, Michael A","Suttles, Duncan",0-1,2200,2440,A42,e2e4 g7g6 d2d4 d7d6 c2c4 f8g7 b1c3 b8d7 f1e2 e7e5 d4d5 d8e7 c1e3 a7a6 g2g4 g7h6 e3h6 g8h6 d1d2 h6g8 h2h4 h7h6 e1c1 d7f6 f2f3 e8f8 g1h3 f8g7 h3f2 c8d7 c1b1 f6h7 f2d3 g8f6 g4g5 h6g5 h4g5 f6h5 d1g1 b7b5 c4c5 d6c5 h1h5 g6h5 f3f4 e5f4 d5d6 e7d6 c3d5 h8g8 g5g6 f7g6 d3f4 d6e5 f4h5 g7h8 h5f6 a8f8 f6d7 e5e4 b1a1 f8f2 d2c3 g8g7 d7e5 b5b4 e2d3 b4c3 d3e4 c3b2 a1b1 g6g5 e5g4 f2e2 e4c2 c7c6 d5f6 h7f6 g4f6 g7f7 f6g4 f7f4 b1b2 f4c4 g1h1 h8g8 g4e3 c4b4 b2c1 e2e3 c2b3 c5c4
Lone Pine,Lone Pine,1975.??.??,4,"Pilnik, Herman","Rohde, Michael A",1/2-1/2,2435,2200,B06,e2e4 g7g6 d2d4 f8g7 b1c3 d7d6 c1e3 a7a6 d1d2 b7b5 a2a4 b5b4 c3d1 g8f6 f2f3 e8g8 d2b4 c7c5 d4c5 b8c6 b4d2 d6d5 e4d5 f6d5 e3f2 c8f5 c2c3 a8a7 g2g4 c6a5 g4f5 a5b3 d2c2 b3a1 c2b1 a1b3 b1c2 a7b7 f1a6 b3a1 c2d2 a1b3 d2d3 b7c7 f5g6 h7g6 g1e2 b3c5 f2c5 c7c5 a6b5 e7e6 d1f2 d8h4 d3e4 h4e7 e1g1 f7f5 e4d3 e7h4 b5d7 h4e7 d7b5 g7e5 f2h3 f8d8 e2d4 d5c3 b2c3 c5c3 d3e2 e5d4 g1h1 c3e3 e2g2 e7f6 h3f4 g8f7 b5c4 d4c3 f1g1 g6g5 f4h3 d8g8 h3g5 f7e7 f3f4 e3e4 g5e4 g8g2 e4f6 g2g1 h1g1 e7f6 g1g2 e6e5 f4e5 f6e5 g2f3 f5f4 h2h4 c3d2 c4d3
Lone Pine,Lone Pine,1975.??.??,5,"Rohde, Michael A","Day, Lawrence A",0-1,2200,2335,C66,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 d7d6 d2d4 c8d7 f1e1 f8e7 d4d5 c6b8 b5d7 b8d7 c2c4 h7h6 b1d2 e8g8 d2f1 g8h7 f1g3 f6g8 c1e3 g7g6 b2b4 d8e8 d1c2 b7b6 a1c1 a7a5 a2a3 f7f6 h2h4 h6h5 e3d2 a5a4 g3e2 h7h8 e2c3 d7b8 d2e3 e8d7 c3b5 f8f7 c2e2 b8a6 e2d1 a6b8 f3h2 f6f5 e4f5 g6f5 e3g5 e7f8 f2f4 c7c6 b5c3 e5e4 d1h5 f7h7 h5d1 c6c5 b4c5 b6c5 c3b5 f8g7 g2g4 g8h6 g4f5 h6f5 e1e4 d7f7 d1g4 b8d7 c1e1 d7b6 b5c7 a8g8 h2f3 f5h6 g4g2 f7c7 e4e7 c7c8 e1e6 c8f8 e7e8 f8e8 e6e8 g8e8 g2c2 e8f8 c2e4 h6f5 g5d8 b6c4 e4c4 f8d8 c4a4 f5h4 f3g5 g7d4 g1f1 h7g7 g5e6 g7g1 f1e2 g1g2 e2d3 g2g3 d3c2 g3c3 c2d1 d8g8 e6d4 c3d3 d1c2 d3d4 a4d7 g8g2 c2c3 g2g3 c3c2 d4f4 d7d8 h8g7 c2d2 h4f5 d8d7 g7g6 d7e8 g6g5 e8g8 g5h5 g8h7 h5g4 h7g6 g4f3 g6h5 f3g2 h5e8 f4f2 d2d1 g3d3 d1c1 d3e3 e8g6 g2f1 g6g1 f1g1 c1d1 e3a3
Lone Pine,Lone Pine,1975.??.??,6,"Berry, Jonathan","Rohde, Michael A",1-0,2240,2200,A42,d2d4 g7g6 c2c4 f8g7 b1c3 d7d6 e2e4 b8d7 g1f3 e7e5 c1e3 g8f6 d4d5 f6g4 e3g5 f7f6 g5h4 h7h5 f3d2 a7a5 f1e2 d7c5 d2f1 g6g5 h4g3 f6f5 e4f5 c8f5 f2f3 g4f6 g3f2 d8e7 f1g3 f5g6 f2c5 d6c5 e2d3 e5e4 e1g1 e8c8 f1e1 e7d6 g3e4 g6e4 d3e4 h5h4 c3b5 d6f4 d1a4 f6e8 a4a5 h8h6 e4f5 f4f5 e1e8 g7d4 b5d4
Lone Pine,Lone Pine,1975.??.??,7,"Barnes, Craig N","Rohde, Michael A",1-0,2200,2200,B06,e2e4 g7g6 b1c3 f8g7 f2f4 c7c6 d2d4 d7d6 g1f3 c8g4 c1e3 d8b6 d1d2 g4f3 g2f3 b8d7 e1c1 b6a5 c1b1 b7b5 e4e5 d6d5 h2h4 e7e6 h4h5 g8h6 c3b5 a5d2 b5d6 e8e7 e3d2 h6f5 d2b4 f5d6 b4d6 e7e8 f1a6 g7f8 a6b7 f8d6 b7a8 d6c7 a8c6 e8e7 c6d7 e7d7 h5g6 f7g6 d1g1
Lone Pine,Lone Pine,1975.??.??,8,"Rohde, Michael A","Waterman, Deniss L",0-1,2200,2200,B34,e2e4 c7c5 b1c3 b8c6 g1f3 g7g6 d2d4 c5d4 f3d4 f8g7 c1e3 g8f6 d4c6 b7c6 e4e5 f6g8 f2f4 g8h6 f1e2 e8g8 e1g1 f7f6 e5f6 g7f6 g2g4 d7d5 e3c5 d8a5 b2b4 a5d8 g4g5 f6c3 g5h6 c3a1 d1a1 f8f7 a1e5 c8f5 c2c4 d8b8 e5e3 b8c8 c4d5 c6d5 e2f3 f5e4 f3e4 d5e4 e3e4 c8g4 e4g2 g4g2 g1g2 a7a5 a2a3 a5b4 a3b4 e7e6 c5d6 a8a2 g2h3 f7d7 d6c5 d7d3 h3h4 a2h2 h4g5 g8f7 f1g1 d3b3 c5d6 h2d2 d6c5 d2d3 g1g2 d3g3 g2g3 b3g3 g5h4 g3d3 h4g4 f7f6 c5f8 d3d5 f8g7 f6f7 g7e5 f7e7 e5g7 d5b5 g7d4 b5h5 d4g7 e7f7 g7e5 h5h6 b4b5 h6h1 b5b6 h1b1 e5c7 f7e7 g4g5 b1b5 g5h6 e7f7 c7e5 f7g8 h6g5 b5b6 g5f6 h7h5 f6g6 h5h4 g6g5 h4h3 f4f5 e6f5
Lone Pine,Lone Pine,1975.??.??,9,"Rohde, Michael A","Karklins, Andrew",1-0,2200,2395,C84,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 d2d4 e5d4 f1e1 e8g8 e4e5 f6e8 c2c3 d7d5 c3d4 c8g4 a4c6 b7c6 h2h3 g4h5 b1c3 g8h8 c3a4 f7f6 e5e6 g7g5 c1d2 e8g7 a1c1 e7d6 c1c6 d8e8 c6d6 c7d6 a4b6 a8a7 b6d7 a7d7 e6d7 e8d7 d1b3 d7b5 b3b5 a6b5 g2g4 h5g6 e1e7 f8c8 e7b7 g7e6 d2e3 g6b1 a2a3 b1d3 f3e1 d3c4 b7e7 e6g7 e7d7 c8e8 d7f7 f6f5 g4f5 h8g8 f7f6 e8f8 f6f8 g8f8 e3g5 g7f5 g5e3 f8f7 e1f3 f7f6 f3d2 c4d3 g1g2 d3e2 d2b1 e2c4 b1c3 f6e6 g2f3 e6f6 f3g4 f6e6 g4g5 c4d3 b2b3 f5e7 h3h4 e7c6 b3b4 c6e7 h4h5 e7f5 a3a4 b5a4 c3a4 h7h6 g5f4 d3e2 f2f3 e2b5 a4c3 b5e8 b4b5 e8h5 b5b6 f5e7 c3b5 e6d7 b6b7 e7c6 f4g3 c6b8 e3f4 d7c6 b5d6 h5g6 f4e5 g6d3 f3f4 d3a6 f4f5 b8d7 f5f6 c6c7 f6f7
Lone Pine,Lone Pine,1975.??.??,10,"Levy, David Neil Lawrence","Rohde, Michael A",1-0,2325,2200,B15,e2e4 g7g6 d2d4 f8g7 b1c3 c7c6 f2f4 d7d5 e4e5 h7h5 g1f3 c8f5 c1e3 g8h6 f1e2 b8a6 d1d2 a6c7 h2h3 b7b5 e3f2 a7a5 f3h4 c7e6 e2f3 a8c8 h4f5 h6f5 g2g4 h5g4 h3g4 h8h1 f3h1 f5h6 h1f3 f7f5 g4g5 h6f7 a2a4 b5b4 c3e2 d8b6 e2c1 e6c7 c1b3 e7e6 f3e2 g7f8 d2d3 f7d8 d3h3 e8f7 h3h7 f8g7 b3c5 c7e8 c5d7 b6c7 d7f6
