Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
SochiJ-B,Sochi,1986.??.??,?,"Velikov, V.","Sakaev, Konstantin",0-1,,,B86,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f1c4 f8e7 f2f4 e8g8 d1f3 b8d7 g2g4 d6d5 e4d5 d7b6 c4b3 f6d5 c3e2 d8c7 e1g1 f8d8 c2c3 e7c5 c1d2 a7a5 a1d1 a5a4 b3c2 g7g6 d2c1 c8d7 g1g2 f7f5 g4f5 e6f5 f3g3 d8e8 f1e1 g8h8 b2b3 a4b3 a2b3 d5f6 c3c4 c5b4 e2c3 d7c6 d4c6 c7c6 g2h3 f6h5 g3d3 e8e1 d1e1 h8g7 c1d2 a8d8 c3d5 b6d5 d3d4 d5f6
SochiJ-B,Sochi,1986.??.??,?,"Sakaev, Konstantin","Tiviakov, Sergei",1/2-1/2,,,E12,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 a2a3 c8b7 b1c3 g7g6 c1g5 h7h6 g5h4 f8g7 d4d5 e6d5 c4d5 e8g8 e2e3 c7c5 d1d2 d7d6 f1c4 b8d7 e1g1 f8e8 f1e1 a7a6 g2g4 d8c7 h2h3 f6e4 c3e4 e8e4 a1c1 d7e5 f3e5 g7e5 f2f4 e5g7 d2c2 a8e8 h4f2 c7d7 c2b3 d7d8 e1e2 d8a8 c1d1 g8h7 e2c2 a8d8 b3d3 d8c8 d3b3 c8d8 b3d3 d8a8 d3b3 e8b8 b3d3 f7f5 f2e1 b8e8 e1d2 e4c4 c2c4 b7d5 d2c3 d5c4 d3c4 a8d8 c3g7 h7g7 c4a6 e8e6 a6b7 e6e7
SochiJ-B,Sochi,1986.??.??,?,"Sakaev, Konstantin","Burmenko, D.",1-0,,,A43,d2d4 g8f6 g1f3 c7c5 d4d5 b7b5 c1g5 d8b6 g5f6 b6f6 c2c3 b5b4 e2e4 g7g6 e4e5 f6f4 f1d3 f8g7 g2g3 f4g4 b1d2 e8g8 h2h3 g4h5 g3g4 h5h6 g4g5 h6h5 d2e4 d7d6 e4g3 h5h3 h1h3 c8h3 c3c4
SochiJ-B,Sochi,1986.??.??,?,"Sakaev, Konstantin","Akopian, Vladimir",0-1,,,D06,d2d4 d7d5 c2c4 c8f5 c4d5 f5b1 d1a4 c7c6 a1b1 d8d5 g1f3 b8d7 a2a3 g8f6 e2e3 e7e6 a4c2 f8d6 f1d3 d5h5 e1g1 g7g5 e3e4 g5g4 f3e5 d7e5 d4e5 d6e5 g2g3 f6d7 d3e2 e5g7 b2b4 e8g8 b1b3 h5g6 g1g2 a8d8 h2h3 h7h5 h3g4 h5g4 f1h1 d7f6 b3e3 g7h6 h1h6 g6h6 e4e5 d8d5 e5f6 h6h3 g2g1 d5h5 c2e4 h3h2 g1f1 h2h1 e4h1 h5h1 f1g2 h1c1 e3d3 g8h7 d3d7 h7g6 d7b7 f8a8 b7c7 c1a1 c7c6 a1a3 e2g4 a8b8 c6c5 g6f6 c5c7 f6g6
SochiJ-B,Sochi,1986.??.??,?,"Kamsky, Gata","Sakaev, Konstantin",0-1,,,B86,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f1c4 f8e7 c1e3 e8g8 c4b3 b8a6 f2f4 a6c5 d1f3 a7a6 e1g1 d8c7 a1d1 c8d7 f4f5 e6e5 d4e2 c5b3 c2b3 d7c6 g2g4 h7h6 h2h4 f6h7 e3f2 c7d8 f3g3 a8c8 d1d2 g8h8 f1d1 f8g8 g3h3 g7g6 g1h2 g6f5 e4f5 d8f8 d1g1 b7b5 f2e3 b5b4 c3d5 c6d5 d2d5 h7f6 d5d1 c8c2 d1d2 c2d2 e3d2 d6d5 g4g5 f6e4 d2c1 e7c5 g1g2 f8d8 h3f3 h6g5 f3h5 h8g7 c1g5 e4g5 g2g5 g7f8 h5h6 f8e7 h6c6 c5d6 f5f6 e7f8 c6d5 g8h8 e2g3 d8f6 g3f5 d6e7 f5e7 h8h4
SochiJ-B,Sochi,1986.??.??,?,"Shirov, Alexei","Sakaev, Konstantin",1-0,,,D00,d2d4 d7d5 c1f4 g8f6 e2e3 c7c5 c2c3 b8c6 b1d2 e7e6 f1d3 f8e7 h2h3 e8g8 g1f3 e7d6 f3e5 d6e5 d4e5 f6d7 d2f3 h7h6 d3c2 f8e8 e1g1 b7b6 e3e4 c6e7 d1d2 d7f8 a1d1 c8b7 e4d5 e6d5 f1e1 e7g6 f4h6 g7h6 d2h6 f8e6 c2g6 f7g6 h6g6 g8h8 g6h6 h8g8 d1d3 a8c8 f3h4 c8c7 d3g3 c7g7 e1e3 d8d7 h4g6 d5d4 h6h8 g8f7 e3f3 b7f3 g3f3 e6f4 f3f4 f7e6 f4f8 e8e7 g6e7 g7e7 f8d8
Frunze op,Frunze,1989.??.??,?,"Grabliauskas, Virginijus","Sakaev, Konstantin",1/2-1/2,,,E92,d2d4 d7d6 g1f3 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 e8g8 f1e2 e7e5 c1e3 h7h6 h2h3 e5d4 e3d4 f8e8 f3d2 b8d7 e1g1 d7c5 e2f3 c5e6 d4e3 e6g5 f1e1 f6d7 d1c2 d7c5 a1d1 f7f5 e4e5 e8e5 f3d5 c8e6 f2f4 e5e3 e1e3 g7d4 d2f1 d4e3 f1e3 e6d5 c4d5 g5e4 c3b5 a7a5 b2b3 d8e7 a2a3 c7c6 d5c6 b7c6 b5d6 a8d8 d6e4 d8d1
Frunze op,Frunze,1989.??.??,?,"Sakaev, Konstantin","Zagorskis, A.",1/2-1/2,,,D85,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 f8g7 g1f3 c7c5 a1b1 e8g8 f1e2 d8a5 e1g1 a5c3 c1d2 c3a3 d1c2 c8d7 d4c5 d7c6 e2b5 b8a6 f1c1 c6b5 b1b5 f8c8 b5a5 a3b2 c2b2 g7b2 c1c2 b2g7 c5c6 a8b8 f3e1 a6c7 c6b7 b8b7 a5c5 g7d4 c5c4 d4b6 a2a4 c8d8 a4a5 d8d2 c2d2 b6a5 d2d1 c7e6 e1d3 b7d7 d3b2 d7b7 b2d3 b7d7 d3b2 d7b7 b2a4 b7b3 g2g3 a5b4 d1d5 a7a5 a4b6 b3b2 d5b5 b2a2 b6d5 b4e1 g1f1 e1f2 d5e7 g8f8 e7c6 f2e3 b5b3 e3c5 c6e5 c5d6 c4c8 f8g7 e5c4 a5a4 b3f3 d6e7 h2h4 a2a1 f1g2 a1e1 c8e8 e7f6 c4d6 e6d8 f3a3 d8e6 a3a4 e1d1 d6b5 d1b1 b5a3 b1b2 g2h3 b2b3 a3c4 f6d4 a4a2 b3c3 c4d2 c3e3 d2c4 e3e4 c4d6 e4e1 e8a8 h7h5 d6c4 e1c1 c4d2 c1c3 a8a3 c3c7 d2f3 d4f6 a3d3 c7b7 d3d5 b7b3 h3g2 b3b7 a2d2 e6f8 d5d3 b7a7 g2f2 a7b7 d2a2 f8e6 f2g2 b7c7 d3a3 e6d4 f3d2 d4f5 d2e4 c7e7 a3a4 f6d4 g2f3 e7b7 a4a3 d4e5 a3d3 b7b4
Frunze op,Frunze,1989.??.??,?,"Imanaliev, Taalaibek","Sakaev, Konstantin",0-1,2345,,B22,e2e4 c7c5 g1f3 e7e6 c2c3 d7d5 e4d5 d8d5 d2d4 g8f6 c1e3 c5d4 c3d4 b8c6 b1c3 d5d6 a2a3 f8e7 f1d3 e8g8 e1g1 h7h6 d1e2 f6d5 c3e4 d6d8 a1c1 f7f5 e4c5 d8d6 d3b5 e7f6 c5d3 c8d7 b5c6 d7c6 d3e5 d5e3 e2e3 c6d5 e5g6 f8d8 f3e5 d5e4 c1d1 a8c8 f2f3 e4c2 d1d2 f5f4 e3f4 c2g6 e5g6 d6f4 g6f4 d8d4 d2d4 f6d4 g1h1 d4b2 a3a4 c8c4 f4e6 c4a4 e6c5 a4a1 f1a1 b2a1 c5b7 a1c3 b7c5 a7a5 g2g3 c3d4 c5b3 d4b6 h1g2 a5a4 b3c1 g8f7 g2f1 f7e6 f1e2 b6g1 h2h3 e6d5 e2d3 g1f2 c1e2 d5c5 g3g4 c5b4 e2c1 g7g5 d3c2 f2d4 c2b1 d4e3 c1d3 b4b3 d3e5 a4a3 e5c6 a3a2 b1a1 e3b6
Frunze op,Frunze,1989.??.??,?,"Itkis, Boris","Sakaev, Konstantin",1-0,2310,,D76,d2d4 g8f6 g1f3 g7g6 c2c4 f8g7 g2g3 e8g8 f1g2 d7d5 c4d5 f6d5 e1g1 d5b6 b1c3 b8c6 d4d5 c6a5 e2e4 c7c6 c1g5 h7h6 g5f4 a5c4 b2b3 g6g5 b3c4 g5f4 d1b3 f4g3 h2g3 b6d7 b3a3 d8b6 e4e5 d7e5 f3e5 g7e5 c4c5 b6c7 f1e1 c8f5 a1d1 a8d8 e1e3 d8d7 g1h2 f8d8 d1e1 e5c3 a3c3 c6d5 e3e5 f5g6 c3e3 b7b6 e3h6 b6c5 g2h3 e7e6 e5g5 d8e8 h3e6 e8e6 e1e6 f7e6 h6g6 g8f8 g6e6 d7f7 h2g1 d5d4 e6d5 c7e7 d5a8
