Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
EU-ch U20,Groningen,1981.??.??,1,"Salov, Valery","Barbulescu, Dan",1-0,2295,2210,A29,c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 g2g3 d7d5 c4d5 f6d5 f1g2 d5b6 e1g1 f8e7 a2a3 e8g8 b2b4 c8e6 d2d3 f7f6 c1b2 d8e8 f3d2 e8f7 a1c1 f8d8 c3b5 e6d5 g2d5 b6d5 b5c3 d8d7 c3d5 d7d5 d1b3 a8c8 c1c2 c6d4 b2d4 e5d4 b4b5 d5e5 d2c4 e5c5 a3a4 b7b6 f1c1 c7c6 b5c6 c8c6 b3b2 f7d5 c4d2 f6f5 c2c5 c6c5 c1c5 e7c5 b2b5 d5e6 g1f1 h7h6 d2f3 g8h7 b5a6 e6d7 a6c4 d7e7 c4d5 e7f6 f3e5 g7g6 h2h4
EU-ch U20,Groningen,1981.??.??,2,"Cuijpers, Frans Andre","Salov, Valery",1/2-1/2,,2295,B83,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e6 f1e2 f8e7 e1g1 e8g8 f2f4 b8c6 c1e3 e6e5 d4b3 e5f4 f1f4 c8e6 d1e1 f6d7 f4f1 e7f6 a1d1 f6e5 e3f4 d8b6 g1h1 a7a5 f4e5 d7e5 e1f2 b6f2 f1f2 a5a4 b3c1 a4a3 b2a3 c6a5 c3b5 f8c8 d1d2 a5c4 e2c4 e5c4 d2d3 h7h6 h2h3 a8a6 c1b3 e6d7 b3d4 c8c5 d3b3 c4a5 b3b4 a6b6 a3a4 a5c6 b4b3 c6e5 b3b4 b6a6 d4b3 c5c4 a2a3 c4b4 a3b4 a6a4 b5d6 a4b4 b3c5 d7c6 h1h2 b7b6 c5d3 e5d3 c2d3
EU-ch U20,Groningen,1981.??.??,3,"Salov, Valery","Sokolov, Andrei",1/2-1/2,2295,2375,A18,c2c4 g8f6 b1c3 e7e6 e2e4 d7d5 e4e5 f6e4 g1f3 f8e7 d2d4 c7c5 c4d5 e6d5 f1d3 e4c3 b2c3 c8g4 e1g1 b8c6 h2h3 g4h5 a1b1 d8d7 f1e1 c5d4 c3d4 e8g8 g2g4 h5g6 c1f4 a8c8 f4g3 a7a6 g1g2 b7b5 e1e2 d7e6 a2a4 g6d3 d1d3 b5b4 g3h4 a6a5 b1b3 e7h4 f3h4 c6e7 h4f5 c8c4 d3f3 e7c6 b3d3 b4b3 d3b3 c6d4 f5d4 c4d4 b3b5 d4a4
EU-ch U20,Groningen,1981.??.??,4,"Corral Blanco, Juan A","Salov, Valery",1-0,,2295,A17,g1f3 g8f6 c2c4 e7e6 b1c3 f8b4 d1b3 b8c6 g2g3 d7d5 d2d4 e8g8 f1g2 f6e4 c4d5 e6d5 e1g1 e4c3 b2c3 b4a5 c3c4 d5c4 b3c4 c8e6 c4d3 h7h6 c1b2 a5b6 f1d1 c6e7 f3e5 c7c6 e5c4 d8d7 e2e4 f8d8 a1c1 f7f6 a2a4 d7e8 d3c3 e8f7 b2a3 d8d7 c4d6 f7h5 g2f3 h5g5 h2h4 g5g6 c1b1 e7c8 h4h5 g6g5 d6f5 e6f5 a3c1 f5e4 c1g5 e4b1 c3b3 g8h8 g5f6 g7f6 b3b1 c8e7 b1e4 e7g8 e4f5 a8d8 f3e4 d7g7 g1g2 b6d4 e4c2 c6c5 c2b3 d8e8 d1d2 e8e5 f5c8 e5h5 c8f8 c5c4 b3c4 d4c5 f8b8 h5g5 d2d8 c5b6 d8f8 b6d4 g2f1 a7a5 b8d8 d4c3 c4e6 c3b2 g3g4 g5g4 e6g4 g7g4 d8d2 h8g7 f8d8
EU-ch U20,Groningen,1981.??.??,5,"Salov, Valery","Frois, Antonio",1-0,2295,,E65,c2c4 c7c5 g1f3 b8c6 g2g3 g7g6 f1g2 f8g7 e1g1 g8f6 b1c3 e8g8 d2d4 d7d6 d4c5 d6c5 c1e3 d8a5 c3d5 c8g4 e3d2 a5d8 d2c3 d8d7 f1e1 f8d8 f3d2 f6d5 c4d5 c6b4 c3b4 c5b4 d1b3 a8c8 e2e4 a7a5 d2f1 g4h3 f1e3 h3g2 g1g2 d7b5 a2a4 b5a6 a1d1 b7b5 d1d2 b5a4 b3a4 c8c5 e1d1 a6b5 a4b5 c5b5 d1a1 d8a8 a1a4 b4b3 e3c4 b5b4 a4b4 a5b4 f2f4 a8c8 c4e3 g7c3 d2e2 c3d4 g2f3 c8c1 e4e5 c1b1 e3c4 b1c1 c4e3 c1b1 d5d6 e7d6 e5d6 d4b2 d6d7 b2f6 e3d5 f6d8 e2e8 g8g7 e8d8 b3b2 d8g8 g7g8 d7d8q g8g7 d8f6
EU-ch U20,Groningen,1981.??.??,6,"Karolyi, Tibor Jr","Salov, Valery",1/2-1/2,2310,2295,E12,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 a2a3 c8b7 b1c3 d7d5 c4d5 e6d5 g2g3 f8e7 f1g2 e8g8 c1f4 b8a6 e1g1 c7c5 f3e5 a6c7 d4c5 b6c5 d1a4 c7e6 a1d1 d8b6 e5d7 f6d7 a4d7 e7f6 g2d5 b7d5 c3d5 b6b2 d1d2 b2a3 d5f6 g7f6 d7e7 a3c3 d2d3 c3b2 d3d2
EU-ch U20,Groningen,1981.??.??,7,"Salov, Valery","Siegel, Georg",1/2-1/2,2295,2300,A19,c2c4 g8f6 b1c3 e7e6 e2e4 c7c5 e4e5 f6g8 g1f3 b8c6 d2d4 c5d4 f3d4 c6e5 d4b5 a7a6 b5d6 f8d6 d1d6 f7f6 c1e3 g8e7 e3b6 e7f5 b6d8 f5d6 d8c7 e8e7 c4c5 d6e8 c7b6 d7d5 c5d6 e8d6 b6c5 e5f7 a1d1 h8d8 h2h4 c8d7 h1h3 a8c8 c5b4 d7c6 h3g3 g7g6 g3e3 b7b5 a2a4 e6e5 a4b5 a6b5 f1b5 e7e6 b5c6 c8c6 c3e2 c6c4 e2d4 e6d7 b4d6 d7d6 d4e2 d6e6 d1d8 f7d8 g2g3 c4b4 b2b3 d8c6 e1d2 f6f5 e3c3
EU-ch U20,Groningen,1981.??.??,8,"Gobet, Fernand","Salov, Valery",0-1,,2295,B80,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 g2g3 b8c6 f1g2 c8d7 e1g1 f8e7 c3e2 a7a6 c2c4 e8g8 b2b3 a8c8 c1b2 d8c7 a1c1 f8d8 f1e1 c6e5 h2h3 c7b6 b2a1 b6a7 e2c3 e7f8 g1h2 e5g6 f2f4 e6e5 d4e2 b7b5 f4f5 g6e7 c3d5 e7d5 c4d5 b5b4 d1d2 a6a5 e2g1 f8e7 a1b2 a7b6 g2f3 d7b5 a2a3 b5a6 a3b4 a5b4 c1c8 d8c8 e1c1 c8c1 b2c1 f6d7 d2c2 e7d8 h2g2 b6c5 f3d1 d8b6 g1f3 a6d3 c2d3 c5c1 d3c2 c1e3 c2c8 d7f8 c8c2 g7g6 c2e2 g6f5 e2e3 b6e3 e4f5 f8d7 f3h2 e3d4 d1e2 d7c5 e2c4 g8g7 h2f3 d4c3 g3g4 g7f6 f3g1 e5e4 g1e2 f6e5 e2g3 c3e1 g3h5 e1h4 h5g7 c5d7 c4b5 d7b6 b5e8 b6d5 e8f7 d5e3 g2g1 e5f6 g7e8 f6f7 e8d6 f7f6 d6e4 f6e5 e4c5 h4e7 c5d3 e5e4
EU-ch U20,Groningen,1981.??.??,9,"Pantavos, Panayotis","Salov, Valery",1/2-1/2,2260,2295,B56,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5 f1b5 b8d7 d4f5 a7a6 b5d7 d8d7 c1g5 f6e4 f5g7 f8g7 c3e4 e8g8 d1d6 f7f6 d6d7 c8d7 g5e3 d7f5 f2f3 f5e4 f3e4 a8c8 e1c1 c8c4 h1e1 c4e4 d1d7 f8f7 d7d8 g7f8 c1d2 e4g4 g2g3 g8g7 d2e2 h7h5 e1d1 g4c4 c2c3 c4c6 d1d7 c6c7 e3h6 g7h6 d7c7 f7c7 d8f8 h6g6 e2e3 b7b5 f8g8 g6f5 g8h8 f5g4 h8g8 g4h3 g8h8 h3g4 h8g8
EU-ch U20,Groningen,1981.??.??,10,"Salov, Valery","Condie, Mark L",1/2-1/2,2295,2240,A28,c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 e2e3 f8e7 d2d4 e5d4 f3d4 e8g8 d4c2 c6b4 e3e4 f8e8 f1d3 d7d5 c4d5 e7d6 c2e3 b4d3 d1d3 d8e7 f2f3 f6h5 g2g3 f7f5 e4f5 d6c5 c3e4 c5e3 c1e3 c8f5 e1g1 f5e4 f3e4 e7e4 d3e4 e8e4 e3f2 h5f6 f1d1 e4e2 a1c1 f6e8 f2d4 a8d8 d4c3 d8d7 d1e1 d7e7 g1f1 e2e1 c1e1 e7e1 f1e1 g8f7 c3e5 f7g6 e5d4 a7a6 e1e2 e8f6 e2d3 f6d5 d3e4 d5f6 e4e5 g6f7 h2h3 f6d7 e5d5 g7g6 d4e3 d7f8 d5e5 f8e6 e3d2 e6c5 e5d4 c5e6 d4e5 f7e7 d2e3 e7f7
