Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
ch-Asia,Udaipur IND,2000.01.10,1,"Prasad,D","Sasikiran,K",0-1,2421,2514,B84,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e6 f1e2 a7a6 e1g1 d8c7 a2a4 b7b6 f2f4 c8b7 e2f3 b8d7 g1h1 f8e7 d1e1 a8d8 c1d2 e8g8 g2g4 d6d5 e4d5 e7c5 d5e6 f8e8 c3e2 f7e6 g4g5 c5d4 e2d4 e6e5 g5f6 e5d4 e1g3 d7f6 f3b7 c7b7 g3g2 b7c7 a1c1 d8d7 f4f5 d7e7 d2f4 c7d7 f4g5 e7e2 g2f3 f6e4 g5f4 d7a4 h1g1 a4b5 c1d1 e2c2 d1d4 b5c5
ch-Asia,Udaipur IND,2000.01.11,2,"Sasikiran,K","Reilly,T",1-0,2514,2192,A41,d2d4 d7d6 g1f3 g7g6 c1g5 f8g7 c2c3 h7h6 g5h4 f7f5 e2e3 g8f6 d1b3 e7e6 b1d2 e8g8 f1d3 g8h8 e1c1 c7c6 h2h3 g6g5 h4g3 f6h5 g3h2 b7b5 g2g4 h5f6 h2g3 f5g4 h3g4 f6g4 d3b1 e6e5 d4e5 d6d5 f3d4 f8f2 b3c2 d8g8 g3f2 g4f2 c2g6 c8h3 h1h3 f2h3 b1f5
ch-Asia,Udaipur IND,2000.01.12,3,"Sasikiran,K",Dao Thien Hai,1/2-1/2,2514,2550,D48,d2d4 d7d5 c2c4 c7c6 b1c3 g8f6 e2e3 e7e6 g1f3 b8d7 f1d3 d5c4 d3c4 b7b5 c4d3 a7a6 e3e4 c6c5 e4e5 c5d4 c3e4 f6d5 e1g1 d8c7 c1g5 h7h6 a1c1 c7b6 g5h4 c8b7 d3b1 f8e7 h4g3 e8g8 a2a3 f8c8 d1d3 c8c1 f1c1 d7f8 f3d4 a8d8 e4d6 e7d6 e5d6 d5f6 d3e3 g8h8 d4b3 b6e3 f2e3 f8d7 c1c7 b7d5 b3d4 h8g8 h2h3 g8f8 g1f2 d7b6 b2b3 d5e4 d4c6 d8d7 b1e4 f6e4 f2f3 e4d2 f3e2 d2b3 c6b8 d7c7 d6c7 f8e7 b8a6 e7d7 e2d3 b3a5 d3c3 a5c4 e3e4 c4d6 c3d4 d7c6 g3h2 b6c8 a6c5 c6c7 h2e5 g7g6 g2g4 c7c6 c5d3 d6e8 e5f4 g6g5 d3e5 c6b6 f4d2 e8d6
ch-Asia,Udaipur IND,2000.01.13,4,Xu Jun,"Sasikiran,K",1-0,2578,2514,E97,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 e1g1 b8c6 d4d5 c6e7 b2b4 f6h5 f1e1 h5f4 e2f1 a7a5 b4a5 c7c5 f3d2 a8a5 a2a4 a5a6 a1a3 c8d7 c3b5 d8c8 g1h1 g6g5 g2g3 f4h3 d1e2 e7g6 f1g2 g5g4 e1f1 h7h6 d2b1 h3g5 c1g5 h6g5 b1c3 g7f6 c3d1 g8g7 d1e3 g6f4 g3f4 e5f4 e3f5 d7f5 e4f5 f4f3 g2f3 g4f3 e2f3 f8h8 f1g1 h8h6 h2h3 c8h8 g1g4 a6a4 h1g2 a4a3 f3a3 h8d8 a3g3 f6e7 h3h4 f7f6
ch-Asia,Udaipur IND,2000.01.14,5,"Sasikiran,K","Ramesh,R",1-0,2514,2443,D43,d2d4 d7d5 c2c4 c7c6 b1c3 g8f6 g1f3 e7e6 c1g5 h7h6 g5h4 d5c4 e2e4 g7g5 h4g3 b7b5 f1e2 c8b7 f3e5 f8b4 e1g1 b8d7 f2f4 b4c3 b2c3 d7e5 f4g5 f6d7 d4e5 d8g5 f1f7 e8c8 e2g4 g5g6 g4h5 g6e4 d1d6 e4d5 a1d1 d5c5 g3f2 c5d6 e5d6 c6c5 h5g4 b7d5 f2c5 h8g8 g4h3 a7a6 c5f2 g8g6 f2h4 d8g8 d1d5 e6d5 f7d7 g6g2 g1f1 g2h2 d7g7 h2h3 d6d7
ch-Asia,Udaipur IND,2000.01.16,6,Wang Zili,"Sasikiran,K",1/2-1/2,2571,2514,B12,e2e4 c7c6 d2d4 d7d5 e4e5 c8f5 g1f3 e7e6 f1e2 c6c5 c1e3 b8d7 e1g1 a7a6 c2c4 d5c4 e2c4 g8e7 b1c3 e7c6 f1e1 f8e7 d4c5 d7c5 f3d4 c6d4 e3d4 e8g8 b2b4 c5d7 a2a3 a8c8 c4d3 f5d3 d1d3 d7b8 d3e3 b8c6 d4b6 e7g5 e3c5 g5e7 c5e3 e7g5 e3c5 g5e7 c5e3
ch-Asia,Udaipur IND,2000.01.19,9,"Sasikiran,K",Zhang Zhong,1/2-1/2,2514,2611,E31,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 c1g5 h7h6 g5h4 c7c5 d4d5 d7d6 e2e3 b4c3 b2c3 e6e5 f1d3 e5e4 d3c2 d8e7 g1e2 b8d7 d1b1 e8g8 e1g1 f8e8 c2a4 g7g5 h4g3 f6h5 f2f4 e4f3 f1f3 e8f8 a4c2 d7b6 b1d1 c8g4 d1d3 f7f5 f3f1 a8e8 g3f2 f5f4 a1e1 g4f5 d3f5 f8f5 c2f5 f4f3 g2f3 e8f8 e2g3 h5g7 f5d3 f8f3 g1g2 f3f8 e3e4 e7e5 e1e3 b6d7 d3c2 d7f6 g3f5 f6g4 e3g3 g7f5 e4f5 e5f4 c2d3 f4d2 h2h4 f8e8 g3g4 d2d3 f5f6 g8f7 h4g5 h6g5 g4g5 d3e4 g2g1 e8e5 g5g2 e4d3 g2g7 f7f6 g7g2 e5f5 f2h4 f6e5 f1e1 e5f4 e1f1 f4e5 f1e1 e5f4 e1f1
Goodricke Open,Calcutta IND,2000.02.06,1,"Sasikiran,K","Gokhale,C",1-0,2514,2378,D34,d2d4 d7d5 c2c4 e7e6 b1c3 c7c5 c4d5 e6d5 g1f3 b8c6 g2g3 g8f6 f1g2 f8e7 e1g1 e8g8 c1g5 c5d4 f3d4 h7h6 g5f4 c8e6 d4e6 f7e6 a1c1 e7d6 f4d2 d8e7 e2e4 d5d4 c3b5 d6b8 d1b3 g8h8 e4e5 b8e5 f2f4 e5c7 g2c6 b7c6 d2b4
Goodricke Open,Calcutta IND,2000.02.07,2,"Goloshchapov,A","Sasikiran,K",1/2-1/2,2561,2514,C45,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4 g8f6 d4c6 b7c6 e4e5 d8e7 d1e2 f6d5 c2c4 c8a6 b2b3 e8c8 g2g3 d8e8 c1b2 g7g5 b1d2 d5b4 d2f3 f8g7 f1g2 g5g4 f3h4 g7e5 e1g1 e7g5 b2e5 e8e5 e2d1 h8e8
Goodricke Open,Calcutta IND,2000.02.08,3,"Sasikiran,K","Ibragimov,I",1-0,2514,2611,E32,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 e8g8 a2a3 b4c3 c2c3 f6e4 c3c2 f7f5 g1h3 d7d6 e2e3 e6e5 f2f3 e4f6 d4e5 d6e5 h3f2 a7a5 c1d2 b8c6 a1d1 d8e7 f1e2 c8e6 e1g1 f6d7 f1e1 a5a4 f2d3 d7b6 d3b4 c6b4 a3b4 c7c5 c2c3 f8c8 c3e5 e7f7 b4c5 b6d7 e5g3 c8c5 d2c3 d7f8 d1d4 a8c8 e1a1 e6c4 e2c4 c5c4 a1a4 c4c6 a4a5 f8g6 g3g5 c8f8 d4d8 f5f4 e3f4 h7h6 d8f8 f7f8 g5d5 g8h7 g2g3 c6d6 d5b7 d6d1 g1g2
