Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
USA op,Chicago,1973.??.??,1,"Seirawan, Yasser","Suttles, Duncan",0-1,,,A42,e2e4 g7g6 d2d4 d7d6 c2c4 f8g7 b1c3 b8c6 c1e3 e7e5 d4d5 c6e7 d1d2 f7f5 f2f3 g8f6 g2g3 e8g8 h2h4 f5e4 c3e4 e7f5 e3f2 f6e4 f3e4 g7h6 d2d3 f5d4 f2d4 e5d4 d3d4 c7c5 d4c3 d8e7 f1d3 c8f5 h1h2 f5e4 h2e2 e4d3 c3d3 e7f6 e1d1 f6f1 d1c2 f1a1 h4h5 a1g1 h5g6 f8f2
Lone Pine,Lone Pine,1976.??.??,1,"Miles, Anthony J","Seirawan, Yasser",1-0,2510,2200,B08,g1f3 g7g6 e2e4 f8g7 d2d4 d7d6 b1c3 g8f6 f1e2 e8g8 e1g1 b8c6 d4d5 c6b8 f1e1 c7c6 a2a4 c6d5 e4d5 c8g4 a4a5 g4f3 e2f3 a7a6 c1e3 b8d7 c3a4 a8c8 a4b6 d7b6 e3b6 d8e8 b6d4 f6d7 d4g7 g8g7 f3g4 c8c7 d1d4 g7g8 c2c4 d7e5 g4e2 e8d7 b2b3 d7f5 f2f4 e5d7 g2g4 f5f6 d4f6 d7f6 g4g5 f6e8 e2g4 h7h5 g4h3 e8g7 e1e3 f8b8 g1f2 b7b5 a5b6 b8b6 a1a3 c7a7 f2e2 a6a5 e2d2 f7f6 d2c3 g8f7 e3e1 b6b8 e1a1 b8a8 a1e1 f7g8 c3d3 a8f8 b3b4 f6g5 f4g5 f8f2 e1e2 f2f3 e2e3 f3f2 a3a5 a7a5 b4a5 f2a2 h3c8 a2a3 d3d4 a3a5 e3e7 a5a2 c8e6 g8h7 e7d7 a2h2 d7d6 h5h4 d6a6 h2g2 c4c5 g7e6 a6e6 h4h3 e6e3 h3h2 e3h3 h7g7 c5c6 g7f8 c6c7 g2c2 d5d6
Lone Pine,Lone Pine,1976.??.??,2,"Seirawan, Yasser","Meyers, SJ.",1/2-1/2,2200,2200,A38,c2c4 c7c5 b1c3 g8f6 g2g3 b8c6 f1g2 g7g6 a1b1 f8g7 a2a3 a7a5 g1f3 e8g8 e1g1 d7d6 d2d3 a8b8 f3e1 f6e8 e1c2 e8c7 c1d2 c8d7 b2b4 a5b4 a3b4 c6b4 c2b4 c5b4 b1b4 b7b5 c4b5 c7b5 c3e4 b5d4 e2e3 b8b4 d2b4 d4c6 b4c3 g7c3 e4c3 c6b4 d3d4 d8c7 d1d2 f8c8 f1c1 c7a7 h2h4 h7h5 g1h2 a7a6 g2f1 a6a3 f1g2 a3a6 c1b1 a6d3 d2d3 b4d3 c3d5 g8f8 d5b6 c8d8 f2f3 e7e5 g2f1 e5e4 f1d3 e4d3 b6d7 d8d7 b1d1 d7a7 d1d3 a7a2 h2h3 a2f2 e3e4 f8e7 g3g4 h5g4 h3g4 f2f1 d3b3 f1g1 g4f4 g1f1 b3b7 e7e8 d4d5 f1f2 b7b1 e8e7 b1h1 f2a2 h4h5 g6h5 h1h5 a2a5 h5h8 a5a3 h8c8 a3d3 c8c7 e7e8 c7b7 d3a3 f4g4 a3e3 b7c7 e3e1 g4f5 e1h1 f3f4 h1h5 f5f6 h5h6 f6g5 h6h7 c7c6 e8d7 c6a6 d7e7 e4e5 d6e5 f4e5 h7h1 a6a7 e7e8 g5f5 h1e1 f5f4 e1e2 a7a3 e8e7 a3h3 e2e1 f4f5 e1f1 f5e4 f1e1 e4d4 e1d1 h3d3 d1e1 d3b3 e1d1 d4e4 d1e1 e4f4 e1f1 f4g3 f1g1 g3f4 g1f1 b3f3 f1g1 f4f5 g1h1 d5d6 e7e8 f3f4 h1g1 f4c4 g1f1 f5g4 f1g1 g4f3 g1f1 f3e2 f1f5 c4c8 e8d7 c8c7 d7d8 c7e7 f5f4 e2e3 f4f1 e3e4 f1f2 e7b7 f2f1 b7b3 d8d7 b3f3 f1f3 e4f3 f7f6 e5f6 d7d6 f3f4 d6e6 f4g5 e6f7 g5f5 f7f8
Lone Pine,Lone Pine,1976.??.??,3,"Street, Frank","Seirawan, Yasser",1/2-1/2,2200,2200,A42,d2d4 g7g6 e2e4 f8g7 c2c4 d7d6 b1c3 e7e5 g1e2 b8c6 c1e3 g8h6 f2f3 f7f5 d1d2 h6f7 g2g3 e8g8 d4d5 c6e7 c4c5 b7b6 c5c6 f5f4 g3f4 e5f4 e2f4 f7e5 f1e2 h7h6 e1c1 a7a6 d1g1 g8h7 g1g3 b6b5 h1g1 b5b4 c3d1 a6a5 f4h5 g7h8 e3h6 g6h5 h6g7 f8f6 g7f6 h8f6 f3f4 e5g4
Lone Pine,Lone Pine,1976.??.??,4,"Seirawan, Yasser","Berry, Jonathan",0-1,2200,2330,A05,g1f3 g8f6 g2g3 b7b5 f1g2 c8b7 e1g1 e7e6 d2d3 f8e7 e2e4 d7d6 c2c3 b8d7 b1d2 c7c5 d1e2 e8g8 f1d1 a7a6 d3d4 c5d4 f3d4 d8c7 a2a4 b5a4 a1a4 f8e8 a4a1 e7f8 d2b3 e6e5 d4c2 a6a5 c2a3 a5a4 b3d2 d6d5 e4d5 b7d5 g2d5 f6d5 d2e4 d7b6 c3c4 d5b4 c1e3 e8e6 d1c1 h7h6 a3b5 c7c6 e3b6 c6b6 e4c3 e6f6 c3a4 a8a4 a1a4 f6f2 e2f2 f8c5 a4b4 c5f2 g1g2 f2e3 c1f1 b6b7 f1f3 e3d2 b4a4 e5e4 f3f5 e4e3 g2f1 b7h1 f1e2 h1e1
Lone Pine,Lone Pine,1976.??.??,5,"De Firmian, Nick E","Seirawan, Yasser",1/2-1/2,2200,2200,A41,d2d4 d7d6 g1f3 g7g6 c2c4 f8g7 g2g3 e7e5 b1c3 b8c6 d4d5 c6e7 f1g2 h7h6 e1g1 f7f5 e2e4 g8f6 f3e1 e8g8 e1d3 f5e4 c3e4 g6g5 d1e2 c8f5 c1d2 d8d7 d2c3 f5g4 f2f3 f6e4 e2e4 g4f5 e4e2 b7b5 d3b4 a7a5 b4c6 e7c6 d5c6 d7c6 c4b5 c6b6 g1h1 a8e8 a1d1 a5a4 e2c4 f5e6 c4a4 e8a8 a4e4 e6a2 f3f4
Lone Pine,Lone Pine,1976.??.??,6,"Fritzinger, Dennis","Seirawan, Yasser",1/2-1/2,2200,2200,B12,e2e4 c7c6 d2d4 d7d5 f2f3 d5e4 f3e4 e7e5 g1f3 e5d4 f1c4 d8a5 c2c3 f8e7 e4e5 d4c3 b1c3 b8d7 c4f7 e8f7 e5e6 f7e8 e6d7 c8d7 e1g1 e8d8 c1f4 d8c8 f3e5 d7e6 d1e2 g8f6 e5c6 a5b6 g1h1 b6c6 a1c1 c8d7 f1d1 d7e8 c3d5 e6d5 c1c6 b7c6 d1e1 f6e4 e2h5 e8f8 h5f5 e7f6 e1e4 d5e4 f4d6 f8f7 f5d7 f7g6 d7g4
Lone Pine,Lone Pine,1976.??.??,7,"Seirawan, Yasser","Barnes, Craig N",0-1,2200,2280,A26,c2c4 g7g6 b1c3 f8g7 g2g3 b8c6 f1g2 e7e5 a1b1 a7a5 a2a3 f7f5 d2d3 g8f6 g1f3 e8g8 e1g1 d7d6 b2b4 a5b4 a3b4 f6h5 b4b5 c6e7 f3d2 g8h8 c1b2 d8e8 b1a1 a8b8 a1a7 g6g5 d1a1 h5f6 a1a5 b7b6 a5a1 e8d8 c3a2 c8d7 a2b4 e7c8 a7a3 c8e7 b2c3 d8e8 a3a7 b8c8 a1d1 f5f4 d2e4 f6e4 g2e4 e8h5 e2e3 f4f3 g1h1 f8f6 f1g1 h5h2
US-op,Columbus,1977.??.??,?,"Pamiljens, J.","Seirawan, Yasser",0-1,,2250,A41,d2d4 g7g6 e2e4 f8g7 g1f3 d7d6 c2c4 c8g4 f1e2 b8c6 c1e3 e7e5 d4d5 g4f3 e2f3 c6d4 b1c3 c7c5 a1b1 g8e7 g2g4 e8g8 h2h4 a7a6 h4h5 b7b5 f3e2 a8b8 c4b5 a6b5 d1d2 b5b4 c3d1 b8a8 e3h6 a8a2 h6g7 g8g7 h5g6 e7g6 d2h6 g7f6 e2c4 b4b3 h1h5 d8a5 e1f1 f6e7 h6g5 e7e8 g5f6 a2a1 b1a1 a5a1 f1e1 a1c1 c4e2 d4e2 f6d6 e2d4 d6b8 e8e7 b8c7 e7f6 c7d6 f6g7 g4g5 d4c2
US-op,Columbus,1977.??.??,?,"Cobb, J Jr","Seirawan, Yasser",0-1,,2400,B06,d2d4 g7g6 e2e4 f8g7 b1c3 c7c6 c1e3 d7d6 d1d2 b7b5 f2f3 b8d7 g2g4 a7a6 h2h4 h7h5 g4g5 c8b7 f1h3 e7e6 g1e2 g8e7 e2f4 e6e5 f4g2 e5d4 h3d7 d8d7 e3d4 e8g8 d4g7 g8g7 e1c1 f8d8 g2f4 g7g8 e4e5 c6c5 c3d5 e7d5 f4d5 g8f8 d5b6 d7e6 b6a8 e6a2 c2c3 b7f3 d2f4 f3h1 a8c7 b5b4 e5e6 a2a1 c1d2 a1b2 d2e1 b2c3 d1d2 c3f3 f4f3 h1f3 d2f2 d8c8 c7a6 c8a8 a6b4 c5b4 f2f3 a8a7 e1d2 a7e7
