Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Jurmala,Jurmala,1985.??.??,1,"Bagirov, Vladimir","Shabalov, Alexander",1-0,2485,2200,A52,d2d4 g8f6 c2c4 e7e5 d4e5 f6g4 c1f4 b8c6 g1f3 f8c5 e2e3 d8e7 b1c3 c5b4 a1c1 e8g8 f1e2 g4e5 e1g1 b4c3 c1c3 d7d6 f3d4 f8e8 f4g3 c8d7 d4b5 d7f5 e3e4 f5c8 f2f4 e5g6 f4f5 g6f8 c4c5 e8d8 c5d6 c7d6 f5f6 g7f6 g3h4 e7e4 h4f6 d8d7 c3g3 f8g6 d1d2 e4e8 h2h4
Jurmala,Jurmala,1985.??.??,2,"Shabalov, Alexander","Tukmakov, Vladimir B",1/2-1/2,2200,2570,E32,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 e8g8 g1f3 b7b6 e2e4 c8b7 e4e5 f6e4 f1d3 f7f5 e5f6 e4f6 c1g5 h7h6 d3h7 g8h8 h2h4 b7f3 g2f3 b8c6 e1c1 b4e7 h7g6 e6e5 d4d5 c6d4 c2d3 f6g8 f3f4 e7g5 h4g5 f8f4 g5h6 g8h6 d3e3 d8f6 d1g1 d4f5 e3d3 a8f8 c3e4 f6e7 h1h5 f4h4 h5g5 f5d6 f2f3 d6e4 g6e4 f8f7 d3e3 d7d6 e3e1 h4h3 c1b1 e7f6 g5g6 f6h4 e1f1 h3h2 a2a3 a7a5 g6e6 f7f8 f1c1 h4d8 c1e1
Jurmala,Jurmala,1985.??.??,3,"Inkiov, Ventzislav","Shabalov, Alexander",1/2-1/2,2480,2200,B54,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 e7e6 b1c3 a7a6 g2g3 b7b5 f1g2 c8b7 e1g1 d8c7 f1e1 b8d7 a2a4 b5a4 a1a4 g8f6 d4b3 a8c8 b3a5 d7c5 a4a1 b7a8 c1f4 f6d7 a5c4
Jurmala,Jurmala,1985.??.??,4,"Shabalov, Alexander","King, Daniel J",1-0,2200,2425,E39,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 c7c5 d4c5 e8g8 c1f4 b4c5 g1f3 d7d5 a1d1 b8c6 a2a3 e6e5 f4g5 d5d4 c3d5 c5e7 g5f6 e7f6 e2e3 d4e3 f2e3 e5e4 f3d2 c8g4 f1e2 g4e2 e1e2 f6e5 d2e4 d8h4 e4d2 h4g4 e2f2 f8e8 d2f3 a8c8 h1f1 e5b8 f2g1 e8e6 h2h3 g4g3 c2f5 c8e8 f5g5 f7f6 g5f5 b7b6 b2b4 c6e5 f3d4 e6d6 f5e4 g3g6 d4f5 e5c6 e4c2 d6e6 b4b5 c6e5 d5f4 g6f7 c4c5 b6c5 f4e6 f7e6 c2c5
Jurmala,Jurmala,1985.??.??,5,"Kengis, Edvins","Shabalov, Alexander",1-0,2430,2200,A30,g1f3 c7c5 g2g3 b7b6 f1g2 c8b7 e1g1 g8f6 c2c4 e7e6 b1c3 f8e7 d2d4 c5d4 d1d4 d7d6 f1d1 e8g8 c1g5 b8d7 c3b5 d6d5 c4d5 b7d5 b5c3 d5c6 d4c4 d8c8 e2e4 d7c5 e4e5 f6d5 b2b4 c5d7 c3d5 e6d5 c4h4 e7g5 h4g5 c8e8 d1e1 h7h6 g5g4 e8e7 a1c1 a8c8 f3h4 e7e6 h4f5 g7g6 f5h6 g8g7 g4g5 f8h8 c1c6 c8c6 g2d5 e6d5 h6f5
Jurmala,Jurmala,1985.??.??,6,"Shabalov, Alexander","Gurevich, Mikhail",1/2-1/2,2200,2500,A81,d2d4 f7f5 g1f3 g7g6 g2g3 g8f6 f1g2 f8g7 e1g1 e8g8 b2b3 g8h8 c1b2 d7d5 b1d2 c7c6 c2c4 c8e6 a1c1 b8d7 e2e3 f6e4 d1c2 a8c8 a2a3 e6g8 f1d1 d8e8 f3e5 g8e6 e5d3 e4d6 a3a4 e6g8 d3e5 d7f6 c2c3 f6e4 c3b4 c8b8 d2f3 g6g5 e5d3 d5c4 b3c4 b7b5 c4b5 c6b5 a4a5 d6c4 b2a1 g8d5 d3c5 g7f6 f3e5 b8d8 a5a6 e7e6 c1b1 e4d6 e5c4 b5c4 c5b7 d5g2 b7d8 g2d5 b4d6 f6e7 d6e5 e7f6 e5d6 f6e7
Jurmala,Jurmala,1985.??.??,7,"Tal, Mihail","Shabalov, Alexander",1-0,2565,2200,D23,d2d4 d7d5 g1f3 g8f6 c2c4 c7c6 d1b3 d5c4 b3c4 c8f5 g2g3 e7e6 f1g2 b8d7 b1c3 f8e7 e1g1 e8g8 e2e3 a8c8 c4e2 c6c5 e3e4 f5g4 d4c5 d7c5 f1d1 d8b6 h2h3 g4h5 g3g4 h5g6 f3e5 f8d8 c1e3 b6b4 e5g6 h7g6 e4e5 f6e8 c3b5 a7a6 b5d4 c5a4 d1d2 c8c7 a2a3 b4a5 e2d1 a4b6 d4e6 f7e6 d2d8 e7d8 d1d8 g8f8 a1d1 b6c4 b2b4 a5a4 e3c5 f8g8 f2f4 b7b6 c5f2 c7f7 d1d4 c4a3 d4d6 f7f4 d6e6 f4f8 f2b6 a3c4 e6e8 f8e8 g2d5
Jurmala,Jurmala,1985.??.??,8,"Utasi, Tamas","Shabalov, Alexander",1/2-1/2,2480,2200,D04,d2d4 d7d5 g1f3 g8f6 e2e3 c8f5 f1e2 h7h6 e1g1 e7e6 b2b3 b8d7 c1b2 f8e7 c2c4 e8g8 b1c3 f6e4 c3e4 f5e4 a1c1 c7c6 a2a3 a7a5 f3d2 e4h7 e2f3 e7d6 f1e1 d8e7 c1a1 f7f5 g2g3 d7f6 f3g2 h7g6 d2f3 g6h5 d1c2 f6e4 e1f1 h5f3 g2f3 e7g5 c2e2 f8f6 a3a4 d6c7 b2a3 f6f7 f3h1 h6h5 f2f3 e4f6 e2e1 h5h4 f3f4 g5g6 a1a2 f6h5 a2g2 h4g3 h2g3 h5f6 g2h2 f7d7 h1f3 b7b6 g1f2 a8e8 f1h1 g8f7 f3h5 f6h5 h2h5 c7d8 e1e2 d8f6 h1g1 c6c5 g3g4 f5g4 g1g4 g6b1 a3b2 f7e7 g4g1 b1e4 c4d5 d7d5 h5d5 e6d5 d4c5 b6c5 b2f6 e7f6 g1g5 e8e6 g5g3 d5d4 e2d2 e6d6 d2e2 g7g6 e3d4 e4d4 g3e3 d4a1 e3e8 a1d4 f2f3 d4d5 f3f2
Jurmala,Jurmala,1985.??.??,9,"Shabalov, Alexander","Vitolinsh, Alvis",0-1,2200,2410,B90,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 a2a4 d6d5 e4e5 f6d7 c1f4 e7e6 f1d3 g7g6 e1g1 f8g7 f1e1 b8c6 d4f3 e8g8 d1e2 f7f6 e5f6 d7f6 e2d2 f6h5 f4h6 g7h6 d2h6 f8f3 g2f3 c6d4 e1e3 c8d7 g1h1 d8h4 h1g1 a8f8 c3e2 d4f3 e3f3 f8f3 e2g3 f3f2 g1f2 h4h2 f2e3 h2g3 e3d2 e6e5 a1f1 h5f4 f1h1 d7h3 d2c1 e5e4 d3e4 d5e4 h1d1 f4e6 c1b1 e6f8 d1d8 g3e1 b1a2 h3e6 b2b3 e1f2 d8d2 f2f3 h6g5 f3c3 d2e2 e6f5 a2b1 h7h5 e2g2 c3f3 g2g3 f8e6
Jurmala,Jurmala,1985.??.??,10,"Balashov, Yuri S","Shabalov, Alexander",1-0,2495,2200,E14,c2c4 c7c5 g1f3 b7b6 b1c3 c8b7 e2e3 g8f6 d2d4 c5d4 e3d4 e7e6 f1d3 f8e7 e1g1 e8g8 d4d5 h7h6 f3d4 a7a6 c1f4 f8e8 f1e1 e7c5 d4b3 c5b4 e1e3 e6d5 e3e8 d8e8 c3d5 f6d5 c4d5 b7d5 d1h5 d5e4 h5e2 f7f5 f2f3 d7d5 f3e4 f5e4 a1d1 e8f8 d3e4 d5e4 e2e4 b8d7
