Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Riga,Riga,1985.??.??,?,"Jakobson, I.","Shirov, Alexei",0-1,,,B90,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 e7e5 d4b3 c8e6 d1d2 f8e7 f2f4 f6g4 f4f5 e6d7 c3d5 g4e3 d2e3 d7c6 d5b6 e7g5 e3f2 c6e4 b6a8 b8d7 b3d2 g5h4 g2g3 e4h1 g3h4 e8g8 e1c1 d8a8 f1d3 b7b5 f5f6 d7f6 f2f5 h1d5 d1g1 a8d8 a2a4 g8h8 a4b5 a6b5 d3b5 h7h6 b5d3 d8a5 c2c3 f8b8 f5f2 f6e4 f2g2 g7g6 d2b1 e4c5 g2e2
Riga,Riga,1985.??.??,?,"Saksis, Y.","Shirov, Alexei",0-1,,,B99,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1g5 e7e6 f2f4 f8e7 d1f3 d8c7 e1c1 b8d7 f3g3 h7h6 g5h4 g7g5 f4g5 f6h5 g3e3 c7c5 c1b1 h6g5 h4f2 d7e5 e3e1 c5c7 f1e2 h5f4 e1g1 c8d7 h2h4 g5h4 f2e3 f4e2 d4e2 b7b5 d1d4 e5c4 e3f2 b5b4 c3d1 a8c8 c2c3 e6e5 d4d5 d7c6 g1e1 c6d5 e4d5 c7b7 b2b3 c4a3 b1b2 b7d5 d1e3 d5d3 c3c4 e5e4 e3d5 d3d5 c4d5 e7f6 e2d4 c8c2 b2a1 c2f2 e1e4 e8d8
Riga,Riga,1985.??.??,?,"Shirov, Alexei","Vitolinsh, Alvis",0-1,,2415,B99,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1g5 e7e6 f2f4 f8e7 d1f3 d8c7 e1c1 b8d7 g2g4 e8g8 g5f6 e7f6 g4g5 f6d4 d1d4 b7b5 f1g2 c8b7 h1d1 d7c5 a2a3 a8c8 d1d2 b7c6 d4d6 a6a5 f3f2 c5b7 d6d4 b5b4 a3b4 a5b4 d4b4 c8a8 d2d3 a8a1 c1d2 e6e5 f2b6 c7e7 c3d5 c6d5 d3d5 b7d8 d5e5 e7d7 e5d5 d7g4 b6f2 d8e6 e4e5 e6g5 h2h3 g5h3 f2f3 g4h4 d2c3 h3g1 f3e3 a1e1 e3d3 g1e2 c3c4 e2f4 d3d4 f4g2
Riga,Riga,1985.??.??,?,"Shirov, Alexei","Petkevich, Jusefs",0-1,,2440,C08,e2e4 e7e6 d2d4 d7d5 b1d2 a7a6 g1f3 c7c5 e4d5 e6d5 d4c5 f8c5 d2b3 c5a7 f3d4 g8e7 g2g3 b8c6 f1g2 e8g8 e1g1 e7f5 d4e2 d5d4 b3d2 f8e8 d2f3 c8e6 c1f4 e6c4 f1e1 d8b6 g3g4 d4d3 c2d3 b6f2 g1h1 c4d5 e2g1 f5d4 d1d2 e8e1 a1e1 d4f3
Riga,Riga,1985.??.??,?,"Shirov, Alexei","Ozolinsh, Aris",0-1,,,C29,e2e4 e7e5 b1c3 g8f6 f2f4 d7d5 f4e5 f6e4 d2d3 e4c3 b2c3 d5d4 g1f3 b8c6 c3d4 f8b4 c1d2 b4d2 d1d2 c6d4 d2f2 c7c5 c2c3 d4f3 g2f3 d8e7 d3d4 e8g8 f1g2 c5d4 c3d4 c8f5 e1g1 a8c8 a1c1 e7a3 f2d2 f8d8 f3f4 c8c1 f1c1 d8d4 d2d4 a3c1 g1f2 h7h6 g2b7 c1c2 f2g3 c2a2 b7e4 a2b3 g3f2 b3h3 e4f5 h3f5 f2g3 a7a6 h2h4 h6h5 g3f3 f5h3 f3e4 h3h1
Riga,Riga,1986.??.??,?,"Shirov, Alexei","Zhuravliov, Valerij",1-0,,,A80,d2d4 d7d5 b1c3 f7f5 g2g4 f5g4 c1f4 g8f6 h2h3 c7c6 d1d3 b8a6 e1c1 d8a5 d3e3 b7b5 h3g4 b5b4 c3b1 a5a2 f1h3 b4b3 c2c3 f6g4 e3g3 c8f5 d1d3 h7h5 f2f3 h5h4 g3g2 f5d3 e2d3 g4f6 h3e6 e8d8 g1h3 a6c7 h3g5 c7e6 g5e6 d8c8 g2h3 c8b7 e6c5 b7b6 c5d7 f6d7 h3d7 e7e5 f4e5 a2a4 c3c4 f8b4 h1g1 a8g8 e5c7 b6a6 g1g6 h8h6 c7b8 g8b8 g6g7
Riga,Riga,1986.??.??,?,"Shirov, Alexei","Vitolinsh, Alvis",0-1,,2415,A45,d2d4 g8f6 c1g5 c7c5 g5f6 g7f6 d4d5 d8b6 d1c1 f6f5 e2e3 f8g7 b1c3 e7e6 g1e2 b8a6 e2f4 b6b4 f1a6 g7c3 b2c3 b4c3 e1e2 b7a6 c1d2 c3d2 e2d2 h8g8 g2g3 a8b8 h1b1 b8b6 a2a4 e8d8 a4a5 b6b1 a1b1 d8c7 c2c3 c8b7
Riga,Riga,1986.??.??,?,"Shirov, Alexei","Klovans, Janis",0-1,,,C55,e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 d2d4 e5d4 f3g5 d7d5 e4d5 d8e7 e1f1 c6e5 d1d4 e5c4 d4c4 e7c5 c4c5 f8c5 b1c3 c8f5 c1e3 c5e3 f2e3 h7h6 g5h3 e8c8 h3f2 h8e8 a1e1 f6d5 e3e4 d5c3 e4f5 c3d5 f2e4 e8e5 f5f6 g7f6 e4g3 d5e3 f1f2 d8d2 f2f3 e3g2 e1e5 f6e5 g3f5 h6h5
Riga,Riga,1986.??.??,?,"Lutsko, Igor","Shirov, Alexei",0-1,,,A11,c2c4 g8f6 g2g3 c7c6 f1g2 d7d5 g1f3 g7g6 b2b3 f8g7 c1b2 e8g8 e1g1 c8g4 d2d3 g4f3 g2f3 b8d7 f3g2 f8e8 b1d2 e7e5 d1c2 a8c8 b3b4 d8e7 c2b3 e5e4 c4d5 c6d5 d3e4 f6e4 d2e4 g7b2 b3b2 d5e4 a1c1 d7b6 b2d4 e4e3 f2f4 e7d8 c1c8 d8c8 f4f5 c8c4 d4f6 b6d5 f6d6 d5c3 f5g6 h7g6 g1h1 c3e2 f1f7 c4e6 d6e6 e8e6 f7b7 e2g3
Riga,Riga,1986.??.??,?,"Rausis, Igors","Shirov, Alexei",0-1,,,B02,e2e4 g8f6 e4e5 f6d5 c2c4 d5b6 c4c5 b6d5 f1c4 e7e6 d2d4 b7b6 c5b6 a7b6 b1c3 c8b7 c3d5 e6d5 c4d3 d7d6 g1e2 d6e5 d4e5 b8d7 e5e6 f7e6 e2f4 f8b4 e1f1 d8f6 d1e2 e6e5 d3b5 c7c6 f4d5 c6d5 b5d7 e8d7 e2b5 d7c7 b5b4 d5d4 c1d2 h8f8 d2e1 f6g5 f2f3 b7f3 e1g3 f3h5
