Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Staffordshire op,Staffordshire,1975.??.??,5,"Short, Nigel D","Evans, JS.",1-0,,,B02,e2e4 d7d5 e4d5 g8f6 b1c3 f6d5 c3d5 d8d5 d2d4 b8c6 c1e3 e7e5 d4e5 d5e5 c2c3 f8d6 g1f3 c8g4 f3e5 g4d1 e5c6 d1a4 c6d4 a4d7 d4b5 d6e5 f2f4 a7a6 b5d4 e5d6 e1c1 e8g8 f1d3 a8e8 h1e1 d7g4 d3e2 e8e3 e2g4 e3e1 d1e1 d6f4 c1c2 f4h2 g4f3 c7c5 d4f5 b7b6 f5e7 g8h8 e7d5 b6b5 e1e7 f7f5 e7a7 g7g5 a7a6 g5g4 f3e2 f8d8 a6h6 h2g1 h6h1 g1f2 h1d1 c5c4 b2b3 d8a8 c2b2 a8e8 e2f1 e8e4 b3c4 b5c4 d5f6 e4e6 f6h5 e6b6 b2c2 h7h6 f1c4 h8h7 h5f4 h7g7 d1d7 g7h8 a2a4 b6c6 c4d5 c6f6 c2b3 f2e3 d7d8 h8h7 d5g8 h7h8 f4h5 e3b6 d8c8 f6d6 g8e6 b6d8 e6f5 h8g8 h5f6 g8f7 f6g4 d8b6 b3b4 h6h5 g4h2 d6d2 f5e4 d2b2 b4c4 f7e7 c8h8 b2a2 c4b3 a2e2 e4f3 e2e3 h2f1 e3e1 f1d2 b6c7 h8h5 c7f4 d2e4 e1b1 b3a2 b1b8 a4a5 f4c1 g2g4 b8b2 a2a1 b2b3 f3d1 b3a3 a1b1 c1e3 b1b2
BBC TV Master Game,?,1976.??.??,1,"Short, Nigel D","Hartston, William R",0-1,,2445,E01,d2d4 g8f6 c2c4 c7c5 g1f3 c5d4 f3d4 e7e6 g2g3 d7d5 f1g2 e6e5 d4c2 d5d4 f2f4 e5f4 c1f4 b8c6 g2c6 b7c6 d1d4 d8d4 c2d4 c8b7 b1d2 e8c8 d4f3 f8b4 e1c1 h8e8 f3e5 b4d2 d1d2 d8d2 c1d2 g7g5 e5f7 f6e4
BCF-ch,Brighton,1977.08.08,1,"Short, Nigel D","Neat, Kenneth P",1/2-1/2,,2310,C02,e2e4 c7c5 g1f3 e7e6 c2c3 d7d5 e4e5 b8c6 d2d4 c8d7 f1d3 a8c8 e1g1 c5d4 c3d4 c6b4 b1c3 b4d3 d1d3 g8e7 a2a3 d8b6 b2b4 c8c4 c1e3 e7f5 f3d2 c4c8 g2g4 f5e3 f2e3 f8e7 e3e4 d5e4 d2e4 d7c6 a1d1 c8d8 f1f4 d8d7 g4g5 b6d8 d3g3 a7a5 b4b5 c6e4 c3e4 d8b6 g3d3 d7d5 e4c3 d5d7 f4g4 b6d8 c3e4 d7d5 g1h1 b7b6 a3a4 d8a8 d3c4 e8g8 c4d3 f8d8 h1g1 d5e5 e4f6 e7f6 g5f6 g7g6 d4e5 d8d3 d1d3 h7h5 g4c4 a8f8 h2h4 g8h7 g1h1 g6g5 h4g5 h7g6 d3d6 g6g5 d6b6 f8a3 b6c6 a3f3 h1h2 f3f2 h2h3 f2f1 h3h2 h5h4 b5b6 f1e2 h2h1 e2e1 h1g2 e1e2
BCF-ch,Brighton,1977.08.09,2,"Lees, David","Short, Nigel D",0-1,,,C17,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 c1d2 g8e7 g1f3 b8c6 d4c5 e7g6 f1b5 b4c5 h2h4 f7f6 c3a4 c5e7 e5f6 e7f6 h4h5 g6e7 d1e2 e8g8 e1c1 a7a6 b5d3 e6e5 d2g5 d8a5 d3h7 g8h7 h5h6 a5a4 h6g7 h7g7 c1b1 c8f5 b2b3 a4e4
BCF-ch,Brighton,1977.08.10,3,"Short, Nigel D","Penrose, Jonathan",1-0,,2415,B40,e2e4 c7c5 g1f3 e7e6 c2c3 g8f6 f1d3 b7b6 e1g1 c8a6 d3a6 b8a6 d2d4 c5d4 f3d4 f8e7 e4e5 f6d5 d1g4 g7g6 c1h6 a6c5 c3c4 f7f5 g4f3 d5c7 b1c3 d8c8 b2b4 c5b7 a2a3 b7d8 d4b5 c7b5 c3b5 d8c6 h6g7 h8g8 g7f6 a7a6 f6e7 e8e7 b5d6 c8c7 f3g3 g6g5 g3h3 c6e5 a1d1 a8f8 f1e1 e5g6 h3h7 e7f6 d6e8 f8e8 d1d7 e8e7 d7c7 e7h7 c7h7 g8c8 h7a7 g6e5 a7a6 e5c4 a3a4 f6e7 a4a5 c8b8 a5b6 c4b6 b4b5 e7d6 h2h3 d6d5 a6a1 b6c4 a1d1 d5c5 e1e6
BCF-ch,Brighton,1977.08.11,4,"Botterill, George Steven","Short, Nigel D",1-0,2350,,E44,d2d4 e7e6 c2c4 g8f6 b1c3 f8b4 e2e3 b7b6 g1e2 c8b7 a2a3 b4c3 e2c3 e8g8 d4d5 d8e7 f1e2 e6d5 c4d5 f6e4 c3e4 e7e4 e2f3 e4c4 b2b3 c4h4 e1g1 d7d6 c1b2 b8d7 a1c1 a8c8 g2g3 h4e7 d1d4 f7f5 c1c2 a7a5 f3g2 d7e5 f1e1 b7a6 c2d2 e5d7 b3b4 d7e5 e1c1 a5b4 a3b4 a6b5 h2h3 c8a8 f2f4 e5g6 h3h4 f8f6 e3e4 a8a4 e4e5 f6f7 e5e6 f7f6 d2c2 a4a7 d4e3 f6f8 h4h5 g6h8 h5h6 g7h6 e3d4 h8g6 g2f3 c7c5 d5c6 f8e8 c2h2
BCF-ch,Brighton,1977.08.12,5,"Cafferty, Bernard","Short, Nigel D",1-0,2290,,A35,c2c4 c7c5 g1f3 b8c6 b1c3 g7g6 e2e3 g8f6 d2d4 c5d4 e3d4 d7d5 c4d5 f6d5 d1b3 d5c3 f1c4 e7e6 b2c3 c8d7 c4e2 d8c7 e1g1 a8c8 a1b1 c6a5 b3d1 c7c3 d4d5 f8a3 d5e6 f7e6 c1a3 c3a3 d1d4 h8g8 f3e5 a3e7 e5d7 e7d7 d4a7 a5c6 a7b7 c8c7 b7b2 e8f7 b1d1 d7e7 f1e1 g8e8 e2c4 e7b4 c4b3 b4h4 d1d3 h4b4 d3f3 f7e7 e1d1 c6d4 b2d4
BCF-ch,Brighton,1977.08.13,6,"Short, Nigel D","Cummings, David H",0-1,,,B22,e2e4 c7c5 d2d4 c5d4 c2c3 g8f6 e4e5 f6d5 f1c4 d8c7 d1e2 d5b6 c4d3 b8c6 g1f3 g7g6 e1g1 d4c3 b1c3 f8g7 c3b5 c7d8 b5d6 e7d6 c1g5 c6d4 f3d4 d8g5 e5d6 e8f8 d4b5 g7f6 f2f4 g5c5 g1h1 b6d5 e2e4 a7a6 a1c1 c5e3 e4d5 a6b5 d5b5 f8g7 d3c4 h8f8 c4d5 e3d4 b2b4 a8a6 f1d1 a6b6 b5e2 d4b4 f4f5 b6d6 f5g6 h7g6
BCF-ch,Brighton,1977.08.15,7,"Bennett, Terry B","Short, Nigel D",1-0,,,C10,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4d5 d8d5 g1f3 g8f6 f1e2 b8d7 c1f4 c7c5 e1g1 b4c3 b2c3 e8g8 f3e5 c5d4 c3d4 d7e5 f4e5 d5d8 e2f3 d8e7 c2c4 f6d7 e5f4 f8d8 d1b3 d7b8 a1d1 b8a6 c4c5 a6c7 f1e1 e7d7 d4d5 e6d5 f3d5 c7d5 d1d5 d8e8 b3d1 e8e1 d1e1
BCF-ch,Brighton,1977.08.16,8,"Short, Nigel D","Reid, Alan",1-0,,,C84,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 d2d4 e5d4 e1g1 f8e7 f1e1 b7b5 e4e5 c6e5 e1e5 d7d6 e5e1 b5a4 f3d4 c8d7 d1f3 e8g8 d4c6 d7c6 f3c6 a8b8 c6a4 d6d5 b1c3 b8b4 a4a6 e7d6 h2h3 f6g4 a6e2 d8h4 c3d5 b4e4 c1e3 f8e8 a1d1 c7c6 d5f6 h4f6 h3g4 d6c5 c2c3 h7h5 e2f3 h5g4 f3f6 g7f6 g1f1 c5e3 e1e3 e4e3 f2e3 e8e3 a2a4 g8f8 d1d6 e3e4 d6f6 e4a4 f6c6 a4a2 c6b6 f7f5 g2g3 f8e7 f1e2 e7d7 e2e3 a2a1 e3f4 a1f1 f4e5 f1f3 b6f6 f3g3 f6f5 g3g2 b2b4 g4g3 f5g5 g2g1 e5d5 g3g2 g5g7 d7d8 d5c6 g1c1 g7g2 c1c3 c6b6 c3h3 g2g6 h3h8 b4b5 d8c8 b6a7 h8h7 a7a6 h7h8 g6b6 h8h1 a6a7 h1h7 a7a8 h7h5 b6b7 h5c5 b5b6 c5c1 b7a7 c1b1 b6b7
