Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Bankia op,Bankia,1989.??.??,2,"Golod, Vitali","Shulman, Yuri",1-0,,,A41,d2d4 d7d6 g1f3 c8g4 e2e4 g8f6 b1c3 e7e6 f1e2 d6d5 c1g5 f8e7 e4d5 e6d5 f3e5 g4e6 e1g1 e8g8 e2d3 b8c6 e5c6 b7c6 c3a4 h7h6 g5h4 f6d7 h4e7 d8e7 f1e1 c6c5 d3b5 c5d4 b5d7 e7d7 d1d4 f8e8 a4c5 d7c6 e1e5 f7f6 e5e2 e6f7 a1e1 e8e2 e1e2 a8e8 e2e3 e8e3 d4e3 c6d6 c2c3 f7g6 b2b4 g8f7 f2f3 d6e7
URS-ch U18,Alma-Ata,1991.??.??,?,"Rublevsky, Sergei","Shulman, Yuri",1-0,,,C03,e2e4 e7e6 d2d4 d7d5 b1d2 b7b6 g1f3 c8b7 f1d3 c7c5 e4d5 e6d5 e1g1 f8d6 c2c4 g8e7 c4d5 b7d5 d4c5 d6c5 d2e4 b8c6 e4c5 b6c5 f1e1 d8c7 b2b3 a8d8 d1e2 e8g8 c1a3 e7g6 d3g6 f7g6 a3c5 d5f3 g2f3 c6d4 e2c4 g8h8 c5d4 c7c4 b3c4 d8d4 a1c1 h8g8 g1g2 f8c8 e1e4 d4d2 e4e7 d2a2 c1b1 g8h8 b1b7 c8g8 c4c5 a2c2 e7c7 a7a5 b7a7 h7h5 a7a5 g8d8 g2g3 d8d5 a5a8 h8h7 a8a7 d5g5 g3h4 h7h6 c7g7 c2c4 h4h3 g5c5 h3g3 c5f5 g7h7 h6g5 a7a6 c4f4 h2h4 f4h4 h7g7 f5f4 g7g6 g5f5 g6b6 f5e5 b6b5
URS-ch U18,Alma-Ata,1991.??.??,?,"Shulman, Yuri","Yemelin, Vasily",0-1,,2385,E17,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7 e1g1 e8g8 b2b3 d8c8 b1c3 f6e4 c1b2 e4c3 b2c3 b7e4 d4d5 e6d5 c4d5 f8e8 f3e1 e4g2 e1g2 e7f8 d1c2 c7c6 g2f4 c6d5 c2b2 c8c6 a1c1 b8a6 f1d1 a8c8 f4d5 a6c5 f2f3 c6e6 e2e4 f7f5 e4e5 e6f7 c1c2 c5e6 c2d2 h7h5 b3b4 f5f4 d2d3 f4g3 h2g3 c8c4 d5e3 c4c7 f3f4 e8c8 d1f1 f7g6 b2d2 g6g3 e3g2 g3g4 f4f5 e6g5 f1f4 g5h3 d3h3 g4h3 d2d5 g8h7 c3d2 c7c1 d2c1 c8c1 g1f2 c1c2 f2g1 c2c1 g1f2 c1c2 f2g1 h3g3 f4c4 g3f2 g1h2 c2d2 d5e4 d7d5
Wch U18,Duisburg,1992.??.??,1,"Shulman, Yuri","Al Modiahki, Mohamad",1/2-1/2,,2295,E92,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 c1e3 c7c6 d4d5 f6g4 e3g5 f7f6 g5h4 c6c5 f3d2 g4h6 f2f3 h6f7 d1c2 g7h6 e1g1 h6f4 a2a3 b8a6 f1b1 h7h5 h4f2 f6f5 b2b4 b7b6 a1a2 c8d7 e2d3 f7h6 d2f1 f4g5 a2b2 f5f4 c2d1 g5h4 g2g3 h4g5 g1g2 f4g3 h2g3 h5h4 f2e1 d8f6 d3e2 g5f4 e2d3 f8f7 b2f2
Wch U18,Duisburg,1992.??.??,2,"Halac, Matias","Shulman, Yuri",1-0,2245,,E94,d2d4 g8f6 g1f3 g7g6 c2c4 f8g7 b1c3 e8g8 e2e4 d7d6 f1e2 e7e5 e1g1 b8d7 d1c2 c7c6 f1d1 d8e7 d4d5 c6c5 a2a3 h7h6 b2b4 f6e8 c1e3 f7f5 b4c5 d7c5 e3c5 d6c5 f3d2 e8d6 c3b5 c8d7 a3a4 a7a5 a1b1 d7b5 b1b5 d6b5 c4b5 b7b6 d2c4 e7b7 e2f3 a8d8 d5d6 f5f4 f3g4 g8h7 f2f3 h6h5 g4h3 f8f6 d6d7 f6f7 c2d3 b7c7 d3d5 f7f8 d5c6 c7b8 d1d6 f8f7 d6g6 f7d7 h3d7 d8d7 c6d7 h7g6 d7f5 g6h6 f5e6 h6h7 e6b6 b8c8 b6c6 c8d8 c6d5 d8e7 b5b6 e7f8 b6b7 g7f6 c4b6 c5c4
Wch U18,Duisburg,1992.??.??,3,"Shulman, Yuri","Achoundov, R.",1-0,,,D66,d2d4 d7d5 c2c4 e7e6 b1c3 f8e7 g1f3 g8f6 c1g5 e8g8 e2e3 b8d7 a1c1 c7c6 f1d3 f8e8 e1g1 f6h5 g5e7 d8e7 e3e4 d5c4 d3c4 d7b6 c4b3 h5f4 d1d2 f4g6 e4e5 e8d8 c3e4 c8d7 a2a4 a7a6 a4a5 b6c8 g2g3 d7e8 h2h4 h7h6 g1g2 c8a7 h4h5 g6f8 b3c4 a7b5 b2b4 f8h7 f1d1 f7f5 e4c5 h7f8 d1h1 a8b8 d2f4 e8f7 g3g4 f5g4 f4g4 b5c7 h1g1 g8h8 g2h2 f7g8 g1g3 c7e8 c1g1 b8c8 f3h4 c8c7 g3f3 g8f7 g4f4 h8g8 h4g6 f7g6 h5g6 d8d5 f4f8 e7f8 f3f8 g8f8 c5e6 f8e7 c4d5 c6d5 e6c7 e8c7 g1c1
Wch U18,Duisburg,1992.??.??,4,"Ellers, Holger","Shulman, Yuri",1/2-1/2,,,E69,d2d4 g8f6 c2c4 g7g6 g1f3 f8g7 g2g3 e8g8 f1g2 d7d6 e1g1 b8d7 b1c3 e7e5 e2e4 c7c6 b2b3 f8e8 h2h3 a7a5 f1e1 e5d4 f3d4 d7c5 c1f4 f6h5 f4e3 d8e7 d1c2 c8d7 a1d1 a8d8 g1h2 h5f6 e3f4 d7c8 e1e2 f6d7 f2f3 h7h5 f4e3 h5h4 g3g4 g7d4 d1d4 c5e6 d4d1 g6g5 e2d2 d7c5 c3e2 d8d7 c2c3 b7b6 e2d4 e7f6 c3c1 e6d4 d2d4 c5e6 d4d2 e6c5 d2d4 c5e6 d4d2 e6c5 d2f2 f6e5 f3f4 e5e7 f4g5 c5e4 g2e4 e7e4 e3b6 c6c5 b6a5 e4e5 c1f4 e5f4 f2f4 d7a7 d1e1 e8e5 a5c3
Wch U18,Duisburg,1992.??.??,5,"Shulman, Yuri","Forster, Richard",1-0,,2220,E92,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 c1e3 h7h6 e1g1 f6g4 e3c1 b8c6 d4d5 c6e7 f3e1 h6h5 f2f3 g4h6 c1e3 b7b6 b2b4 f7f5 c4c5 f5f4 e3f2 g6g5 a1c1 a7a6 c5b6 c7b6 c3a4 a8b8 d1c2 c8d7 b4b5 a6b5 a4c3 g5g4 e2b5 d7c8 c3a4 g4g3 h2g3 f4g3 f2g3 e7g6 e1d3 d8g5 g3h2 g8h7 g1h1 h6g8 c2c7 g6h4 c1c2 c8f5 c2f2 f5g6 c7d6 b8d8 d6b4 g8e7 d5d6 e7f5 e4f5 h4f5 d3e5 g6e8 d6d7 f5g3 h2g3 g5g3 d7e8q d8e8 b4e4
Wch U18,Duisburg,1992.??.??,6,"Merant, N.","Shulman, Yuri",0-1,2305,,B44,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 d4b5 d7d6 c2c4 g8f6 b1c3 a7a6 b5a3 b7b6 f1e2 c8b7 e1g1 c6b8 f2f3 b8d7 c1f4 d8c7 d1d2 f8e7 a1c1 e8g8 f1d1 d7e5 f4e3 a8c8 g1h1 b7a8 d2e1 c7b8 e1f2 e5d7 a3b1 f8e8 g2g4 h7h6 h2h4 f6h7 f2g3 d7e5 b1d2 g7g5 h4g5 h6g5 g3f2 e7d8 f3f4 g5f4 e3f4 h7g5 f2e3 f7f6 b2b3 g8g7 h1g2 e8h8 d1h1 d8e7 h1h5 e5g6 f4g3 a8c6 d2f3 b8b7 f3d4 c6d7 e2f3 g6e5 c1h1 b6b5 c4b5 a6b5 g3f4 g5f3 d4f3 e5g4 e3e1 h8h5 h1h5 c8g8 e1h4 b5b4 h5h7 g7f8 h7h8 e6e5 h4h7 d7e6 h8g8 e6g8 f4h6 g4h6 h7h6 f8e8 h6h8 b4c3 h8g8 e8d7 g8g4 d7c7 g4e6 c7b6 e6c4 b7c6 c4b4 b6c7 b4a5 c7d7 a5a7 d7e6 a7f2 c3c2 f3g5 e6d7 f2a7 d7c8 a7e7 c2c1q
Wch U18,Duisburg,1992.??.??,7,"Shulman, Yuri","Agamaliev, Djamil",1/2-1/2,,2350,E92,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 c1e3 h7h6 e1g1 f6g4 e3c1 b8c6 d4d5 c6e7 f3e1 h6h5 f2f3 g4h6 c1e3 f7f5 c4c5 g8h8 a1c1 e7g8 c5d6 c7d6 g1h1 g8f6 e4f5 h6f5 e3g5 c8d7 d1d2 d8b6 e2d3 a8c8 d3e4 c8c3 g5f6 c3c1 f6g7 h8g7 d2c1 f5e3 f1g1 d7f5 e1c2 e3c2 c1c2 f5e4 c2e4 b6b2 e4a4 b2b6 g1c1 f8f7 a4c4 b6d4 c4b3 e5e4 f3e4 d4e4 h2h3 e4e5 b3d3 g7h6 d3d2 e5g5 d2b2 g5d5 b2h8 h6g5 h8d8 g5h6 d8h8 h6g5 h8d8 g5h6
