Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Nikolaev,Nikolaev,1983.??.??,?,"Rashkovsky, Nukhim N","Smirin, Ilia",1-0,2495,,E04,g1f3 g8f6 c2c4 e7e6 g2g3 d7d5 d2d4 d5c4 f1g2 c7c5 e1g1 b8c6 d1a4 c8d7 d4c5 c6e5 a4c2 e5f3 g2f3 d8c8 c1e3 f8c5 f3b7 c8b7 e3c5 a8c8 c5a3 h7h5 h2h4 b7e4 c2d2 d7c6 f2f3 e4e5 g1f2 c8d8 d2b4 d8d7 b4c5 e5c5 a3c5 d7c7 c5d6 c7b7 d6a3 e8d7 f1d1 d7c8 d1c1 c6b5 b2b3 b7c7 a3d6 c7c6 b1a3
Nikolaev,Nikolaev,1983.??.??,?,"Oll, Lembit","Smirin, Ilia",1-0,2365,,B97,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1g5 e7e6 f2f4 d8b6 d1d2 b6b2 a1b1 b2a3 f4f5 b8c6 f5e6 f7e6 d4c6 b7c6 f1e2 a3a5 e1g1 f8e7 g1h1 a5d8 e4e5 d6e5 d2e3 d8d4 e3h3 e8g8 e2d3 g7g6 d3g6 h7g6 h3h6 f8f7 g5f6 f7f6 f1f6 e7f6 h6g6 f6g7 c3e4 c8d7 c2c3
Sokolsky mem,Minsk,1985.??.??,?,"Ivanov, Alexander V","Smirin, Ilia",1-0,,,B70,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 g2g3 g7g6 d4e2 f8g7 f1g2 e8g8 e1g1 c8e6 c3d5 a8c8 a2a4 c6e5 h2h3 e5c4 a1a2 c4b6 b2b3 b6d5 e4d5 e6f5 c2c4 f5e4 f2f3 e4f5 c1e3 a7a5 e2d4 f5d7 f3f4 e7e6 d5e6 f7e6 a2d2 d6d5 c4d5 e6d5 f1e1 d8e7 e3f2 e7b4 d4e6 d7e6 e1e6 f6e4 g2e4 d5e4 d2d7 c8e8 d7g7 g8g7 d1d7 f8f7 d7e8 b4b3 f2d4 g7h6 e6g6
Sokolsky mem,Minsk,1985.??.??,?,"Efimov, Igor","Smirin, Ilia",0-1,2405,,A43,d2d4 c7c5 d4d5 g8f6 b1c3 g7g6 e2e4 d7d6 h2h3 f8g7 a2a4 e8g8 c1f4 d8b6 f1b5 c8d7 a4a5 b6c7 b5c4 b7b5 a5b6 c7b6 b2b3 f6g4 c3a4 d7a4 a1a4 g4e5 c4e2 b8d7 f4e3 d7f6 f2f4 e5d7 g1f3 b6c7 f3d2 a7a5 e2b5 d7b6 a4a2 f6d5 e4d5 b6d5 b5d3 d5c3 d1a1 c3d5 a1d1 d5e3 d1f3 e3f5 e1g1 f5d4 f3e4 e7e6
Sokolsky mem,Minsk,1985.??.??,?,"Smirin, Ilia","Shereshevski, Mikhail",0-1,,,C12,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4 e4d5 d8d5 g5f6 g7f6 g1e2 b8c6 d1d2 b4c3 d2c3 c8d7 c3b3 d5b3 a2b3 c6b4 e1c1 d7c6 e2f4 e8c8 c2c3 b4d5 f4h5 h8g8 h1g1 d5e7 f1e2 c6g2 h5f6 g8g6 f6g4 g2e4 g4e5 g6g1 d1g1 e4g6 h2h4 f7f6 e5g6 h7g6 e2g4 c8d7 g1e1 f6f5 g4f3 c7c6 c1d2 d8h8 e1h1 d7d6 c3c4 e6e5 d2e3 e5d4 e3d4 c6c5 d4c3 b7b6 b3b4 c5b4 c3b4 e7c6 b4c3 c6e5 f3e2 f5f4 f2f3 a7a5 c3d4 e5c6 d4c3 c6e5 b2b3 h8h5 h1d1 d6e6 d1d5 h5h4 d5b5 e5d7 e2d3 h4h5 d3g6 h5b5 c4b5 e6d5 b3b4 a5b4 c3b4 d5d4 g6h5 d7e5 b4b3 d4e3 b3c2 e5f3 c2d1 f3d2
Sokolsky mem,Minsk,1985.??.??,?,"Smirin, Ilia","Korzubov, Peter",1-0,,2460,C12,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4 e4d5 d8d5 g5f6 b4c3 b2c3 g7f6 d1d2 d5e4 g1e2 c8d7 e1c1 e4d5 d2f4 d5a2 f4f6 h8f8 e2f4 d7a4 f1d3 b8d7 f6g5 d7b6 g5c5 e8c8 c1d2 a4c2 d3c2 e6e5 f4e2 e5d4 c3d4 b6c4 d2c3 a2b2 c3d3
Sokolsky mem,Minsk,1985.??.??,?,"Smirin, Ilia","Kapengut, Albert Z",1-0,,2455,B15,e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 g8f6 f1d3 f6e4 d3e4 c8f5 e4f5 d8a5 c1d2 a5f5 g1f3 b8d7 e1g1 e7e6 c2c4 f8d6 d1b3 e8c8 d2b4 d6b4 b3b4 g7g5 f1e1 g5g4 f3d2 d7f6 d2b3 h8g8 e1e5 f5c2 a1c1 c2b2 g1f1 a7a5 b4a5 g8g5 e5g5 f6e4 g5f5
Sokolsky mem,Minsk,1985.??.??,?,"Smirin, Ilia","Hasanov, Marat",1/2-1/2,,,B43,e2e4 c7c5 g1f3 e7e6 b1c3 a7a6 d2d4 c5d4 f3d4 b7b5 f1d3 c8b7 e1g1 d8c7 f1e1 f8c5 c1e3 d7d6 d1g4 e8f8 a1d1 g8f6 g4h4 b8d7 a2a3 d7e5 d4b3 c5e3 e1e3 h7h6 d3e2 a8d8 g1h1 g7g5 h4g3 e5g6 b3d4 f8g7 f2f3 d8d7 g3e1 d7d8 e1g3 h8e8 e2f1 e8e7 g3e1 c7b6 d4b3 d6d5 e4d5 b7d5 c3d5 f6d5 e3e4 e7d7 e1a5 b6a5 b3a5 d5f6 d1d7 d8d7 e4e1 d7d2 e1c1 g6e5 b2b4 f6d7 c2c4 d2a2 c4b5 a6b5 f1b5 a2a3 h1g1 d7b6 a5c6 e5c6 b5c6 a3b3 b4b5 b3b2 c1c5 g7f6 h2h4 b6a4 c5c4 a4b6 c4d4 b6d5 h4g5 h6g5
Sokolsky mem,Minsk,1985.??.??,?,"Smirin, Ilia","Basin, Leonid",0-1,,,B76,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 c1e3 f8g7 f2f3 e8g8 d1d2 b8c6 e1c1 d6d5 e4d5 f6d5 d4c6 b7c6 c3d5 c6d5 d2d5 d8c7 d5c5 c7b7 b2b3 c8f5 f1d3 a8c8 c5a5 c8c3 d3f5 c3e3 f5e4 b7b8 g2g3 b8c8 h2h4 h7h5 h1g1 a7a6 d1d5 c8e6 d5d8 f8d8 a5d8 g8h7 d8c7 f7f5 c7c5 e3c3 c5d5 e6b6
Sokolsky mem,Minsk,1985.??.??,?,"Dydyshko, Viacheslav","Smirin, Ilia",1/2-1/2,,,E94,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 e1g1 b8d7 d1c2 c7c6 f1d1 d8e7 d4d5 c6c5 a1b1 h7h6 a2a3 f6h7 e2d3 d7f6 b2b4 b7b6 b4c5 b6c5 c2a4 f6h5 a4c6 c8g4 b1b7 e7d8 d3e2 a7a6 h2h3 g4f3 e2f3 h5f4 c3e2 f4e2 f3e2 a8b8 c1d2 b8b7 c6b7 d8h4 e2f3 f7f5 d1e1 h7g5 d2g5 h6g5 b7e7 h4f4 e7d6 g5g4 h3g4 f5e4 d6e6 g8h7 e1e4 f4c1 g1h2 c1h6 h2g3 f8f4 e4e5 g7e5 e6e5 g6g5 f3e4 h7g8 e5e8 g8g7 e8e7 f4f7 e7e5 h6f6 e5f6 f7f6 e4f5 f6b6 g3f3 g7f6 f3e4 b6b2 d5d6 b2d2 d6d7 d2d4 e4e3 f6e7 g2g3 d4c4 f2f4 g5f4 g3f4 c4d4 g4g5 a6a5 f5h3 d4a4 h3e6 a4a3 e3e4 a3g3 f4f5 g3g4 e4d5 g4g5
