Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Leningrad/Moscow,Leningrad,1939.??.??,1,"Smyslov, Vassily","Kan, Ilia Abramovich",1/2-1/2,,,C43,e2e4 e7e5 g1f3 g8f6 d2d4 e5d4 e4e5 f6e4 d1d4 d7d5 e5d6 e4d6 f1d3 b8c6 d4f4 f8e7 e1g1 e8g8 b1c3 c8e6 c1e3 d8d7 a1d1 a8d8 f3g5 e7g5 f4g5 f7f6 g5h4 e6f5 e3c5 f5d3 d1d3 d7e6 c3d5 f8f7 f1d1 f7d7 d5c7 d7c7 c5d6 c7d7 h4g3 e6a2 h2h4 a2e6 h4h5 h7h6 b2b3 c6e5 d6e5 d7d3 d1d3 d8d3 g3d3 f6e5 d3d8 g8h7 d8d3 h7h8 d3d8
Leningrad/Moscow,Leningrad,1939.??.??,2,"Smyslov, Vassily","Konstantinopolsky, Alexander",1-0,,,C77,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 d2d3 d7d6 c2c3 f8e7 b1d2 b7b5 a4c2 e8g8 d2f1 d6d5 d1e2 f8e8 f1g3 h7h6 e1g1 c8e6 d3d4 d5e4 f3e5 e6d5 g3e4 e7d6 f2f4 f6e4 c2e4 d6f8 e4d5 d8d5 e2f3 d5f3 f1f3 c6e7 f4f5 f7f6 e5d3 e7d5 d3f4 d5f4 c1f4 f8d6 f4d6 c7d6 g1f2 b5b4 a1c1 a8b8 c3c4 e8e4 f3d3 e4f4 f2e2 f4f5 c4c5 d6c5 d4c5 f5e5 d3e3 e5e3 e2e3 g8f7 e3d4 f7e6 c1e1 e6d7 d4d5 b8b5 e1e4 g7g6 h2h4 f6f5 e4f4 h6h5 f4d4 d7c7 b2b3 b5b8 d5c4 b8e8 d4d6 e8e4 c4d5 e4h4 d6g6 h4g4 g6a6 g4g2 a6a7 c7b8 a7h7 g2a2 h7h5 a2c2 d5c6 b8a7 c6b5 c2e2 h5h7 a7b8 b5b6 e2e8 c5c6 f5f4 h7b7 b8c8 b7a7
Leningrad/Moscow,Leningrad,1939.??.??,3,"Alatortsev, Vladimir","Smyslov, Vassily",0-1,,,E47,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 d7d6 g1e2 e6e5 e1g1 b4c3 e2c3 b8c6 d4d5 c6b8 e3e4 b8d7 c1e3 d7c5 d3c2 a7a5 h2h3 d8e7 a2a3 f6e8 b2b4 a5b4 a3b4 a8a1 d1a1 c5a6 a1a3 g7g6 c4c5 f7f5 e4f5 g6f5 f2f3 f8f7 c2d3 f7g7 d3a6 f5f4 e3c1 c8h3 f1f2 b7a6 c3e4 g7g6 g1f1 h3f5 a3a6 e7h4 a6a4 g8f8 a4d1 f5e4 f3e4 e8f6 c5d6 f6e4 d1c2 h4h1 f1e2 g6g2 f2g2 h1g2 e2d3 g2c2 d3c2 e4d6 c2d3 f8f7 c1b2 f7f6 d3e2 f6f5
Leningrad/Moscow,Leningrad,1939.??.??,4,"Smyslov, Vassily","Makogonov, Vladimir Andreevich",1/2-1/2,,,B10,e2e4 c7c6 g1f3 d7d5 b1c3 d5e4 c3e4 c8g4 f1c4 e7e6 c2c3 b8d7 d2d4 g8f6 e4g3 d8c7 h2h3 g4f3 d1f3 f8d6 e1g1 e8g8 c1g5 c7a5 g5f4 a5c7 f4d6 c7d6 a1d1 f8d8 c4b3 d7f8 f1e1 d8d7 g3f1 f8g6 g2g3 a8d8 h3h4 g6e7 f1d2 b7b5 f3e2 a7a5 a2a3 d6c7 d2f3 e7g6 f3g5 g6f8 g5f3 d7d6 f3e5 b5b4 e5d3 b4a3 b2a3 f8d7 d3b2 d7b6 e2e5 b6d7 e5f4 f6d5 f4f3 c6c5 d4c5 c7c5 c3c4 d5f6 d1d6 c5d6 b3c2 d6d2 f3e2 d2c3 a3a4 d7c5 e1d1 d8b8 d1d2 g8f8 b2d1 c3b4 e2e5 c5d7 e5e2 b8c8 c2h7 d7e5 d2b2 b4d6 h7c2 e5c4 b2b3 d6c6 d1c3
Leningrad/Moscow,Leningrad,1939.??.??,5,"Belavenets, Sergey Vesevolodovi","Smyslov, Vassily",0-1,,,A48,d2d4 g8f6 g1f3 g7g6 c1f4 f8g7 e2e3 c7c5 b1d2 e8g8 c2c3 b7b6 h2h3 c8b7 f1c4 d7d5 c4d3 b8d7 e1g1 f6e4 d1c2 e4d2 c2d2 f8e8 f4g3 a7a6 a1d1 e7e5 d4e5 d7e5 d3e2 f7f6 g3e5 f6e5 e3e4 d5e4 e2c4 g8f8 d2e3 e4f3 d1d8 a8d8 g2f3 d8d6 c4d3 e8d8 d3e4 b7c8 g1g2 a6a5 f1b1 c8e6 b2b3 g7f6 a2a3 f8g7 b3b4 h7h6 b4c5 f6g5 e3e2 d6d2 e2b5 g5e3 c5b6 d2f2 g2g3 g7f6 b1e1 d8d2 e1g1 g6g5
Leningrad/Moscow,Leningrad,1939.??.??,6,"Smyslov, Vassily","Ragozin, Viacheslav",0-1,,,C66,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f8e7 f1e1 d7d6 d2d4 c8d7 b1c3 e5d4 f3d4 e8g8 b5f1 f8e8 h2h3 h7h6 b2b3 e7f8 c1b2 c6e5 f2f4 e5g6 d1f3 c7c6 f1d3 d8a5 g2g4 a8d8 d4f5 d6d5 e4e5 f6h7 c3e2 c6c5 c2c4 d7c6 c4d5 c6d5 f3g3 b7b5 e2c3 c5c4 d3f1 d5a8 c3e4 a5b6 g1h2 f8b4 f5d6 a8e4 d6e8 b4e1 a1e1 e4a8 e8d6 b6c6 g3e3 g6f4 h2g3 f4d3 f1d3 c6g2 g3f4 c4d3 e5e6 g2h2
Leningrad/Moscow,Leningrad,1939.??.??,7,"Panov, Vasily N","Smyslov, Vassily",1/2-1/2,,,C77,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 d2d3 d7d6 c2c3 f8e7 e1g1 e8g8 f1e1 f6d7 a4c2 e7f6 b1d2 d7b6 d2f1 f8e8 f1g3 d6d5 d1e2 h7h6 h2h3 c8e6 g3h5 b6d7 g1h2 f6e7 g2g4 d7f8 e1g1 f8h7 g1g2 b7b5 c1e3 d5e4 d3e4 e6c4 e2e1 h7g5 f3g1 g7g6 a1d1 e7d6 b2b3 c4e6 h5g3 d8f6 g3f5 g6f5 g4f5 e6f5 h3h4 f5g6 h4g5 h6g5 e3g5 f6h8 g1h3 c6d8 e1e3 d8e6 d1h1 e6g5 e3g5 d6e7 g5g4 a8d8 b3b4 h8h6 c2b3 g8h7 h2g1 h6c1 g1h2 c1h6 h2g1 h6c1 g1h2
Leningrad/Moscow,Leningrad,1939.??.??,8,"Smyslov, Vassily","Goglidze, Victor Arsentievich",1-0,,,B85,e2e4 c7c5 g1f3 d7d6 d2d4 g8f6 b1c3 c5d4 f3d4 b8c6 f1e2 e7e6 e1g1 f8e7 c1e3 e8g8 f2f4 a7a6 d1e1 c8d7 a1d1 d8c7 e1g3 g8h8 g1h1 b7b5 a2a3 a8c8 e2d3 f6g8 d4c6 d7c6 e3d4 f7f6 g3h3 e6e5 c3d5 c7b7 d4c3 f8e8 d3e2 c6d7 f4f5 d7c6 e2h5 e8f8 h5g6 h7h6 h3h5 c6e8 g6e8 f8e8 h5f7 b7c6 f1f3 e7f8 f3g3 e8d8 h2h3 d8d7 f7g6 g8e7 d5e7 d7e7 d1d5 e7d7 h1h2 c6a8 c3d2 c8c2 d2h6 d7e7 d5d6 c2c6 d6c6 a8c6 g3c3 c6e4 h6e3 h8g8 e3c5 e7f7 c5f8 f7f8 c3c7 e4f4 h2g1 f4e3 g1h1 e3h6 g6h6 g7h6 h1h2 f8d8 h2g3 d8d4 c7c6 g8g7 c6a6 h6h5 a6b6 h5h4 g3f3 d4f4 f3e3 f4f5 b6b5 f5f1 a3a4 f1a1 a4a5 g7g6 e3e4 a1e1 e4d5 e5e4 b2b4 f6f5 a5a6 e1a1 b5b6 g6g5 b6e6 g5f4 b4b5 f4g3 b5b6 a1a5 d5c4 a5a6 b6b7 a6e6 b7b8q g3f2 b8f4 f2g1 f4f5 e6e8 f5d7 e8g8 d7d4 g1g2 d4e4 g2h2 e4h4 g8g3 c4d4 g3h3 h4f2 h2h1 f2f1 h1h2 f1f2 h2h1 d4e4 h3h7 f2f5 h7h4 e4f3
Leningrad/Moscow,Leningrad,1939.??.??,9,"Reshevsky, Samuel Herman","Smyslov, Vassily",1-0,,,D36,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 b8d7 c4d5 e6d5 e2e3 f8e7 d1c2 e8g8 f1d3 f8e8 g1f3 d7f8 h2h3 c7c6 g5f4 e7d6 f4d6 d8d6 e1g1 d6e7 a1b1 f6e4 b2b4 e4g5 f3g5 e7g5 g1h2 f8g6 f2f4 g5h4 c2d2 h4e7 d2f2 f7f6 f4f5 g6h8 f1e1 h8f7 e3e4 e7d6 h2g1 c8d7 b4b5 a8d8 d3c2 d5e4 c3e4 d6c7 c2b3 g8f8 e4c5 f7d6 b3e6 d6b5 e6d7 d8d7 c5e6 e8e6 f5e6 d7e7 f2f5 b5d4 f5h7 d4e6 h7h8 f8f7 h8h5 g7g6 h5f3 e6d4 f3g4 c6c5 h3h4 c7d7 e1e7 d7e7 g1h1 b7b6 g4f4 f7g7 f4f2 d4c6 h4h5 c6e5 h5g6 e7d6 f2h4 e5g6 h4g4 d6e5 b1d1 g7f7 d1d7 g6e7 d7a7 e5e1 h1h2 e1e5 g2g3 e5d5 g4e2 d5e6 e2d3 f6f5 a7a4 f7f6 d3d2 e7d5 a4h4 f6g7 d2g5 e6g6 g5d8 d5f6 h2g2 g6e8 d8e8 f6e8 g2f3 e8f6 f3f4 g7g6 f4e5 f6e4 h4h8 c5c4 g3g4 c4c3 g4f5 g6g7 e5e4 g7h8 e4d3
Leningrad/Moscow,Leningrad,1939.??.??,10,"Smyslov, Vassily","Tolush, Alexander V",0-1,,,C16,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 g8e7 a2a3 b4a5 f1d3 b8d7 d1g4 c7c5 b2b4 c5d4 f2f4 d4c3 b4a5 d7c5 d3b5 c8d7 g4g7 h8g8 b5d7 d8d7 g7h7 g8g2 h7h3 g2g8 h3c3 a8c8 g1e2 e7f5 a3a4 d5d4 c3f3 d4d3 c2d3 c5d3 e1f1 f5h4 f3h3 d3c1 h3h4 d7d3 h4h5 c8c2
