Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
WYb12,Heraklio GRE,2004.11.06,3,"So,Wesley","Caruana,F",1-0,,2196,B21,e2e4 c7c5 f2f4 d7d5 e4d5 d8d5 b1c3 d5d8 g1f3 g7g6 d2d4 c5d4 f3d4 f8g7 c1e3 g8f6 f1e2 e8g8 h2h3 f6d5 c3d5 d8d5 e1g1 f8d8 e2f3 d5c5 c2c3 b8c6 f3c6 b7c6 d1f3 g7d4 e3d4 c5d5 f3e3 c8e6 a1e1 a8b8 b2b3 b8b7 g2g4 c6c5 d4c5 d5d2 c5d4 d2e3 e1e3 a7a5 f4f5 e6d5 d4c5 e7e6 c3c4
WYb12,Heraklio GRE,2004.11.06,4,"Ding,L","So,Wesley",1-0,2231,,A04,g1f3 c7c5 g2g3 b8c6 f1g2 g7g6 c2c3 e7e5 d2d4 c5d4 c3d4 e5e4 f3e5 f7f5 b1c3 f8g7 c1f4 g8e7 e5c4 c6d4 f4h6 d4e6 h6g7 e6g7 c4d6 e8f8 d1d2 a7a6 e1c1 b7b5 g3g4 h7h6 g4f5 g6f5 g2e4 a8b8 h1g1 h8h7 d2d4 f5e4 d4f6 f8g8 c3d5 e7c6 f6g6
WYb12,Heraklio GRE,2004.11.10,8,"Alonso Rosell,A","So,Wesley",1-0,2112,,A80,d2d4 f7f5 b1c3 d7d5 c1g5 c7c6 e2e3 g7g6 f1d3 f8g7 h2h4 g8f6 g1e2 f6e4 d3e4 f5e4 e2f4 e8g8 h4h5 f8f5 g5h4 g6g5 g2g4 f5f4 e3f4 g5h4 g4g5 h7h6 d1d2 c8g4 h1g1 d8d7 g5h6 g4f3 f4f5 d7f5 h6g7 f5h5 d2f4 b8d7 g1g5 h5h6 g5g4 h6f4 g4f4 g8g7 f4h4 a8g8 c3e2 g7f7 e2g3 d7f6 e1d2 f7e6 g3e2 e6d6 a1g1 g8f8 g1g6 d6d7 e2f4 f8f7 h4h8 f6e8 f4e6 b7b6 e6f8 d7c7 f8h7 f3h5 g6g2 f7f5 h7g5 e8f6 g5e6 c7d7 e6g7 h5f3 g7f5 f3g2 h8a8 f6g4 a8a7 d7e6 f5e3
WYb12,Heraklio GRE,2004.11.13,11,"So,Wesley","Kanmazalp,O",1-0,,2213,B23,e2e4 c7c5 f2f4 d7d6 g1f3 g8f6 b1c3 b8c6 f1b5 g7g6 b5c6 b7c6 d2d3 f8g7 e1g1 e8g8 d1e1 e7e6 g1h1 a8b8 b2b3 c8a6 e4e5 f6e8 c1d2 d6d5 c3a4 d8e7 c2c4 f7f6 d2e3 d5d4 e3c1 f6e5 f4e5 f8f5 c1a3 e7c7 a3c5 g7e5 f3e5 c7e5 e1e5 f5e5 f1f8 g8g7 f8e8 b8e8 c5d4 g7f6 a1f1 f6e7 d4e5 a6c8 a4c5 a7a5 c5e4
Open,Nice FRA,2005.08.01,1,"So,W","Libiszewski,F",1/2-1/2,2165,2413,C12,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4 e4e5 h7h6 g5d2 b4c3 b2c3 f6e4 d1g4 g7g6 d2c1 c7c5 f1d3 e4c3 d4c5 b8d7 g4b4 c3e4 d3e4 d8h4 g1f3 h4e4 b4e4 d5e4 f3d2 e4e3 d2e4 e3f2 e1f2 b7b6 c5c6 d7e5 c1b2 e5g4 f2f3 e8g8 h2h3 f7f5 h3g4 f5e4 f3e4 h6h5 g4h5 e6e5 h5g6 c8f5 e4e5 f5g6 e5d6 g6h7 a1f1 f8d8 d6c7 d8c8 c7b7 a8b8 b7a7 b8a8 a7b7 a8b8 b7a6 c8c6 f1f3 b6b5 a6a5 c6g6 f3h3 g6g4 c2c4 b5c4 b2c3 g4g2 a2a4 b8b3
Open,Nice FRA,2005.08.06,7,"Leer Salvesen,B","So,W",1/2-1/2,2374,2165,A37,c2c4 c7c5 g2g3 b8c6 f1g2 g7g6 b1c3 f8g7 g1f3 e7e6 e1g1 g8e7 e2e3 e7f5 b2b3 e8g8 c1b2 d7d5 c4d5 e6d5 d2d4 c5d4 f3d4 f5d4 e3d4 g7d4 d1d2 c8e6 a1d1 e6g4 d1c1 g4e6 c1d1 e6g4 d1c1 g4e6 f1d1 a8c8 b2a3 f8e8 c3b5 d4e5 g2d5 e6d5 d2d5 d8d5 d1d5 c8d8 b5d6 e5d6 a3d6 e8e2 a2a3
8th Dubai Open,Dubai UAE,2006.04.24,2,"So,W","Abbasov,F",1/2-1/2,2254,2467,B06,e2e4 g7g6 d2d4 f8g7 b1c3 c7c6 g1f3 d7d6 c1e3 d8b6 a2a3 g8f6 h2h3 e8g8 f1d3 b8d7 e1g1 b6c7 d1d2 b7b6 c3e2 c8b7 e2g3 f8e8 e3h6 g7h8 f1e1 e7e5 c2c3 a8d8 h6g5 d7f8 a1d1 f8e6 g5h4 e6f4 d3b1 h7h6 g3e2 f4e2 e1e2 g8h7 e2e1 c6c5 d4e5 d6e5 d2e2 c5c4 f3d2 b6b5 d2f1 a7a6 f2f3 d8d1 e1d1 e8d8 d1d8 c7d8 e2d2 d8d2 f1d2 f6d7 h4f2 h8f6 g1f1 f6e7 b1c2 h7g7 a3a4 d7c5 a4b5 a6b5 f1e2 b7c8 d2f1 c5e6 g2g3 e7c5 f2c5 e6c5 h3h4 c8e6 f1e3 g7f8 f3f4 f7f6 f4f5 g6f5 e4f5 e6f7 g3g4 f8e7 e3f1 f7d5 e2e3 c5d7 f1g3 d7b6 g3f1 d5c6 f1d2 b6d5 e3f2 c6e8 c2e4 d5f4 f2e3 e7d6 e4f3 e8d7 f3e4 d6e7 d2f3 f4h3 e3e2 e7d6 e2e3 d7e8 e4c2 e8c6 f3d2 h3f4 c2e4 c6d5 h4h5 d6e7 e4d5 f4d5 e3e2 d5b6 b2b3 c4b3 d2b3 b6a4 e2d3 e7d6 b3d2 a4c5 d3e3 d6d5 e3f3 c5d3 d2e4 d3e1 f3e3 e1g2 e3f3 g2h4 f3e3 h4g2 e3f3 g2h4 f3e3 h4g2 e3f3 g2h4
8th Dubai Open,Dubai UAE,2006.04.25,3,"Sale,S","So,W",0-1,2453,2254,B20,g2g3 c7c5 f1g2 b8c6 f2f4 g7g6 g1f3 f8g7 e2e4 e7e6 d2d3 g8e7 c2c3 e8g8 e1g1 b7b6 a2a4 c8a6 b1a3 a8c8 f1e1 d7d6 c1e3 e6e5 a3c4 d8c7 d1b3 c8d8 a1d1 h7h6 e3c1 g8h7 c4e3 e5f4 g3f4 f7f5 e4f5 e7f5 e3f5 f8f5 f3h4 f5f6 b3c2 c6e7 c2e2 e7f5 h4f5 f6f5 g2e4 f5f6 e2g2 a6c8 e1e3 c8e6 e3g3 c7f7 d1e1 d8e8 c1d2 d6d5 e4f3 f7d7 b2b3 e6f7 e1e5 f6d6 e5e8 d7e8 f4f5 e8e5 f3g4 d5d4 c3c4 g6f5 g4f5 e5f5 g3g7 h7h8 g7g3 d6g6 g2a8 h8h7 a8a7 g6f6
8th Dubai Open,Dubai UAE,2006.04.26,4,"So,W","El Taher,F",1-0,2254,2468,C27,e2e4 e7e5 f1c4 g8f6 d2d3 f8c5 b1c3 d7d6 f2f4 f6g4 f4f5 h7h5 g1h3 g4e3 c1e3 c5e3 d1f3 e3c5 f3g3 h8g8 h1f1 c7c6 c4f7 e8f7 g3g6 f7f8 f5f6 g7f6 f1f6 d8f6 g6f6 f8e8 h3g5 g8f8 f6g6 e8d8 c3a4 c5f2 e1d2 d8e7 g6g7 e7e8 g5h7
8th Dubai Open,Dubai UAE,2006.04.27,5,"Sargissian,G","So,W",1-0,2612,2254,E20,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 g1f3 c7c5 g2g3 c5d4 f3d4 e8g8 f1g2 d7d5 c4d5 f6d5 d1b3 b8c6 d4c6 b7c6 e1g1 d8a5 c1d2 b4c3 b2c3 c8a6 f1d1 a5c5 e2e4 a6c4 b3a4 d5b6 a4b4 c5h5 d2f4 c4e2 d1e1 f8d8 f4c7 d8d7 c7f4 a8d8 h2h3 c6c5 b4b2 e2d3 b2c1 c5c4 c1a3 h5b5 f4e3 e6e5 h3h4 b5a4 a3c1 f7f6 h4h5 a4c2 c1c2 d3c2 e1c1 c2d3 a2a4 d7c7 a1a2 b6d7 a2b2 d8b8 b2b8 d7b8 a4a5 b8a6 c1a1 a6c5 f2f3 c7c6 a1a3 a7a6 g2h3 g8f7 g1f2 c6c7 h5h6 g7g6 e3c5 c7c5 a3a2 f6f5 g3g4 f7f6 g4f5 g6f5 h3f5 f6g5 f5h7 g5h6 h7f5 h6g5 f2e3 g5f6 f3f4 e5f4 e3f4 c5e5 f4e3 f6e7 e3d4 e7d6 a2h2 e5a5 h2h6 d6e7 f5e6 d3e2 e6d5 a5a1 e4e5 a1g1 h6h7 e7f8 e5e6
