Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
BCF-ch U14,Rhyl,1969.??.??,?,"Speelman, Jonathan S","Fletcher, John",1-0,,,C57,e2e4 e7e5 g1f3 g8f6 f1c4 b8c6 f3g5 d7d5 e4d5 f6d5 g5f7 e8f7 d1f3 f7e6 b1c3 c6b4 d2d4 c7c6 f3e4 e6f7 a2a3 d8a5 a3b4 a5a1 c3d5 a1c1 e1e2 c1h1 d5c7 f7e7 e4e5 e7d7 c7a8 h1g2 e5c7
BCF-ch,Brighton,1972.08.14,1,"Basman, Michael J","Speelman, Jonathan S",0-1,2385,,B02,e2e4 g8f6 e4e5 f6d5 b1c3 e7e6 g2g3 d7d6 e5d6 f8d6 f1g2 e8g8 g1e2 c8d7 c3d5 e6d5 g2d5 d7h3 d5b7 b8d7 d2d4 a8b8 b7f3 d8f6 e2g1 f8e8 c1e3 h3f5 g3g4 f5g6 b2b3 c7c5 e1f1 c5d4 e3d4 d6e5 c2c3 b8d8 f1g2 e5d4 c3d4 d7e5 f3b7 e5d3 g1h3 d8d4 d1f3 f6e6 h1d1 h7h6 d1d3 d4d3 h3f4 d3f3 f4e6 f3c3 e6f4 g6e4 b7e4 e8e4 f4d5 e4g4 g2f1 c3c5 a1d1 g4e4 d5e3 e4e7 d1d8 g8h7 b3b4 c5c1 f1e2 c1c2 d8d2 c2d2
BCF-ch,Brighton,1972.08.15,2,"Speelman, Jonathan S","Pritchett, Craig William",1/2-1/2,,2340,A22,c2c4 e7e5 b1c3 g8f6 g2g3 f8b4 f1g2 e8g8 e2e4 c7c6 g1e2 d7d5 c4d5 c6d5 e4d5 c8f5 d2d4 e5e4 e1g1 b8d7 h2h3 h7h6 d1b3 d8a5 a2a3 b4c3 e2c3 d7b6 c1d2 a5a6 f1c1 a6c4 b3d1 f6d5 c3e4 c4d4 e4c3 a8d8 c3d5 b6d5 d2a5 d4d1 c1d1 b7b6 a5e1 f5e6 d1d4 d5f6 a1d1 d8d4 d1d4 f8c8 e1c3 f6d7 h3h4 c8c4 d4c4 e6c4 f2f4 c4e6 g1f2 h6h5 f2e3 g7g6 a3a4 g8f8 a4a5 f8e7 c3b4 e7f6 e3d4 f6f5 g2f3 f5f6 a5b6 a7b6 b4d6 f6g7 d4c3 f7f5 c3b4 g7f7 b4b5 e6b3 b5c6 f7e6 d6b4 d7f6 c6b6 f6e4
BCF-ch,Brighton,1972.08.16,3,"Haygarth, Michael J","Speelman, Jonathan S",1-0,,,B06,d2d4 g7g6 e2e4 f8g7 b1c3 d7d6 f1e2 c7c6 g1f3 b7b5 a2a3 a7a6 c1g5 g8f6 h2h3 e8g8 e1g1 h7h6 g5e3 d8c7 d1d2 g8h7 a1d1 b8d7 f3h2 a6a5 e2d3 b5b4 a3b4 a5b4 c3e2 c6c5 e2g3 c8b7 c2c4 c5d4 e3d4 d7c5 d2b4 a8a4 b4c3 c5d3 b2b3 a4a2 c3d3 c7c6 f1e1 f8a8 h2f3 a8a3 d1d2 a2d2 f3d2 h7g8 d2f3 h6h5 e4e5 d6e5 e1e5 c6d7 e5e3 b7a8 d4b2 d7d3 e3d3 a3a2 b2e5 a8f3 d3f3 a2d2 g1f1 h5h4 e5f6 e7f6 g3e4 d2b2
BCF-ch,Brighton,1972.08.17,4,"Speelman, Jonathan S","Bellin, Robert",1/2-1/2,,2315,B25,e2e4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 d2d3 d7d6 f2f4 e7e6 g1f3 g8e7 e1g1 e8g8 c1e3 a8b8 d1d2 b7b5 a2a3 f7f5 e4e5 d6e5 f4e5 d8c7 a3a4 b5a4 c3a4 c6e5 f3e5 g7e5 d2f2 e7c6 e3c5 f8d8 c5e3 e5d4 c2c3 d4e3 f2e3 c6e5 e3f4 c7d6 d3d4 e5c4 f4d6 d8d6 f1f2 c8b7 g2b7 b8b7 a4c5 b7b2 f2b2 c4b2 a1a7 b2d1
BCF-ch,Brighton,1972.08.18,5,"Littlewood, John Eric","Speelman, Jonathan S",1-0,2340,,B04,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 g7g6 f1c4 d5b6 c4b3 f8g7 e5d6 c7d6 e1g1 e8g8 f1e1 h7h6 a2a4 a7a5 b1a3 b8c6 c2c3 b6d7 d1e2 f8e8 b3f7 g8f7 e2e6 f7f8 e6g6 e7e6 c1h6 d8f6 e1e6 e8e6 h6g7 f6g7 g6e6 g7f6 e6b3 f6f7 b3f7 f8f7 a3b5 d6d5 b5c7 a8b8 a1e1 d7b6 b2b3 c8f5 h2h4 f5c2 f3g5
BCF-ch,Brighton,1972.08.19,6,"Speelman, Jonathan S","Hutchings, Stuart J",1/2-1/2,,,A17,c2c4 g8f6 b1c3 e7e6 g1f3 f8b4 g2g3 e8g8 f1g2 d7d5 a2a3 b4c3 b2c3 b8c6 c4d5 e6d5 e1g1 f8e8 d2d3 c6e7 a3a4 c7c5 a1b1 e7c6 f1e1 h7h6 f3d2 b7b6 c3c4 c8b7 c4d5 f6d5 c1b2 d5f6 d2c4 d8e7 d1b3 a8d8
BCF-ch,Brighton,1972.08.21,7,"Lemon, RC.","Speelman, Jonathan S",1-0,,,E74,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f1e2 e8g8 c1g5 c7c5 d4d5 h7h6 g5e3 e7e6 d5e6 c8e6 d1d2 g8h7 e1c1 d8a5 f2f3 b7b5 c3b5 a5a2 d2c2 b8c6 b5c3 a2a5 d1d6 c6d4 c2a4 a5a4 c3a4 f6e8 d6e6 d4e6 a4c5 e8c7 g1h3 f8b8 c5d3 g7d4 e3d2 b8b3 c1c2 a8b8 d2c1 c7a6 h3f4 e6f4 c1f4 b8b7 f4c1 b3b6 h1d1 d4g7 f3f4 b7c7 d3f2 a6b4 c2b1 a7a5 e4e5 a5a4 f2e4 g7f8 d1d8 a4a3 e4f6 b6f6 e5f6 a3a2 b1a1 c7a7 e2d1 f8c5 c1d2 b4c6 d8c8 c5d4 d2c3 d4c3 b2c3 c6a5 c4c5 a7d7 d1a4 d7d3 a1a2
BCF-ch,Brighton,1972.08.22,8,"Speelman, Jonathan S","Edwards, Raymond",1/2-1/2,,,A25,c2c4 e7e5 b1c3 b8c6 g2g3 d7d6 f1g2 g7g6 e2e3 f8g7 g1e2 c8e6 d2d3 d8d7 c3d5 g8e7 a1b1 e8g8 e1g1 c6d8 b2b4 c7c6 d5e7 d7e7 b4b5 e7d7 b5c6 b7c6 c1a3 a8c8 d1d2 f7f5 f2f4 d8f7 b1b3 g6g5 f1b1 h7h6 d2a5 c8c7 b3b8 f8b8 b1b8 g8h7 a5b4 d6d5 c4c5 c7c8 b8b7 c8c7 b7b8 c7c8 b8c8 d7c8 g2f1 c8c7 a3b2 e6d7 f1h3
BCF-ch,Brighton,1972.08.23,9,"Emsley, JS.","Speelman, Jonathan S",0-1,,,A26,c2c4 g7g6 g2g3 f8g7 f1g2 b8c6 d2d3 d7d6 g1f3 e7e5 b1c3 f7f5 e1g1 g8f6 c1g5 h7h6 g5f6 d8f6 c3d5 f6f7 f3d2 c6d4 e2e3 d4e6 d5c3 e8g8 f2f4 c7c6 a1c1 c8d7 b2b4 a8e8 g1h1 e5f4 g3f4 g6g5 f4g5 h6g5 c3e4 g5g4 e4d6 f7h5 d3d4 e8e7 c4c5 e6g5 d2c4 f8f6 d1e1 f6h6 e1g3 g5f7 d6f7 e7f7 f1f4 g7f6 g2f1 d7e6 c4d6 f7h7 c1c2 e6d5 e3e4 f5e4 f4g4 g8f8 f1g2 h5h2 g3h2 h6h2 h1g1 f6d4 g1f1 h2h4 g4h4 h7h4 f1e1 h4h7 d6e4 d5e4 g2e4 h7e7 c2e2 d4c3 e1d1 c3b4 e2f2 f8g7 f2g2 g7f6 e4d3 b4c5 g2g6 f6f7 g6g5 c5d4 d1c2 f7e8 g5g8 e8d7 d3f5 d7c7 c2d3 d4c5 g8h8 e7e3 d3c4 b7b5 c4c5 e3e5 c5b4 e5f5 b4a5 f5f4 h8h7 c7d6 a5a6 f4a4 a6b7 a4a2 h7h6 d6c5 h6h5 c5b4 b7c6 a2c2 c6b7 b4a4 b7a7 b5b4 a7b6 b4b3 h5a5 a4b4 a5b5 b4c3 b5c5 c3d2 c5b5 b3b2 b6a5 d2c1
