Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Barmen-B,Barmen,1905.??.??,?,"Baird, John Washington","Spielmann, Rudolf",1/2-1/2,,,C50,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 g8f6 b1c3 d7d6 h2h3 c8e6 c4b3 d8d7 g1h2 h7h6 d2d3 g7g5 c3d5 e6d5 e4d5 c6e7 c2c4 g5g4 d3d4 e5d4 b3a4 c7c6 d5c6 b7c6 f3d4 g4h3 g2h3 f6e4 d4c6 e4f2 f1f2 e7c6 d1d5 a8c8 f2e2 e8d8 c1d2 h8g8 a1f1 c8c7 a4c6 c7c6 d2a5 d8c8 b2b4 g8g5 d5f3 c5d4 b4b5 c6b6 a5b6 d4b6 f1e1 d6d5 e2e8 c8b7 e8e7 b6c7 h2h1 d7d6 e7e2 g5g3 f3d5 d6d5 c4d5 g3h3 h1g2 h3d3 e2e7 b7b6 e7f7 c7d6 e1e6 d3d5 e6h6 b6b5 f7a7 b5b6 h6h7 d5a5 a7a5 b6a5 h7b7 a5a6 b7b3 a6a7 g2f3 a7a8 f3e4 d6b8 e4d5 b8a7 d5c6 a7b8 b3a3 b8a7 a3a5 a8b8 a5b5 b8a8 a2a4 a7b8 c6b6 b8a7 b6a6 a7g1 a4a5 g1f2 b5b7 f2g3 b7a7 a8b8 a7g7 g3f2 g7g8 b8c7 a6b5 c7b7 a5a6 b7a7 g8g7 a7a8 g7b7 f2g1 b5c6 g1f2 b7f7 f2g1 f7f1 g1e3 c6b5 e3d4 f1f7 d4g1 f7e7 g1f2 e7e2 f2g1 e2e1 g1f2 e1e7 f2g1
Barmen-B,Barmen,1905.??.??,?,"Fahrni, Hans","Spielmann, Rudolf",1-0,,,D06,d2d4 d7d5 g1f3 c7c5 c2c4 b8c6 c4d5 d8d5 b1c3 d5d8 d4d5 c6b8 e2e4 e7e6 f1b5 c8d7 d5e6 f7e6 f3g5 d8b6 d1h5 g7g6 h5f3 g8h6 f3f6 d7b5 f6h8 b8d7 c3b5 b6b5 g5e6 b5b4 h8c3 b4e4 c3e3 e4b4 c1d2 h6f5 e6g7 e8d8 e3e8 d8c7 d2b4 a8e8 g7e8 c7d8 b4c3 d8e8 e1c1 b7b5 h1e1 e8d8 c3a5
Barmen-B,Barmen,1905.??.??,?,"Leussen, Benjamin","Spielmann, Rudolf",0-1,,,D26,d2d4 d7d5 c2c4 d5c4 g1f3 g8f6 e2e3 e7e6 f1c4 a7a6 e1g1 b7b5 c4d3 c8b7 a2a4 b5b4 b1d2 b8d7 d2b3 f8e7 d1e2 e8g8 e3e4 a6a5 e4e5 f6d5 e2e4 g7g6 c1h6 f8e8 h2h4 d7f8 f3g5 a8a7 e4g4 f7f5 g4g3 d5b6 h4h5 d8d5 h5g6 f8g6 d3c2 b6d7 f2f4 d7b6 g1h2 b6c4 b3c5 e7c5 d4c5 c4e3 f1d1 e3g4 h2h1 d5c5 c2b3 b7c8 d1d2 g4h6 g3h2 g8g7 a1d1 c7c6 d2d3 c5f2 d3h3 a7d7 d1g1 f2f4 g5e6 e8e6 b3e6 f4h2 h3h2 d7d8
Barmen-B,Barmen,1905.??.??,?,"Neumann, Augustin","Spielmann, Rudolf",1/2-1/2,,,C63,e2e4 e7e5 g1f3 b8c6 f1b5 f7f5 e4f5 e5e4 d1e2 d8e7 b5c6 b7c6 f3d4 g8f6 e1g1 c6c5 d4b5 d7d5 f2f3 c7c6 b5c3 c8f5 f3e4 f5e4 c3e4 e7e4 e2a6 e4e6 d2d3 f8e7 c1f4 e8g8 b1d2 f6h5 a1e1 e6g4 h2h3 g4g6 f4e5 e7h4 f1f8 a8f8 e1f1 f8f1 g1f1 g6e6 d2f3 h4g3 e5g3 h5g3 f1f2 g3f5 f2g1 h7h6 a6a7 e6e3 g1h2 e3f4 h2g1 f4e3 g1h2 e3f2 a7d7 f5e3 d7e8 g8h7
Barmen-B,Barmen,1905.??.??,?,"Petterson, AH.","Spielmann, Rudolf",0-1,,,C44,e2e4 e7e5 g1f3 b8c6 c2c3 f7f5 d2d4 d7d6 d4d5 c6e7 f3g5 h7h6 g5e6 c8e6 d5e6 f5e4 d1a4 c7c6 a4e4 g8f6 e4b4 d8c7 f1d3 d6d5 b4h4 e8c8 c1e3 e5e4 d3e2 g7g5 h4h3 f8g7 e3a7 e7g6 h3e3 g6f4 e2f1 d5d4 a7d4 f6d5 e3c1 g7d4 c3d4 d5b4 c1c3 d8d4 b1a3 h8d8 g2g3 c7d6 f1e2 f4d3 e1f1 d6f8 e2d3 d4d3 c3e1 f8f3 h1g1 d3d1 e6e7 d1e1 a1e1 d8e8 e1e3 f3g4 f1g2 b4d5
Barmen-B,Barmen,1905.??.??,?,"Post, Ehrhardt","Spielmann, Rudolf",1-0,,,D37,d2d4 d7d5 g1f3 g8f6 c1f4 e7e6 c2c4 c7c6 e2e3 b8d7 b1c3 f6h5 f4g3 h5g3 h2g3 f7f5 c4d5 e6d5 f1d3 d8f6 d1c2 g7g6 e1c1 f8g7 h1h4 f6d6 d1h1 d7f8 h1e1 c8e6 c3a4 e8c8 a4c5 g7f6 h4h1 e6f7 b2b4 f8d7 c1d2 d7b6 d2e2 b6c4 c2a4 a7a6 e1b1 d8e8 h1c1 h7h5 a4b3 h5h4 g3h4 f5f4 e3e4 d5e4 c5e4 e8e4 d3e4 d6e7 b3d3 f7d5 f3e5 d5e4 d3e4 c4d6 e4d5 c8b8 d5c5 e7e6 e2f1 f6h4 c1e1 d6f5 e5f3 e6g8 c5e5 b8a7 e5f4 h4e7 g2g3 e7d6 f4g4 g8c8 f1g1 a7a8 a2a4 d6b8 f3e5 h8h6 b4b5 c8h8 g4e4 f5d4 e5f7 h8f8 b5c6 b7c6 f7h6 d4f3 g1g2
Barmen-B,Barmen,1905.??.??,?,"Przepiorka, Dawid","Spielmann, Rudolf",0-1,,,C63,e2e4 e7e5 g1f3 b8c6 f1b5 f7f5 d2d3 f5e4 d3e4 g8f6 e1g1 d7d6 b1c3 c8e6 d1e2 h7h6 c1e3 g7g5 g1h1 f8g7 f3g1 e8g8 b5c6 b7c6 f2f3 d8e8 b2b3 e8g6 g2g4 f8f7 e2g2 a8f8 g1e2 d6d5 e3c5 f8d8 e2g3 h6h5 h2h3 h5h4 g3f5 e6f5 e4f5 g6h6 a1e1 d5d4 c3e4 f6d5 g2d2 d5f4 h1h2 g7f8 d2a5 d4d3 e1d1 d8d5 c2c4 f8c5 c4d5 c5b6 a5a6 c6d5 e4f2 h6d6 h2h1 e5e4 f3e4 b6f2 a6d6 c7d6 f1f2 d5e4 f2d2 f7e7
Barmen-B,Barmen,1905.??.??,?,"Spielmann, Rudolf","Cohn, Wilhelm",1-0,,,C32,e2e4 e7e5 f2f4 d7d5 e4d5 e5e4 d2d3 g8f6 d3e4 f6e4 d1e2 d8d5 b1d2 f7f5 g2g4 f8c5 f1g2 e8f7 g4f5 c5f2 e2f2 c8f5 f2e2 h8e8 g1f3 d5d8 d2e4 f5e4 f3e5 e8e5 f4e5 e4g2 e2g2 f7g8 e1g1 b8c6 c1g5 d8d4 g1h1 a8e8 a1d1 d4e5 g2d5
Barmen-B,Barmen,1905.??.??,?,"Spielmann, Rudolf","Forgacs, Leo",1-0,,,C30,e2e4 e7e5 f2f4 f8c5 g1f3 d7d6 b1c3 g8f6 f1c4 b8c6 d2d3 c6a5 c4b3 a5b3 a2b3 a7a6 h2h3 h7h6 c3e2 d8e7 f4e5 d6e5 c1d2 c8d7 d2c3 c5d6 e1g1 e8c8 a1a5 d7b5 e2g3 d6b4 c3b4 e7b4 d1a1 f6d7 c2c3 b4b3 a5a3 b3e6 c3c4 b5c6 b2b4 f7f6 f1b1 d7b8 b4b5 c6e8 b5a6 b8a6 g3f5 e8c6 f3d2 a6c5 a3a5 b7b6 a5c5 d8d3 c5c6
Barmen-B,Barmen,1905.??.??,?,"Spielmann, Rudolf","Kopa, Ignacy",0-1,,,B24,e2e4 c7c5 b1c3 b8c6 g2g3 e7e6 f1g2 g8f6 g1e2 d7d5 e4d5 e6d5 d2d4 c5d4 e2d4 f8b4 e1g1 b4c3 b2c3 e8g8 c1g5 h7h6 g5f4 f6e4 d4b5 c8e6 c3c4 a8c8 c4d5 d8d5 d1d5 e6d5 g2e4 d5e4 b5d6 e4c2 d6c8 f8c8 f1e1 a7a6 a1c1 c2f5 e1e2 c8d8 e2b2 c6d4 f4e3 f5e4 f2f4 d4f5 g1f2 e4c6 e3c5 h6h5 c1e1 g8h7 h2h3 f5h6 e1e5 g7g6 c5e7 d8d1 e5e1 d1d3 e1e3 d3e3 f2e3 h6f5 e3d3 f5e7 g3g4 h5g4 h3g4 h7g7 d3d4 g7f6 b2e2 e7d5 e2f2 a6a5 f2f1 a5a4 f1f2 d5e7 f2e2 e7d5 e2f2 f6e6 f4f5 e6f6 f5g6 f6g6 g4g5 d5c7 f2f6 g6g7 d4d3 c7e8 f6f2 e8c7 d3c3 c7e6 f2f5 e6f8 c3d4 f8h7 d4e5 c6d7 f5f1 h7g5 f1g1 f7f6 e5d6 d7c6 d6e7 g7g6 g1f1 g5f3 f1f2 g6f5 a2a3 f5e5 f2e2 c6e4 e7d7 f6f5 d7c7 e5d4 c7b6 d4d3 e2b2 f3d2 b6b5 f5f4 b5a4 f4f3 b2b6 f3f2 b6f6 d2f3
