Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
URS-chT,Moscow,1959.??.??,?,"Stein, Leonid","Krutikhin, Yury P",1/2-1/2,,,B29,e2e4 c7c5 g1f3 g8f6 e4e5 f6d5 b1c3 e7e6 c3d5 e6d5 d2d4 b8c6 d4c5 f8c5 f1d3 d7d6 e5d6 d8d6 e1g1 e8g8 c2c3 c6e7 f1e1 e7g6 c1e3 c8d7 e3c5 d6c5 d3g6 f7g6 d1d4 c5d4 f3d4 f8e8 g1f1 g8f7 e1e8 a8e8 a1e1 e8e1 f1e1 f7f6 e1d2 f6e5 d2e3 e5d6 h2h4 d7g4 d4b3 g4d1 b3c1 d1c2 e3d4 c2e4 f2f3 e4f5 c1e2 f5e6 e2f4 e6f7 g2g4 f7g8 g4g5 g8f7 f4d3 f7e8 d3c5 e8c6 b2b4 b7b6 c5d3 c6e8 a2a3 e8f7 d3f4 b6b5 f4g2 f7e6 g2e3 e6f7 e3g2 f7e6 g2f4 e6f7 f4d3 f7e8 d3f4
URS-chT,Moscow,1959.??.??,?,"Stein, Leonid","Furman, Semen Abramovich",1-0,,,B40,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 c1e3 g8f6 f1d3 d7d5 e4d5 f6d5 d4c6 b7c6 e3d4 d5b4 d3e4 c8a6 a2a3 b4d5 b1d2 f7f5 d1h5 g7g6 h5h3 d5f4 e4c6 e8f7 h3e3 f8h6 e3e5 a8c8 e5h8 d8h8 d4h8 c8c6 g2g3 f4h3 c2c4 h6d2 e1d2 h3f2 h1c1 a6c4 h8d4 f2e4 d2e3 e6e5 d4e5 c6e6 c1c4 e6e5 c4c7 f7f6 c7a7 e4g3 e3d3 g3e4 a7h7 f5f4 a1f1 g6g5 h2h4 f6f5 h4g5 e4g5 h7h8 e5e3 d3c4 e3e4 c4b5 e4e5 b5a4 f4f3 h8f8 f5g4 f1g1 g4h5 g1g5
URS-chT,Moscow,1959.??.??,?,"Stein, Leonid","Averbakh, Yuri L",1/2-1/2,,,C44,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 c2c3 d4d3 f1d3 d7d6 f3d4 f8e7 e1g1 g8f6 h2h3 e8g8 b1d2 c6d4 c3d4 d6d5 e4e5 f6e8 f1e1 f7f5 e5f6 e7f6 d2f3 e8d6 d1c2 g7g6 c1h6 f6g7 h6g7 g8g7 e1e3 c8f5 d3f5 f8f5 a1e1 d6e4 h3h4 c7c6 c2b3 a8b8 b3a3 a7a6 f3g5 e4g5 h4g5 d8g5 e3e7 g7g8 a3d6 g5f4 e7e8 b8e8 e1e8 g8g7 e8e7 g7h6 d6f4 f5f4 e7b7 f4d4 b7b6 c6c5 b6a6 d4d1 g1h2 d1d2 a6b6 d2f2 b6d6 f2b2 d6d5 b2b5 g2g4 b5a5 a2a3 h6g7 g4g5 h7h5 g5h6 g7h6 a3a4 g6g5 h2g2 h6g6 g2g3 g6f6 g3f3 g5g4 f3g4 f6e6 d5d8
URS-chT,Moscow,1959.??.??,?,"Stein, Leonid","Shishov, Mikhail Vasilievich",1/2-1/2,,,C44,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 c2c3 d4c3 f1c4 c3c2 d1c2 f8b4 b1c3 d7d6 e1g1 b4c3 c2c3 g8f6 c1g5 h7h6 g5h4 e8g8 f1e1 f8e8 a1d1 d8e7 c4b5 c8g4 e4e5 d6e5 b5c6 b7c6 e1e5 e7f8 h4f6 g7f6 e5e8 f8e8 d1e1 e8d7 f3d4 a8e8 e1e8 d7e8 d4c6 g4d7 c6d4 e8e5 c3d2 e5e4 d4c2 d7f5 c2e1 g8g7 h2h3 e4b1 a2a3 f5e4 g1h2 c7c6 d2e3 a7a5 e3d2 a5a4 h2g3 h6h5 g3h4 e4d5 f2f3 b1g6 e1c2 d5c4 g2g4 h5g4 h3g4 g6h7 h4g3 h7h1 c2e3 h1g1 g3f4 c4e6 f4e4 g1b1 e4d4 b1h1 d2c3 h1h2 d4c5 h2b8 e3f5 e6f5 g4f5 b8b5 c5d6 b5d5
URS-chT,Moscow,1959.??.??,?,"Stein, Leonid","Klavins, Janis",1-0,,,B42,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 a7a6 f1d3 b8c6 c1e3 g8f6 e1g1 d8c7 d4c6 d7c6 f2f4 e6e5 f4f5 b7b5 a2a4 c8b7 b1d2 f8e7 d1f3 f6d7 f3g3 e7c5 e3c5 d7c5 a4b5 c6b5 g3g7 e8c8 g7f6 c7d6 f6f7 d8d7 f7h5 c5d3 c2d3 d6d3 f1f2 d3c2 d2f3 c2e4 f5f6 h8f8 f3e5 d7d5 h5h3 c8d8 h3h6 f8g8 h6g7 g8g7 f6g7 d5e5 g7g8q e5e8 g8g3 e4d4 g3b8 b7c8 a1c1 d8d7 b8c7
URS-chT,Moscow,1959.??.??,?,"Shamkovich, Leonid","Stein, Leonid",1/2-1/2,,,E81,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 e8g8 c1e3 d7d6 f2f3 c7c6 f1d3 b8d7 g1e2 a7a6 d1d2 b7b5 e1g1 e7e5 f1d1 c8b7 b2b3 f8e8 c4b5 c6b5 d4d5 d7c5 d3c2 a8c8 b3b4 c5d7 a2a4 d7b6 c2d3 b5a4 d2a2 f6h5 g2g3 f7f5 g1g2 e8f8 d1f1 f5f4 e3d2 f4g3 h2g3 b6d7 c3a4 h5f4 e2f4 e5f4 g3f4 g7a1 a2a1 d7f6 f1h1 c8c7 a1d4 f6h5 f4f5 d8f6 d4f6 f8f6 a4b6 h5g7 d2g5 f6f8 f5g6 h7g6 b6c4 g7e8 g2g3 c7d7 g3g2 d7c7 h1h4 b7c8 g5h6 f8f7 h6f4 f7f4 h4f4 g6g5 c4d6 e8d6 f4f6 d6f7 d3a6 g8g7 f6b6 c8a6 b6a6 c7b7 a6a4 b7b6 g2g3 f7e5 f3f4 g5f4 g3f4 b6b4 a4a7 e5f7 f4f5 b4d4 a7d7 g7f8 e4e5 f8e8 e5e6 f7d8 d7h7 d4d1 f5f6 d1f1 f6e5 f1e1 e5d6 d8e6 h7e7 e8d8 e7e6 e1a1 e6e2 a1a6 d6e5 a6h6 e2a2 d8d7 a2a7 d7d8 e5d4 h6g6 d4c5 g6h6 a7g7 h6f6 c5d4 f6h6 d4e5 h6a6 g7h7 a6b6 h7h8 d8d7
JUG-URS,Belgrade,1961.??.??,?,"Udovcic, Mijo","Stein, Leonid",1/2-1/2,,,A16,g1f3 g8f6 g2g3 g7g6 f1g2 f8g7 e1g1 e8g8 c2c4 d7d6 b1c3 b8c6 a1b1 e7e5 b2b4 c8e6 d2d3 h7h6 e2e4 c6e7 c3d5 f6d5 c4d5 e6g4 h2h3 g4d7 d3d4 f7f5 d4e5 f5e4 f3d4 d6e5 d4e6 d7e6 d5e6 f8f6 g2e4 d8c8 d1d7 f6e6 d7c8 a8c8 e4b7 c8b8 b7e4 e6a6 f1d1 a6d6 c1e3 d6d1 b1d1 b8b4 e4c2 e7f5 e3a7 b4b7 d1d8 g8h7 a7c5 b7b5 c5a7 b5a5 a7b8 a5a2 c2b3 a2a1 g1g2 a1c1 b3g8 h7h8 g8e6 h8h7 h3h4 h6h5 d8d7 c1c6 e6f5 g6f5 b8c7 h7g6
JUG-URS,Belgrade,1961.??.??,?,"Stein, Leonid","Matulovic, Milan",1/2-1/2,,,A21,g1f3 g8f6 g2g3 g7g6 f1g2 f8g7 e1g1 e8g8 d2d3 d7d6 c2c4 e7e5 b1c3 f6h5 a1b1 f7f5 c1d2 f5f4 f3e1 b8c6 b2b4 c6e7 b4b5 g8h8 d1c1 g6g5 c1a3 h5f6 e1c2 d8e8 b5b6 c7b6 c3b5 e8h5 f2f3 f6e8 g3g4 h5g6 b5c3 e8c7 c3e4 f8d8 d2b4 c7e8 b4e1 e8c7 e2e3 e7c6
JUG-URS,Belgrade,1961.??.??,?,"Stein, Leonid","Gligoric, Svetozar",1/2-1/2,,,C73,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 d7d6 a4c6 b7c6 d2d4 f7f6 b1c3 g7g6 c1e3 g8h6 d4e5 f6e5 e3g5 d8d7 g5f6 h8g8 d1e2 d7e6 f6h4 h6f7 e1c1 f8h6 c1b1 e8f8 f3e1 f8g7 f2f3 a6a5 h4f2 c8a6 e1d3 g8b8 f2e3 h6e3 e2e3 a5a4 d1d2 a6c4 b1a1 e6f6 d3f2 a8a5 h1d1 f6e6 f2d3 e6f6 d3f2 f6g5 f2g4 h7h5 e3g5 f7g5 g4e3 c4g8 c3e2 g5e6 d2d3 a5b5 d1b1 e6c5 d3a3 b5b4 e2c3 b4d4 b2b3 a4b3 a2b3 b8b7 b1d1 c5e6 c3e2 d4d1 e3d1 c6c5
JUG-URS,Belgrade,1961.??.??,?,"Djurasevic, Bozidar","Stein, Leonid",1/2-1/2,,,B08,e2e4 g7g6 d2d4 f8g7 g1f3 d7d6 f1e2 g8f6 b1c3 e8g8 h2h3 c7c5 e4e5 d6e5 d4e5 d8d1 e2d1 f6e8 c3d5 b8c6 c1g5 f7f6 g5e3 f6e5 e3c5 e5e4 f3d2 f8f5 d5e7 c6e7 c5e7 g7b2 a1b1 b2c3 e7b4 c3d4 d2e4 f5e5 f2f3 e8f6 c2c3 d4b6 e1d2 f6e4 f3e4 e5e4 d1b3 g8g7 b1e1
