Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
URS-ch18,Moscow,1950.??.??,?,"Suetin, Alexey S","Aronin, Lev Solomonovich",0-1,,,B73,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f2f4 g7g6 f1e2 f8g7 c1e3 e8g8 e1g1 b8c6 d1d2 d8c7 g1h1 c6a5 b2b3 e7e5 f4e5 d6e5 f1f6 g7f6 c3d5 c7d6 a1f1 f6g7 d2a5 e5d4 e3f4 d6d8 f4c7 d8d7 a5c5 d7e8 c7d6 c8e6 d6f8 e8f8 c5b6 g7e5 b6b7 a8c8 b7e7 c8c2 e2d3 c2a2 e7g5 e5g7 h2h4 h7h6 g5f4 f8a3 h4h5 a2a1 h5g6 a1f1 d3f1 f7g6 d5f6 g8h8 e4e5 a3a1 h1h2 a1c3 f1a6 d4d3 f4g3 e6f5 a6c4 c3d4 e5e6 g7f6 g3b8 d4d8 b8f4 h8g7
URS-ch18,Moscow,1950.??.??,?,"Flohr, Salo","Suetin, Alexey S",1-0,,,E94,g1f3 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 d2d4 e8g8 f1e2 e7e5 e1g1 b8d7 d4d5 d7c5 d1c2 a7a5 f3e1 f6d7 c1e3 f7f5 e4f5 g6f5 f2f4 e5e4 c2d2 d7f6 e1c2 d8e8 c3b5 e8f7 e3d4 f6e8 c2e3 g8h8 a1c1 c8d7 c1c3 a8d8 g1h1 c5a6 e3c2 g7d4 b5d4 e8f6 c3g3 f8g8 g3g8 d8g8 c2e3 f7g7 g2g3 g7g6 d2a5 h7h5 e3g2 f6g4 a5c3 h8h7 b2b4 a6b8 a2a3 g6f7 e2g4 h5g4 g2e3 f7g7 f1c1 h7g6 c4c5 d6c5 b4c5 d7c8 e3c4 g8d8 d5d6 c7d6 c5d6 g6h7 c3a5 g7d7 c4e5 d7d6 e5f7 b7b6 a5a7 d6d7 a7b6 d7d4 b6d8 d4d8 f7d8 c8a6 c1c7 h7g8 d8e6 e4e3 h1g1 g8h8 e6c5
URS-ch18,Moscow,1950.??.??,?,"Bondarevsky, Igor","Suetin, Alexey S",1-0,,,E71,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 h2h3 e8g8 c1e3 e7e5 d4d5 f6e8 d1c2 b8d7 e1c1 d7c5 g2g4 a7a5 g1e2 f7f5 e4f5 g6f5 e2g3 d8f6 g3f5 c8f5 g4f5 f6f5 c2f5 f8f5 f1e2 a5a4 c1c2 f5f6 h1g1 g8f8 g1g2 g7h6 e3c5 d6c5 c3e4 f6f4 e4c5 f8e7 c5e6 f4f6 e2h5 c7c6 h5e8 a8e8 e6c5 c6d5 d1d5 e8d8 d5d8 e7d8 c5a4 f6f3 a4c5 d8c7 h3h4 b7b6 c5d3 e5e4 d3e5 f3f4 e5g4 h6f8 h4h5 h7h6 g4e3 f4h4 e3d5 c7b7 g2g6 f8c5 g6h6 c5f2 h6h7 b7b8 h7e7 f2c5 e7e8 b8b7 b2b4 c5d4 h5h6 b7c6 d5f6 h4h2 c2b3 e4e3 e8e6 c6c7 f6d5 c7d7 e6e4 e3e2 d5f4 e2e1q e4e1 h2h6 e1d1 h6d6 f4d5 d4f2 d5f6
URS-ch18,Moscow,1950.??.??,?,"Averbakh, Yuri L","Suetin, Alexey S",1-0,,,B66,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1g5 e7e6 d1d2 a7a6 e1c1 h7h6 g5f4 c8d7 f4g3 f8e7 f1e2 b7b5 g3d6 b5b4 d4c6 d7c6 d6e7 d8e7 d2d6 e7b7 c3d5 e6d5 e4d5 c6d7 h1e1 e8d8 e2f3 h8e8 d6g3 g7g5 g3d6 f6g8 e1e8 d8e8 d1e1 e8d8 d6f8 d8c7 d5d6 c7b6 f8a8 b7a8 f3a8 b6c5 a8b7 a6a5 e1e5 c5b6 b7d5 g8f6 d5f7 f6g4 e5e7 b6c6 f7e6
URS-ch18,Moscow,1950.??.??,?,"Liublinsky, Victor Alexandrovic","Suetin, Alexey S",1-0,,,B38,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g7g6 c2c4 f8g7 c1e3 g8h6 f1e2 d7d6 d1d2 h6g4 e2g4 c8g4 b1c3 d8a5 e1g1 a8c8 b2b3 a7a6 a1c1 e8g8 f2f3 g4d7 f1d1 f7f5 e4f5 g6f5 c3d5 a5d2 d1d2 g8f7 f3f4 c6d4 e3d4 g7d4 d2d4 d7c6 c1e1 c6d5 d4d5 f7f6 g1f2 h7h5 d5d3 c8c5 d3e3 e7e5 e1d1 c5c6 d1d6 c6d6 f4e5 f6e6 e5d6 e6d6 f2f3 f8g8 h2h3 h5h4 e3e2 d6c5 e2e7 g8g3 f3f2 b7b6 e7f7 g3g5 f7c7 c5b4 c7c6 b4a3 c6b6 a3a2 b6a6 a2b3 c4c5 b3b4 c5c6 g5g7 a6a2 b4c5 a2c2 c5d6 f2f3 d6c7 c2c4 g7g3 f3f2 g3d3 c4h4 c7c6 f2e2 d3g3 e2f2 g3d3 h4f4 d3d5 g2g4 f5g4 h3g4 c6d6 f2g3 d6e7 g3h4 d5d8 h4h5
URS-ch18,Moscow,1950.??.??,?,"Mikenas, Vladas","Suetin, Alexey S",1-0,,,D31,d2d4 d7d5 c2c4 e7e6 b1c3 c7c6 e2e4 d5e4 c3e4 f8b4 c1d2 d8d4 d2b4 d4e4 f1e2 b8a6 b4a5 c8d7 g1f3 g8f6 d1d6 c6c5 a1d1 b7b6 f3e5 a8d8 a5c3 e4a8 e2f3 a8b8 e1g1 b8d6 d1d6 e8e7 f1d1 a6b8 b2b4 f6e8 d6d2 f7f6 b4c5 b6c5 e5d3 d7c6 f3e2 e8d6 d3c5 d6b7 c3b4 e7f7 c5b7 d8d2 d1d2 c6b7 b4c5 a7a5 d2b2 b7c6 c5d6 b8d7 c4c5 a5a4 f2f4 e6e5 e2c4 f7g6 f4e5 d7e5 d6e5 f6e5 b2b6 h8c8 c4d5
URS-ch18,Moscow,1950.??.??,?,"Smyslov, Vassily","Suetin, Alexey S",1-0,,,D71,d2d4 g8f6 c2c4 g7g6 g2g3 f8g7 f1g2 d7d5 c4d5 f6d5 b1c3 d5b6 e2e3 e8g8 g1e2 a7a5 b2b3 b8c6 e1g1 e7e5 d4d5 c6b4 a2a3 b4a6 e3e4 f7f5 e4f5 g6f5 f2f4 e5e4 c1e3 d8d6 a1c1 c8d7 g3g4 f5g4 c3e4 d6g6 e2g3 a8e8 e3d4 g7d4 d1d4 b6c8 f4f5 g6h6 f1f4 g8f7 e4f2 h6b6 d4b6 c7b6 f2e4 f8g8 g2f1 e8e5 f1a6 b7a6 d5d6 g8d8 f4g4 d7f5 c1f1 f7e6 e4g5 e6f6 g5h7 f6e6 h7g5 e6f6 g5h7 f6e6 g3f5 e5f5 h7g5 e6f6 g5e4 f6e5 f1e1 e5d5 e1d1 d5c6 g4g7 b6b5 d6d7 c8a7 g7g6 c6c7 d1c1 c7b8 g6b6 b8a8 c1c7 d8g8 e4g3
URS-ch18,Moscow,1950.??.??,?,"Suetin, Alexey S","Petrosian, Tigran V",1-0,,,C84,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 d2d4 e5d4 f1e1 e8g8 e4e5 f6d5 f3d4 c6d4 d1d4 d5b6 a4b3 d7d5 e5d6 d8d6 d4e4 e7f6 b1c3 a8b8 c1f4 d6c5 e4e3 c5c6 e3g3 c8e6 f4c7 b8c8 c7e5 e6b3 a2b3 b6d7 e5f6 d7f6 a1d1 f8e8 h2h3 h7h6 e1e3 e8e3 g3e3 c6c7 e3g3 c7g3 f2g3 g8f8 g1f2 f8e7 f2e3 e7e6 d1d4 f6e8 e3d3 e8d6 c3e2 g7g5 g3g4 f7f5 g4f5 d6f5 d4e4 e6f6 e2d4 f5d4 e4d4 c8c7 d4d6 f6f5 d6h6 f5f4 c2c4 c7d7 d3c3 d7g7 g2g4 g7e7 c4c5 f4g3 b3b4 e7e3 c3c4 e3e4 c4b3 e4e3 b3a4 e3e2 h6h5 e2b2 h5g5 g3h3 g5g7 h3h4 g7b7 h4g4 b7f7 b2a2 a4b3 a2a1 b3c4 a1c1 c4d5 c1d1 d5c6 d1b1 c6b6 b1b4 b6a6 g4g5 c5c6 g5g6 f7f1
URS-ch18,Moscow,1950.??.??,?,"Sokolsky, Alexey","Suetin, Alexey S",0-1,,,D64,d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c1g5 f8e7 e2e3 b8d7 g1f3 e8g8 a1c1 c7c6 d1c2 h7h6 g5f4 a7a6 a2a3 f8e8 f1d3 d5c4 d3c4 b7b5 c4a2 c8b7 e1g1 c6c5 f1d1 b5b4 a3b4 c5b4 c3a4 d8a5 f4c7 a5h5 f3e5 a8c8 e5d7 f6d7 a2b1 d7f6 c2d2 h5b5 b2b3 b7d5 a4b6 c8c7 c1c7 b5b6 d1c1 b6b8 d2c2 d5e4 c2c4 e4b7 e3e4 e7d8 c7c5 d8b6 e4e5 b6c5 d4c5 b8e5 c5c6 e8c8 c1d1 g7g6 c4b4 b7c6
URS-ch18,Moscow,1950.??.??,?,"Suetin, Alexey S","Alatortsev, Vladimir",1/2-1/2,,,D26,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 c7c5 f1d3 b8c6 g1f3 d7d5 e1g1 c5d4 e3d4 d5c4 d3c4 e8g8 c1g5 b4e7 d1d2 f6d5 c3d5 e6d5 g5e7 c6e7 c4d3 c8f5 f1e1 f5d3 d2d3 e7c6 f3e5 f8e8 a1c1 a8c8 e5c6 c8c6 e1e8 d8e8 c1c6 e8c6 d3e3 h7h6 h2h3 g8h7 e3d3 c6g6 d3b5 g6b1 g1h2
