Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Vikings GM,York ENG,1999.12.13,1,"Barsov,A","Sutovsky,E",1-0,2539,2587,E90,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 h2h3 b8a6 c1g5 d8e8 f1d3 e7e5 e1g1 f6h5 d4e5 d6e5 f1e1 a6c5 c3d5 c7c6 d5c7 e8d7 c7a8 c5d3 e1e3 h5f4 g5f4 d3f4 d1d7 c8d7 a1d1 d7e6 a8c7 e6c4 b2b3 c4e2 d1d7 e2f3 e3f3 f4e2 g1f1 e2d4 f3d3 g7f6 f2f4 f8c8 f4e5 f6e5 d7e7 e5f6 e7e8 c8e8 c7e8 f6e5 e8d6 b7b5 d6c8 a7a6 d3c3 g8g7 c8a7 d4f5 c3c6 f5e3 f1f2 e5d4 c6a6
Vikings GM,York ENG,1999.12.14,2,"Sutovsky,E","Hodgson,Ju",1/2-1/2,2587,2605,B08,e2e4 g7g6 d2d4 f8g7 b1c3 c7c6 g1f3 d7d6 h2h3 g8f6 a2a4 e8g8 c1e3 d6d5 e4e5 f6e4 c3e4 d5e4 f3g5 c6c5 d4c5 d8c7 g5e4 c7e5 e4c3 b8c6 f1d3 f7f5 e1g1 f5f4 e3d2 f4f3 f1e1 e5c5 d2e3 c5b4 c3d5 b4h4 g2g3 h4h3 d5f4 f8f4 d3f1 h3h5 e3f4 c8g4 c2c3 a8f8 d1b3 g8h8 b3b7 g4h3 b7b5 e7e5 b5c6 h3f1 e1f1 e5f4 a1e1 g6g5 c6d5 h5g4 d5e6 g4h5 e6d5 h5g4 d5e6 g4h5 e6d5
Vikings GM,York ENG,1999.12.15,3,"Hector,J","Sutovsky,E",1-0,2505,2587,B60,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1g5 b8c6 g5f6 g7f6 f1e2 h7h5 f2f4 h5h4 e2f3 e7e6 d1d3 d8b6 d4b3 c8d7 e1c1 e8c8 b3d2 b6d4 d3e2 c6a5 f3h5 h8h7 c1b1 f8e7 h5f7 h7f7 e2h5 f7g7 h5a5 g7g2 d2b3 d4f2 d1d2 f2f3 d2d3 f3f4 c3d5 e6d5 d3c3 c8b8 a5c7 b8a8 b3c5 d7c6 c3a3 d6c5 c7f4 d8g8 h1c1 c5c4 e4d5 c6d5 a3a5 g2g5 f4h4 c4c3 h4d4 c3b2 c1d1 d5c6 a5g5 g8g5 d1g1 c6g2 h2h4 g5d5 d4c4 g2f3 g1f1 f3g2 f1g1 g2f3 g1e1 e7d8 h4h5
Vikings GM,York ENG,1999.12.16,4,"Sutovsky,E","Rowson,J",1-0,2587,2490,C07,e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 g1f3 c5d4 f3d4 g8f6 e4d5 d8d5 d2f3 f8c5 c2c4 d5d6 f1e2 e6e5 d4b3 c5b4 b3d2 d6c7 e1g1 a7a5 a2a3 b4e7 d2b1 a5a4 f3d2 b8c6 b1c3 c6d4 e2d3 c7c6 d1e1 c6e6 d2e4 f6e4 d3e4 e6c4 f2f4 a8a5 c1e3 f7f5 e4b1 c8e6 b1a2 d4b3 e1g3 e7f6 e3b6 e8g8 a2b3 a4b3 b6a5 c4c5 g1h1 c5a5 f4e5 f6e5 g3e3 e6c4 f1f3 e5b8 e3e7 f8f7 e7h4 a5c7 a1e1 c7c6 e1e7 f7e7 h4e7 c6e6 f3e3 e6f6 e7e8 f6f8 e8d7 c4f7 d7f5
Vikings GM,York ENG,1999.12.17,5,"Hillarp Persson,T","Sutovsky,E",0-1,2507,2587,D89,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 f8g7 f1c4 c7c5 g1e2 b8c6 c1e3 e8g8 e1g1 c8g4 f2f3 c6a5 c4d3 c5d4 c3d4 g4e6 a1c1 e6a2 d1a4 a2b3 a4b4 b7b6 c1c3 b3e6 e3g5 f8e8 d3b5 e6d7 b5d7 d8d7 f1c1 a8c8 c3c8 e8c8 c1c8 d7c8 b4e7 h7h6 g5f4 c8c2 g1f1 g6g5 e7e8 g8h7 f4g3 c2c4 d4d5 a5b3 e8c6 c4d3 g3f2 d3d1 f2e1 b3c5
Vikings GM,York ENG,1999.12.18,6,"Hodgson,Ju","Sutovsky,E",1-0,2605,2587,A45,d2d4 g8f6 c1g5 f6e4 g5f4 c7c5 f2f3 d8a5 c2c3 e4f6 b1d2 c5d4 d2b3 a5b6 d1d4 b8c6 d4b6 a7b6 b3d4 e7e5 d4c6 e5f4 c6d4 f8c5 g1h3 f6d5 e2e4 f4e3 f1c4 d5c7 h3f4 e8g8 e1c1 b6b5 d4b5 c7b5 c4b5 a8a2 c1b1 a2a7 b5d7 b7b5 d7c8 f8c8 d1d5 a7b7 h1d1 g7g6 d5d8 c8d8 d1d8 g8g7 d8d5 c5a7 b1c2 g7f6 c2d3 g6g5 f4e2 h7h6 e2d4 b5b4 c3c4 a7b8 g2g3 b7e7 d3e2 e7c7 d5d6 f6e5 d6d5 e5f6 b2b3 c7a7 d4c6 a7a2 e2e3 b8c7 d5d2 c7b6 e3e2 a2a3 c6b4 b6g1 e2f1 g1c5 b4d5 f6e5 b3b4 c5f8 d2e2 e5f5 f1g2 a3d3 h2h4 d3d4 h4h5 g5g4 f3f4
Vikings GM,York ENG,1999.12.19,7,"Sutovsky,E","Hector,J",1-0,2587,2505,C68,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5c6 d7c6 b1c3 d8d6 d2d4 e5d4 f3d4 c8d7 c1e3 e8c8 d1e2 d6g6 e1c1 f8b4 e2c4 b4d6 d4b3 g8h6 c4d4 b7b6 c3a4 d7g4 a4b6 c7b6 d4b6 g4d1 h1d1 h6g4 b6a6 c8d7 e3f4 d7e7 f4d6 d8d6 a6b7 e7e6 b3c5 e6e5 b7e7 d6e6 e7c7
Vikings GM,York ENG,1999.12.20,8,"Rowson,J","Sutovsky,E",1/2-1/2,2490,2587,D82,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c1f4 f8g7 e2e3 c7c5 d4c5 d8a5 a1c1 f6e4 c4d5 e4c3 d1d2 a5a2 b2c3 a2a5 g1f3 b8d7 f3d4 e8g8 c5c6 d7c5 f1c4 b7b5 c4a2 c5d3 d2d3 a5a2 d4b5 e7e5 e1g1 e5e4 d3d1 a7a5 f1e1 a5a4 e1e2 a2c4 b5d6 c4a6 d6e4 a4a3 e2a2 a6c4 d1c2 c4d5 c1a1 c8f5 f2f3 f5e4 c2e4
Vikings GM,York ENG,1999.12.21,9,"Sutovsky,E","Hillarp Persson,T",0-1,2587,2507,C18,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4c3 b2c3 g8e7 d1g4 d8c7 f1d3 c5d4 g1e2 d4c3 g4g7 h8g8 g7h7 c7e5 h2h4 e5d6 c1g5 b8c6 e1g1 a7a6 a1b1 b7b5 a3a4 b5b4 e2g3 c8b7 f1e1 e8d7 g3h5 g8g5 h4g5 c6d8 h5f6 d7c8 g5g6 e7g6 d3g6 f7g6 f6e8 d6d7 h7g6 a6a5 e1e5 a8a6 b1e1 d7f7 g6f7 d8f7 e5h5 d5d4 h5h7 d4d3 h7f7 d3d2 e1a1 b7e4 g2g4 e4c2 g4g5 a6c6 f7f8 b4b3 g1g2 b3b2 a1h1 b2b1q
Vikings GM,York ENG,1999.12.22,10,"Sutovsky,E","Barsov,A",1-0,2587,2539,B40,e2e4 e7e6 d2d3 d7d5 b1d2 c7c5 g1f3 b8c6 g2g3 g7g6 f1g2 f8g7 c2c3 g8e7 h2h4 h7h6 e1g1 d5d4 c3d4 c5d4 e4e5 c6e5 f3e5 g7e5 d2c4 e5g7 d1a4 e8f8 c1d2 c8d7 a4a3 d7c6 g2c6 b7c6 d2a5 d8d7 a5b4 g7f6 c4b6 a7b6 a3a8 f8g7 a8a4 e7d5 f1c1 b6b5 a4b3 e6e5 b4d2 h8e8 b3c2 e8e6 a2a4 b5a4 a1a4 c6c5 c1a1 e6c6 c2c1 h6h5 a4a8 f6h4 d2h6 g7h7 h6g5 h4g5 c1g5 f7f6 g5h4 c6c7 h4e4 d5e7 a8b8 h7g7 e4a8 d7d5 a8d5 e7d5 a1c1 g7f7 b8b5 f7e6 b5c5 c7c5 c1c5 d5b4 c5b5 b4d3 b2b4 g6g5 b5b8 h5h4 b4b5 h4g3 f2g3 f6f5 b8d8 e6e7 d8d5 e7e6 b5b6 e6d5 b6b7 f5f4 b7b8q d5e4 g1g2 e4e3 g2f1 e5e4 b8g8 f4g3 g8g5 e3f3 g5h5 f3f4 h5d1 g3g2 f1g2 f4e3 g2g3 d3e5 d1c1 e3d3 c1a3 d3e2 g3f4 e5c4 a3b4
