Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Sopron,Sopron,1934.??.??,?,"Szabo, Laszlo","Gereben, Erno",1/2-1/2,,,A95,g1f3 e7e6 c2c4 f7f5 g2g3 g8f6 f1g2 f8e7 e1g1 e8g8 d2d4 d7d5 b1c3 c7c6 b2b3 f6e4 c3e4 f5e4 f3e5 b8d7 e5d7 c8d7 f2f3 e4f3 g2f3 e7f6 c1b2 d7e8 e2e4 e8g6 f1e1 d5c4 e4e5 f6g5 b3c4 d8a5 f3e4 g6e4 e1e4 f8f5 b2c1 g5c1 d1c1 a8f8 e4f4 a5d8 c1e3 f5f4 g3f4 d8h4 a1f1 h4g4 e3g3 g4e2 d4d5 e2c4 d5d6 c4d4 g1g2 d4d5 g2g1 d5a2 f1d1 a2e2 d1d3 f8f4 g3f4 e2d3 f4g5 d3d1 g1f2 d1d4
Tatatovaros,Tatatovaros,1935.07.07,1,"Boros, Sandor","Szabo, Laszlo",1/2-1/2,,,E24,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 a2a3 b4c3 b2c3 f6e4 d1c2 f7f5 g2g3 b7b6 f1g2 c8b7 g1h3 e8g8 h3g5 e4d6 g2b7 d6b7 e2e4 h7h6 g5h3 f5e4 c2e4 b8c6 c1h6 b7d6 e4g6 d8f6 g6f6 f8f6 h6f4 d6c4 e1g1 d7d6 f1e1 e6e5 d4e5 d6e5 f4g5 f6f3 g5e3 f3f5 e1d1 a8d8 d1d8 c6d8 g1g2 d8e6 h3g1 f5f8 g1f3 f8d8 a1e1 d8d3 e3c1 d3c3 f3e5 c4e5 c1b2 c3b3 e1e5 e6f4 g3f4 b3b2 e5e7 b2c2 a3a4 a7a5 g2g3 c2c4 g3g4 g8f8 e7d7 c4a4 d7c7 a4b4 h2h4 a5a4 c7a7 b6b5 h4h5 b4b2 f2f3 b2b3 a7a8 f8f7 a8a7 f7g8 f4f5 a4a3 f3f4 b5b4 f5f6 g7f6 h5h6 b3b1 g4h5 b1h1 h5g6 h1g1 g6h5 b4b3 h6h7 g8h8 h5h6 g1h1 h6g6 h1g1
Tatatovaros,Tatatovaros,1935.07.08,2,"Szabo, Laszlo","Szigeti, Miklos",1-0,,,D30,c2c4 g8f6 g1f3 c7c6 d2d4 d7d5 e2e3 e7e6 f1d3 f8e7 e1g1 e8g8 b1d2 b8d7 b2b3 b7b6 e3e4 d5e4 d2e4 c8b7 c1b2 f6e4 d3e4 d7f6 e4c2 c6c5 f3e5 d8c7 f1e1 a8d8 d1d3 g7g6 d4d5 e6d5 d3g3 e7d6 g3h4 f6h5 c4d5 b7d5 e5g4 f7f6 b2f6 d6h2 g1h1 h5f6 g4f6 f8f6 h4f6 d8f8 f6g5 d5c6 c2g6 h7g6 g5g6 c7g7 g6c6 h2b8
Tatatovaros,Tatatovaros,1935.07.09,3,"Becker, Albert","Szabo, Laszlo",0-1,,,D19,d2d4 d7d5 g1f3 g8f6 c2c4 c7c6 b1c3 d5c4 a2a4 c8f5 e2e3 e7e6 f1c4 f8b4 e1g1 e8g8 d1e2 c6c5 f1d1 d8e7 h2h3 f6e4 c3a2 b4a5 d4c5 b8c6 f3d4 f8d8 d4c6 d8d1 e2d1 b7c6 b2b4 a5c7 f2f3 a8d8 d1c2 e7h4 f3e4 f5e4 c2e2 h4g3 c1d2 g3h2 g1f1 c7g3
Tatatovaros,Tatatovaros,1935.07.10,4,"Balla, Zoltan","Szabo, Laszlo",0-1,,,B20,e2e4 c7c5 g2g3 d7d5 f1g2 d5e4 g2e4 g8f6 e4g2 b8c6 g1e2 c8f5 d2d3 d8d7 c1g5 f5h3 g2h3 d7h3 g5f6 g7f6 e2f4 h3f5 d1h5 f5h5 f4h5 f6f5 h5f4 e7e6 b1a3 e8c8 e1g1 h7h5 f4e2 h5h4 a3c4 f8e7 c4e3 h8h7 f1d1 e7f6 a1b1 h4g3 h2g3 d8h8 e3f1 e6e5 a2a3 c6d8 g1g2 d8e6 b2b4 f6e7 c2c3 c5b4 a3b4 f5f4 d3d4 e5e4 e2f4 e6f4 g3f4 e7h4 f1e3 h8g8 g2f1 h4f2 f1f2 h7h2 f2e1 g8g1 e3f1
Tatatovaros,Tatatovaros,1935.07.11,5,"Szabo, Laszlo","Mueller, Hans",1-0,,,D50,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 c7c5 c1g5 c5d4 f3d4 f8e7 c4d5 f6d5 g5e7 d5e7 d4b5 d8d1 a1d1 b8a6 b5d6 e8f8 e2e4 a6c7 f1e2 e7c6 f2f4 f8e7 e1g1 f7f6 f1f3 h8d8 f3g3 e7f8 e2g4 g7g6 g3e3 a8b8 e4e5 f6f5 g4f3 c7e8 e3d3 c6e7 g1f2 b7b6 b2b4 e7g8 d6e8 d8d3 d1d3 f8e8 f3c6 e8e7 d3h3 h7h5 h3g3 e7f7 c3b5 a7a6 b5d6 f7g7 g3c3 g8e7 c6f3 a6a5 b4b5 g7f8 c3c7 h5h4 a2a4
Tatatovaros,Tatatovaros,1935.07.12,6,"Korody Keresztely, Imre","Szabo, Laszlo",0-1,,,D66,d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c1g5 b8d7 g1f3 f8e7 e2e3 e8g8 a1c1 c7c6 f1d3 a7a6 e1g1 b7b5 c4d5 c6d5 d1b3 c8b7 g5f6 d7f6 f3e5 f6d7 f2f4 d7e5 f4e5 f7f6 b3c2 h7h6 c2e2 f6e5 d4e5 d8b6 c1e1 e7h4 g2g3 h4g5 f1f8 a8f8 h2h4 g5e3 e2e3 d5d4 c3d5 b7d5 e3d2 f8f3 g1h2 b6c5 b2b3 c5c3 e1d1 c3d2 d1d2 f3e3 d3f1 e3e5 d2d4 e5f5 h2g1 f5f3 d4d3 f3d3 f1d3 g8f7 g1f2 e6e5 f2e3 f7e6 e3d2 e6d6 d2c3 d6c5 b3b4 c5d6 a2a3 e5e4 d3e2 d6e5 e2h5 d5c4 h5g4 e4e3 g4c8 e5e4 c8b7 c4d5 b7a6 d5c6 a3a4 e4f3 a4b5 e3e2 b5c6 e2e1q
Tatatovaros,Tatatovaros,1935.07.13,7,"Szabo, Laszlo","Balogh, Janos",1/2-1/2,,,A54,c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 g2g3 f8e7 f1g2 e8g8 e1g1 d7d6 d2d4 c8g4 d4d5 c6b8 h2h3 g4d7 e2e4 f6e8 c1e3 b7b6 b2b4 a7a5 a2a3 b8a6 d1b3 a8b8 f3d2 g7g6 f2f4 f7f6 f4f5 e8g7 g3g4 g6g5 f1c1
Tatatovaros,Tatatovaros,1935.07.14,8,"Gereben, Erno","Szabo, Laszlo",1/2-1/2,,,B73,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f1e2 g7g6 c1e3 f8g7 e1g1 e8g8 g1h1 c8d7 f2f4 a7a6 a2a4 a8c8 d4b3 c6a5 b3a5 d8a5 e2f3 c8c4 d1e2 f8c8 e4e5 d6e5 f4e5 a5e5
Tatatovaros,Tatatovaros,1935.07.15,9,"Szabo, Laszlo","Steiner, Endre",1-0,,,E81,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 e8g8 c1e3 b8d7 f1d3 e7e5 g1e2 e5d4 e2d4 f6h5 d4e2 d7e5 e1g1 c7c6 b2b3 d8e7 d3c2 a7a6 d1d2 f8e8 a1d1 g7f8 e3b6 f7f6 f1e1 h5g7 a2a4 c8e6 a4a5
