Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Leningrad-Prague,Leningrad,1946.??.??,1,"Taimanov, Mark E","Katetov, Miroslav",1/2-1/2,,,C16,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 g8e7 a2a3 b4c3 b2c3 b7b6 d1g4 e8g8 c1g5 d8d7 f1d3 e7g6 h2h4 f7f5 e5f6 e6e5 g4d7 b8d7 f6g7 g8g7 g1e2 h7h6 g5d2 c7c6 e2g3 e5e4 g3h5 g7h7 d3e2 d7f6 h5f6 f8f6 g2g3 c8d7 h4h5 g6e7 d2f4 a8g8 f4e5 f6f7 h1h4 g8f8 h4f4 f7f4 e5f4 e7g8 a3a4 g8f6 a4a5 b6b5 e1d2 a7a6 a1h1 d7g4 h1h4 g4e2 d2e2 f8g8 f4e5 f6g4 e5d6 g8g5 d6e7 g5g7 f2f3 e4f3 e2f3 g7e7 h4g4 e7e6 f3f2 e6f6 g4f4 f6f4 g3f4 h7g7 f2f3
Leningrad-Prague,Leningrad,1946.??.??,2,"Katetov, Miroslav","Taimanov, Mark E",0-1,,,A34,g1f3 g8f6 c2c4 c7c5 g2g3 b8c6 f1g2 d7d5 c4d5 f6d5 e1g1 e7e5 b1c3 d5c7 b2b3 f8e7 c1b2 e8g8 a1c1 f7f6 d2d3 c8e6 c3a4 b7b6 f3h4 d8d7 e2e3 a8d8 d1e2 c6b4 c1d1 b4a2 b2e5 e6b3 e5c7 d7c7 g2e4 g7g6 d1a1 f6f5 e4g2 a2b4 a4c3 c7d7 d3d4 c5d4 c3b5 d7e6 h4f3 e7f6 e2d2 b4c2 b5d4 c2a1 f1a1 e6f7 d2b4 b3d5 a1a6 f7c7 b4a3 f8f7 h2h4 d5c4 a6a4 a7a5 f3g5 f6g5 h4g5 c4d5 g2d5 d8d5 a3b3 d5c5 a4a1 c5c4 d4e6 c7c8 e6d4 c4b4
URS-ch sf,Leningrad,1947.??.??,1,"Sokolsky, Alexey","Taimanov, Mark E",1/2-1/2,,,C55,e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 d2d4 e5d4 f3g5 d7d5 e4d5 c6a5 c4b5 c7c6 d5c6 b7c6 b5e2 f8e7 c2c3 f6d5 g5f3 d4c3 b1c3 d5c3 d1d8 e7d8 b2c3 e8g8 c1e3 d8f6 e1g1 c8e6 e3d4 f6d4 f3d4
URS-ch sf,Leningrad,1947.??.??,2,"Taimanov, Mark E","Kopylov, Nikolai G",1-0,,,B10,e2e4 c7c6 b1c3 d7d5 g1f3 g8f6 e4e5 f6e4 d2d3 e4c3 b2c3 c6c5 c1e3 b8c6 e3c5 d8a5 c5e3 d5d4 e3d2 d4c3 d2f4 c8g4 h2h3 a5b4 h3g4 b4f4 g2g3 f4a4 a1b1 e8c8 f1g2 e7e6 f3g5 f8c5 g2c6 a4c6 d1f3 c6f3 g5f3 c8b8 e1e2 d8d5 b1b3 c5d4 f3d4 d5d4 f2f4 d4a4 a2a3 h7h6 h1b1 b7b6 b3c3 h6h5 g4h5 h8h5 b1b4 a4a5 b4d4 h5h8 d4d7 h8f8 c3c7 f7f6 e5f6 g7f6 d7f7 f8f7 c7f7 f6f5 f7e7 a5a3 e7e6 a3c3 e2d2 c3c7 e6f6 c7g7 f6f5 g7g3 f5f7 g3g2 d2c3 g2f2 f4f5 a7a5 f5f6 a5a4 f7f8 b8b7 f6f7 f2f4 c3b2 b6b5 c2c3 f4f2 b2a3 f2f6 d3d4 f6f5 d4d5 f5f3 d5d6
URS-ch sf,Leningrad,1947.??.??,3,"Zhukhovitsky, Samuel","Taimanov, Mark E",1/2-1/2,,,D31,d2d4 d7d5 c2c4 e7e6 b1c3 c7c6 c4d5 e6d5 c1f4 c8f5 g1f3 d8b6 d1b3 b8a6 a1c1 f8e7 f3d2 g8f6 a2a3 e8g8 e2e3 f6h5 f4e5 f7f6 e5g3 h5g3 h2g3 a8b8 b3a2 f8e8 f1e2 e7d6 b2b4 b6d8 e2a6 b7a6 d2b3 d8e7 a2e2 d6c7 b3c5 a6a5 c5a6 b8b7 a6c7 b7c7 e1g1 a5b4 a3b4 c7b7 c3a2 b7b6 c1c5 e7e4 e2b2 e8b8 f1c1 e4e8 b2a3 b8b7 a3a4 f5d3 c5c6 b7c7 b4b5 d3b5 c6c7 b5a4 c7c8 b6b2 c8e8 a4e8 a2c3 e8c6 c1a1 b2c2 a1a3 c2c1 g1h2 c1c2 f2f3 a7a6 c3a2 c6b7 a2b4 c2b2 b4d3 b2b6 d3c5 g8f7 g3g4 b7c8 h2g3 f7e7 f3f4 e7d6 a3a1 b6b8 a1h1 h7h6 h1a1 b8a8 f4f5 a6a5 g3h4 d6c6 h4h5 c6b5 h5g6 a8a7 a1b1 b5c6 b1b8 c6c7 b8b3 c7c6 g6h7 h6h5 b3c3 c6d6 c5d3 c8d7 h7g7 d7f5 g7f6 f5d3 c3d3 h5g4 g2g3 a5a4 d3a3 d6c6 f6e6 a7a5 e6f5 c6b5 f5g4 b5b4 a3a1 b4b3 g4f5 a4a3 g3g4 b3b2 a1g1 a3a2 f5e5 a2a1q g1a1 b2a1 g4g5 a1b2 g5g6 b2c3 g6g7 a5a8 e5d5 a8g8 d5e6 g8g7 d4d5 c3d3 d5d6 d3e3 d6d7 g7d7 e6d7
URS-ch sf,Leningrad,1947.??.??,4,"Taimanov, Mark E","Goldberg, Grigory Abramovich",1-0,,,B10,e2e4 c7c6 b1c3 d7d5 g1f3 g8f6 e4e5 f6e4 c3b1 c8f5 d2d3 e4c5 c1e3 e7e6 b1d2 f8e7 f1e2 e8g8 e1g1 c5d7 c2c4 b8a6 a2a3 a6c7 b2b4 f7f6 d3d4 f6e5 d4e5 a7a5 c4c5 d8b8 d2b3 a5b4 a3b4 f5e4 b3d4 h7h6 d1b3 b8e8 a1a8 e8a8 f3d2 e4f5 f2f4 a8e8 d2f3 e8g6 f1a1 f5e4 a1a7 f8b8 b3a2 e7d8 e2f1 e4d3 f1d3 g6d3 a2b3 d3b3 d4b3 c7b5 a7a1 g8f7 f3d4 b5d4 b3d4 d7f8 a1a7 f7e8 f4f5 e8d7 b4b5 c6b5 f5e6 d7c8 c5c6 b5b4 a7a1 b4b3 c6c7 c8c7 d4b5 c7c6 b5a7
URS-ch sf,Leningrad,1947.??.??,5,"Mikenas, Vladas","Taimanov, Mark E",1/2-1/2,,,D47,c2c4 e7e6 b1c3 d7d5 d2d4 c7c6 e2e3 g8f6 f1d3 b8d7 g1f3 d5c4 d3c4 b7b5 c4d3 b5b4 c3b1 c6c5 e1g1 c8b7 b1d2 c5d4 e3d4 f8e7 d2c4 e8g8 c1e3 a8c8 d1e2 d7b6 f3e5 b6c4 d3c4 f6d5 f1c1 e7d6 c1c2 d8h4 a1c1 d5f4 e3f4 h4f4 e2e3 f4e3 f2e3 d6e5 d4e5 b7e4 c2d2 c8c5 d2d4 c5e5 c4a6 e4d5 d4b4 e5e3 a2a4 e3b3 b4b3 d5b3 a4a5 f7f5 c1c7 f8f7 c7c8
URS-ch sf,Leningrad,1947.??.??,6,"Taimanov, Mark E","Aronin, Lev Solomonovich",1/2-1/2,,,D41,d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 g1f3 c7c5 c4d5 f6d5 e2e4 d5c3 b2c3 c5d4 c3d4 b8c6 f1c4 f8b4 c1d2 d8a5 d4d5 b4d2 d1d2 a5d2 e1d2 c6a5 c4b5 e8e7 a1c1 a7a6 b5d3 h8d8 c1c5 b7b6 c5c7 e7f8 f3e5 e6d5 e5f7 d8d7 c7d7 c8d7 f7e5 a8d8 e4d5 d7b5 d3e4 a5c4 e5c4 b5c4 d2e3 c4a2 h1a1 a2c4 e3d4 c4b5 e4h7 f8e7 a1e1 e7d6 e1e6 d6c7 h7f5 d8d7 d4e5 d7f7 f5e4 a6a5 f2f4 a5a4 e6g6 a4a3 g6g3 f7e7 e5d4 a3a2 g3a3 b5c4 d4c4 e7e4 c4d3 e4f4 a3a2 c7d6 a2b2 d6c5 d3e3 f4h4 h2h3 h4a4 b2c2 c5d5 c2c7 g7g6 c7g7 a4e4 e3f3 e4e6 g2g4 b6b5 h3h4 b5b4 h4h5 g6h5 g4h5
URS-ch sf,Leningrad,1947.??.??,7,"Zagorovsky, Vladimir Pavlovich","Taimanov, Mark E",0-1,,,C82,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 c2c3 f8c5 d1d3 e8g8 b1d2 f7f5 e5f6 e4f6 f3g5 c6e5 d3g3 d8d6 f1e1 f6g4 d2e4 d5e4 b3e6 g8h8 c1e3 g4f2 g3h4 h7h6 g5e4 f2e4 h4e4 a8e8 e3c5 d6c5 e4d4 c5d4 c3d4 e5d3 e1e3 d3b2 a1c1 f8f6 c1c6 b2c4 e3e2 c4b6 e2e4 e8e7 d4d5 g7g6 h2h4 h8g7 g2g4 b6a4 e4b4 a4b6 b4e4 b6a4 e4e2 b5b4 c6a6 a4c3 e2c2 c3d5 c2c6 d5b6
URS-ch sf,Leningrad,1947.??.??,8,"Bronstein, David I","Taimanov, Mark E",1/2-1/2,,,D46,d2d4 d7d5 c2c4 e7e6 b1c3 c7c6 g1f3 g8f6 e2e3 b8d7 f1d3 f8b4 a2a3 b4a5 e1g1 e8g8 d1c2 d8e7 b2b3 e6e5 d4e5 d7e5 f3e5 e7e5 b3b4 d5c4 d3c4 a5b6 h2h3 c8f5 c4d3 f5d3 c2d3 a8d8 d3c2 f6d5 c1b2 d5c3 b2c3
