Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Daugavpils,Daugavpils,1986.??.??,9,"Kamsky, Gata","Tiviakov, Sergei",0-1,,,B70,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 g2g3 b8c6 d4e2 f8g7 f1g2 e8g8 e1g1 a8b8 a2a4 a7a6 c3d5 b7b5 a4b5 a6b5 h2h3 b5b4 c1e3 f6d7 e2d4 g7d4 e3d4 e7e6 d5e3 e6e5 d4a7 b8b7 d1d6 c6a7 e3d5 f8e8 d5b4 e8e6 d6d2 d8b6 c2c3 a7c6 a1a6 b6b5 a6a8 d7b6 a8a1 c6b4 c3b4 b7d7 d2c3 d7d4 f2f4 b5b4 f4f5 e6e8 f5g6 h7g6 c3c6 e8e6 c6c7 d4d7 c7c1 b4d2 c1b1 c8b7 b2b3 d2e3 g1h1 d7d2 b1e1 d2e2 e1d1 e3d2 d1d2 e2d2 a1a7 d2d7 a7a5 d7c7 f1d1 b6d7 d1d2 d7f6 d2e2 c7d7 a5b5 b7a6 b5b8 e6e8 b8e8 f6e8 e2a2 a6b7 a2a5 f7f6 h1g1 e8d6 a5a4 g8f7 g1f2 b7c6 a4b4 d7b7 b4b7 c6b7 f2e3 f6f5 g2f1 d6e4 f1g2 e4c5 g2f1 g6g5 f1c4 f7f6 b3b4 c5e4 g3g4 f5f4 e3e2 e4g3 e2e1 e5e4 b4b5 e4e3 c4e2 g3e2 e1e2 f6e5 b5b6 e5e4
SochiJ-B,Sochi,1986.??.??,?,"Sakaev, Konstantin","Tiviakov, Sergei",1/2-1/2,,,E12,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 a2a3 c8b7 b1c3 g7g6 c1g5 h7h6 g5h4 f8g7 d4d5 e6d5 c4d5 e8g8 e2e3 c7c5 d1d2 d7d6 f1c4 b8d7 e1g1 f8e8 f1e1 a7a6 g2g4 d8c7 h2h3 f6e4 c3e4 e8e4 a1c1 d7e5 f3e5 g7e5 f2f4 e5g7 d2c2 a8e8 h4f2 c7d7 c2b3 d7d8 e1e2 d8a8 c1d1 g8h7 e2c2 a8d8 b3d3 d8c8 d3b3 c8d8 b3d3 d8a8 d3b3 e8b8 b3d3 f7f5 f2e1 b8e8 e1d2 e4c4 c2c4 b7d5 d2c3 d5c4 d3c4 a8d8 c3g7 h7g7 c4a6 e8e6 a6b7 e6e7
SochiJ-B,Sochi,1986.??.??,?,"Tiviakov, Sergei","Velikov, V.",1-0,,,B60,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1g5 d8b6 d4b3 e7e6 f1d3 a7a6 e1g1 f8e7 g1h1 e8g8 d1e2 b6c7 f2f4 b7b5 a2a3 c8b7 a1e1 h7h6 g5h4 b5b4 a3b4 c6b4 h4f2 e6e5 f4e5 d6e5 b3d2 f6d7 d2c4 e7c5 f2c5 d7c5 c4e3 a8d8 e1d1 b4d3 c2d3 c5e6 e2g4 g8h8 e3f5 h8h7 f1f3 f8g8 d1f1 d8d7 f3g3 c7d8 g4h5 d8f8 f5e3 h7h8 e3c4 e6f4 h5f5 d7e7 c4e5 f8e8 f1f4 e7e5 f5f7 e8c8 g3h3 e5e8 f4f6
Riga op,Riga,1987.??.??,?,"Tiviakov, Sergei","Gogoladze, G.",1/2-1/2,,,B35,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g7g6 b1c3 f8g7 c1e3 g8f6 f1c4 d8a5 e1g1 e8g8 c4b3 d7d6 h2h3 c8d7 f2f4 c6d4 e3d4 d7c6 d1d3 a8d8 a1d1 f6d7 d4g7 g8g7 c3d5 c6d5 e4d5 d7f6 d1e1 d8d7 e1e3 f8c8 g1h2 c8c5 f1d1 b7b5 g2g4 g7g8 f4f5 g6g5 d3d4 a5d8 h3h4 d7c7 h4g5 c5c4 b3c4 c7c4 g5f6 c4d4 f6e7 d8e7 e3e7 d4d1 e7a7 d1d2 h2g3 d2c2 g3h4 g8g7 b2b3 c2d2 a7a5 b5b4 h4g5 h7h6 g5f4 g7f6 f4e3 d2g2 e3f3 g2d2 f3e3 d2g2 e3f4 g2d2 f4e3
Riga op,Riga,1987.??.??,?,"Tiviakov, Sergei","Odeev, Handszar",1-0,,,B93,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f2f4 e7e5 d4f3 b8d7 f1d3 f8e7 a2a4 e8g8 e1g1 d7c5 g1h1 d6d5 f3e5 d5e4 d3e2 d8c7 c1e3 c5e6 e5g4 f6g4 e2g4 f7f5 c3d5 c7d8 e3b6 d8d6 g4e2 g8h8 b6a5 d6d7 d5b6 d7d1 a1d1 a8b8 a5c3 e7c5 c3e5 c5b6 e5b8 e6d4 e2c4 c8e6 c4e6 f8b8 e6b3 e4e3 f1e1 e3e2 d1d2 d4b3 d2e2
Riga op,Riga,1987.??.??,?,"Maljutin, Evgeni","Tiviakov, Sergei",0-1,,,B74,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 c1e3 f8g7 f1e2 b8c6 d4b3 e8g8 f2f4 a7a5 a2a4 c8e6 e1g1 f6d7 b3d4 d8b6 c3b5 c6d4 g1h1 f8c8 c2c3 e6b3 d1d2 d7c5 b5d4 c5e4 d2c1 b3c4 d4e6 b6c6 e2c4 c6c4 e6g7 g8g7 f4f5 c4d5 c1e1 g6f5 e1h4 f7f6 f1f3 g7h8 a1f1 c8g8 f3f5 d5d3 e3h6 g8g6 f1e1 d6d5 f5h5 g6g4
GMA-qual,Belgorod,1989.??.??,?,"Tiviakov, Sergei","Khenkin, Igor",1/2-1/2,,2415,B19,e2e4 c7c6 d2d4 d7d5 b1d2 d5e4 d2e4 c8f5 e4g3 f5g6 h2h4 h7h6 g1f3 b8d7 h4h5 g6h7 f1d3 h7d3 d1d3 d8c7 c1d2 e7e6 e1c1 g8f6 g3e4 e8c8 g2g3 d7c5 e4c5 f8c5 c1b1
GMA-qual,Belgorod,1989.??.??,?,"Tiviakov, Sergei","Arbakov, Valentin",1-0,,2400,B67,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 c1g5 e7e6 d1d2 a7a6 e1c1 c8d7 f2f4 b7b5 g5f6 g7f6 d4c6 d7c6 d2e1 f8e7 f1d3 d8b6 c1b1 b6b7 f4f5 b5b4 c3e2 e6e5 e1h4 d6d5 e4d5 c6d5 d3c4 d5c4 h4c4 a8c8 c4g4 e8f8 e2g3 b7g2 h1g1 g2c2 b1a1 h8g8 g4h5 e7c5 g1e1 c5e3 h5h4 e3g5 h4b4 f8g7 g3e4 g8d8 d1b1 c8c4 b4b7 c4a4 e4c3 a4d4 e1g1 a6a5 h2h4 d4h4 b7e7 d8d4 g1g5 f6g5 e7e5 g7f8 f5f6 h4e4 c3e4 c2e4 e5g5 e4e6 g5c5 e6d6 c5c8 d6d8 c8c5 d8d6 c5g5 d6d5 b1c1 d4c4 c1c4 d5c4 b2b3 c4d4 a1b1 d4d1 b1b2 d1d4 b2c2 d4e4 c2c3 e4b4 c3d3 b4d6 d3e2 d6h2 e2e1 h2h1 e1d2 h1h2 d2e3 h2h3 e3d4 h3e6 d4c5 h7h5 g5f4 f8g8 f4g5 g8f8 c5b5 e6g4 g5e5 g4b4 b5c6 h5h4 a2a3
GMA-qual,Belgorod,1989.??.??,?,"Tiviakov, Sergei","Vorotnikov, Vladislav V",1-0,,2415,B12,e2e4 c7c6 d2d4 d7d5 b1d2 g7g6 c2c3 f8g7 g1f3 g8h6 f1d3 e8g8 e1g1 f7f6 f1e1 h6f7 c3c4 b8a6 b2b3 a6c7 c1a3 f8e8 a1c1 g7f8 d1c2 c7e6 e4e5 f6f5 h2h4 f8h6 c1d1 b7b6 h4h5 g8g7 g2g3 c8b7 a3b2 e8g8 f3h4 h6d2 c2d2 g7f8 c4d5 c6d5 h5g6 h7g6 g1g2 f7g5 e1h1 d8e8 h4f3 g5f3 g2f3 e8f7 h1h6 f8g7 h6h7
GMA-qual,Belgorod,1989.??.??,?,"Kuzmin, Alexey","Tiviakov, Sergei",1/2-1/2,2465,,B76,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 c1e3 f8g7 f2f3 e8g8 d1d2 b8c6 e1c1 d6d5 e4d5 f6d5 d4c6 b7c6 c3d5 c6d5 e3h6 g7h6 d2h6 a8b8 h2h4 c8f5 f1d3 d8b6 b2b3 b6f6 c1b1 e7e6 h4h5 b8b7 h5g6
GMA-qual,Belgorod,1989.??.??,?,"Tsarev, V.","Tiviakov, Sergei",0-1,2430,,B74,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 c1e3 f8g7 f1e2 b8c6 d4b3 e8g8 e1g1 c8e6 f2f4 d8c8 g1h1 f8d8 b3d4 e6g4 f4f5 g4e2 d4e2 c6e5 e3g5 c8c5 e2f4 d8e8 f4d3 c5d4 g5f6 g7f6 c3d5 d4e4 d5c7 g6f5 c7a8 e8a8 d3e5 f6e5 d1h5 e7e6 h5g5 g8h8 a1e1 e4d5 g5h4 a8g8 f1f3 g8g4 h4f2 d5a2 b2b3 a2a5 h2h3 g4g6 g2g4 f5g4 f3f7 a5d5 f2g2 g4h3 g2d5 e6d5 f7b7 h3h2 c2c4 d5d4 b7a7 d4d3 e1e5 d6e5 a7d7 e5e4 h1h2 g6e6 h2g2 h7h5 g2f2 h5h4 f2e3 h4h3 d7a7 h3h2 a7a1 e6h6 a1h1 h8g7 c4c5 g7f6 e3e4 d3d2 e4d5 f6e7 b3b4 e7d7 b4b5 d2d1q h1d1 h2h1q d1h1 h6h1 d5c4 d7c7 c4b4 h1c1
GMA-qual,Belgorod,1989.??.??,?,"Karpman, Vadim","Tiviakov, Sergei",1/2-1/2,2480,,E18,g1f3 g8f6 c2c4 b7b6 g2g3 c8b7 f1g2 e7e6 e1g1 f8e7 d2d4 e8g8 b1c3 f6e4 c1d2 f7f5 d4d5 e7f6 a1c1 b8a6 e2e3 a6c5 f3d4 e4d6 c3a4 e6d5 c4d5 f6d4 e3d4 c5e4 d2f4 b7d5 f4d6 c7d6 a4c3 e4c3 c1c3 d5g2 g1g2 a8c8 d1b3 g8h8 f1c1 c8c3 c1c3 d8a8 d4d5 a8e8 c3e3 e8f7 b3d3 h7h6 e3f3 f7f6
GMA-qual,Belgorod,1989.??.??,?,"Geller, Alexander G","Tiviakov, Sergei",0-1,2265,,E15,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8a6 b2b3 f8b4 c1d2 c7c5 d2b4 c5b4 a2a3 b4a3 f1g2 a6b7 e1g1 e8g8 b1a3 a7a5 a3b5 d7d5 f3e5 b8a6 a1c1 d8e7 c4d5 f6d5 e2e4 d5f6 d1e2 e7b4 e5c6 b7c6 c1c6 b4b3 e4e5 f6d5 g2e4 a6b4 f1b1 b3b1 e4b1 b4c6 b5d6 g7g6 e2d2 a5a4 d2h6 c6d4 b1a2 d4f3 g1g2 f3e5 d6e4 f7f6 f2f4 e5g4 h6h3 g8g7 g2f3 h7h5 h3g2 a8c8 g2b2 g4e3 b2b5 e3f5 b5a4 c8a8
Frunze op,Frunze,1989.??.??,?,"Tiviakov, Sergei","Itkis, Boris",1-0,2480,2310,B07,e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 c1g5 c7c6 d1d2 h7h6 g5h4 b7b5 f1d3 b8d7 f2f4 e7e5 d4e5 d6e5 g1f3 f8e7 f4e5 f6h7 h4e7 d8e7 d2h6 d7e5 e1c1 e5f3 g2f3 e7g5 h6g5 h7g5 f3f4 g5e6 d1f1 h8h4 f4f5 e6f4 f5g6 f4g6 c3e2 g6e5 f1g1 e8e7 g1g8 c8b7 g8a8 b7a8 e2d4 h4h3 d3f1 h3h5 d4f5 e7f6 h2h4 h5h8 f1e2 c6c5 h1h2 a7a6 c1d2 f6e6 d2e3 a8c6 h4h5 f7f6 h2g2 h8h7 h5h6 c6e8 g2g7 e8g6 e2h5 h7g7 h6g7 e6f7 h5g6 e5g6 b2b4 c5b4 e3d4 g6e5 d4c5 e5c4 c5b4 c4d2 b4a5 d2e4 a5a6 e4c3 a6a5 c3a2 a5b5 a2c3 b5c4 c3e2 c2c3 e2f4 c4b5 f4e6
Frunze op,Frunze,1989.??.??,?,"Tiviakov, Sergei","Shirov, Alexei",1/2-1/2,2480,2495,B66,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 c1g5 e7e6 d1d2 a7a6 e1c1 h7h6 g5f4 c8d7 d4c6 d7c6 f2f3 d6d5 d2e1 f8b4 a2a3 b4a5 b2b4 a5b6 e4d5 c6d5 f4e5 e8g8 e1h4 b6e3 c1b2 e3g5 h4d4 d5c6 f1d3 d8d4 e5d4 f8d8 c3e2 f6d5 h2h4 g5f6 d4f6 g7f6
Frunze op,Frunze,1989.??.??,?,"Tiviakov, Sergei","Nenashev, Alexander",0-1,2480,2435,C86,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 d1e2 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c8e6 b3e6 f7e6 d2d4 d8e8 a2a4 a8b8 a4b5 a6b5 d4e5 c6e5 f3d4 e8d7 f2f4 e5c6 d4b5 f6e4 e2e4 b8b5 f1e1 c6d8 b1a3 b5a5 b2b4 d6d5 e4e2 a5a8 c1e3 e7d6 e2d2 d7f7 a3b5 d8b7 e1f1 f7d7 a1a8 f8a8 d2d3 d6f8 b5d4 c7c5 b4c5 b7c5 d3b5 d7b5 d4b5 a8a2 f4f5 a2e2 e3f2 e6e5 f1e1 e2b2 b5c7 c5d3 e1d1 d3f2 d1d5 f2e4 c7e6 f8d6 c3c4 b2c2 d5a5 c2c4 a5a8 g8f7 a8a7 f7f6 e6g7
Frunze op,Frunze,1989.??.??,?,"Tiviakov, Sergei","Magomedov, Magaram",1/2-1/2,2480,,B19,e2e4 c7c6 d2d4 d7d5 b1d2 d5e4 d2e4 c8f5 e4g3 f5g6 h2h4 h7h6 g1f3 b8d7 h4h5 g6h7 f1d3 h7d3 d1d3 d8c7 c1d2 g8f6 e1c1 e7e6 g3e4 e8c8 g2g3 d7c5 e4c5 f8c5 d3e2 c5b6 d2f4 c7e7 c2c4 h8e8 e2e5 b6c7 e5c7 e7c7 f4c7 c8c7 h1h4 e8e7 f3e5 f6h7 d1e1 h7g5 f2f4 g5h7 e5f3 f7f5 g3g4 f5g4 h4g4 h7f6 g4h4 b7b5 b2b3 b5c4 b3c4 c6c5 d4c5 f6d7 h4g4 d7c5 e1g1 c7b6 g4g7 e7g7 g1g7 c5d3 c1c2 d3f4 g7h7 d8d3 f3d2 d3h3 h7h6 h3h5 h6h5
Frunze op,Frunze,1989.??.??,?,"Tiviakov, Sergei","Korsunsky, Rostislav R",1-0,2480,2390,B22,e2e4 c7c5 g1f3 b8c6 c2c3 g8f6 e4e5 f6d5 d2d4 c5d4 c3d4 d7d6 f1c4 d5b6 c4b5 d6e5 f3e5 c8d7 b1c3 c6e5 d4e5 d7b5 c3b5 d8d1 e1d1 b6d5 d1e2 a7a6 h1d1 e8c8 b5d4 e7e6 c1d2 b7b6 a1c1 c8b7 c1c4 f8c5 d4f3 d8d7 f3g5 h8d8 d1c1 h7h6 g5e4 c5e7 g2g3 e7f8 a2a3 f7f5 e5f6 g7f6 c1c2 h6h5 c4c6 d8e8 d2e3 f6f5 e4g5 f8c5 c6e6 d7e7 e6e7 e8e7 e2f3 d5e3 f2e3 c5e3 h2h4 e3d4 f3f4 d4e5 f4f5 e5g3 g5e6 g3h4 e6d8 b7a8 c2c8 a8a7 d8c6 a7b7 c6e7 h4e7 c8h8 e7c5 h8h5 b6b5 f5e4 c5f2 h5f5 f2g1 f5f1 g1c5 e4d5 c5e3 f1f7 b7b6 f7f3 e3g1 f3f1 g1e3 d5e4 e3g5 f1f5 g5c1 f5f2 c1g5 e4d4 g5c1 f2e2 b6a5 d4c3 a5b6 c3d4 b6a5 e2c2 c1h6 c2g2 h6c1 g2c2 c1h6 c2c7 a5b6 c7e7 h6c1 e7e6 b6b7 e6e2 b7b6 d4d5 c1g5 e2e6 b6b7 d5c5 g5d8 b2b3 d8h4 e6b6 b7a7 c5c6 h4f2 b6b7 a7a8 b7f7 f2g1 f7f4 a8a7 a3a4 b5a4 f4a4 g1f2 b3b4 f2e3 b4b5 a7b8 a4a6
Frunze op,Frunze,1989.??.??,?,"Epishin, Vladimir","Tiviakov, Sergei",1-0,2460,2480,E12,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 b1c3 c8b7 a2a3 d7d5 c4d5 f6d5 d1c2 d5c3 b2c3 c7c5 e2e4 b8d7 c1f4 c5d4 c3d4 a8c8 c2b1 f8e7 f1d3 e8g8 e1g1 c8c3 f1c1 c3c1 f4c1 e6e5 d4d5 f7f5 d3c4 e7f6 c1e3 d8c8 b1a2 g8h8 a1d1 d7c5 e4f5 c5e4 d1c1 c8d7 c4b3 e4d6 c1e1 d6f5 e3d2 f8e8 a2c2 f5d6 f3g5 f6g5 d2g5 d6f7 g5e3 e8d8 e1d1 f7d6 c2d3 d7b5 h2h3 b5d3 d1d3 h8g8 a3a4 g8f7 e3c1 e5e4 d3d1 a7a6 c1a3 b6b5 a4b5 a6b5 d1d4 f7f6 a3b2 f6f7 b2a3 f7f6 a3b4 d6c4 b3c4 b5c4 d5d6 f6e6 d4c4 d8c8 c4d4 c8c1 g1h2 b7c6 d6d7
Frunze op,Frunze,1989.??.??,?,"Tiviakov, Sergei","Anastasian, Ashot",1/2-1/2,2480,2495,B33,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 d8b6 d4b3 g8f6 b1c3 e7e6 f1d3 a7a6 c1e3 b6c7 f2f4 d7d6 d1f3 f8e7 g2g4 b7b5 g4g5 f6d7 e1c1 d7c5 b3c5 d6c5 e4e5 c8b7 d3e4 a8d8 h2h4 d8d1 h1d1 e8g8 h4h5 f8d8 d1d8 c6d8 e4b7 c7b7 f3b7 d8b7 c3e4 g8f8 c2c4 b5b4 a2a3 b4a3 b2a3 f8e8 c1c2 e8d7 c2d3 d7c6 e3f2 g7g6 f2e1 c6d7 h5g6 h7g6 e4f2 e7d8 f2g4 d8e7 d3c2 e7d8 e1d2 d7e8 c2b3
Frunze op,Frunze,1989.??.??,?,"Kanstler, Boris","Tiviakov, Sergei",0-1,2425,2480,E27,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 a2a3 b4c3 b2c3 e8g8 f2f3 b7b6 e2e4 f6e8 g1h3 c8a6 c1g5 f7f6 g5h4 b8c6 e4e5 c6a5 d1a4 d7d6 h3f2 d6d5 c4d5 a6f1 h1f1 d8d5 f2d3 f6e5 d3e5 e8d6 a4d7 a5c4 e5c6 g8h8 h4e7 f8e8 f1f2 d5b5 e7d6 c7d6 f2e2 e8c8 d4d5 e6d5 e1f2 c4a5 c6b8 b5c5 f2g3 a8b8 a1e1 c5c6 d7f7 c8f8 f7h5 c6c3 e2e8 b8e8 e1e8 c3f6
Frunze op,Frunze,1989.??.??,?,"Lukin, Andrei M","Tiviakov, Sergei",1-0,2450,2480,A28,c2c4 e7e5 b1c3 b8c6 g1f3 g8f6 e2e3 f8b4 d1c2 e8g8 c3d5 f8e8 c2f5 d7d6 d5f6 d8f6 f5f6 g7f6 a2a3 b4c5 b2b3 e5e4 f3h4 c6e5 c1b2 f6f5 g2g3 a7a5 f2f4 e5d3 f1d3 e4d3 e1f2 a8b8 b2c3 a5a4 b3b4 c5a7 h1c1 e8e4 h4f3 c8e6 c3d4 c7c5 b4c5 d6c5 d4e5 b8c8 a1b1 b7b6 c1c3 e6c4 f3g5 c4a6 g5e4 f5e4 g3g4 c8c6 g4g5 c6e6 b1c1 g8f8 h2h4 f8e8 h4h5 e8d7 e5g7 e6d6 f2g3 d6d5 g3g4 d7c6 c3c4 a6c4 c1c4 b6b5 c4e4 b5b4 a3b4 c5b4 e4b4 a4a3 e3e4 d5d7 f4f5 a7c5 b4b1 a3a2 b1a1 c5d4 g7d4 d7d4 g4f4 d4a4 g5g6 f7g6 f5g6 h7g6 h5g6 a4a8 f4f5 a8f8 f5g5 f8f2 a1a2 c6d6 g6g7 f2g2 g5f6 g2f2 f6g6 f2g2 g6f7 g2f2 f7e8 f2g2 a2a7
Frunze op,Frunze,1989.??.??,?,"Minasian, Artashes","Tiviakov, Sergei",0-1,2485,2480,B50,e2e4 c7c5 g1f3 d7d6 c2c3 g8f6 h2h3 b8c6 f1d3 d6d5 e4e5 f6d7 e5e6 f7e6 f3g5 d7f6 d3h7 f6h7 d1h5 e8d7 g5h7 d8e8 h7f6 e7f6 h5h8 b7b6 e1g1 c8a6 f1e1 e8g6 d2d4 c5d4 h8h4 e6e5 b1d2 f8d6 d2f3 a6d3 c3d4 e5e4 f3h2 c6d4 c1f4 d4f5 h4g4 g6g4 h3g4 d6f4 g4f5 f4e5 a1d1 e5b2 e1e3 d7d6 e3g3 a7a5 g3g7 a5a4 h2g4 a4a3 f2f3 d3c4 f3e4 c4a2 e4e5 f6e5 g7g6 d6c5 f5f6 a2c4 f6f7 a8f8 g4h6 d5d4 g6g8 f8g8 f7g8q c4g8 h6g8 a3a2 g8f6 d4d3 g1f2 c5c4 f6e4 a2a1q d1a1 b2a1 g2g4 a1d4 f2e1 d4c5 g4g5 c5f8 g5g6 b6b5 e4d6 c4c3 e1d1 b5b4 d6e4 c3d4 e4g5 b4b3 d1c1 e5e4
Frunze op,Frunze,1989.??.??,?,"Moldobaev, Emil","Tiviakov, Sergei",1/2-1/2,2360,2480,E08,d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 f8b4 c1d2 b4e7 g1f3 e8g8 e1g1 c7c6 d1c2 b7b6 d2f4 c8b7 b1d2 f6h5 f4e3 b8d7 a1d1 f7f5 d2b3 a7a5 b3c1 e7d6 c1d3 d8b8 f3e5 h5f6 c4d5 c6d5 e3f4 f8c8 c2a4 d7f8 d1c1 c8c1 f1c1 b8d8 e5c6
Imperia op,Imperia,1989.??.??,1,"Tiviakov, Sergei","Lebel, Patrick",1-0,,2270,B07,e2e4 d7d6 d2d4 g8f6 b1c3 c7c6 f2f4 d8a5 f1d3 e7e5 g1f3 c8g4 d4e5 d6e5 f4e5 g4f3 d1f3 a5e5 c1f4 e5a5 e4e5 f6d5 e1g1 d5f4 f3f4 f8c5 g1h1 e8g8 c3e4 c5e7 e4f6 e7f6 e5f6 a5h5 f6g7 f8e8 f1f3
Imperia op,Imperia,1989.??.??,2,"Pozzi, Enrico","Tiviakov, Sergei",0-1,2295,,B51,e2e4 c7c5 g1f3 d7d6 f1b5 b8c6 e1g1 c8d7 f1e1 g8f6 a2a4 a7a6 b5c4 d7g4 d2d3 g7g6 b1d2 f8g7 h2h3 g4f3 d2f3 e8g8 c1g5 h7h6 g5e3 e7e6 c4a2 g8h7 c2c3 d8a5 d1c2 a8c8 f3d2 f6d7 f2f4 a5d8 a1d1 b7b5 a4b5 a6b5 f4f5 e6f5 e4f5 d7e5 e1f1 c6d4 e3d4 c5d4 a2f7 f8f7 f5g6 h7g6 c2b3 f7f1 d1f1 d4c3 b3e6 g6h7 b2c3 d8d7 e6d5 c8c3 d3d4 d7c6 d5e6 c3c2 e6f5 h7h8 d2e4 c2e2 e4f2 c6d7 f5h5 e2d2 d4e5 d6e5 f1a1 d2f2 a1a8 f2f8
Imperia op,Imperia,1989.??.??,3,"Tiviakov, Sergei",Klianto,1-0,,,B07,e2e4 d7d6 d2d4 g7g6 c2c3 f8g7 f2f4 g8f6 f1d3 e8g8 g1f3 c7c5 d4c5 d6c5 e4e5 f6d5 e1g1 b8a6 d3e4 a6c7 c3c4 d5b4 a2a3 b4c6 c1e3 c7e6 b1c3 c8d7 d1d3 d8c8 c3d5 g8h8 a1d1 f8d8 b2b4 f7f5 e5f6 e7f6 f4f5 e6f8 g2g4 g6f5 g4f5 c5b4 a3b4 d8e8 b4b5 c6e7 f3g5 e7f5 f1f5 f6g5 f5g5 e8e4 d3e4 c8e8 e3d4 f8e6 d4g7 e6g7 e4d4
Imperia op,Imperia,1989.??.??,4,"Sahovic, Dragutin","Tiviakov, Sergei",1/2-1/2,2410,,E15,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8a6 b2b3 a6b7 f1g2 f8b4 c1d2 c7c5 e1g1 e8g8 a2a3 b4d2 d1d2 c5d4 d2d4 b8c6 d4b2 d7d5 f1d1 d8e7 b1d2 f8d8 c4d5 f6d5 d2c4 b6b5 c4e5 e7f6 d1d2 b5b4 e5c6 f6b2 d2b2 b7c6 f3d4 b4a3 a1a3 c6b7 f2f4 d8d7 b3b4 a7a6 g1f2 a8c8 g2d5 d7d5 d4b3 d5b5 b3d4 b5b6 b4b5 g7g6 a3a2 a6b5 b2b5
Imperia op,Imperia,1989.??.??,5,"Sarno, Spartaco","Tiviakov, Sergei",1/2-1/2,2270,,E15,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8a6 b2b3 f8b4 c1d2 b4e7 b1c3 e8g8 e2e4 d7d5 c4d5 a6f1 e1f1 e6d5 e4e5 f6e4 a1c1 f7f5 f1g2 d8d7 c3e2 c7c5 h2h4 b8c6 d2e3 c6b4 a2a3 b4c6 e2f4 f8d8 d1c2 a8c8 c2b2 e7f8 h1d1 c6e7 d4c5 b6c5 b3b4 c5b4 c1c8 d8c8 a3b4 c8c4 f3d2 e4c3 d2c4 c3d1 b2d2 d7c6 c4a5 d1e3 d2e3 c6d7 e3d3 e7g6 f4g6 h7g6 b4b5 d5d4 g2f1 d7d5 d3c4 d5c4 a5c4 g8f7 f1e2 f7e6 e2d3 e6d5 b5b6 a7b6 c4b6 d5c6 b6c4 c6d5
Imperia op,Imperia,1989.??.??,8,"Mrdja, Milan","Tiviakov, Sergei",1/2-1/2,2405,,B76,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 c1e3 f8g7 d1d2 b8c6 f2f3 e8g8 g2g4 c8e6 e1c1 c6d4 e3d4 d8a5 a2a3 a8b8 c1b1 f8c8 h2h4 b7b5 c3d5 a5d2 d1d2 f6d5 e4d5 g7d4 d2d4 e6d7 f1d3 h7h6 h1e1 c8e8 b2b4 g8g7 d4e4 e7e5 d5e6 f7e6 b1b2 e6e5 c2c4 d7c6 e4e3 b5c4 d3c4 a7a5 b2b3 b8b6 e3d3 a5b4 a3b4 e8f8 e1e3 f8f4 b3c3 c6a8 b4b5 g7f6 c3b4 f6e7 b4a5 b6b8 c4b3 h6h5 g4h5 g6h5 d3c3 e7d7 b5b6 a8c6 b3e6 d7e6 c3c6 f4h4 e3b3 e6d5 c6c7 h4c4 a5a6 h5h4 a6a7 b8h8 c7c4 d5c4 b3b1 c4d3 b6b7 d3e2 b7b8q h8b8 a7b8 e2f3 b8c7 e5e4 c7d6 e4e3 d6e5 e3e2 b1h1 f3g2 h1e1 g2f2
