Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
54th ch-RUS,Elista RUS,2001.04.30,1,"Tomashevsky,E","Pushkov,N",1/2-1/2,2408,2561,A13,c2c4 e7e6 g1f3 g8f6 b2b3 d7d5 g2g3 f8e7 f1g2 e8g8 e1g1 c7c6 c1b2 b8d7 d2d3 f8e8 b1d2 e7f8 e2e4 d5e4 d2e4 d8c7 e4f6 d7f6 f3e5 c8d7 d1e2 e8d8 f1d1 d7e8 d3d4 a8c8 a1c1 c7b6 e5d3 f8e7 d3f4 b6a6 a2a3 e7d6 e2e3 d6f4 e3f4 f6d7 f4g4 d7f6 g4h4 f6d7 d4d5 c6d5 c4d5 e6d5 c1c8 d8c8 h4g4 a6g6 g4g6 h7g6 g2d5 b7b6 d1e1 g8f8 d5c4 f7f6 a3a4 e8f7 c4b5 d7c5 b3b4 c5e6 b5d7 c8c7 d7e6 c7e7
54th ch-RUS,Elista RUS,2001.05.01,2,"Sveshnikov,E","Tomashevsky,E",1/2-1/2,2571,2408,B02,e2e4 g8f6 e4e5 f6d5 c2c4 d5b6 c4c5 b6d5 b1c3 e7e6 d2d4 d7d6 c5d6 c7d6 g1f3 b8c6 f1d3 d6e5 d4e5 d5b4 d3e4 d8d1 e1d1 b4a6 a2a3 a6c5 e4d3 a7a6 h1e1 b7b5 b2b4 c5d7 d3e4 c8b7 c1g5 d7b6 f3d2 f8e7 g5e3 b6d7 f2f4 a8c8 a1c1 e8g8 d2f3 f7f6 f3d4 f6e5 d4e6 f8e8 f4f5 d7f6 e4f3 c6d8 f3b7 d8b7 e3g5 b7d6 g5f6 e7f6 g2g4 g7g6 c3d5 c8c1 d1c1 g8f7 g4g5 g6f5 d5c7 e8e6 c7e6 f7e6 g5f6 e6f6 c1d2 e5e4 e1g1 f6e5 g1g7 d6c4 d2c3 e5f4 g7h7 e4e3 c3d3 c4e5 d3e2 f4e4 h7e7 f5f4 h2h4 f4f3 e2d1 e4d3 e7e8 e3e2 d1e1 e5g4 e8d8 d3e3 d8e8 e3d3 e8d8 d3e3 d8e8
54th ch-RUS,Elista RUS,2001.05.02,3,"Tomashevsky,E","Iljushin,A",1-0,2408,2536,A35,c2c4 c7c5 b1c3 b8c6 g1f3 g8f6 g2g3 g7g6 f1g2 f8g7 e1g1 d7d6 d2d4 c5d4 f3d4 c8d7 d4b3 e8g8 c4c5 f6e8 c1f4 d7e6 c5d6 e8d6 b3c5 e6c8 a1c1 e7e5 f4g5 d8g5 d1d6 g5d8 d6d8 c6d8 c3b5 d8e6 c5e6 c8e6 b5c7 a8d8 c7e6 f7e6 c1c2 f8f7 f1c1 f7d7 c2c7 b7b6 g2h3 d7c7 c1c7 d8d6 c7a7 e5e4 b2b3 e4e3 f2e3 g8f8 g1f2 h7h5 g3g4 h5g4 h3g4 g7f6 f2f3 f6e7 f3e4 f8f7 h2h3 f7f6 b3b4 d6c6 a2a3 e7d6 a7a6 d6c7 e4d3 c6d6 d3c4 d6d5 a3a4 d5e5 c4d3 e5d5 d3e4 d5e5 e4f3 e5d5 a6a7 c7d8 f3e4 d5d6 a4a5 b6a5 b4a5 d6d5 a5a6 d5e5 e4d3 e5a5 a7a8 d8e7 d3c4 a5c5 c4b3 c5a5 a8a7 e6e5 g4f3 e7c5 a7c7 c5e3 c7c6 f6f5 f3g4 f5g5 c6e6 e3d4 b3b4 a5a1 b4b5 a1b1 b5c6 g5f4 c6d5 g6g5 e6f6 f4e3 f6f3 e3d2 f3d3 d2e1 d3a3 b1b5 d5c4 b5c5 c4d3 c5c7 e2e3 d4a7 a3a5 c7c6 d3e4 c6c3 e4e5 c3e3 e5f5 e1f2 f5g5 f2g3 g4f5 e3e8 a5a3 e8e3 a3a4 e3e8 h3h4 a7e3 g5g6 e8g8 g6h7 g8f8 f5g6 f8d8 h4h5 e3d4 g6f7 d4a7 h5h6 d8d7 h7g7 a7b8 h6h7 b8e5 g7g6 d7a7 f7d5
54th ch-RUS,Elista RUS,2001.05.03,4,"Epishin,V","Tomashevsky,E",1-0,2579,2408,E15,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8a6 b2b3 d7d5 c4d5 e6d5 f1g2 f8d6 b1c3 e8g8 e1g1 b8d7 d1c2 f8e8 c1b2 a8c8 f1d1 c7c6 a1c1 d8e7 f3h4 d6b4 h4f5 e7f8 e2e3 g7g6 f5h4 f8e7 h4f3 f6e4 a2a3 b4d6 c3e4 d5e4 f3d2 d7f6 d2c4 a6c4 b3c4 d6a3 b2a3 e7a3 c4c5 f6d5 c1a1 a3c3 g2e4 b6c5 d4c5 c3c2 e4c2 c8c7 d1d4 e8b8 c2e4 d5c3 e4d3 b8e8 d4c4 c3d5 a1a5 d5f6 c4a4 e8e7 d3e2 f6e4 e2d3 e4g5 g1g2 e7d7 d3c4 d7e7 h2h4 g5e4 c4d3 e4f6 d3e2 f6e4 e2f3 e4d2 f3d1 d2e4 d1c2 e4f6 a4a2 h7h5 c2d1 e7d7 d1f3 f6d5 a2a4 g8g7 a4d4 d5e7 d4d6 e7d5 e3e4 d5b4 f3e2 d7e7 f2f3 f7f5 d6d4 b4d5 e2d3 f5e4 d3e4 d5f6 e4d3 c7d7 d4d6 f6d5 d6g6 g7f7 g6d6 d7d6 c5d6 e7d7 g2f2 f7f6 d3e4 f6e5 e4g6
54th ch-RUS,Elista RUS,2001.05.04,5,"Tomashevsky,E","Khasin,Al",1/2-1/2,2408,2542,A04,g1f3 c7c5 b2b3 b8c6 c1b2 d7d6 e2e3 e7e5 c2c4 g7g6 b1c3 f8g7 d2d3 g8e7 g2g3 e8g8 f1g2 h7h6 e1g1 c8e6 d1e2 d8d7 a1d1 f8e8 e2d2 e6g4 d1c1 a8d8 f3e1 g4h3 e3e4 c6d4 e1c2 h3g2 g1g2 f7f5 f2f3 d4e6 c1e1 h6h5 g2h1 f5f4 d2g2 e8f8 c3d5 f4g3 h2g3 e7d5 e4d5 e6g5 b2c1 g5f7 c2a3 g7h6 a3b5 h6c1 e1c1 f7g5 f3f4 e5f4 g3f4 d7h3 g2h3 g5h3 f4f5 f8f5 f1f5 g6f5 c1f1 g8h7 b5c7
54th ch-RUS,Elista RUS,2001.05.06,6,"Rustemov,A","Tomashevsky,E",1-0,2625,2408,A05,g1f3 g8f6 c2c4 b7b6 b1c3 c8b7 d2d4 e7e6 c1g5 f8b4 f3d2 h7h6 g5h4 d8e7 e2e3 b4c3 b2c3 d7d6 f2f3 b8d7 f1d3 e6e5 e3e4 d7f8 d1a4 e7d7 a4d7 f6d7 h4f2 f8e6 e1c1 e8e7 h1e1 a7a5 c1b2 a5a4 b2a3 b7a6 d1b1 c7c5 d4d5 e6c7 d2f1 h8b8 f1e3 g7g6 h2h4 d7f6 e1e2 a6c8 e2b2 a8a6 e3d1 f6d7 f2e3 h6h5 e3g5 f7f6 g5d2 c8b7 d1e3 b8h8 d3f1 a6a5 g2g3 b7a6 f1h3 b6b5 h3f1 b5c4 f1c4 h8a8 c4a6 a5a6 b2b7 a8a7 g3g4 a7b7 b1b7 e7d8 g4h5 g6h5 b7b1 c7e8 b1g1 d8e7 c3c4 d7b6 g1g8 e7f7 g8h8 e8g7 h8b8 b6d7 b8b7 f7e7 e3d1 e7d8 b7b5 d8c8 d1e3 g7e8 b5b1 d7b6 b1g1 c8d7 g1g8 d7e7 g8h8 e7f7 a3b2 e8g7 b2c3 b6d7 h8c8 f7e7 c3d3 a6a7 d2c3 d7f8 c8b8 f8g6 e3g2 g7e8 b8b6 e7d7 b6b8 d7e7 d3e3 e8g7 f3f4 g6f8 f4f5 g7e8 e3f3 f8d7 b8b1 a7a6 g2e3 d7b6 f3e2 b6d7 e2d3 a6a7 e3f1 e8g7 f1g3 a7a8 c3d2 a8g8 b1h1 e7f7 h1g1 g8b8 d2c3 b8g8 g3f1 g8b8 f1d2 b8g8 d2b1 g8b8 b1a3 g7e8 a3b5 b8b7 c3a5 b7b8 g1c1 b8a8 a5d2 d7b8 c1b1 b8a6 b5a3 a8a7 b1b6 a6c7 a3b5 c7b5 c4b5 f7e7 d3c4 a4a3 b6b8 a7a4 c4b3 a4d4 d2c3 c5c4 b3c2
54th ch-RUS,Elista RUS,2001.05.07,7,"Tomashevsky,E","Zakharevich,I",1/2-1/2,2408,2487,A40,d2d4 g7g6 g1f3 f8g7 c2c3 g8f6 c1g5 c7c5 e2e3 d8b6 d1b3 e8g8 b1d2 d7d6 f1c4 h7h6 g5h4 b6b3 a2b3 c5d4 e3d4 g6g5 h4g3 f6h5 e1g1 h5g3 h2g3 f8d8 f1e1 g8f8 b3b4 b8d7 c4f1 d7b6 a1a5 c8d7 e1a1 a7a6 d2c4 b6c4 f1c4 a8c8 c4f1 d7c6 d4d5 c6d7 f3d2 c8b8 d2c4 b7b5 c4e3 d7c8 f1e2 e7e6 e2f3 d8e8 a1e1 g7f6 a5a1 f6d8 d5e6 f7e6 a1d1 d8c7 e3c2 f8g7 c2d4 g7f6 d1d3 e6e5 d4c2 c8f5 f3e4 f5e4 e1e4 f6e6 c2e3 a6a5 g3g4 a5a4 e3f5 e8h8 e4e2 h8h7 e2d2 b8b6 f5e3 c7b8 d3d5 h6h5 g4h5 h7h5 g2g3 h5h8 g1g2 h8f8 e3c2 b6b7 c2a3 b7f7 d5d3 f7b7 a3c2 e6d7 c2e3 d7c6 c3c4 b5c4 e3c4 b7b4 c4d6
54th ch-RUS,Elista RUS,2001.05.08,8,"Timofeev,Ar","Tomashevsky,E",1/2-1/2,2522,2408,B05,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 c8g4 f1e2 e7e6 c2c4 d5b6 e5d6 c7d6 e1g1 f8e7 h2h3 g4h5 b1d2 e8g8 b2b3 h5g6 c1b2 b8c6 a2a3 e7f6 b3b4 e6e5 d4d5 c6d4 f3d4 e5d4 d1b3 a8c8 a1c1 f8e8 e2d3 b6d7 d3g6 h7g6 d2f3 d8b6 f1e1 e8e1 c1e1 a7a5 b3a4 b6c7 b2d4 a5b4 a4b4 f6d4 f3d4 d7f6 d4b5 c7c4 b5d6 c4b4 a3b4 c8d8 d6b7 d8b8 b7d6 f6d5 b4b5 g8f8 f2f3 b8d8 d6e4 d8b8 e1b1 f8e7 b1b3 b8b6 h3h4 f7f5 e4g5 d5c7 b3e3 e7d7 g5f7 b6b5 f7e5 d7e6 e5g6 e6f6 g6f8 b5b4 f8d7 f6g6 g2g3 b4d4 d7e5 g6h7 e3b3 c7e8 e5c6 d4c4 c6d8 e8f6 b3b5 g7g6 b5b7 h7g8 d8e6 f6h5 g1g2 c4c3 e6g5 c3a3 b7b6 g8g7 g5e6 g7f7 e6d8 f7g7 b6b7 g7f6 b7f7 f6e5 f7f8 a3a2 g2h3 e5d4 f8e8 a2a1 g3g4 f5g4 f3g4 a1a3 h3h2 a3a2 h2g1 h5f4 d8e6 d4e4 e6g5 e4d5 g1f1 a2g2 e8d8 d5c6 g5f3 g2g4 d8d4 c6c5 d4a4 f4d5
54th ch-RUS,Elista RUS,2001.05.09,9,"Tomashevsky,E","Lugovoi,A",1/2-1/2,2408,2512,A47,d2d4 g8f6 g1f3 d7d5 c2c4 c7c6 c4d5 c6d5 b1c3 b8c6 c1f4 f6e4 e2e3 e4c3 b2c3 g7g6 f1d3 f8g7 e1g1 e8g8 a1b1 b7b6 f4g3 c8b7 c3c4 d5c4 d3c4 c6a5 c4d3 a8c8 d1e2 e7e6 b1d1 d8e7 e3e4 e7a3 d3a6 f8d8 f3e5 b7a6 e2a6 a5c4 a6a3 c4a3 d4d5 e6d5 e4d5 a3b5 e5c6 d8d7 c6b8 d7b7 b8c6 b5c3 d1d3 b7d7 f1e1 g8f8 h2h3 g7f6 g1h2 d7d5 d3d5 c3d5 c6a7 c8a8 e1d1 d5c3 d1d7 c3a2 a7b5 a2c3
Czech Open,Pardubice CZE,2001.07.21,2,"Tomashevsky,E","Berger,Stev",1-0,2449,2311,A36,c2c4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 a1b1 e7e6 a2a3 a7a5 d2d3 g8e7 g1f3 d7d5 e1g1 e8g8 c1g5 d5d4 c3a4 h7h6 g5e7 d8e7 d1b3 f8d8 f3d2 c6b8 d2e4 b8d7 a4b6 a8b8 b3b5 f7f5 b6d7 c8d7 b5c5 g7f8 c5e7 f8e7 e4d2 b7b5 f1c1 b5c4 d2c4 b8b5 a3a4 b5c5 c4b6 d7e8 c1c5 e7c5 b6c4 c5b4 b1a1 d8c8 g2b7 c8c7 b7a6 g8g7 a6b5 e8f7 f2f4 g7f6 h2h4 g6g5 h4g5 h6g5 g1f2 f7g6 a1h1 g5f4 g3f4 c7h7 h1h7 g6h7 b5e8 h7g6 e8g6 f6g6 c4e5 g6f6 e5c6 b4d6 c6a5 d6f4 a5c6
Czech Open,Pardubice CZE,2001.07.22,3,"Tomashevsky,E","Sasikiran,K",1/2-1/2,2449,2589,D27,g1f3 d7d5 c2c4 d5c4 e2e3 g8f6 f1c4 c7c5 d2d4 e7e6 e1g1 a7a6 b2b3 b8d7 c1b2 f8e7 b1d2 e8g8 d1e2 b7b5 c4d3 c5d4 b2d4 c8b7 f1d1 d8b8 d4b2 f8d8 a1c1 b8a7 d3b1 a8c8 c1c8 d8c8 d2f1 a7a8 f1g3 d7c5 f3e1 c5e4 b1e4 b7e4 b2f6 e7f6 g3e4 a8e4 g2g3 h7h6 e2d3 e4b4 e1f3 c8c3 d3b1 b4c5 b1e4 c5c8 g1g2 c3c2 d1d2 c2c1 e4d3 c8c6 d3d6 c6a8 d2d1 c1c8 d6d3 c8c3 d3d6 g7g5 g3g4 h6h5 h2h3 c3c8 d6d3 c8c3 d3d6 c3c8 d6d3 c8c3 d3d6 h5h4 d6b4 c3c2 a2a4 b5a4 b4a4 c2b2 d1d6 a6a5 d6b6 a8d8 b6b7 g8g7 a4c6 f6e7 f3d4 b2a2 c6f3 d8d6 d4b5 d6d8 b5d4 d8d6
Czech Open,Pardubice CZE,2001.07.23,4,"Egeli,P","Tomashevsky,E",0-1,2317,2449,A12,c2c4 c7c6 g1f3 d7d5 b2b3 g8f6 g2g3 c8g4 f1g2 e7e6 c1b2 b8d7 d2d3 g4f3 g2f3 d8a5 b1d2 f8a3 d1c1 a3b2 c1b2 e8g8 e1g1 a5b6 d3d4 f8e8 f3g2 a7a5 a2a3 b6a6 f1c1 e6e5 c4d5 c6d5 d4e5 d7e5 d2f3 e5g4 c1c2 f6e4 e2e3 a8c8 a1c1 c8c2 c1c2 a6b6 c2e2 g4f2 e2f2 e4f2 b2f2 b6b3 f3d4 b3e3
Czech Open,Pardubice CZE,2001.07.24,5,"Acs,P","Tomashevsky,E",0-1,2514,2449,B05,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 c8g4 f1e2 e7e6 c2c4 d5b6 e1g1 f8e7 b1c3 e8g8 c1e3 a7a5 b2b3 b8a6 e5d6 c7d6 d4d5 e7f6 a1c1 f6c3 c1c3 g4f3 e2f3 e6e5 c4c5 d6c5 d5d6 d8d7 e3c5 a8c8 c5b6 c8c3 b6a5 c3c8 f1e1 a6b8 h2h3 b8c6 a5b6 f7f5 d1d5 g8h8 e1d1 f8f6 a2a4 e5e4 f3e2 c8e8 a4a5 e8e5 d5d2 f6f8 d2f4 f8e8 f4d2 e8f8 b3b4 f5f4 b4b5 c6d8 d2d4 d8f7 f2f3 e5g5 d4e4 f8e8 e4c4 d7h3 e2f1 f7e5 c4f4 h3h6 f4e4 h6h5 d1e1 e8f8 d6d7 e5d7 b6d4 g5g6 e4b7 d7f6 b7e7 f8g8 e7e3 g6h6 e3f4 h5h1 g1f2 h6g6 d4f6 g7f6 g2g4 h1h4 f4g3 h4g5 e1d1 g5c5 f2e1 g8e8 f1e2 c5b5 g3f2 g6h6
Czech Open,Pardubice CZE,2001.07.25,6,"Tomashevsky,E","Navara,D",1/2-1/2,2449,2491,D03,d2d4 g8f6 g1f3 g7g6 c1g5 f8g7 b1d2 d7d5 e2e3 e8g8 f1e2 c7c5 c2c3 d8b6 d1b3 b8c6 e1g1 c8f5 g5f4 c5c4 b3a3 f6h5 f4g3 h5g3 h2g3 f8e8 b2b3 e7e5 d4e5 c6e5 f3d4 g7f8 a3c1 e5d3 c1d1 d3b2 d1c1 b2d3 c1d1
Czech Open,Pardubice CZE,2001.07.26,7,"Teske,H","Tomashevsky,E",1/2-1/2,2486,2449,E15,d2d4 g8f6 g1f3 e7e6 c2c4 b7b6 g2g3 c8a6 b1d2 c7c5 f1g2 a6b7 e1g1 c5d4 f3d4 b7g2 g1g2 d8c8 b2b3 c8b7 d2f3 f8e7 d4b5 e8g8 c1f4 b8a6 b5d6 b7c6 g2g1 a8d8 f3d4 c6a8 d4b5 a6c5 b3b4 c5e4 a1c1 e7d6 b5d6 f6e8 c4c5 b6c5 b4c5 e4f6 d1d4 f6d5 f4g5 f7f6 g5d2 d5e7 f1d1 e7c6 d4d3 e8d6 c5d6 d8b8 c1c2 f8c8 d1c1 c6e5 d3d4 c8c2 c1c2 b8b1 d2c1 e5c6 d4e4 a8b7 g1g2 b1b5 c1f4 g7g5 f4c1 b5e5
