Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
DDR-chJ,Berlin-Ost,1951.??.??,?,"Uhlmann, Wolfgang",Schenk,1-0,,,E68,d2d4 g8f6 c2c4 g7g6 g1f3 f8g7 b1c3 e8g8 g2g3 d7d6 f1g2 b8d7 e1g1 e7e5 e2e4 f8e8 f1e1 e5d4 f3d4 d7c5 h2h3 a7a5 g1h2 f6h5 c1e3 c7c6 d1c2 c5e6 a1d1 d8c7 c2d2 g7e5 f2f4 e5g7 d4c2 e8d8 c3a4 a8a6 d2f2 c7e7 c4c5 d6c5 a4c5 a6a8 e4e5 g6g5 c5e6 d8d1 e1d1 f7e6 g2f3 g5f4 g3f4 e7f7 d1d8 g7f8 f3h5 f7h5 e3c5 c8d7 d8a8 d7e8 f2g2 g8f7 c5f8
DDR-chJ,Berlin-Ost,1951.??.??,?,"Uhlmann, Wolfgang",Richter,1-0,,,D02,d2d4 g8f6 g2g3 d7d5 f1g2 e7e6 g1f3 b8d7 e1g1 c7c5 c2c4 c5d4 c4d5 e6e5 e2e3 d4e3 c1e3 f8d6 b1c3 e8g8 a1c1 f6g4 e3d2 d7c5 c3b5 c5d3 d2g5 f7f6 d1d3 f6g5 b5d6 d8d6 f3g5 d6h6 h2h4 c8f5 g2e4 f5e4 d3e4 g4f6 e4e5 a8e8 e5d4 h6g6 d5d6 h7h6 d4c4 g8h8 g5e6 f6e4 e6f8 e8f8 c4d3 f8f6
DDR-chJ,Berlin-Ost,1951.??.??,?,"Libner, Georg","Uhlmann, Wolfgang",0-1,,,C15,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 g1e2 d5e4 a2a3 b4c3 e2c3 b8c6 f1b5 g8e7 c3e4 d8d5 d1d3 f7f5 e4g3 d5g2 f2f3 e8g8 d3d1 c6d4 d1d4 g2f3 b5e2 f3c6 h1g1 e7g6 g3h5 e6e5 d4c4 c6c4 e2c4 g8h8 c1d2 b7b6 d2c3 c8b7 h2h4 a8e8 h5g7 h8g7 h4h5 g7f6 h5g6 h7g6 c3d2 f5f4 e1c1 g6g5 d2b4 c7c5 d1d6 f6f5 b4c3 e8e7 d6h6 b7f3 c1d2 e5e4 h6d6 e4e3 d2e1 f3e4 d6h6 f4f3 g1g3 f5f4 g3h3 e7d7 h6e6 f4g4 e6e4 g4h3 c4e6 h3g2 e4g4 g2h1 g4e4 f3f2 e1e2 f2f1q
DDR-chJ,Berlin-Ost,1951.??.??,?,"Uhlmann, Wolfgang","Fuchs, Reinhart",1-0,,,D48,d2d4 e7e6 c2c4 d7d5 b1c3 c7c6 g1f3 g8f6 e2e3 b8d7 f1d3 d5c4 d3c4 b7b5 c4d3 a7a6 e3e4 c6c5 d4d5 e6d5 e4e5 f6g4 c1g5 f7f6 e5f6 g7f6 g5f4 c8b7 e1g1 f8g7 f1e1 g4e5 f3e5 d7e5 d1h5 e8f8 f4e5 f6e5 h5f5 f8g8 a1d1 d8f6 f5h5 a8f8 f2f3 b7c6 a2a4 c5c4 d3b1 f8d8 a4b5 a6b5 f3f4 c6e8 h5e5 f6b6 e5e3 b6e3 e1e3 d5d4 e3g3 e8h5 d1d2 b5b4 c3b5 g8f7 g3g5 c4c3 b2c3 b4c3 d2a2 h5g6 f4f5 f7f6 h2h4 g7h6 f5g6 h6g5 h4g5 f6g5 g6h7 d8d5 b1d3 g5f4 a2e2 h8f8 e2f2
Prague zt,Prague,1954.??.??,1,"Uhlmann, Wolfgang","Szabo, Laszlo",0-1,,,E15,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8a6 d1a4 f8e7 f1g2 c7c6 c1f4 b6b5 c4b5 c6b5 a4d1 d7d5 b1d2 b8c6 e1g1 e8g8 a1c1 a8c8 d2b3 f6d7 f1e1 b5b4 f3d2 f7f5 e2e4 d5e4 f2f3 g7g5 f3e4 g5f4 e4f5 d7b8 d1g4 g8h8 g4f4 e7g5
Prague zt,Prague,1954.??.??,2,"Olafsson, Fridrik","Uhlmann, Wolfgang",1/2-1/2,,,E62,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 g2g3 e8g8 f1g2 d7d6 g1f3 b8c6 h2h3 e7e5 e1g1 f6d7 c1g5 f7f6 g5e3 c6e7 d4e5 d6e5 d1c2 c7c6 a1d1 d8c7 c3e4 f8d8 b2b3 b7b6 e3c1 d7f8 d1d8 c7d8 f1d1 d8c7 c1a3 c8e6 a3d6 c7b7 g3g4 h7h6 d6a3 b7c7 c2d2 c6c5 e4c3 a8e8 f3h4 g8h7 d2c2 e7c8 g2e4 e6f7 c2d3 c7e7 e4c6 e5e4 d3e4 f6f5 e4e7 e8e7 a3b2 f5g4 h3g4 f8e6 e2e3 e6g5 b2a1 f7e6 f2f3 e7f7 g1g2 c8e7 c6d7 e6d7 d1d7 e7c6 d7f7 g5f7 f3f4 c6b4 g2f3 f7d8 f3e2 b4a2 c3a2 g7a1 e2d3 d8c6 a2c3 a1c3 d3c3 h7g7 h4f3 g6g5 f4g5 h6g5 f3g5 c6e5 g5e6 g7f6 e6c7 e5g4 c7b5 a7a6 b5c7 g4e3 c3d3 e3f5 c7d5 f6e5 d5b6 e5d6 d3c3 f5e7 c3b2 e7c6 b6a4 c6d4 b2c3 d4e2 c3d3 e2c1
Prague zt,Prague,1954.??.??,3,"Uhlmann, Wolfgang","Stahlberg, Gideon",1/2-1/2,,,E15,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8a6 b1d2 f8e7 f1g2 d7d5 e1g1 e8g8 f3e5 a6b7 b2b3 c7c5 c1b2 c5d4 b2d4 b8c6 e5c6 b7c6 d4b2 a8c8 c4d5 c6d5 g2d5 d8d5 a1c1 d5a5 d2c4 a5h5 c4e3 c8c1 b2c1 e7c5 g1g2 c5e3 c1e3 f6g4 h2h3 g4e3 f2e3 h5a5 f1f4 b6b5 a2a4 h7h6 d1d7 b5a4 f4a4 a5b6 d7a7 b6b3 a7d4 g7g6 a4a7 b3c2 d4d3 c2c6 g2h2 c6c1 h2g2 c1b2 a7d7 g8h7 d3d2 b2b8 d2d6 b8a8 g2h2 h7g8 d6d4 a8a5 h2g2 h6h5 h3h4 a5a8
Prague zt,Prague,1954.??.??,4,"Hodja, Bujan","Uhlmann, Wolfgang",0-1,,,C19,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4c3 b2c3 g8e7 g1f3 d8a5 c1d2 c5c4 f1e2 c8d7 e1g1 d7a4 f3g5 h7h6 g5h3 b8c6 h3f4 g7g6 h2h4 e8c8 h4h5 a5b6 d1c1 c6b8 a1b1 b6c6 e2g4 d8g8 h5g6 e7g6 f4g6 f7g6 b1b4 h6h5 g4e6 c6e6 b4a4 b8c6 c1b2 h5h4 b2b5 h4h3 g2g3 h3h2 g1h1 g8d8 f2f3 e6h3 f1b1 h8h7 a4a6 h7c7 d2f4 h3e6 a6c6 e6c6 e5e6 c6b5 b1b5 c7c6 f4g5 a7a6 b5b1 d8e8 e6e7 c6e6 h1h2 e6e2 h2h3 e2c2 b1b6 c8c7 b6g6 c2c3 f3f4 c3e3 g6g7 c7d6 f4f5 e3e7 g5e7 e8e7 f5f6 e7e6 f6f7 d6e7 h3g4 e7f8 g7h7 e6f6 h7h8 f8g7 h8d8 f6f7 d8d5 f7c7 d5e5 c4c3 e5e1 c3c2 e1c1 g7f6 g4f4 c7c3 f4e4 b7b5 d4d5 a6a5 e4d4 b5b4 g3g4 c3c8 g4g5 f6e7 a3b4 a5b4 d4d3 b4b3 d3d2 e7d7
Prague zt,Prague,1954.??.??,5,"Uhlmann, Wolfgang","Balanel, Ion",1/2-1/2,,,E16,d2d4 g8f6 g1f3 b7b6 g2g3 c8b7 c2c4 e7e6 f1g2 f8b4 c1d2 b4d2 d1d2 e8g8 e1g1 d7d6 b1c3 b8d7 d4d5 e6e5 f3e1 a7a5 e1d3 d8e7 e2e4 d7c5 b2b3 b7c8 d3c5 b6c5 f2f4 c8d7 f4f5 f8b8 a1b1 h7h6 g2f3 f6h7 h2h4 d7e8 g1h2 e7d8 a2a4 b8b4 f3d1 a8b8 d1c2 h7f6 h2h3 b4b6 c3e2 e8d7 g3g4 f6h7 f1g1 f7f6 e2c3 b8a8 g1g3 d8e7 b1g1 b6b8 h3g2 g8f8 c3d1 e7f7 d1f2 f8e7 f2h3 g7g5
Prague zt,Prague,1954.??.??,6,"Uhlmann, Wolfgang","Koskinen, Heikki",1-0,,,E14,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 e2e3 c8b7 f1d3 f8e7 e1g1 e8g8 b1c3 d7d5 b2b3 b8d7 c1b2 f8e8 d1e2 c7c5 a1d1 c5d4 e3d4 d8c7 f3e5 a7a6 f2f4 e7d6 e2f2 f6e4 f2c2 f7f5 c4d5 e4c3 c2c3 c7c3 b2c3 d6e5 d4e5 d7c5 d5e6 c5d3 d1d3 e8e6 f1d1 a8e8 c3b4 b7c6 d3c3 c6e4 d1d7 e6c6 c3c6 e4c6 d7d6 e8c8 e5e6 a6a5 b4a3 c6e8 d6b6 c8c6 b6c6 e8c6 g2g3 a5a4 b3a4 c6a4 a3c5 a4c6 g1f2 c6d5 e6e7 g8f7 a2a4 d5c6 a4a5 f7e6 a5a6 h7h6 a6a7 e6f7 f2e3 g7g5 e3d4
