Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
GER-ch,Weidenau,1947.??.??,?,"Unzicker, Wolfgang","Lehmitz, G.",1-0,,,B45,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e6 d4c6 b7c6 e4e5 f6d5 c3e4 d8c7 f2f4 f7f5 e5f6 d5f6 e4f6 g7f6 d1h5 e8d8 c1d2 d7d5 e1c1 a8b8 h5h4 f8e7 d2c3 h8f8 f1e2 c7b6 c1b1 c8d7 h1f1 c6c5 f4f5 d5d4 f5e6 d7e6 b2b3 d8c8 c3b2 e6g8 e2g4 c8c7 d1e1 c7d8 h4h3 b6a6 f1f2 e7d6 h3h6 d6e7 h6g7 a6d6 f2e2
GER-ch,Weidenau,1947.??.??,?,"Kieninger, Georg","Unzicker, Wolfgang",1-0,,,C83,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 c2c3 f8e7 c1e3 c6a5 b1d2 e4d2 d1d2 c7c5 a1d1 d8c7 f1e1 a5b3 a2b3 e8g8 e3g5 f8c8 d2f4 a6a5 f4h4 e7g5 h4g5 b5b4 f3h4 c7d8 g5g3 b4c3 b2c3 a8b8 f2f4 f7f5 e5f6 d8f6 c3c4 d5d4 d1a1 b8a8 e1e5 a5a4 g3e1 e6d7 b3a4 a8a4 a1a4 d7a4 h4f5 g8h8 g2g4 h7h6 e5e6 f6f7 e1e5 c8e8 e6e8 a4e8 f5d6
GER-ch,Weidenau,1947.??.??,?,"Rellstab, Ludwig Sr","Unzicker, Wolfgang",1-0,,,D12,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 e2e3 c8f5 c4d5 c6d5 d1b3 d8c7 b1c3 e7e6 c1d2 b8c6 a1c1 f8e7 f3e5 e8g8 f1e2 c6e5 c3d5 c7c1 d2c1 f6d5 d4e5 e7b4 c1d2 f8c8 d2b4 c8c1 e2d1 f5c2 b3c2 c1c2 d1c2 d5b4 c2b1 a8c8 e1d2 g8f8 h1c1 c8c1 d2c1 b7b6 c1d2 b4d5 b1e4 d5c7 f2f4 g7g6 d2c3 f8e7 e4c6 e7f8 b2b4 f8e7 b4b5 e7f8 c3d4 f8g7 d4e4 g7f8 e4f3 f8g7 f3g4 g7h6 g4h4 h6g7 h4g5 h7h6 g5g4 g7g8 h2h4 g8h7 h4h5 h7g7 g4h4 g7h7 g2g4 h7g7 e3e4 g7h7 h5g6 f7g6 f4f5 h7g7 f5g6 g7g6 c6d7 g6g7 h4h5 g7h7 g4g5 h6g5 h5g5 h7g7 d7c6 a7a6 a2a4 a6a5 c6d7 g7f7 g5h6 c7a8 d7c6 a8c7 h6h7 f7e7 h7g7
GER-ch,Weidenau,1947.??.??,?,"Machate, Gottlieb","Unzicker, Wolfgang",1-0,,,D30,g1f3 d7d5 d2d4 g8f6 c2c4 c7c6 e2e3 e7e6 f1d3 a7a6 b1d2 d5c4 d2c4 b7b5 c4e5 c6c5 f3g5 a8a7 e1g1 f8d6 a2a4 b5b4 f2f4 c5d4 e3e4 d6c5 e5f7 a7f7 g5f7 e8f7 e4e5 f6d5 f4f5 e6f5 d3f5 c8f5 f1f5 f7e8 c1g5 d8b6 d1g4 b8d7 a1f1 d5e3 g5e3 d4e3 g1h1 h8f8 e5e6 d7e5 g4g7 f8f5 f1f5 b6d6 g7h8 e8e7 h8f8 e7e6 f5f6 e6d5 f6d6 c5d6 f8a8 d5d4 h1g1 d6c5 g1f1 d4d3 a8d5 c5d4 d5b3 d3d2 b3b4 d2d3 f1e1 h7h5 b4b3 d3e4 e1e2
GER-ch,Weidenau,1947.??.??,?,Hahn,"Unzicker, Wolfgang",0-1,,,E33,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 b8c6 g1f3 d7d6 c1d2 e6e5 d4d5 b4c3 d2c3 c6e7 e2e4 e8g8 e1c1 f6h5 g2g3 f7f5 f3d2 f5e4 d2e4 c8f5 f1d3 d8e8 f2f3 h5f6 h1f1 e8g6 d1e1 f6e4 d3e4 f8f7 e4f5 e7f5 f1f2 a8f8 c2e4 a7a6 e1f1 b7b5 c4b5 a6b5 c1d1 f5e7 d1e1 f7f5 e4d3 g6f7 d3b5 e5e4 f3f4 e7d5 b5e2 d5c3 b2c3 f8b8 e2c2 f5b5 f2d2 e4e3
GER-ch,Weidenau,1947.??.??,?,"Unzicker, Wolfgang","Nuernberg, Friedrich",1-0,,,C64,e2e4 e7e5 g1f3 b8c6 f1b5 f8c5 e1g1 d8f6 b1c3 g8e7 d2d3 h7h6 c1e3 c6d4 e3d4 c5d4 f3d4 e5d4 c3e2 f6b6 b5c4 d7d6 c2c3 c8g4 d1a4 g4d7 c4f7 e8f7 a4d7 b6b2 e2d4 b2c3 d4f5 h8e8 a1c1 c3d3 f1d1 d3e4 d1e1 e4f4 d7e6 f7f8 f5e7
GER-ch,Weidenau,1947.??.??,?,"Unzicker, Wolfgang","Niephaus, Walter",1/2-1/2,,,B85,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e6 f1e2 b8c6 e1g1 f8e7 c1e3 a7a6 f2f4 d8c7 d1e1 e8g8 e2f3 c8d7 a1d1 a8c8 e1f2 b7b5 a2a3 c6d4 e3d4 d7c6 g2g4 c7b7 f2g2 f6d7 c3d5 e7d8 d5b4 e6e5 d4c3 e5f4 d1d6 d8e7 d6c6 c8c6 b4c6 b7c6 g2d2 f8d8 d2f4 e7a3 e4e5 c6c7 g1h1 d8f8 f3d5 d7b6 d5b3 a3c5 e5e6 c7c6 f4f3 c6f3 f1f3 f7e6 b3e6 g8h8 f3d3 b5b4 c3e5 h7h6 h1g2 f8e8 e5d6 e8e6 d6c5 a6a5 d3d8 h8h7
Bad Nauheim,Bad Nauheim,1948.??.??,?,"Hoenlinger, Baldur","Unzicker, Wolfgang",1/2-1/2,,,E18,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7 b1c3 f6e4 c3e4 b7e4 e1g1 e8g8 f3e1 e4g2 e1g2 d7d5 d1b3 b8c6 b3c3 d5c4 f1d1 b6b5 c1e3 c6b4 b2b3 b4d5 c3a5 c4b3 a2b3 c7c6 a5d8 f8d8 d1c1 d8c8 a1a6 d5b4 a6a1 c8d8 g2e1 e7f6 e1f3 a7a5 e3d2 f6d4 f3d4 d8d4 d2c3 d4d8 c3b4 a5b4 a1a8 d8a8 c1c6 a8a1 g1g2 g7g6 c6d6 a1b1 d6d3 b1b2 e2e4 g8g7 g2f3 g7f6 h2h4 h7h6 f3e3 g6g5 h4g5 h6g5 f2f4 f6g6 g3g4 g5f4 e3f4 g6f6 e4e5 f6g6 d3e3 b2f2 f4g3 f2c2 g3f4 c2c3 e3f3 g6g7 f4e4 g7f8 f3e3 f8e7 e3d3
Bad Nauheim,Bad Nauheim,1948.??.??,?,"Czaya, Richard","Unzicker, Wolfgang",1/2-1/2,,,D43,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 c1g5 h7h6 g5f6 d8f6 b1c3 c7c6 d1b3 b8d7 e2e4 d5e4 c3e4 f6f5 f1d3 f8e7 e1g1 e8g8 f1e1 c6c5 d4d5 e6d5 c4d5 d7f6 a1d1 f6e4 e1e4 f5f6 d1e1 e7d6 f3e5 a8b8 a2a4 g7g6 e4e3 d6e5 e3e5 f6d6 d3c2 c8d7 b3g3 g8g7 f2f4 b8e8 e5e8 f8e8 e1e8 d7e8 g3c3 f7f6 c3d2 e8f7 c2e4 g7f8 a4a5 b7b5 a5b6 a7b6 h2h4 f8e7 g2g3 f6f5 e4g2 d6f6 d2e2 e7d6 e2b5 d6c7 b5a6 f7d5 a6a7 c7c8 g2d5 f6d4 g1h2 d4d5 a7b6 d5d2
Bad Nauheim,Bad Nauheim,1948.??.??,?,"Niephaus, Walter","Unzicker, Wolfgang",1-0,,,C80,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 f1e1 e4c5 a4c6 d7c6 f3e5 c8e6 d1h5 d8e7 d2d4 c5d7 c1g5 d7f6 h5h4 e8c8 c2c3 h7h6 b1d2 h8g8 g5f6 e7f6 h4g3 f6f5 g3e3 f8d6 d2e4 e6d5 e4g3 f5e6 c3c4 d5c4 e3c3 c4a2 e5c6 e6c4 c6d8 g8d8 g3f5 d6b4 c3h3 c4b3 h3b3 a2b3 e1e3 b3c2 f5g7 d8d4 e3f3 d4d7 g7f5 b4d2 g2g4 c2e4 f3h3 e4f5 g4f5 d2g5 a1a4 d7d1 g1g2 d1d2 b2b3 c8d7 h3g3 d7e7 g3c3 c7c6 a4b4 d2d7 f2f4 g5f6 b4e4 e7f8 c3h3 d7d2 g2f3 d2b2 e4e3 f8g7 h3g3 g7f8 g3g2 b2b1 g2d2 b1f1 f3g3 f8g7 d2d6 c6c5 e3f3 f1g1 g3f2 g1g4 f3g3 f6d4 f2f3 g4g3 h2g3 a6a5 d6b6 c5c4 b6b7 c4b3 b7b3 h6h5 b3a3 d4b6 a3a2 g7f6 f3e4
