Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Caissa Open,Kharkov UKR,2000.01.27,1,"Ushenina,A","Gevorkyan,R",1-0,,2241,E82,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 e8g8 c1e3 b7b6 d1d2 c7c5 d4d5 f8e8 e1c1 b8a6 g2g4 a6c7 h2h4 a7a6 h4h5 b6b5 h5g6 f7g6 d2h2 a8b8 e3g5 g8f7 g5h6 e8g8 e4e5 g7h6 h2h6 d6e5 h6g5 g8g7 g5e5 d8d6 e5e3 d6b6 d1d2 f7f8 g1h3 c7e8 h3g5 b5c4 f1c4 e8d6 c4e2 b6b4 g5e4 d6e4 f3e4 c8g4 e2g4 f6g4 e3f3 g4f6 e4e5 b4g4 f3f2 f8g8 e5f6 e7f6 f2f6 g7f7 f6a6 g4f4 a6e2 f7b7 h1f1 f4g5 c3e4 g5h4 e4f6 g8h8
Caissa Open,Kharkov UKR,2000.01.28,2,"Nester,I","Ushenina,A",1/2-1/2,2266,,A90,d2d4 e7e6 c2c4 f7f5 g2g3 g8f6 f1g2 c7c6 b1d2 d7d5 g1h3 f8d6 e1g1 e8g8 d1c2 d8e7 d2f3 b7b6 c1f4 f6e4 f4d6 e7d6 a1c1 c8b7 c4d5 e6d5 f1d1 b8d7 h3f4 a8c8 e2e3 g8h8 c2a4 a7a6 b2b4 a6a5 a2a3 b6b5 a4b3 c8a8 f4d3 a5b4 a3b4 d7b6 d3c5 d6e7 g2f1 e4c5 c1c5 b6d7 c5c3 a8a4 d1b1 g7g6 f3e1 f8a8 e1d3 e7e8 b3d1 h8g8 h2h4 h7h5 d1f3 e8b8 d3f4 b8d6 f4d3 g8g7 f3f4 d6f4 d3f4 a8c8 b1c1 a4a8 g1g2 g7f6 f4d3 a8a7 c1c2 a7a6 g2f3 c8e8 d3c1 d7b6 c1b3 b6c4 b3c5 a6a7 f1c4 d5c4 c5b7 a7b7 c3a3 f6e6 f3f4 e6d5 f4f3 d5d6 c2a2 d6d5 f3e2 d5e4 a3a8 e8e7 a8d8 b7d7 a2a8
Caissa Open,Kharkov UKR,2000.01.28,3,"Ushenina,A","Grin,D",1/2-1/2,,2282,D11,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1d2 e7e6 g2g3 c6c5 f1g2 c5d4 f3d4 b8c6 c4d5 e6d5 d2b3 f8e7 e1g1 e8g8 c1f4 c8g4 h2h3 g4e6 g1h2 a8c8 a1c1 c6d4 d1d4 b7b6 f4e5 c8c4 d4e3 f6d7 e5d4 d7c5 f1d1 c5b3 e3b3 e7f6 b3e3 f6d4 d1d4 c4c1 e3c1 d8f6 c1e3 h7h6 b2b3 f8d8 f2f4 g7g6 e3d2 d8c8 g2d5 c8c2 d2c2 f6d4 d5g2 d4f2 c2e4 a7a5 e4d3 h6h5 d3f3 f2c5 f3d3 c5f2 d3f3 f2c5 f3d3 c5f2 d3f3 f2c5
Caissa Open,Kharkov UKR,2000.02.29,4,"Matjushin,G","Ushenina,A",1-0,2275,,B03,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6 e5d6 c7d6 b1c3 g7g6 c1e3 f8g7 a1c1 e8g8 b2b3 b8c6 d4d5 c6e5 f1e2 a7a5 a2a4 e5d7 g1f3 d7c5 f3d4 b6d7 e1g1 d7f6 e2f3 f6d7 f3e2 d7f6 h2h3 h7h6 d1d2 g8h7 e2d1 f6e8 d1c2 f7f5 f1e1 e8f6 f2f4 f6h5 e3f2 g7f6 e1e2 h7h8 d4f3 f8g8 c1e1 c8d7 f2d4 g8g7 g1h2 d8f8 d4c5 d6c5 f3e5 d7c8 d5d6 c8e6 d6e7 f6e7 e5g6 g7g6 e2e6 h5f4 d2f4 e7d6 e6d6 g6d6 c3d5 d6g6 e1e7 f8b8 d5c7 b8d8 f4e5 h8g8 c7a8
Caissa Open,Kharkov UKR,2000.02.29,5,"Ushenina,A","Rybakov,S",1-0,,2205,E84,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 e8g8 c1e3 b8c6 d1d2 a7a6 g1e2 a8b8 a2a4 e7e5 d4d5 c6a5 e2c1 c7c5 f1e2 f6h5 e1g1 f7f5 a1b1 f5f4 e3f2 b7b6 b2b4 a5b7 a4a5 b6b5 c4b5 c5b4 b1b4 b7a5 b5b6 g7f6 d2a2 a5b7 e2a6 f6h4 a2b1 h4g3 c1e2 d8g5 b1c1 g5h4 h2g3 f4g3 f2g3 h5g3 e2g3 h4g3 c1h6 f8f4 c3e2 f4h4 e2g3 h4h6 f1c1 b7c5 a6c8 b8c8 b6b7 c8b8 c1a1 g8f7 a1a8 b8b7 b4b7 c5b7 a8a7 h6h4 a7b7 f7e8 g3f1
Caissa Open,Kharkov UKR,2000.02.30,6,"Ushenina,A","Askarian,K",0-1,,2274,A53,d2d4 g8f6 c2c4 d7d6 b1c3 b8d7 e2e4 e7e5 d4d5 d7c5 f2f3 a7a5 c1e3 f8e7 d1d2 e8g8 e1c1 f6e8 g2g4 e7h4 c1b1 g7g6 g1e2 f7f6 h1g1 c8d7 f3f4 e5f4 e3f4 d8e7 d2c2 h4g5 d1e1 g5f4 e2f4 e8g7 h2h4 f6f5 h4h5 f5g4 h5g6 h7h5 f4d3 c5d3 f1d3 e7e5 c2d2 e5f4 d2c2 f4f2 c2c1 f2f4 c1c2 f4e5 c2d2 e5f4 d2c2 f4f2 c2c1 f2f4 c1c2 f4g5 e4e5 d6e5 c3e4 g5g6 e4g3 g6h6 e1e5 a8e8 e5e8 f8e8 a2a3 b7b6 b1a2 e8f8 g1e1 h5h4
Caissa Open,Kharkov UKR,2000.02.31,7,"Kolkin,M","Ushenina,A",1-0,2206,,A07,g1f3 d7d5 g2g3 c7c6 f1g2 e7e6 e1g1 f8d6 d2d3 g8e7 c2c4 e8g8 b1c3 b8d7 c4d5 e6d5 e2e4 d5e4 d3e4 d8c7 f3d4 a7a6 c1e3 f8d8 d1e2 d7e5 a1d1 f7f6 e2c2 b7b5 b2b3 c8d7 h2h3 a8c8 f2f4 e5f7 g3g4 b5b4 c3e2 c6c5 d4f5 e7f5 e4f5 d8e8 e3f2 d7b5 f1e1 b5c6 g2c6 c7c6 c2c4 e8e4 d1d6 c6d6 c4e4 d6d2 e2g3 h7h6 e1e2 d2c1 g1h2 a6a5 e4c2 c1f4 c2c4 f4c7 f2e3 g8h7 e3f4 c7b7 c4e4 b7b5 e4e6 c8f8 e6e7 h7g8 e7e6 g8h7 f4d6 f7g5 e6e3 f8d8 d6f4 d8d3 e3e8 g5f3 h2h1 d3d1 h1g2 f3h4 g2f2 b5d3 e8e3 d3b1 e3e4 b1a1 f4e3 d1g1 e3c5 g1g2 e4g2 h4g2 f2g2 a1c1 c5f2 c1c6 g2h2 c6d5 g3h5 d5d3 h5f4 d3f3 f2g3 f3c3 f4g6 c3c8 g3f4 c8d8 h2g3 d8d3 e2e3 d3d8 g3h4 d8a8 h4h5 a8d8 e3e7 h7g8 h3h4 d8c8 e7c7 c8a8 c7c8 a8c8 g6e7
Caissa Open,Kharkov UKR,2000.03.01,8,"Dissky,Y","Ushenina,A",0-1,,,C02,d2d4 e7e6 e2e4 d7d5 e4e5 c7c5 c2c3 c8d7 g1f3 d8b6 a2a3 d7b5 f1d3 b8c6 e1g1 b5d3 d1d3 g8e7 d4c5 b6c5 b2b4 c5b6 c1f4 e7g6 f4g3 f8e7 f1e1 e8g8 b1d2 a8c8 h2h4 h7h5 f3g5 e7g5 h4g5 h5h4 g3h2 c6e7 a1c1 f8d8 d2b3 c8c4 b3d4 d8c8 g2g4 h4g3 h2g3 b6a6 d3d2 a6a4 d2b2 a7a6 g1h2 a4d7 d4b3 b7b6 b3d2 c4g4 f2f4 e7f5 e1g1 g6f4 g3f4 g4f4 d2b3 c8c4 b3d4 f5d4 c3d4 c4d4 c1c4 d5c4 g1g2 d7d5
Caissa Open,Kharkov UKR,2000.03.02,9,"Ushenina,A","Khodotov,G",1-0,,2229,E00,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 g2g3 c7c6 b1d2 f8d6 f1g2 b8d7 e1g1 e8g8 d1c2 f8e8 b2b3 a7a5 c1b2 a5a4 e2e4 d5e4 d2e4 f6e4 c2e4 d8e7 a1d1 d6a3 b2c3 a3b4 c3b2 b4a3 b2a1 a4b3 a2b3 a8a5 c4c5 a5b5 f3d2 e8d8 d2c4 a3b4 e4c2 d7f6 a1b2 f6d5 d1a1 f7f6 f1d1 e7c7 g2e4 f6f5 e4d3 b7b6 c5b6 c7b7 d1c1 d8f8 a1a7 b7b8 c1a1 c8b7 c4e5 d5b6 d3b5 c6b5 e5c6 b7c6 c2c6 b6c8 c6e6 g8h8 a7g7 b8d6 d4d5 d6e6 d5e6 h7h5 a1c1 b4a3 g7f7
WJun (Girls),Yerevan ARM,2000.09.18,1,"Ushenina,A","Moshina,C",1/2-1/2,,2191,D86,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 f8g7 f1c4 c7c6 g1e2 e8g8 e1g1 b7b5 c4b3 a7a5 c1e3 a5a4 b3c2 c8b7 f2f4 f7f5 e4f5 g6f5 e2g3 e7e6 g3h5 g7h6 f1f3 b8d7 f3g3 g8f7 g3h3 f8g8 h5g3 g8g6 d1e2 d7f6 g3f5 e6f5 c2f5 h6g7 f5g6 h7g6 e3d2 b7c8 h3g3 c8f5 a1e1 d8d7 h2h3 f6d5 g3f3 a8e8 e2d1 f5e4 f3f2 b5b4 f2e2 b4c3 e2e4 e8e4 e1e4 c3d2 d1d2 a4a3 d2c2 d5f6 c2b3 d7d5 e4e3 d5b3 e3b3 g7f8 g1f2 f7e6 f2e3 f8d6 g2g3 f6d5 e3e4 e6f6 e4f3 d6b4 h3h4 b4d6 f3g4 d6b4 g4f3 b4d6 f3g4 d6b4 g4f3
WJun (Girls),Yerevan ARM,2000.09.19,2,"Mkrtchian,L","Ushenina,A",0-1,2312,,C00,e2e4 e7e6 d2d3 d7d5 b1d2 g8f6 g1f3 b7b6 g2g3 d5e4 d3e4 c8b7 d1e2 f8c5 f1g2 b8c6 e1g1 e6e5 d2c4 d8e7 c2c3 a7a5 f3h4 e8g8 h4f5 e7e6 g2h3 g8h8 c1g5 f6e8 g1g2 e6g6 g5d2 f7f6 a2a4 b7a6 b2b3 g6f7 f1d1 g7g6 f5e3 e8d6 c4d6 c5d6 e2g4 a6c8 g4h4 c8h3 h4h3 f7b3 e3d5 b3c4 h3h4 f8f7 d2h6 g6g5 h4g4 f6f5 g4g5 c4e4 g2g1 a8g8 g5h5 f7f6 h6e3 f5f4 h5h4 e4f3 e3f4 e5f4 d1d2 f4g3 h2g3 d6c5 g1h2 c5f2
