Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Wch U10,Oropesa del Mar,1999.10.25,2,"Vachier Lagrave, Mexime","Haoyu, Li",0-1,,,B26,e2e4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 d2d3 e7e6 c1e3 d7d6 d1d2 a8b8 g1e2 c6d4 e1g1 g8e7 e2c1 e8g8 c3d1 b7b5 c2c3 d4c6 e3h6 b5b4 h6g7 g8g7 c1e2 d6d5 d2c2 d8a5 d1e3 f8d8 f2f4 a5b6 f1b1 c8a6 e4d5 e7d5 e3d5 e6d5 g1h1 c6e7 e2g1 e7f5 g1f3 f5e3 c2d2 d5d4 c3d4 c5d4 b1e1 a6b7 f3h4 e3g2 h4g2 d8e8 h1g1 b6c6 h2h3 e8e1 a1e1 b8c8 g1h2 a7a5 g2h4 c6c2 e1e2 c2b1 h4g2 c8c1 g3g4 c1h1 h2g3 b1g1 e2e4 g1h2 g3f2 h1g1
Wch U10,Oropesa del Mar,1999.10.28,5,"Martchenko, Stanislav","Vachier Lagrave, Mexime",0-1,,,B38,e2e4 c7c5 g1f3 g7g6 d2d4 c5d4 f3d4 f8g7 c2c4 g8f6 b1c3 b8c6 c1e3 e8g8 f1e2 d7d6 e1g1 c8d7 d1d2 a7a5 f2f3 a5a4 c3d5 f6d5 c4d5 c6d4 e3d4 d8a5 d4c3 g7c3 d2c3 a5b6 g1h1 f8c8 c3d2 c8c5 a1c1 a8c8 f3f4 d7b5 e2b5 b6b5 h2h3 c5c4 f4f5 b5c5 c1c4 c5c4 f1e1 c4a2 f5g6 f7g6 d2g5 c8f8 g5e7 a2b2 e7d6 a4a3 d6e6 g8h8 e6e7 b2g7 e7g7 h8g7 e1a1 f8a8 g2g4 b7b5 h1g2 b5b4 g2f3 b4b3 e4e5 b3b2 a1f1 a3a2 e5e6 b2b1q f1b1 a2b1q
Wch U10,Oropesa del Mar,1999.10.29,6,"Vachier Lagrave, Mexime","Rodshtein, Maxim",1-0,,,B35,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g7g6 c1e3 f8g7 b1c3 g8f6 f1c4 d8a5 e1g1 e8g8 d4b3 a5c7 d1d2 c6e5 c4e2 e5c4 e2c4 c7c4 f2f3 d7d6 a1d1 c8d7 e3g5 f8d8 f1e1 a8c8 e4e5 d6e5 e1e5 d7e8 d2d8 c8d8 d1d8 c4c7 e5d5 g8f8 d5d3 e7e6 g5e3 b7b6 e3g5 f8e7 d8d4 c7e5 g5h4 e8c6 h4g3 e5f5 g3d6 e7e8 g2g4 f6g4 d4f4 f5h5 f3g4 h5h6 d3g3 e6e5 f4c4 e8d7 d6b8 c6a8 c4c7 d7e6 c7a7 a8c6 a7a6 g7f8 a6b6
Wch U10,Oropesa del Mar,1999.10.31,7,"Andreikine, Dmitri","Vachier Lagrave, Mexime",1-0,,,B27,e2e4 c7c5 g1f3 g7g6 d2d4 c5d4 d1d4 g8f6 f1b5 b8c6 b5c6 b7c6 e4e5 f6d5 e1g1 f8g7 d4h4 d7d6 c1h6 e8g8 c2c4 d5b6 f3g5 f7f6 e5f6 e7f6 h6g7 f6g5 h4h6 f8f7 g7c3 b6c4 b1d2 c4d2 c3d2 c8a6 f1e1 d8f6 f2f3 f6b2 h6g5 a8f8 a1c1 a6b5 e1e6 b2a2 e6d6 a2a3 d6e6 a3d3 d2c3 d3f5 g5e3 f5f4 e3e1 f4g5 g1h1 b5c4 e6e5 g5d8 c3b4 c4d5 b4f8 f7f8 e5e7 d8d6 e7a7 d6b8 a7e7 b8b2 e1c3 f8b8 e7g7 g8f8 c3b2 b8b2 g7h7 c6c5 h7d7 d5e6 d7c7 c5c4 h2h4 f8e8 h1h2 e8d8 c7c5 d8d7 h2g3 d7d6 c5a5 b2b3 h4h5 g6h5 a5h5 c4c3 g3f4
Wch U10,Oropesa del Mar,1999.11.01,8,"Vachier Lagrave, Mexime","Sagi, Franko",1/2-1/2,,,A08,e2e4 e7e6 d2d3 d7d5 b1d2 c7c5 g2g3 b8c6 f1g2 g7g6 g1f3 f8g7 e1g1 g8f6 f1e1 e8g8 d1e2 f8e8 d2f1 d5d4 e4e5 f6d5 h2h4 h7h5 f1h2 d8c7 g3g4 h5g4 h2g4 f7f6 e5f6 d5f6 g4f6 g7f6 c1g5 e8f8 g5f6 f8f6 f3e5 a8b8 h4h5 c6e5 e2e5 c7e5 e1e5 b7b6 e5g5 g8f7 g2e4 g6h5 g5h5 f7e7 f2f3 c8b7 e4b7 b8b7 g1f2 e7d6 a1h1 b7f7 h1h3 f7g7 h5h7 f6g6 h7g7 g6g7 h3h8 d6e5 h8f8 g7h7 f3f4 e5d6 f2g2 h7g7 g2f3 g7h7 f8f6 h7h2 f4f5 d6e5 f6e6 e5f5 e6e2 h2e2 f3e2
Wch U10,Oropesa del Mar,1999.11.02,9,"Brodowski, Piotr","Vachier Lagrave, Mexime",0-1,,,A57,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 e2e3 c8b7 g1f3 d7d6 f1e2 b8d7 e1g1 g7g6 b2b3 f8g7 c1b2 a8b8 d1c2 e8g8 b1d2 e7e6 e3e4 f8e8 a1e1 b7a6 b2a1 b5c4 b3c4 e6d5 c2a4 a6c4 e2c4 d5c4 a4c4 d8c7 c4d3 c7c6 e4e5 d6e5 a1e5 b8d8 d3c2 d7e5 f3e5 c6e6 d2c4 d8d4 c4d2 e6d5 e5f3 d4e4 e1e4 f6e4 f1d1 d5a8 d2c4 e4c3 d1d3 a8e4 c4d2 e4b4 h2h3 a7a5 d2f1 a5a4 f1e3 a4a3 f3d2 g7d4 d2b3 f7f5 c2d2 d4g7 e3c2 c3e2 g1f1 b4b8 g2g3 c5c4 d3d7 c4b3 d2d5 g8h8 d5f7 e8g8
Wch U10,Oropesa del Mar,1999.11.04,10,"Vachier Lagrave, Mexime","Bonnet, Edouard",0-1,,2147,B40,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 f1d3 b8c6 c1e3 e6e5 d4c6 b7c6 c2c4 f8b4 b1d2 d7d5 c4d5 b4d2 d1d2 c6d5 e4d5 d8d5 e1g1 c8b7 f2f3 e8g8 f1d1 f8d8 d2b4 a7a5 b4h4 g8h8 d1d2 d5d3 d2d3 d8d3 e3g5 d3d4 h4e1 f6d7 a1d1 d7f8 d1d4 e5d4 e1e7 b7d5 a2a3 h8g8 b2b4 a5b4 a3b4 f8e6 g5h4 h7h6 b4b5 g7g5 h4g3 d5c4 e7b4 a8a1 g3e1 c4b5 g1f2 a1a2 e1d2 b5a6 f2g3 d4d3 g3g4 e6f4 g4f5 a6c8 f5e4 c8b7 b4b7 a2d2 g2g3 d2e2 e4f5 d3d2 b7d7 f4g2 d7d8 g8g7 d8d4 g7f8 d4d3 d2d1q d3a3
Wch U10,Oropesa del Mar,1999.11.05,11,"Vachier Lagrave, Mexime","Golubenko, Valentina",0-1,,,B30,e2e4 c7c5 g1f3 b8c6 f1b5 e7e6 e1g1 g8e7 c2c3 a7a6 b5a4 b7b5 a4c2 d7d5 e4e5 d5d4 c3d4 c5d4 c2e4 c8b7 d2d3 g7g6 b1d2 f8g7 d2b3 d8b6 f1e1 e8g8 c1g5 e7f5 d1d2 h7h6 g5f6 g8h7 a1c1 g7f6 e5f6 a8d8 b3c5 b7a8 e4f5 e6f5 e1e7 d8d6 c5d7 d6d7 e7d7 c6b8 d7c7 b8c6 f3g5 h6g5 d2g5 c6d8 c7c8 a8b7 g5h4 h7g8 c8c5 f8e8 g2g4 b6c5 h4h6 c5f8 h6g5 d8e6 g5h4 e6f4 c1d1 b7f3 d1b1 f4d3 g4f5 e8e4
FRA-chTJ2,FRA,1999.??.??,2,"Innocente, Nicolas","Vachier Lagrave, Mexime",0-1,,,B23,e2e4 c7c5 f2f4 b8c6 b1c3 g7g6 g1f3 f8g7 f1c4 e7e6 e1g1 g8e7 d2d3 e8g8 c1e3 d7d5 e4d5 e6d5 c4d5 e7d5 e3c5 d5c3 b2c3 g7c3 c5f8 c3a1 d1a1 d8f8 f3h4 f8e7 f1e1 c8e6 h4f3 e7d6 a1f6 d6c5 d3d4 c5f5 f6h4 e6d5 f3e5 f5c2 h4g3 a8e8 e1f1 c6d4 g1h1 d4f5 g3h3 f5e3 f1f3 c2d1
FRA-chTJ2,FRA,1999.??.??,4,"Vachier Lagrave, Mexime","Boudehen, Stephanie",1-0,,,C47,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 d2d4 f8b4 c1g5 d7d6 a2a3 b4a5 b2b4 a5b6 d4e5 d6e5 d1d8 c6d8 g5f6 g7f6 c3d5 f6f5 e4f5 c8f5 e1c1 f5g4 d5f6 e8e7 f6g4 e5e4 f3d4 c7c5 d4b3 c5b4 a3b4 a8c8 f1b5 h8g8 d1d7 e7e6 h2h3 a7a6 h1d1 a6b5 d1d6 e6f5 g4h6 f5f4 h6g8 d8c6 g8f6 b6f2 d7f7 e4e3 c1d1 c6b4 d6d4 f4g3 f7g7 g3h2 f6g4 h2g1 d4b4 g1f1 g4h2 f1g1 h2f3 g1f1 f3d2 e3d2 b3d2 f1g1 b4b1 c8e8 d2f3 g1h1 d1d2 f2e1 f3e1 e8d8 d2e3 d8e8 e3f2 e8f8 e1f3
