Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
URS-chT,URS,1968.??.??,?,"Popov, Vladimir","Vaganian, Rafael A",1/2-1/2,,,B04,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 g7g6 f1e2 f8g7 c2c4 d5b6 e5d6 c7d6 h2h3 e8g8 e1g1 b8c6 b1c3 c8f5 b2b3 e7e5 c1e3 f8e8 a1c1 e5e4 f3e1 d6d5 c4c5 b6c8 e1c2 f5e6 f2f3 e4f3 f1f3 c8e7 g2g4 f7f5 g4g5 f5f4 e3f4 e7f5 c3b5 e8f8 d1d2 f8f7 f3d3 a7a6 b5d6 f5d6 f4d6 e6f5 d3f3 f5c2 f3f7 g8f7 c1c2 c6d4 d2f4 f7g8 c2d2 d8e8 d2d4 e8e2 d4d5 e2e6 d5d3 e6e1 f4f1 e1e4 f1f3 e4e1 f3f1 e1e4 f1f3 e4e1 f3f1 e1e4 f1f3 e4e1
URS-chT,URS,1968.??.??,?,"Vaganian, Rafael A","Sangla, P.",1/2-1/2,,,D46,d2d4 c7c6 c2c4 g8f6 b1c3 d7d5 g1f3 e7e6 e2e3 f8e7 f1d3 b8d7 e1g1 e8g8 b2b3 b7b6 c1b2 c8b7 d1e2 f8e8 f1d1 e7d6 a1c1 a8c8 d3b1 d7f8 f3e5 d8e7 f2f4 c6c5 c3b5 d6b8 b2a3 a7a6 b5c3 b8d6 c3a4 c5d4 a3d6 e7d6 e3d4 d5c4 e5c4 d6f4 a4b6 c8d8 c4e5 d8d4 b6c4 e8d8
URS-chT,URS,1968.??.??,?,"Vaganian, Rafael A","Mikliaev, I.",0-1,,,E17,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7 e1g1 e8g8 d1c2 c7c5 d4c5 b6c5 b1c3 b8c6 f1d1 a8c8 e2e4 e6e5 c3d5 c6d4 c2d3 b7d5 c4d5 c5c4 d3f1 d4f3 g2f3 e7c5 c1g5 h7h6 g5f6 d8f6 g1g2 c5d4 a1b1 f6a6 a2a3 f7f5 d1d2 a6g6 d2e2 f5f4 e2c2 f4g3 f2g3 f8f3 f1f3 c8f8 f3d1 g6e4 g2h3 f8f3 c2e2 e4d5 d1c2 f3d3 b1f1 e5e4 h3g2 h6h5 h2h3 h5h4 g3h4 d5e6 f1h1 d7d5 g2f1 e6f6 f1e1 f6h4 e1f1 d3f3
URS-chT,URS,1968.??.??,?,"Reimann, S.","Vaganian, Rafael A",0-1,,,D13,d2d4 d7d5 c2c4 c7c6 c4d5 c6d5 g1f3 g8f6 b1c3 b8c6 c1f4 e7e6 e2e3 f8e7 f1b5 e8g8 b5c6 b7c6 f3e5 c8b7 e5d3 f6d7 a2a3 c6c5 b2b4 e6e5 d4e5 d5d4 e3d4 c5d4 c3a4 b7g2 h1g1 g2e4 d1b3 g8h8 a1d1 a8c8 b3b2 e4f3 d1c1 c8c1 b2c1 d8a8 e1d2 a8d5 g1e1 a7a5 a4b2 a5b4 a3b4 d7b6 c1c7 d5e6 d3c5 b6c4 d2c1 e7c5 b4c5 f8c8 c7a7 c8a8 a7c7 c4b2
URS-chT,URS,1968.??.??,?,"Karpov, Anatoly","Vaganian, Rafael A",1/2-1/2,,,B04,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 g7g6 f1e2 f8g7 c2c4 d5b6 e5d6 c7d6 b2b3 e8g8 c1b2 b8c6 e1g1 c8g4 h2h3 g4f3 e2f3 d6d5 c4c5 b6c8 d1d2 e7e6 b3b4 a7a6 a2a4 c8e7 b1a3 e7f5 a3c2 h7h5 b4b5 c6a5 d2b4 a5c4 f3e2 a6a5 b4c3 c4b2 c3b2 d8g5 f1d1 e6e5 d4e5 f5h4 c2e1 g7e5 b2c1 g5f6 a1a2 e5d4 e1d3 f8e8 a2c2 a8c8 e2f1 h4f5 g1h1 f6h4 c1d2 d4g7 d2a5 c8a8 a5b4 a8a4 b4h4 a4h4 g2g3 h4c4 d1c1 c4c2 c1c2 f5d4 c2c1 e8c8 f1g2 d4b5 c1b1 b5c3 b1b7 g7d4
EU-ch U20 final-A,Groningen,1969.??.??,1,"Vaganian, Rafael A","Lombard, Andre",1-0,,,E19,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7 e1g1 e8g8 b1c3 f6e4 d1c2 e4c3 c2c3 f7f5 f1d1 e7f6 c3d2 d7d6 b2b3 d8e7 c1b2 b8d7 f3e1 b7g2 e1g2 a8d8 d2c2 f6g5 f2f4 g5h6 e2e4 f5e4 c2e4 d7f6 e4c2 d6d5 d1e1 g7g6 g2e3 c7c6 a2a4 f8e8 c4c5 e7b7 a1c1 d8c8 e3d1 h6g7 d1f2 e8e7 e1e3 b6b5 a4a5 b7d7 c1e1 c8e8 g1g2 e8f8 c2e2 f8e8 h2h4 g8f8 e1h1 f8g8 f2h3 f6e4 h4h5 g6h5 e2h5 g7f8 h3f2 e4f6 h5g5 e7g7 g5f6
EU-ch U20 prel,Groningen,1969.??.??,1,"Vaganian, Rafael A","Ghizdavu, Dumitru",1-0,,,E69,d2d4 g7g6 c2c4 f8g7 g1f3 d7d6 g2g3 b8d7 f1g2 e7e5 e1g1 g8f6 b1c3 e8g8 h2h3 c7c6 e2e4 d8e7 f1e1 h7h6 b2b3 b7b6 c1b2 c8b7 d1c2 f8d8 a1d1 d7f8 b3b4 f6d7 c2b3 d8e8 g1h2 a8b8 a2a3 c6c5 d4c5 d6c5 c3b5 a7a6 b5d6 e8d8 b3a4 b6b5 a4c2 f8e6 c4b5 a6b5 d6b7 b8b7 b4c5 e6c5 d1d5 d8c8 e1d1 b7c7 c2e2 d7b6 e2b5 b6d5 e4d5 e7d6 b2c3 c7b7 b5e2 e5e4 f3d4 c5a4 c3a1 a4c3 a1c3 c8c3 d4b5 d6a6 b5c3 a6e2 c3e2 b7a7 g2e4 a7a3 d5d6 g7f6 d6d7 f6d8 e2d4
EU-ch U20 final-A,Groningen,1969.??.??,2,"Atanasov, Petko","Vaganian, Rafael A",1/2-1/2,,,B02,e2e4 g8f6 b1c3 d7d5 e4e5 f6d7 c3d5 d7e5 d5e3 c7c5 d1h5 e5d7 f1c4 g7g6 h5h4 f8g7 f2f4 e7e6 h4d8 e8d8 g1f3 d7b6 e1f2 b8c6 c2c3 b6c4 e3c4 d8e7 c4e5 c8d7 h1d1 h8d8 d2d3 b7b6 c1e3 f7f6 e5c6 d7c6 d3d4 c5c4 f3d2 c6d5 d1e1 e7f7 d2f1 g7f8 e3d2 f8d6 g2g3 a8b8 f1e3 b6b5 b2b3 d8c8 e3d5 e6d5 b3b4 a7a5 a2a3 b8a8 e1e3 c8c7 a1e1 c7e7 f2f3 e7e3 e1e3 d6c7 d2e1 a5b4 a3b4 h7h5 e3e2 c7d6 h2h3 a8a3 e2e3 a3a1 e3e2 a1c1 h3h4 d6f8 e1d2 c1d1 f3f2 f8e7 f2f3 d1a1 f3f2 e7d8 f2f3 a1a7 e2e1
EU-ch U20 prel,Groningen,1969.??.??,2,"Schaufelberger, Heinz","Vaganian, Rafael A",1/2-1/2,,,B02,e2e4 g8f6 b1c3 d7d5 e4e5 f6d7 c3d5 d7e5 d5e3 e5c6 f1c4 g7g6 f2f4 f8h6 g1e2 e7e5 e1g1 e8g8 d2d3 d8d6
EU-ch U20 prel,Groningen,1969.??.??,3,"Vaganian, Rafael A","Ligterink, Gert",1-0,,,E11,d2d4 g8f6 c2c4 e7e6 g1f3 f8b4 b1d2 e8g8 e2e3 d7d5 a2a3 b4e7 f1d3 c7c5 d4c5 e7c5 e1g1 b8c6 b2b4 c5d6 c1b2 d8e7 d1b1 h7h6 f1d1 f8d8 h2h3 d6c7 b1c2 e6e5 c4d5 f6d5 b4b5 c6b8 a1c1 c8e6 d3h7 g8h8 h7e4 c7b6 d2c4 d5f6 d1d8 b6d8 c4e5 f6e4 c2e4 a7a6 f3d4 b8d7 d4e6 e7e6 e4b7
