Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Wch U10,Mamaia,1991.??.??,1,"Vallejo Pons, Francisco","Michel, Steffen",1-0,,,B03,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 f1c4 d5b6 c4b3 d6e5 d1h5 e7e6 d4e5 g7g6 h5h3 f8g7 g1f3 e8g8 e1g1 b8c6 f1e1 c6e5 f3e5 g7e5 b1c3 e5g7 c3e4 e6e5 h3f3 c8f5 e4g3 f5c8 c1e3 d8f6 f3e2 c8e6 g3e4 f6e7 e3c5 e7d7 c5f8 a8f8 e4c5 d7d6 c5e6 f7e6 e2g4 f8e8 e1e3
Wch U10,Mamaia,1991.??.??,2,"Klimsa, P.","Vallejo Pons, Francisco",0-1,,,B50,e2e4 c7c5 d2d3 d7d6 g1f3 e7e5 g2g3 g7g6 f1g2 f8g7 b1d2 g8e7 e1g1 e8g8 f1e1 b8c6 d2f1 d6d5 c1d2 f7f5 e4d5 e7d5 d2g5 d8d6 g5d2 g8h8 d1c1 c8e6 d2h6 a8e8 h2h4 d5f6 h6g7 h8g7 f1e3 f5f4 e3c4 e6c4 d3c4 e5e4 e1d1 d6c7 f3g5 f4g3 c1e3 g3f2 g1f1 f6g4 e3c3 c6d4 g2h3 c7h2 g5f3 h2h1
Wch U10,Mamaia,1991.??.??,3,"Vallejo Pons, Francisco","Berg, Emanuel",1-0,,,C15,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 g1e2 d5e4 a2a3 b4c3 e2c3 f7f5 f2f3 e4f3 d1f3 b8c6 d4d5 c6d4 f3f2 e6e5 c1e3 d8e7 e1c1 e7f6 e3d4 e5d4 d1d4 c8d7 f1b5 c7c6 h1e1 e8f7 b5c4 f7g6 d5c6 f6g5 c1b1 d7c6 h2h4 g5h5 e1e6 g8f6 e6e7 h8f8 f2g3 f6g4 d4d6 f8f6 c4f7
Wch U10,Mamaia,1991.??.??,4,"Tudorie, Sebastian","Vallejo Pons, Francisco",0-1,,,B22,e2e4 c7c5 c2c3 d7d5 e4d5 d8d5 d2d4 b8c6 g1f3 c8g4 f1e2 e8c8 c1e3 e7e5 f3e5 g4e2 d1e2 d5g2 h1f1 c6e5 d4e5 g2d5 f2f4 f7f6 e5f6 g8f6 b1d2 f8d6 h2h3 h8e8 f1f3 e8e7 e2c4 d6f4 c4d5 f6d5 d2f1 d5e3 e1f2 g7g5 f1e3 d8d2 f2f1 e7e3 f3e3 f4e3 b2b3 d2f2 f1e1 f2h2 a1d1 h2h1 e1e2 h1d1 e2d1 h7h5 d1e2 e3f4 e2f3 c8d7 h3h4 d7e6 f3e4 f4d2 h4g5 d2g5 c3c4 h5h4 a2a3 h4h3 e4f3 g5f4 a3a4 a7a5
Wch U10,Mamaia,1991.??.??,5,"Vallejo Pons, Francisco","Ganguly, Surya Shekhar",1-0,,,C47,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 g2g3 f8e7 d2d4 e5d4 f3d4 e8g8 f1g2 f8e8 e1g1 e7c5 d4b3 c5b6 a2a4 a7a6 c1g5 c6b4 a4a5 b6a7 a1a4 c7c5 c3d5 b4d5 e4d5 d7d6 a4f4 c8d7 g5f6 g7f6 d1h5 e8e5 h5h6 d7f5 f4f5 e5f5 g2e4 d8c8 g3g4 c8f8 h6h3 f8g7 e4f5 c5c4 b3d2 a8e8 d2c4 a7c5 c2c3
Wch U10,Mamaia,1991.??.??,6,"Leroy, Adrien","Vallejo Pons, Francisco",1-0,2240,,A01,b2b3 e7e5 c1b2 d7d6 c2c4 f7f5 e2e3 g8f6 d2d3 f8e7 b1c3 e8g8 g2g3 b8c6 f1g2 c8e6 c3d5 e6d5 c4d5 c6b4 e3e4 f6d7 a2a3 b4a6 g1e2 g7g6 e1g1 d7f6 d1c2 a8c8 e4f5 g6f5 h2h3 f6d7 f2f4 e7f6 f4e5 f6e5 d3d4 e5g7 f1f5 d8e7 f5f8 c8f8 c2d2 g7h6 d2h6 e7e2 h6e6 e2e6 d5e6
Wch U10,Mamaia,1991.??.??,7,"Vallejo Pons, Francisco","Mas, Hafizulhelmi",0-1,,,B70,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 g2g3 f8g7 f1g2 c8d7 e1g1 b8c6 d4e2 e8g8 c3d5 f6d5 e4d5 c6e5 a1b1 d7g4 h2h3 g4d7 b2b3 d7b5 c2c4 b5d7 f2f4 d7f5 b1b2 d8b6 c4c5 b6c5 g1h2 e5d7 g3g4 g7b2 c1b2 c5c2 d1d4 f7f6 f1f2 f5g4 h3g4 c2c5 f2f3 a8c8 d4e4 c5c7 e4e6 f8f7 f3c3 d7c5 e6e3 c7d7 e2d4 f7f8 f4f5 g8g7 c3c5 d6c5 d4e6 g7h8 e6f8 c8f8 e3h6 h8g8 h6f4 f8d8 g4g5 d7d6 h2g3 g8g7 g5f6 e7f6 f4d6 d8d6 b2a3 b7b6 a3b2 g6f5 g3f4 g7g6 g2f3 h7h5 a2a4 d6d8 f4e3 g6g5 e3f2 h5h4 f2g2
Wch U10,Mamaia,1991.??.??,8,"Nur, Nawrose Farh","Vallejo Pons, Francisco",0-1,,,B33,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5 d4b5 d7d6 c1g5 a7a6 b5a3 b7b5 g5f6 g7f6 c3d5 f8g7 d1d2 c8e6 e1c1 a8c8 c1b1 e8g8 d5e3 d8b6 f2f3 f8d8 e3d5 b6b7 b1a1 c6e7 d5e7 b7e7 d2a5 e7b7 c2c3 d8d7 a3c2 d6d5 e4d5 d7d5 f1e2 c8d8 c2b4 d5d1 h1d1 d8d1 e2d1 b7d7 d1b3 d7d2 b3c2 g7f8 c2b1 d2c1 a5d8 e6f5 b4d3 c1d1 a2a3 g8g7 d8d5 d1d2 d3b4 d2e1 b4d3 e1f1 g2g3 f1g1 f3f4 f5e6 d5e4 g1h2 f4e5 f6f5 e4f4 h7h6 d3f2 f8e7 f4f3 h2g1 f2h3 g1c1 f3d3 e7a3 d3c2 c1c2 b1c2 a3e7 c2d3 e7c5 h3f4 c5e3 f4e2 e3f2 a1b1 g7f8 b1c2 f8e7 c2d1 f7f6 e5f6 e7f6 e2f4 e6f7 f4e2 f6g5 e2d4 f7g6 d4f3 g5f6 f3h4 g6h7 c3c4 b5c4 d3c4 f2g3 h4f3 a6a5 d1e2 h7g6 e2f1 g3e5 f3h4 g6h7 b2b3 e5c3 h4f3 f6e7 f1f2 e7d6 f2e3 c3e5 f3e1 f5f4 e3f3 d6c5 c4e6 c5d4 f3f2 e5c7 f2f3 h7e4 f3f2 d4c3 f2e2 h6h5 e6f7 c7b6 f7g8 h5h4 g8e6 h4h3 e6h3 c3b3 e1f3 e4f3 e2f3 b6e3 h3e6 b3c3 e6d7 c3b4 d7e8 a5a4 e8g6 b4c3 g6h5 a4a3 h5f7 c3b2 f3e2 a3a2 f7a2 b2a2 e2f3 a2b3
Wch U10,Mamaia,1991.??.??,9,"Vallejo Pons, Francisco","Zumtobel, Thomas",1/2-1/2,,,C80,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 d2d4 e5d4 e1g1 f6e4 f1e1 f7f5 f3d4 c6d4 d1d4 b7b5 a4b3 c8b7 b3d5 b7d5 d4d5 f8e7 d5f5 e4f6 b1c3 e8g8 c1f4 f6e8 f5g4 e7c5 c3e4 e8f6 g4f5 f6e4 f5d5 g8h8 e1e4 d7d6 f4e3 c5e3 e4e3 d8f6 e3f3 f6b2 a1e1 b2c2 f3f8 a8f8 d5f7 f8g8 h2h3 c2c4 f7d7 d6d5 e1e7 c4c1 g1h2 c1f4 h2g1 f4d6 d7d6 c7d6 e7d7 g8c8 d7d6 h8g8
Wch U10,Mamaia,1991.??.??,10,"Vallejo Pons, Francisco","Rousev, R.",1-0,,,C55,e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 d2d4 e5d4 e4e5 d7d5 c4b5 f6e4 f3d4 f8c5 b5c6 b7c6 c1e3 e8g8 b1d2 d8e8 d2f3 c5b4 e1f1 c8a6 f1g1 e8d7 c2c3 b4e7 h2h4 f7f5 g2g3 c6c5 d4b3 c5c4 b3d4 a8b8 d1c2 e4c5 e3f4 c5d3 a1b1 d3f4 g3f4 b8b6 g1f1 f8b8 f1g2 g7g6 g2h2 c7c5 d4e2 d7b7 c2d2 g8h8 h2g3 b6b2 b1b2 b7b2 h1d1 b2d2 d1d2 b8d8 f3g5 e7g5 f4g5 h8g8 e5e6 g8f8 g3f4 f8e7 f4e5 d8d6 e2f4 a6c8 f4d5 e7f8 e5d6
