Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
NLD-chT,NLD,1987.??.??,?,"Van der Vliet, Fred","Van Wely, Loek",1-0,2330,,E69,d2d4 g8f6 c2c4 g7g6 g2g3 f8g7 f1g2 e8g8 g1f3 c7c6 e1g1 d7d6 b1c3 b8d7 e2e4 e7e5 h2h3 f8e8 f1e1 d8b6 d4d5 d7c5 a1b1 a7a5 c1e3 b6c7 f3d2 f6h5 d1e2 h7h6 d5c6 c7c6 c3d5 c8e6 e1c1 g8h7 b2b3 e8b8 a2a3 b7b6 g1h2 c6c8 f2f4 e5f4 g3f4 a8a7 d5c3 c8d8 c3b5 a7d7 b3b4 a5b4 a3b4 c5a6 d2f3 d8f6 e2d2 b8c8 b5d6 e6c4 e4e5 f6d8 b4b5 a6b8 d2b4 d7d6 e5d6 c4d3 c1c8 d8c8 b1d1 d3e2 d1c1 c8e8 e3b6 e2f3 g2f3 h5f4 c1e1 g7e5 e1e5 e8e5 b4d4 e5b5 d4f4 b5b6 f4f7 h7h8 f7f6 h8h7 f3e4 b6a7 f6e7
NLD-chT,NLD,1987.??.??,?,"Van Wely, Loek","Van der Poel, Henk",1-0,,,E97,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 e1g1 b8c6 c1e3 f6g4 e3g5 f7f6 g5h4 g4h6 d4d5 c6e7 f3d2 c7c5 f2f3 f6f5 a1b1 g7f6 h4f2 f5f4 b2b4 b7b6 b4c5 b6c5 d1a4 g6g5 d2b3 a7a5 f2e1 g5g4 c3b5 e7g6 b3a5 f6h4 e1d2 h4g3 h2g3 f4g3 f3g4 d8h4 f1f8 g8f8 e2f3 c8g4 a4d1 h4h2 g1f1 h2h1 f1e2 h1g2 e2e3 g2f2 e3d3 g4f3 d2h6 f8g8 d1d2 a8a5 d2a5 f2e2 d3c3 f3e4 a5d8 g8f7 b5d6
NLD-chT,NLD,1987.??.??,?,"Van Wely, Loek","De Greef, Heleen",1-0,,2235,D70,d2d4 g8f6 g1f3 g7g6 c2c4 d7d5 c4d5 f6d5 e2e4 d5b6 b1c3 f8g7 h2h3 e8g8 f1e2 b8c6 c1e3 c6a5 d1c1 a5c4 e3h6 c4d6 h3h4 f7f6 h6g7 g8g7 c1f4 c7c6 a1d1 c8e6 d4d5 c6d5 e4d5 e6d7 g2g4 a8c8 d1d4 d8c7 f3d2 d6f7 f4e3 c8e8 d4e4 f7e5 h4h5 e5f7 e4e7 e8e7 e3e7 c7e5 e7e5 f7e5 h5g6 h7g6 f2f3 f8c8 e1f2 b6c4 e2c4 e5c4 d2c4 c8c4 h1e1 g7f7 e1e4 c4e4 c3e4 b7b6 f2e3 f6f5 g4f5 g6f5 e4g5 f7e7 e3f4 e7d6 g5h7 d7c8 h7f6 c8a6 f4f5 a6d3 f5f4 d3c2 a2a3 b6b5 b2b4 c2g6 f4g5 g6c2 f3f4 c2d3 g5h4 d3c4 h4g4 c4b3 g4g5 b3c4 g5g6 c4b3 g6f7 b3c4 f7e8 c4d3 e8d8 d3c4 d8c8 d6e7 c8c7
EU-ch U20,Arnhem,1988.??.??,1,"Hamalainen, Sami","Van Wely, Loek",0-1,,2325,B09,e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 f2f4 f8g7 g1f3 c7c5 d4c5 d8a5 f1d3 a5c5 d1e2 e8g8 c1e3 c5a5 e1g1 c8g4 e2e1 b8c6 f3d2 c6b4 f4f5 d6d5 d2b3 a5d8 e3c5 a7a5 e4e5 f6d7 f5f6 b4d3 c2d3 e7f6 c5f8 d8f8 c3d5 f6e5 e1h4 h7h5 h4f2 g4f5 f2f3 d7c5 d5e3 c5b3 a2b3 f5d3 f1e1 e5e4 f3f2 f8b4 e3d5 b4b3 d5f6 g8h8 f6e4 b3b2 f2b2 g7b2 a1a2 b2d4 e4f2 d3c4 a2c2 b7b5 g2g3 a5a4 g1g2 a4a3
EU-ch U20,Arnhem,1988.??.??,2,"Van Wely, Loek","Gelfand, Boris",0-1,2325,2585,E94,d2d4 g8f6 g1f3 g7g6 c2c4 f8g7 b1c3 e8g8 e2e4 d7d6 f1e2 e7e5 e1g1 b8a6 c1e3 d8e8 f1e1 f6g4 e3c1 f7f5 e4f5 g6f5 d4e5 d6e5 h2h3 g4f6 c4c5 e5e4 e2a6 b7a6 f3d4 e8e5 d4b3 g8h8 c1e3 f5f4 e3d4 e5g5 c3e4 f6e4 e1e4 c8b7 d1f3 b7e4 f3e4 f4f3 g2g3 a8d8 a1e1 g7d4 b3d4 g5d5 e4d5 d8d5 e1e4 d5c5 e4e3 c5c1 g1h2 c1f1
EU-ch U20,Arnhem,1988.??.??,3,"Topakian, Raffi","Van Wely, Loek",0-1,,2325,B07,e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 f1c4 f8g7 d1e2 b8c6 e4e5 f6g4 c4b5 e8g8 b5c6 b7c6 h2h3 g4h6 g1f3 c6c5 d4c5 c8b7 c1f4 a8b8 e1c1 b7a8 f3d4 d8d7 e5e6 d7c8 c5c6 h6f5 d4f5 g6f5 e6f7 f8f7 e2c4 c8e8 d1d3 e8c6 c4c6 a8c6 f2f3 g7f6 f4e3 f7g7 e3a7 b8b7 a7d4 e7e5 d4f2 g7g2 h1g1 g2g1 f2g1 g8f7 g1e3 f7e6 f3f4 b7b8 d3d1 b8g8 f4e5 d6e5 a2a4 g8g3 e3c5 g3h3 a4a5 h3g3 a5a6 g3g8 a6a7 h7h5 b2b4 h5h4 b4b5 c6f3 d1f1 e5e4 c3a4 f3g2 f1d1 f5f4 b5b6 c7b6 d1d6 e6f5 a4b6 e4e3 b6d7 f6e7 d6b6 e7c5 b6b8 g8g7 d7c5 g7a7 c5d3 f4f3 b8f8 f5g4 d3e5 g4g3 f8g8 g3h3 e5d3 f3f2
EU-ch U20,Arnhem,1988.??.??,4,"Van Wely, Loek","Wessman, Richard",1-0,2325,2345,A41,d2d4 d7d6 g1f3 c8g4 h2h3 g4f3 e2f3 g7g6 f1d3 f8g7 e1g1 g8f6 c2c4 e8g8 b1c3 b8c6 d4d5 c6e5 d3e2 c7c6 f3f4 e5d7 e2f3 c6d5 c4d5 a8c8 c1e3 a7a6 f1e1 b7b5 a2a3 f6e8 e3d4 c8c4 c3e2 e8f6 b2b3 c4c8 d4b2 d7b6 d1d2 c8c5 b2d4 c5d5 f3d5 b6d5 a1c1 h7h5 c1c6 a6a5 c6a6 b5b4 d4f6 d5f6 a3b4 a5b4 d2b4 f6d7 b4c4 d8b8 a6c6 d7c5 b3b4 b8b7 b4b5 f8a8 c4d5 a8b8 e1b1 b7a8 e2g3 a8a4 c6c7 a4f4 c7e7 g7e5 b1b4 f4f6 e7a7
EU-ch U20,Arnhem,1988.??.??,5,"Adams, Michael","Van Wely, Loek",1/2-1/2,2460,2325,B07,e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 c1g5 f8g7 f2f4 e8g8 d1d2 c7c6 e4e5 f6d5 c3d5 c6d5 e1c1 c8f5 g1e2 b8c6 h2h3 a8c8 e2g3 c6d4 g3f5 d4f5 f1d3 h7h6 d3f5 g6f5 g5h4 d6e5 f4e5 c8c4 g2g4 d8c7 c1b1 c7e5 c2c3 e7e6 h1g1 f5g4 b1a1 h6h5 h4f2 e5f5 f2d4 f5g6 h3g4 h5g4 d2h2 g7d4 c3d4 f8c8 a2a3 c4c6 h2f4 f7f5 g1h1 g4g3 d1g1 g3g2 h1h6 g6g7 f4e3 f5f4 e3h3 f4f3 a1a2 c8f8 h6h4 e6e5 d4e5 c6g6 e5e6 f3f2 e6e7 f2g1q e7f8q g7f8 h4h8 g8f7 h3f5 g6f6 h8f8
EU-ch U20,Arnhem,1988.??.??,6,"Lev, Ronen","Van Wely, Loek",0-1,2415,2325,E97,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 e8g8 g1f3 d7d6 f1e2 e7e5 e1g1 b8c6 d4d5 c6e7 f3d2 c7c5 d5c6 b7c6 b2b4 d6d5 c1a3 d5d4 c3a4 f6d7 d2b3 f7f5 a4c5 d7f6 e4f5 g6f5 b4b5 c6b5 c4b5 e7d5 e2c4 g8h8 d1e1 d5b6 c5e6 c8e6 c4e6 f8e8 e6f5 e5e4 a1c1 e4e3 f2e3 b6d5 f1f3 d5e3 e1h4 e3f5 f3f5 e8e4 h4g3 a8c8 h2h3 e4e2 c1c8 d8c8 f5c5 c8e8 c5c1 e2a2 a3b4 f6d5 b4d2 d5e3 g3f3 h7h6 f3b7 e8g6 b7f3 h8h7 c1c7 e3f5 f3d3
EU-ch U20,Arnhem,1988.??.??,7,"Van Wely, Loek","Djurhuus, Rune",0-1,2325,2305,A90,d2d4 e7e6 g1f3 f7f5 g2g3 g8f6 f1g2 d7d5 e1g1 f8d6 c2c4 c7c6 b2b3 b7b6 c1b2 c8b7 b1d2 e8g8 f3e5 d8e7 d2f3 a7a5 h2h3 b8a6 g3g4 f5g4 h3g4 f6e4 f3d2 e7h4 d2e4 d5e4 f2f3 a8d8 d1e1 h4e1 f1e1 a6b4 e1c1 d6e5 d4e5 d8d2 b2c3 d2e2 g2f1 e2e3 c3d4 e3f3 f1e2 c6c5 e2f3 c5d4 f3g2 d4d3 c4c5 b6c5 c1c5 d3d2 a2a3 e4e3 a3b4 e3e2 c5c1 b7g2 g1g2 a5b4 c1e1 d2e1q a1e1 f8f4 e1e2 f4g4 g2f3 g4h4 f3g3 h4d4 e2c2 d4d3 g3f4 d3c3 c2a2 c3b3 a2a8 g8f7 a8a7 f7g6 a7e7 b3c3 e7e6 g6f7 e6b6 c3c4 f4f5 g7g6 f5g5 c4e4 g5h6 e4e5 b6b7 f7e6 h6h7 e5e4 h7g6 e4g4 g6h5 g4d4 h5g5 e6d5 g5f5 d5c4 f5e5 c4c3 b7b8 d4c4 e5d5 b4b3 b8b7 c4b4 b7c7 c3d3
