Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
RUS-ch U10,Rybinsk,1997.??.??,1,"Rusanov, V.","Vitiugov, N.",0-1,,,B85,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f1e2 f8e7 e1g1 e8g8 f2f4 d8c7 g1h1 a7a6 a2a4 b8c6 c1e3 c8d7 g2g4 c6d4 e3d4 d7c6 e2f3 e6e5 d4e3 e5f4 e3f4 f6d7 c3d5 c6d5 e4d5 d7e5 f4e5 d6e5 d1d3 c7d7 c2c4 e7c5 d3d2 a6a5 f1d1 a8a6 b2b3 a6f6 d2g2 f6f4 d5d6 c5d4 a1b1 d7d6
RUS-ch U10,Rybinsk,1997.??.??,2,"Vitiugov, N.","Rykalin, A.",1-0,,,B01,e2e4 d7d5 e4d5 g8f6 f1b5 c8d7 b5c4 b7b5 c4b3 a7a5 a2a3 d7g4 f2f3 g4c8 b1c3 d8d7 g1e2 c8b7 e1g1 b7d5 b3d5 f6d5 c3d5 d7d5 d2d4 b8c6 c1f4 a8c8 c2c3 e7e6 e2g3 b5b4 a3b4 a5b4 g3e4 b4c3 b2c3 f7f5 e4g5 f8e7 g5e6 d5e6 d4d5 e6f6 d5c6 f6c6 f1e1 h7h6 d1b3 e8f8 g1h1 g7g5 f4e5 h8h7
RUS-ch U10,Rybinsk,1997.??.??,3,"Vitiugov, N.","Simonian, Karen",1/2-1/2,,,C11,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4e5 f6d7 f2f4 c7c5 g1f3 b8c6 c1e3 a7a6 d1d2 b7b5 c3e2 d8b6 e2g3 b5b4 f1e2 a6a5 e1g1 c5d4 f3d4 f8c5 a1d1 e8g8 e3f2 c8a6 e2a6 a8a6 d4c6 b6c6 d2e2 g7g6 g1h1 c5f2 f1f2 f8c8 e2g4 g8h8 g4h4 c6b6 f2d2 a6a7 h4e7 f7f5 g3e2 d7c5 e7f6 h8g8 d2d5 c8f8 d5d8 a7f7 d8f8 f7f8 f6h4 c5e4 d1f1 b6e3 e2g1 g6g5 f4g5 f8c8 g5g6 h7g6 h4e7 c8c2
RUS-ch U10,Rybinsk,1997.??.??,4,"Yamilov, Robert","Vitiugov, N.",0-1,,,B86,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f1c4 f8e7 c1e3 e8g8 d1e2 a7a6 e1c1 b7b5 c4b3 c8b7 f2f3 b5b4 c3a4 b8d7 g2g4 a8c8 g4g5 f6e8 h2h4 e8c7 d1g1 d6d5 h4h5 d7c5 a4c5 e7c5 g5g6 h7h6 g6f7 f8f7 e4e5 c5d4 e3d4 d8d7 h1h4 a6a5 c2c3 b4c3 b2c3 c7b5 c1b2 b5d4 c3d4 c8b8 b2a1 a5a4 b3c2 d7e7 e2d3 e7h4 d3h7 g8f8 h7h8 f8e7 h8b8 h4d4 a1b1 d4g1 b1b2 g1b6
RUS-ch U10,Rybinsk,1997.??.??,5,"Vitiugov, N.","Ototiuk, Dmitriy",1/2-1/2,,,B82,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f2f4 e6e5 f1b5 c8d7 b5d7 b8d7 d4f5 d8b6 d1f3 g7g6 f5e3 f8g7 f4f5 e8g8 e1g1 b6c5 g1h1 d7b6 e3g4 b6d7 c1g5 f6g4 f3g4 f7f6 f5g6 h7g6 g4d7 f6g5 d7e6 g8h7 e6d5 c5b6 d5b3 b6a6 b3a4
RUS-ch U10,Rybinsk,1997.??.??,6,"Iljin, Artiom","Vitiugov, N.",1/2-1/2,,,E60,g1f3 g8f6 b2b3 g7g6 c1b2 f8g7 g2g3 e8g8 f1g2 c7c6 e1g1 d7d6 d2d4 d8c7 c2c4 b8d7 b1c3 f8e8 d1c2 a7a5 f1d1 h7h6 a1c1 d7f8 h2h3 c8f5 e2e4 f5c8 b2a3 g6g5 e4e5 d6e5 d4e5 f6d7 c2e4 d7e5 c1c2 e5f3 e4f3 c8e6 c3e4 a8d8 e4c5
RUS-ch U10,Rybinsk,1997.??.??,7,"Vitiugov, N.","Lysyj, I.",1/2-1/2,,,B45,e2e4 c7c5 g1f3 b8c6 b1c3 e7e6 d2d4 c5d4 f3d4 g8f6 d4c6 b7c6 e4e5 f6d5 c3e4 d8c7 f2f4 c7b6 f1d3 c8a6 d3a6 b6a6 d1e2 a6e2 e1e2 f7f5 e4g5 f8c5 c2c4 d5b6 b2b3 a7a5 c1e3 c5e3 e2e3 a5a4 e3d4 h7h6 g5f3 e8e7 h1d1 h8b8 f3e1 b6c8 d4c3 a4b3 a2b3 c8b6 e1d3 a8a1 d1a1 b8a8 a1a8 b6a8 b3b4 a8b6 c3d4 e7d8 d3f2 b6c8 f2d1 d8c7 d4c5 g7g5 g2g3 g5f4 g3f4 c8e7 d1f2 e7g6 f2d3 g6e7 d3c1 e7g6 c1e2 g6e7 e2g3 e7g6 g3h5 g6e7 h5g3 e7g6 g3e2 g6e7
RUS-ch U10,Rybinsk,1997.??.??,8,"Tomashevski, Evgeni","Vitiugov, N.",1-0,,,D33,d2d4 d7d5 c2c4 e7e6 g1f3 c7c5 c4d5 e6d5 b1c3 b8c6 g2g3 c5c4 f1g2 f8b4 e1g1 g8e7 c1f4 b4c3 b2c3 e8g8 f1e1 d8a5 d1d2 c8f5 f3e5 c6e5 f4e5 f7f6 e5d6 f8e8 d6b4 a5d8 b4e7 e8e7 f2f3 f5g6 e2e4 e7e8 a1b1 d8d7 b1b2 g6f7 e4e5 f6e5 d4e5 a8d8 d2d4 b7b6 f3f4 d7c7 g2h3 f7e6 h3e6 e8e6 f4f5 e6e8 b2f2 c7f7 e5e6 f7f6 e1e5 g8f8 g3g4 h7h6 g1f1 f8e7 f2f4 f6h4 f5f6 g7f6 e5h5
Chigorin Mem,St Petersburg RUS,2000.10.31,1,"Lukin,A","Vitiugov,N",1/2-1/2,2439,2262,B81,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 g2g4 b8c6 g4g5 f6d7 c1e3 f8e7 h2h4 e8g8 d1f3 a7a6 f3g3 c6d4 e3d4 b7b5 f1d3 d7c5 a2a3 c5d3 c2d3 e6e5 d4e3 c8e6 e1g1 f7f5 f2f4 f5e4 d3e4 e5f4 f1f4 f8f4 e3f4 d8b6 f4e3 b6b7 a1d1
EYCC B14,Halkidiki GRE,2001.08.31,1,"Aanestad,Vegard","Vitiugov,N",0-1,,2350,D31,d2d4 d7d5 c2c4 e7e6 b1c3 c7c6 c4d5 e6d5 g1f3 c8f5 e2e3 g8f6 f1d3 f5d3 d1d3 f8d6 e1g1 e8g8 f3e5 b8d7 f2f4 d6b4 g1h1 b4c3 b2c3 f6e4 c3c4 f7f6 e5g4 d7b6 c4d5 c6d5 f4f5 d8d7 f1f4 a8c8 c1d2 b6c4 d2b4 f8e8 d3b3 h7h5 g4f2 e4f2 f4f2 e8e3 b3d1 d7f7 f2f3 c8e8 d1f1 e8e4 f3e3 c4e3 f1f3 e3c2
