Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
EU-ch U10,Rimavska Sobota,1996.??.??,1,"Volokitin, Andrei","Meszaros, Matyas",1-0,,,B80,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f2f3 e7e6 c1e3 b7b5 d1d2 f8e7 e1c1 e8g8 g2g4 d8a5 c1b1 c8b7 c3d5 a5d8 d5e7 d8e7 h2h4 b8d7 h4h5 d6d5 g4g5 f6e8 e4d5 b7d5 d2h2 a8d8 f1e2 e8d6 g5g6 h7h6 d1g1 f7f6 h2g2 e6e5 d4b3 d6f5 e3c1 d8c8 e2d3 e7e6 g1d1 d5a8 g2g4 f5d4 g4e6 d4e6 d3f5 e6g5 f5d7 c8d8 c1g5 f6g5 d7e6 g8h8 d1d8 f8d8 h1f1 a6a5 a2a3 a5a4 b3c5 a8c6 c5d3 d8e8 e6f7 e8e7 f1e1 c6f3 d3e5 f3h5 f7d5 g5g4 e5f7 e7f7 e1e8
EU-ch U10,Rimavska Sobota,1996.??.??,2,"Stellwagen, Daniel R","Volokitin, Andrei",0-1,,,D52,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 b8d7 e2e3 c7c6 g1f3 d8a5 f3d2 f8b4 d1c2 e8g8 d2b3 b4c3 b2c3 a5a4 c4d5 c6d5 f1d3 b7b6 e1g1 c8a6 g5f4 a8c8 d3a6 a4a6 f2f3 c8c6 c2d2 f8c8 a1c1 b6b5 h2h3 d7b6 b3c5 a6a5 c5b3 a5a3 b3c5 b6a4 c5a4 b5a4 c1c2 c6c3 c2c3 a3c3 d2c3 c8c3 f1b1 h7h6 b1b8 g8h7 b8b7 h7g6 b7a7 c3a3 f4d6 a3a2 g2g3 f6h7 h3h4 h7f6 g1f1 h6h5 f1e1 f6e8 d6c5 a2g2 a7a4 g2g3 e1f2 g3h3 c5e7 e8f6 e7f6 g6f6 a4a1 h3h4 f2g3 g7g5 a1e1 e6e5 d4e5 f6e5 f3f4 e5f5 f4g5 h4g4 g3f3 g4g5 e1d1 f5e5 d1h1 g5f5 f3e2 e5f6
EU-ch U10,Rimavska Sobota,1996.??.??,3,"Volokitin, Andrei","Guseinov, Kadir",0-1,,,B46,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 e7e6 b1c3 a7a6 c1e3 g8f6 f1d3 f8e7 e1g1 e8g8 a2a3 f8e8 f2f4 e7c5 d3e2 b7b5 e3f2 c6d4 f2d4 d8b6 d4c5 b6c5 g1h1 d7d5 e2f3 c8b7 e4e5 f6d7 d1d3 c5c4 d3d2 g7g6 g2g4 a8d8 c3e2 c4c5 e2d4 d7b8 a1e1 b8c6 c2c3 c6a5 d2g2 a5c4 f1f2 c5c7 f2e2 g8h8 g2h3 c4b2 f3g2 b2a4 e2e3 a4c5 h3h6 c5e4 g2e4 d5e4 e3h3 f7f5 g4f5 e6f5 h6g6 e4e3 h1g1
EU-ch U10,Rimavska Sobota,1996.??.??,4,"Avetisian, A.","Volokitin, Andrei",0-1,,,B25,e2e4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 d2d3 d7d6 f2f4 g8f6 g1f3 c8g4 h2h3 g4f3 d1f3 f6d7 e1g1 e8g8 g3g4 c6d4 f3f2 a8b8 g4g5 b7b5 c3d5 f7f5 c2c3 d4e6 f2h4 e6c7 e4f5 g6f5 d5c7 d8c7 g5g6 d7f6 g2d5 g8h8 d5e6 c5c4 d3d4 b5b4 c3b4 b8b4 e6f5 c4c3 b2b3 b4d4 c1e3 d4d5 f5g4 d5d3 f1e1 h7h6 f4f5 d3e3 e1e3 c7c5 h4f2 f6g4 h3g4 g7d4 a1e1 c3c2 b3b4 c5b6 f2c2 d4e3 g1f1 b6b5 e1e2 d6d5 c2b2 d5d4 f1e1 b5d3 g4g5 f8c8 f5f6 e7f6 g5f6 d3g6 e2g2 g6g2 b2g2 c8c1 e1e2 c1c2 e2f3 c2g2 f3g2 d4d3 g2f3 d3d2 f3e2 h6h5
EU-ch U10,Rimavska Sobota,1996.??.??,5,"Areshtchenko, A.","Volokitin, Andrei",1-0,,,B13,e2e4 d7d5 e4d5 g8f6 c2c4 c7c6 d2d4 c6d5 b1c3 b8c6 g1f3 c8g4 c4d5 f6d5 f1e2 e7e6 e1g1 f8e7 h2h3 g4h5 d1b3 d5b6 c1e3 e8g8 f1d1 e7d6 d4d5 b6d5 c3d5 e6d5 b3d5 h5f3 e2f3 d6e5 d5c4 d8f6 e3c5 f8c8 f3d5 c8c7 c4e2 e5b2 a1b1 b2e5 d1e1 a8e8 g1h1 g7g6 b1b3 b7b6 b3f3 f6d8 f3d3 b6c5 d5c6 d8d3 e2d3 c7c6 f2f4 c5c4 d3c2 f7f6 f4e5 f6e5 e1e4 c4c3 e4e3 e8c8 e3e5 c6b6 e5e7 b6b2 c2e4
EU-ch U10,Rimavska Sobota,1996.??.??,6,"Volokitin, Andrei","Barashianth, G.",1/2-1/2,,,C44,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 c2c3 d7d5 e4d5 d8d5 c3d4 c8g4 f1e2 e8c8 b1c3 d5d7 d1a4 g4f3 e2f3 d7e6 c1e3 d8d4 a4b3 e6b3 a2b3 d4b4 f3c6 b7c6 a1a7 b4b3 e3f4 b3b7 a7a8 b7b8 a8a7 f8d6 f4d6 c7d6 c3e4 b8b2 e1g1 g8h6 e4d6 c8b8 a7a1 b2b1 a1b1 b8a7 b1b7 a7a8 b7d7
EU-ch U10,Rimavska Sobota,1996.??.??,7,"Alexa, M.","Volokitin, Andrei",1/2-1/2,,,B90,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 f6g4 e3d2 d8b6 f1e2 g4f2 e1f2 b6d4 f2e1 b8d7 c3d5 d4c5 d2e3 c5a5 d1d2 a5d8 d2c3 d7c5 e3c5 e7e6 c5b6 d8h4 g2g3 h4e4 d5c7 e8e7 h1f1 a8b8 a1d1 c8d7 c3d2 e4c6 d2e3 f7f6 c7d5 e7f7 d5c7 f8e7 e2g4 d6d5 g4f3 c6c2 f1f2 c2a4 f2e2 e7b4 e2d2 a4a2 e1f2 b4d2 d1d2 a2a4 d2e2 a4c6 e3d4 c6c4 d4e3 d5d4 e3d2 d4d3 e2e3
EU-ch U10,Rimavska Sobota,1996.??.??,8,"Volokitin, Andrei","Aveskulov, Valeriy",1-0,,,B33,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5 d4b5 d7d6 c3d5 f6d5 e4d5 c6e7 c2c4 e7g6 f1e2 a7a6 b5c3 f8e7 e1g1 f7f5 e2h5 e8g8 d1e2 c8d7 g1h1 a8c8 c1e3 d8c7 b2b3 e7f6 a1c1 g6e7 e2d1 b7b6 h5e2 c7b7 f2f3 f8d8 d1d3 d7e8 f1f2 e8g6 d3d1 g6e8 d1f1 f5f4 e3d2 f6h4 g2g3 f4g3 h2g3 e7f5 c3e4 f5g3 e4g3 h4g3 f2g2 g3f4 d2f4 e5f4 e2d3 b7e7 c1e1 e7f7 g2h2 g7g6 f1h3 e8d7 h3h4 d8e8 e1e8 c8e8 d3g6 e8e1 h4e1 h7g6 e1h4 g8f8 h4d8 d7e8 h2h8 f8g7 d8e8 f7f5 e8g8 g7f6 g8f8 f6e5 f8g7 f5f6 h8e8 e5f5 e8f8 f6f8 g7f8
EU-ch U10,Rimavska Sobota,1996.??.??,9,"Hera, Imre Jr","Volokitin, Andrei",1/2-1/2,2065,,B01,e2e4 d7d5 e4d5 g8f6 d2d4 f6d5 c2c4 d5b6 h2h3 g7g6 g1f3 f8g7 b1c3 e8g8 f1e2 b8c6 e1g1 c6d4 f3d4 g7d4 c3b5 e7e5 b5d4 d8d4 d1b3 c8e6 c1e3 d4h4 a1c1 f7f5 b3b5 h4f6 e3d2 c7c6 b5b4 f8f7 b2b3 a8d8 d2c3 f6g5 g1h2 f5f4 c1d1 d8d1 f1d1 f4f3 e2f3 e6h3 h2h3 g5h6 h3g3 h6f4 g3h3 f4h6 h3g3 h6f4
Wch U12,Cannes,1997.??.??,1,"Volokitin, Andrei","Iskakov, Aibek",1-0,,,C67,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 d2d4 f8e7 f1e1 e4d6 b5c6 d7c6 d4e5 d6f5 d1e2 e8g8 b1d2 f8e8 d2e4 f5d4 e2d3 d4f3 d3f3 c8e6 c1f4 d8d5 f3g3 g8h8 f4g5 h7h6 g5e7 e8e7 g3h4 d5d8 h2h3 b7b6 e1e3 e7d7 h4h5 e6d5 e4f6 d7e7 a1d1 e7e5 h5e5 d8f6 e5f6 g7f6 b2b3 h8g7 f2f4 g7f8 g1f2 a8e8 e3e8 f8e8 c2c4 d5e6 f2g3 b6b5 c4c5 a7a5 g3h4 e6d5 g2g4 e8f8 h4h5 f8g7 d1e1
