Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Wch U10,Oropesa del Mar,1999.10.31,7,Li Haoyu,Wang Hao,1-0,2393,,B40,e2e4 e7e6 d2d3 c7c5 g1f3 b8c6 c2c3 f8e7 g2g3 d7d5 d1e2 g8f6 f1g2 e8g8 e1g1 f8e8 b1d2 a8b8 f1e1 b7b5 d2f1 b5b4 c1f4 b8b6 e4e5 f6d7 h2h4 c8a6 f1e3 d8c7 e3d5 e6d5 e5e6 c7d8 e6f7 g8f7 e2e6 f7f8 f3g5 e7g5 f4d6 d8e7 g2d5 d7f6 e6f7
Wch U10,Oropesa del Mar,1999.11.01,8,Wang Hao,"Martchenko, Stanislav",1-0,,,D56,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 f8e7 g1f3 h7h6 g5h4 e8g8 e2e3 b8d7 c4d5 f6d5 h4e7 d8e7 f1d3 b7b6 e1g1 c8b7 a1c1 c7c5 c3d5 e6d5 d3b1 a8c8 d1d3 d7f6 f3e5 a7a6 d3f5 g7g6 f5h3 g8g7 a2a3 b6b5 f2f4 c5d4 e3d4 f6e4 b1e4 d5e4 f4f5 c8c1 f1c1 b7c8 c1c8 e7d6 f5f6 g7f6 c8c6 d6c6 e5c6
Wch U10,Oropesa del Mar,1999.11.02,9,"Sagi, Franko",Wang Hao,0-1,,,C01,e2e4 e7e6 d2d4 d7d5 e4d5 e6d5 f1d3 f8d6 g1f3 g8e7 e1g1 e8g8 c2c3 c8f5 c1g5 f7f6 g5e3 c7c6 f3h4 f5d3 d1d3 f6f5 f2f4 b8d7 b1d2 g7g6 h4f3 d7f6 f3e5 e7c8 c3c4 c8e7 e3f2 f6e4 d2e4 f5e4 d3h3 d8c8 h3c8 a8c8 c4c5 d6e5 f4e5 e7f5 g2g4 f5h6 h2h3 f8f3 g1g2 g6g5 f2g3 c8f8 f1f3 f8f3 a1f1 f3f1 g2f1 g8f7 f1e2 f7e6 e2e3 h6f7 a2a3 h7h6 b2b4 f7h8 g3h2 h8g6 h2g3 g6f8 g3e1 e6e7 e1f2 f8e6 f2g3 e7f7 a3a4 a7a6 h3h4 g5h4 g3h4 f7g6 h4f6 h6h5 g4h5 g6h5 f6h8 h5g5 h8f6 g5g4 f6h8 e6f4 h8g7 g4f5 g7f6 f4d3 f6h4 d3b4 e3d2 b4d3 h4g3 d3b2 d2c3 b2a4 c3b3 b7b5 g3f2 a6a5 f2e1 a4c5 d4c5 a5a4 b3c2 f5e5 e1b4 d5d4 c2d2 e5d5 d2c2 d5c4
Wch U10,Oropesa del Mar,1999.11.04,10,Wang Hao,"Dragicevic, Drazen",1-0,,,B77,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 c1e3 f8g7 f2f3 e8g8 d1d2 b8c6 f1c4 a7a6 e1c1 b7b5 d4c6 d8c7 c3d5 f6d5 c4d5 c8b7 c6d4 b7d5 e4d5 c7c4 d4b3 b5b4 e3d4 f7f6 c1b1 a6a5 d2d3 c4d5 d4b6 d5g5 d3d5 g5d5 d1d5 a5a4 b3d2 a8a6 b6f2 g7h6 h1e1 e7e5 d2e4 g8f7 d5d6 a6d6 e4d6 f7e6 d6e4 e6f7 e1d1 f6f5 e4c5 a4a3 d1d7 f7g8 b2a3 b4a3 c2c4 f8b8 c5b7 e5e4 f3e4 f5e4 c4c5 e4e3 f2g3 e3e2 c5c6 h6f4 g3e1 b8f8 d7d8 f4c7 d8f8 g8f8 b1c2 f8e7 c2d3 e7e6 d3e2 e6d5 e1a5 d5c6 a5c7 c6c7 b7a5
Wch U10,Oropesa del Mar,1999.11.05,11,"Sangma, Rahul",Wang Hao,0-1,,,C01,e2e4 e7e6 d2d4 d7d5 e4d5 e6d5 f1d3 f8d6 g1f3 g8e7 e1g1 e8g8 c1g5 f7f6 g5h4 c8f5 h4g3 c7c6 g3d6 d8d6 d3f5 e7f5 d1d3 d6d7 b1d2 b8a6 c2c3 a8e8 f1e1 a6c7 d2f1 f5d6 f1g3 d7g4 h2h3 g4f4 d3d2 c7e6 d2d3 e6g5 f3g5 f6g5 e1e2 e8e2 d3e2 f8e8 e2d3 d6e4 g3e4 e8e4 g2g3 f4f5 g1g2 f5e6 a1d1 h7h5 d1d2 g7g6 b2b3 g8g7 c3c4 e4e1 c4d5 e6d5 d3f3 e1g1 g2g1 d5f3 g1f1 f3h1 f1e2 h1h3 e2d1 h3f1 d1c2 h5h4 g3g4 h4h3 d4d5 c6d5 d2d5 h3h2 d5d7 g7f6 d7d6 f6e5
2nd China-USA Summit,Shanghai CHN,2002.07.11,1,"Schneider,Dm",Wang Hao,1-0,2429,,C44,e2e4 e7e5 g1f3 g8f6 d2d3 b8c6 c2c3 g7g6 f1e2 f8g7 b2b4 d7d6 e1g1 e8g8 b4b5 c6e7 a2a4 g8h8 f1e1 f6h5 d3d4 c8g4 h2h3 g4d7 d4e5 d6e5 c1a3 h5f4 e2f1 d8e8 b1d2 f8g8 d2c4 f7f6 c4e3 d7e6 d1c2 e8f7 c3c4 g8d8 e3d5 e7g8 d5f4 e5f4 a1d1 d8d1 e1d1 a8e8 a3c1 g6g5 f3d4 e6c8 c4c5 f7e7 f1d3 g8h6 c5c6 b7b6 c1b2 h6f7 d4f5 c8f5 e4f5 f7e5 d3c4 e7c5 c4b3 c5b4 b2c3 b4c5 d1d5 c5f8 c2d2 f8a3 d5d8 a3e7 d8d5 e7a3 b3a2 h7h5 c3b4 a3a4 d5d8 e8d8 d2d8 h8h7 d8g8 h7h6 b4f8
WY ol,Kuala Lumpur MAS,2002.08.20,1,"Zarul,Shafiq",Wang Hao,0-1,,,C01,e2e4 e7e6 d2d4 d7d5 e4d5 e6d5 f1d3 f8d6 d1f3 b8c6 g1e2 c6b4 c1f4 b4d3 f3d3 g8e7 f4d6 d8d6 b1d2 e8g8 e1c1 c8f5 d3g3 d6c6 g3c3 c6a6 h1e1 a6a2 e2g3 f5e6 c3c7 e7c6 d2b1 f8c8 c7d6 c6a5 d6a3 a5b3
WY ol,Kuala Lumpur MAS,2002.08.21,3,"Grecescu,G",Wang Hao,1-0,2233,,D73,c2c4 c7c6 g2g3 g8f6 f1g2 d7d5 d2d4 g7g6 g1f3 f8g7 c4d5 c6d5 f3e5 e8g8 b1c3 c8e6 e1g1 b8d7 f2f4 a8c8 h2h3 d7e5 d4e5 f6e4 c3e4 d5e4 c1e3 d8a5 d1e1 a5a6 e3d4 f7f5 e2e3 e6c4 f1f2 e7e6 f2c2 c4d3 c2c3 b7b6 a1c1 f8d8 a2a4 a6b7 c3d3
WY ol,Kuala Lumpur MAS,2002.08.25,6,Wang Hao,"Zdebskaja,N",1-0,,2261,B12,e2e4 c7c6 d2d4 d7d5 e4e5 c8f5 b1c3 e7e6 g2g4 f5g6 g1e2 g8e7 f2f4 h7h5 f4f5 e6f5 g4g5 b8a6 e2f4 a6c7 h2h4 c7e6 c3e2 d8a5 c2c3 e8c8 b2b4 a5c7 f1g2 c8b8 a2a4 e7c8 e1g1 g6h7 f4e6 f7e6 e2f4 c7f7 c1e3 c8b6 d1c2 b6c4 e3f2 b7b6 f1b1 d8d7 g2f1 d7b7 f1c4 d5c4 c2e2 b8c7 e2c4 c7d7 b4b5 b7c7 b5c6 c7c6 c4a6 d7e8 a4a5 f7b7 a5b6
WY ol,Kuala Lumpur MAS,2002.08.25,7,"Noroozi,O",Wang Hao,0-1,2080,,E06,c2c4 c7c6 g2g3 d7d5 c4d5 c6d5 d2d4 g8f6 f1g2 e7e6 b1c3 f8e7 g1f3 e8g8 f3e5 b7b6 e1g1 c8b7 c1f4 b8c6 a1c1 a8c8 h2h3 f6d7 e5c6 b7c6 e2e4 d5e4 c3e4 c6d5 d1a4 c8c1 f1c1 d7f6 e4f6 e7f6 f4c7 d8a8 g2d5 a8d5 a4a7 f6d4 c7b6 d5g5 b6d4 g5c1 g1h2 c1c6 a7a5 f7f6 a2a3 f8a8 a5b4 a8d8 a3a4 c6e4 d4c5 e4b4 c5b4 d8d4 b4c5 d4a4 b2b4 g8f7 h2g2 a4a3 b4b5 a3a5
