Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Hastings op8889,Hastings,1988.??.??,?,"Boudre, Jean Pierre","Wojtkiewicz, Aleksander",0-1,2320,,B81,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e6 g2g4 b8c6 g4g5 f6d7 h2h4 f8e7 c1e3 e8g8 d1d2 a7a6 e1c1 c6d4 d2d4 b7b5 f2f4 a8b8 c1b1 b5b4 c3e2 d8a5 e2g3 f8e8 f1c4 e7f8 h4h5 a5c5 d4d3 c5c6 g5g6 h7g6 h5g6 f7g6 e4e5 c8b7 c4b3 g8f7 e5d6 d7f6 h1e1 b8d8 f4f5 g6f5 g3f5 c6e4 e3b6 e4d3 d1d3 d8d7 f5d4 b7d5 b3a4 f8d6 a4d7 f6d7 b6a5 d6e7 d4f5 e7f8 e1f1 d7f6 f5e3 d5c6 e3g4 c6b5 g4e5 f7g8 f1f4 b5d3 c2d3 f8d6 d3d4 f6d5 f4g4 d6e5 d4e5 e8f8 b1c1 f8f1 c1d2 f1f2 d2c1 f2f1 c1d2 f1f2 d2c1 f2f4 g4f4 d5f4 c1d2 f4d5 a5d8 g8f7 d2d3 f7g6 d3e4 g6h5 e4f3 g7g5 f3g3 h5g6 g3g4 d5e3 g4f3 e3c4 f3e4 c4b2 d8a5 b2c4 a5b4 c4b6 b4e1 b6d5 a2a4 d5b6 a4a5 b6d7 e1f2 g6h5 f2b6 h5g4 b6d8 d7c5
Hastings op8889,Hastings,1988.??.??,?,"Wojtkiewicz, Aleksander","Martin, Andrew D",1-0,,2365,A41,g1f3 d7d6 d2d4 c8g4 g2g3 g4f3 e2f3 e7e6 c2c4 g8f6 d4d5 e6d5 c4d5 b8d7 b1c3 f8e7 f1g2 e8g8 f3f4 a7a5 e1g1 d7c5 c1e3 f6d7 a1c1 e7f6 b2b3 f8e8 d1c2 e8e7 f1d1 d8e8 c3b5 d7b8 c2c4 b8a6 a2a3 e8d7 c1c2 a8e8 b3b4 a5b4 a3b4 c5a4 b5d4 g7g6 g2f3 a4b6 c4b3 h7h5 g1g2 h5h4 g3g4 b6d5 b3d5 a6b4 d5b7 b4c2 d4c2 d7a4 b7c6 a4b3 g4g5 f6c3 d1d3 b3c2 d3c3 c2f5 h2h3 e8b8 c3a3 e7e3 a3e3 f5f4 e3e8 b8e8 c6e8 g8g7 e8e7 c7c5 f3d5 c5c4 e7e3 f4e3 f2e3 f7f6 d5c4 f6g5 g2f3 g7f6 f3g4 f6e5 c4d3 d6d5 g4g5 d5d4 e3e4
Hastings op8889,Hastings,1988.??.??,?,"Lima, Darcy","Wojtkiewicz, Aleksander",1/2-1/2,,,E06,d2d4 g8f6 c2c4 c7c5 g1f3 e7e6 g2g3 d7d5 f1g2 b8c6 e1g1 f8e7 d4c5 e7c5 a2a3 f6e4 d1c2 e8g8 b2b4 d8f6 c1b2 c5d4 f3d4 c6d4 b2d4 f6d4 a1a2 f7f5 c4d5 e6d5 e2e3 d4b6 c2d3 c8e6 a2c2
Naleczow,Naleczow,1988.??.??,1,"Paunovic, Tomislav","Wojtkiewicz, Aleksander",0-1,2420,2420,E90,d2d4 g8f6 c2c4 c7c5 d4d5 g7g6 b1c3 d7d6 g1f3 f8g7 e2e4 e8g8 c1g5 h7h6 g5f4 f8e8 f1e2 e7e6 d5e6 c8e6 d1d6 d8a5 d6d2 b8c6 e1g1 a8d8 c3d5 f6e4 d2a5 c6a5 f4c7 a5c4 c7d8 e6d5 a1d1 d5e6 e2d3 f7f5 b2b3 c4b2 d3b5 e8f8 b5d7 g8f7 d8h4 b2d1 d7e6 f7e6 f1d1 g7d4 h4e7 f8g8
Naleczow,Naleczow,1988.??.??,2,"Wojtkiewicz, Aleksander","Palkovi, Jozsef",1-0,2420,2425,A30,g1f3 g8f6 c2c4 c7c5 g2g3 b7b6 f1g2 c8b7 e1g1 g7g6 b1c3 f8g7 d2d3 e8g8 e2e4 b8c6 h2h3 e7e6 c1e3 d7d5 e4d5 e6d5 d3d4 c5d4 f3d4 c6a5 b2b3 d5c4 g2b7 a5b7 d1f3 b7c5 a1d1 d8c8 e3g5 c8b7 d4c6 a8c8 d1d6 f6e8 c6e7 g8h8 f3b7 c5b7 d6d1 c8c5 c3d5 c4b3 a2b3 h7h6 g5f4 c5c2 b3b4 c2b2 d1c1 b6b5 c1c6 b7d8 c6a6 g6g5 f4e3 d8e6 e7f5 g7e5 e3c5 e8c7 d5c7 e5c7 c5f8 e6f8 a6a7 c7b6 a7f7 b2b4 f7f8
Naleczow,Naleczow,1988.??.??,3,"Solozhenkin, Evgeniy","Wojtkiewicz, Aleksander",0-1,2400,2420,B80,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 e7e6 f2f3 b8d7 d1d2 b7b5 g2g4 h7h6 e1c1 c8b7 f1d3 b5b4 c3e2 d6d5 e4d5 f6d5 d4e6 f7e6 d3g6 e8e7 e2f4 d7e5 h1e1 e7f6 g6h5 d5f4 e3d4 f4h5 d4e5 f6f7 d2d8 a8d8 d1d8 h5f6 f3f4 h8g8 f4f5 b7d5 e5f6 g7f6 h2h3 h6h5 d8d7 f8e7 g4h5 g8h8 d7a7 e6e5 a7c7 d5f3 h5h6 h8h6 e1e3 e5e4 a2a3 a6a5 c7a7 h6h3 a7a5 h3h1
Naleczow,Naleczow,1988.??.??,4,"Wojtkiewicz, Aleksander","Szymczak, Zbigniew",1-0,2420,2340,C54,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 g8f6 d2d3 d7d6 c2c3 e8g8 b1d2 a7a6 c4b3 c5a7 h2h3 c8e6 f1e1 e6b3 d1b3 a8b8 d2c4 f6d7 c1g5 d8e8 f3h4 d7c5 b3c2 b7b5 c4d2 c5e6 g5e3 a7e3 f2e3 g7g6 d3d4 e6g7 a2a4 e8d8 a4b5 a6b5 h4f3 b5b4 a1a6 b4c3 b2c3 b8b6 a6b6 c7b6 e1b1 d8c7 c2b3 c6a5 b3b6 c7c3 g1h2 g7e6 b6d6 c3e3 d4d5 e6d4 b1b8 d4f3 d2f3 e3f4 h2h1 f8b8 d6b8 g8g7 b8b5 f4c1 f3g1 c1d2 d5d6 g7f6 b5d7 a5c4 d7e7 f6g7 d6d7
Naleczow,Naleczow,1988.??.??,5,"Pandavos, Emanouel","Wojtkiewicz, Aleksander",1-0,2410,2420,B06,e2e4 g7g6 d2d4 f8g7 g1f3 d7d6 f1e2 b8d7 e1g1 e7e5 c2c3 g8f6 d1c2 e8g8 d4e5 d6e5 c1g5 h7h6 g5f6 d8f6 b1d2 f6e7 a1d1 a7a5 d2c4 d7c5 b2b4 a5b4 c3b4 c5e6 d1b1 e6f4 c4e3 f4e2 c2e2 c8e6 e3d5 e6d5 e4d5 f8d8 e2c4 d8d7 f1d1 g8h7 d1d2 f7f5 b1d1 a8d8 b4b5 d7d6 f3e1 e5e4 e1c2 g7e5 g2g3 h6h5 c2e3 f5f4 e3f1 e4e3 f2e3 f4g3 h2g3 d8f8 c4e4 d6f6 d2h2 h7g7 h2g2 f6f5 a2a4 b7b6 d1c1 e7f6 f1h2 f5f2 c1c2 e5g3 g2f2 g3f2 g1g2 f2e1 c2c7 g7h6 h2f3 e1b4 e4f4 f6f4 e3f4 f8f4 c7c6 f4f5 f3h4 f5g5 g2h3 b4e1 c6b6 e1h4 h3h4 g5g4 h4h3 g4a4 b6b8 h6g5 b5b6 a4a3 h3g2 h5h4 b6b7 a3b3 d5d6 h4h3 g2g1 g5g4 d6d7 g4g3 g1f1 b3f3 f1e2 f3f2 e2e3 f2f3 e3d4 f3f4 d4c5 f4f5 c5b6
Naleczow,Naleczow,1988.??.??,6,"Wojtkiewicz, Aleksander","Petkevich, Jusefs",1/2-1/2,2420,2465,E92,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f1e2 e8g8 g1f3 e7e5 d4e5 d6e5 d1d8 f8d8 c1g5 b8a6 c3d5 d8d6 g5f6 g7f6 d5f6 d6f6 f3e5 f6e6 e5g4 h7h5 g4e3 e6e4
Naleczow,Naleczow,1988.??.??,7,"Barbulescu, Dan","Wojtkiewicz, Aleksander",0-1,2445,2420,B85,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f1e2 e7e6 e1g1 f8e7 f2f4 e8g8 g1h1 d8c7 a2a4 f8d8 c1e3 b8c6 e2d3 c6d4 e3d4 e6e5 d4e3 c8e6 a4a5 c7c6 f4f5 e6c4 d3c4 c6c4 e3g5 d6d5 g5f6 e7f6 a1a4 c4c6 e4d5 c6d7 d1g4 g8h8 a4c4 a8c8 c4c8 d8c8 g4b4 f6e7 b4b3 c8c5 f1d1 c5a5 d5d6 e7d8 b3b4 h7h6 h2h3 h8g8 b2b3 d7c6 d6d7 a5c5 c3e4 c5c2 d1d6 c6c7 f5f6 g7f6 e4f6 d8f6 b4g4 g8f8 d6f6 f8e7 f6f7 e7f7 d7d8q c2c1 d8d1 c1d1 g4d1 f7e7 d1d5 e7f6 d5f3 f6e7 f3d5 a6a5 d5g8 c7c1 h1h2 c1f4 h2h1 b7b6 g8c8 f4d4 c8c7 e7f6 c7c6 f6g5 c6e6 d4e3 h1h2 e3f4 h2h1 b6b5 e6g8 g5h4 g8d8 h4g3 d8d3 g3f2 d3c2 f2e1 c2c3 e1e2 c3a5 e5e4 a5b5 e2f2 b5c5 e4e3 b3b4 f4e4 c5f8 f2e1 f8h6 e1d1 h6d6 d1c2 d6a6 e3e2 a6a2 c2c3 a2a1 c3b3 a1e1 b3c2 b4b5 e4d3 h1g1 d3e3 e1f2 c2d3
