Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Wch Girls U20,Adelaide,1988.??.??,?,"Hepworth, Mandy",Xie Jun,0-1,2125,,C88,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 a2a4 c8b7 d2d3 d7d6 b1c3 c6a5 b3a2 b5b4 c3e2 c7c5 e2g3 b7c8 c2c3 b4c3 b2c3 d8c7 f3d2 f6d7 g3f5 d7b6 d1g4 c8f5 e4f5 d6d5 d2f3 e7f6 c1g5 f6g5 f3g5 c7d6 e1e3 h7h6 e3g3 d6f6 h2h4 c5c4 d3c4 b6c4 a1d1 f8d8 d1d5 h6g5 h4g5 f6c6 d5a5 c4a5 g4h5 a8a7 f5f6 c6a4 f2f3 d8d1 g1h2 a4f4 g5g6 f4f6 g6f7 a7f7 a2f7 f6f7 h5e5 a5c6 e5e4 f7h5 g3h3 h5e5
Wch Girls U20,Adelaide,1988.??.??,?,Xie Jun,"Arakhamia, Ketevan",1-0,,2420,B33,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5 d4b5 d7d6 c1g5 a7a6 b5a3 b7b5 g5f6 g7f6 c3d5 f6f5 f1d3 c8e6 e1g1 f8g7 d1h5 f5f4 c2c4 b5b4 a3c2 a8b8 b2b3 h7h6 a2a3 b4a3 a1a3 a6a5 h2h3 e8g8 d5c3 c6b4 f1d1 d8c7 h5e2 f8c8 c2e1 c7c5 d1a1 b4c6 c3b5 g8h7 e2h5 g7f6 d3c2 b8b5 c4b5 c6d4 c2d1 c5c3 d1g4 e6g4 h5f7 f6g7 h3g4 f4f3 b3b4 c3b4 e1f3 d4f3 a3f3 c8f8 f7d7 f8f3 g2f3 a5a4 a1c1 b4d2 d7f5
Wch Girls U20,Adelaide,1988.??.??,?,Xie Jun,"Arribas, Maritza",0-1,,2105,C12,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4 e4e5 h7h6 g5d2 f6d7 d1g4 b4f8 g1f3 c7c5 c3b5 c5d4 b5d6 f8d6 e5d6 d8f6 f3d4 a7a6 d2c3 e6e5 d4f5 d5d4 c3d2 g7g6 f5h6 d7b6 g4f3 f6f3 g2f3 b8c6 h6g4 f7f5 g4h6 e8f8 h2h4 f8g7 h4h5 f5f4 h6g4 g6h5 g4h2 c8f5 f1d3 f5d3 c2d3 g7f6 e1e2 h8g8 h2f1 g8h8 d2e1 f6e6 f1d2 e6d6 d2e4 d6e6 e1d2 a8g8 h1h2 h8h6 a1h1 g8h8 e4c5 e6d5 c5b7 b6a4 h1c1 h8b8 c1c4 b8b7 c4a4 c6e7 b2b3 e7f5
Wch Girls U20,Adelaide,1988.??.??,?,Xie Jun,"Galliamova, Alisa",0-1,,2250,C60,e2e4 e7e5 g1f3 b8c6 f1b5 g8e7 e1g1 g7g6 c2c3 f8g7 d2d4 e5d4 c3d4 d7d5 e4d5 e7d5 f1e1 c8e6 b5c6 b7c6 b1d2 e8g8 h2h3 d5b4 d2e4 f8e8 a2a3 b4d5 c1d2 a8b8 b2b3 e6f5 e4g3 e8e1 d2e1 f5e6 f3e5 d8e8 b3b4 d5b6 e1c3 b8d8 d1f3 e6d5 f3f4 b6a4 c3d2 e8f8 a1c1 f8d6 d2e3 f7f6 e5c4 d6e7 e3d2 a4b6 c4e3 f6f5 g3e2 b6c4 e3c4 d5c4 c1c4 e7e2 f4c7 d8f8 c4c2 e2d1 g1h2 d1c2 d2f4 c2f2 f4d6 f8f7 c7c8 g7f8 c8c6 f2d4 d6f8 f7f8 c6e6 f8f7
Wch Girls U20,Adelaide,1988.??.??,?,Xie Jun,"Nagai, H.",1-0,,,C42,e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5c4 f6e4 d2d4 d6d5 c4e3 c8e6 f1d3 e4d6 e1g1 f8e7 b1c3 c7c6 c3e2 e7f6 c2c3 g7g6 f2f4 b8d7 e2g3 f6h4 f4f5 h4g3 f5e6 g3h2 g1h2 f7e6 d1g4 d8e7 e3c2 d7f8 c1g5 e7d7 a1e1 d6f7 g5f6 d7d6 h2h1 h8g8 c3c4 h7h5 g4h3 f7h6 c4d5 c6d5 d3b5
Wch Girls U20,Adelaide,1988.??.??,?,Xie Jun,"Dabrowska, Krystyna",1-0,,,C99,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c6a5 b3c2 c7c5 d2d4 d8c7 b1d2 c5d4 c3d4 a5c6 a2a3 e5d4 d2b3 f8e8 b3d4 c6d4 f3d4 c8b7 c1f4 e7f8 d1f3 f6d7 a1c1 d7e5 f3g3 a8d8 d4f5 e5g6 c2b1 c7b8 c1d1 e8e6 f4g5 d8d7 h3h4 g6e5 h4h5 b8c8 f5d4 e6e8 h5h6 g7g6 d4f3 e5f3 g3f3 c8c5 g5e3 c5h5 f3f6 h5e5 f6e5 e8e5 e3f4 e5e8 f2f3 d7d8 b1a2 d6d5 e4d5 e8e1 d1e1 b7d5 e1d1
Wch Girls U20,Adelaide,1988.??.??,?,Xie Jun,"Zayac, Elena",1/2-1/2,,2230,C97,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c6a5 b3c2 c7c5 d2d4 d8c7 b1d2 f8d8 d4d5 c5c4 d2f1 a5b7 f1g3 a6a5 f3h2 b7c5 e1f1 b5b4 f2f4 b4b3 a2b3 c4b3 c2b1 a5a4 d1f3 d8f8 g1h1 c8d7 c1e3 a8a6 f3f2 f8c8 a1a3 e7f8 h2f3 d7b5 f1e1 e5f4 e3f4 b5d3 b1d3 c5d3 f2f1 d3c5 f3d2 a6a8 e1a1 c8e8 f1f3 f6d7 f4e3 d7e5 f3f1 e5d7 e3c5 d7c5 f1f3 g7g6 d2f1 f8g7 f1h2 c7e7 a1f1 c5e4
Wch Girls U20,Adelaide,1988.??.??,?,"Trabert, Bettina",Xie Jun,1/2-1/2,2230,,C26,e2e4 e7e5 b1c3 b8c6 g2g3 g8f6 f1g2 f8c5 d2d3 d7d6 c3a4 c5b6 a4b6 a7b6 g1e2 d6d5 e4d5 f6d5 e1g1 e8g8 h2h3 c8e6 g1h2 d8d7 f2f4 e5f4 e2f4 d5f4 c1f4 a8a7 a2a3 c6e7 d1e2 e7g6 f4d2 a7a8 e2h5 c7c6 a1e1 f8e8 d2c3 f7f6 g2e4 e6f7 f1f2 g6f8 h5h4 f8g6 h4h5 g6f8 h5h4 f8g6
Wch Girls U20,Adelaide,1988.??.??,?,"Bojkovic, Natasa",Xie Jun,1/2-1/2,2220,,C54,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f1c4 f8c5 c2c3 g8f6 e4e5 d7d5 c4b5 f6e4 c3d4 c5b4 c1d2 b4d2 b1d2 c8d7 b5c6 d7c6 e1g1 e8g8 a1c1 d8d7 f1e1 f8e8 e1e3 a8d8 e3a3 a7a6 d2b3 c6a4 d1e1 a4b3 a3b3 c7c6 e1b4 e8e7 f3e1 f7f6 f2f3 e4g5 e1d3 f6e5 d4e5 g5e6 f3f4 d8f8 c1f1 e7f7 g2g3 d7c7 d3c5 e6c5 b4c5 c7d7 c5d4 d7e6 b3f3 g7g6 b2b4 f8c8 g1g2 a6a5 a2a3 c8a8 h2h3 h7h5 f1f2 a5b4 a3b4 a8a4 f3b3 f7f8 b3f3 e6f5 f2f1 f8a8
Wch Girls U20,Adelaide,1988.??.??,?,"Amura, Claudia Noemi",Xie Jun,0-1,2195,,E74,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f1e2 e8g8 c1g5 c7c5 d4c5 d6c5 d1d8 f8d8 e4e5 f6d7 e5e6 d7f6 e6f7 g8f7 g5e3 b8a6 g1f3 f7g8 h2h3 a6b4 e1g1 b7b6 a1d1 c8b7 f3g5 b4c2 g5e6 d8d1 f1d1 c2e3 f2e3 g7h6 g1f2 a8c8 g2g4 f6e4 c3e4 b7e4 g4g5 e4f5 e2g4 g8f7 g4f5 g6f5 g5h6 f7e6 d1g1 c8f8 g1g7 f8f7 f2f3 e6f6 g7g8 e7e5 a2a3 f7d7 f3e2 e5e4 h3h4 d7d3 g8g7 d3b3 g7h7 b3b2 e2d1 f6g6 h7a7 g6h6 a7f7 h6g6 f7c7 g6h5
