Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Jakarta Interzonal (Women),Jakarta,1993.??.??,?,Xu Yuhua,"Lindri, Juni Wijayanti",0-1,,2185,C92,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 b7b5 a4b3 f8e7 f1e1 d7d6 h2h3 e8g8 c2c3 f6d7 d2d4 e7f6 c1e3 c6a5 b3c2 a5c4 e3c1 e5d4 c3d4 c7c5 b2b3 c4e5 d4e5 d7e5 b1c3 b5b4 c1b2 b4c3 b2c3 e5f3 d1f3 f6c3 f3c3 d8e7 a1d1 c8b7 e1e3 a8d8 b3b4 d8c8 c3d3 g7g6 d3d6 e7d6 d1d6 c5b4 c2b3 c8c7 e4e5 f8e8 h3h4 g8g7 h4h5 e8e7 f2f4 c7c3 e3e2 a6a5 f4f5 g6f5 h5h6 g7f8 d6f6 b7e4 e2d2 c3d3 d2d3 e4d3 e5e6 a5a4 b3d5 d3e4 d5c4 e7c7 e6e7 f8e7 f6f7 e7d6 f7c7 d6c7 g1f2 f5f4 f2e2 c7d6 e2d2 d6e5 c4b5 a4a3
Jakarta Interzonal (Women),Jakarta,1993.??.??,?,"Maric, Mirjana",Xu Yuhua,1/2-1/2,2305,,B22,e2e4 c7c5 c2c3 b7b6 d2d4 c5d4 c3d4 c8b7 b1c3 g8f6 f1d3 e7e6 g1e2 f8e7 e1g1 e8g8 c1f4 d7d6 f1e1 b8d7 e4e5 f6e8 d1c2 g7g6 a1d1 a8c8 c2c1 d8c7 c1e3 d6e5 d4e5 e7c5 e3g3 a7a6 c3e4 b7e4 d3e4 e8g7 g3d3 c5b4 e1f1 d7c5 d3c4 c5e4 c4e4 b4e7 e2c3 b6b5 a2a3 e7a3 c3b5 a6b5 b2a3 c7e7 d1d3 c8c4 e4f3 e7c5 f1d1 h7h5 h2h3 g7f5 g2g3 g8g7 g1h2 f8c8 d3d8 c8d8 d1d8 c4c3 f3e2 c3a3 f4g5 g7h7 g5f6 f5g7 e2d2 g6g5 h2g2 c5c6 g2h2 a3a1 d2d3 g7f5 d8h8 h7g6 h8g8 g6h7 g8h8
Jakarta Interzonal (Women),Jakarta,1993.??.??,?,"Marinello, Beatriz M",Xu Yuhua,1-0,2160,,B92,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f2f4 d8c7 f1e2 e7e5 d4b3 f8e7 e1g1 e8g8 a2a4 c8e6 c3d5 e6d5 e4d5 a6a5 c1e3 b8d7 c2c4 b7b6 g1h1 d7c5 f4e5 d6e5 b3d2 f6e8 d2b1 e8d6 b1c3 f7f5 a1c1 c7d7 b2b3 g8h8 e2d3 d7d8 c3b5 d6b5 a4b5 e5e4 d3c2 e7g5 e3c5 b6c5 c1a1 g5f6 a1b1 f6e5 d1h5 g7g6 h5h3 h8g7 g2g4 f5g4 h3g4 d8d6 g4e2 e4e3 e2e3 e5h2 f1f8 a8f8 b1e1 f8f7 e3c3 d6f6 c3f6 f7f6 h1h2 f6f2 h2g3 f2c2 e1e3 h7h5 b5b6 h5h4 g3h4 c2h2 h4g4 h2h8 e3e6 g7f7 e6c6 h8b8 g4g5 f7e7 c6g6 e7d7 g5f5 b8e8 g6g7 d7d6 b6b7 e8f8 f5e4 f8h8 e4d3 d6e5 g7c7 h8b8 d3c3
Jakarta Interzonal (Women),Jakarta,1993.??.??,?,"Tverskaya, Julia",Xu Yuhua,0-1,2090,,B23,e2e4 c7c5 b1c3 b8c6 f2f4 g7g6 g1f3 f8g7 f1c4 a7a6 e1g1 g8f6 d2d3 e8g8 g1h1 e7e6 c4b3 b7b6 d1e1 c8b7 c3e2 c6e7 e1h4 b6b5 e2g3 d7d5 e4e5 f6e8 c2c3 d8d7 d3d4 c5d4 c3d4 e7f5 g3f5 e6f5 c1e3 e8c7 f3e1 f8c8 e1d3 g7f8 a1d1 a6a5 b3c2 c7e6 c2b1 f8e7 h4f2 e6g7 d3c5 e7c5 d4c5 g7e6 e3d4 d7e7 d1c1 b5b4 g2g4 e6c5 g4f5 c5e4 b1e4 d5e4 f2e3 c8c1 f1c1 a8c8 c1c8 b7c8 f5g6 h7g6 h1g1 c8f5 b2b3 e7d7 g1f2 a5a4 e3d2 a4b3 a2b3 d7d8 d4e3 d8h4 f2g1 h4g4 g1f2 g4f3 f2g1 g8g7 h2h4 f3g3 g1h1 f5g4
Jakarta Interzonal (Women),Jakarta,1993.??.??,?,"Uskova, Fliura",Xu Yuhua,1-0,2260,,B53,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 d1d4 b8c6 f1b5 c8d7 b5c6 d7c6 c2c4 g8f6 b1c3 g7g6 e1g1 f8g7 d4d3 e8g8 f3d4 a8c8 b2b3 a7a6 c1b2 e7e6 a1d1 d8a5 d4c6 c8c6 f1e1 f6g4 d3g3 f7f5 c3a4 g7b2 a4b2 g4f6 e4f5 a5f5 b2d3 a6a5 g3e3 e6e5 f2f3 f8e8 d3f2 a5a4 e3a7 e8e7 a7a4 f6h5 a4a5 g8g7 f2e4 f5e6 a5d2 e7d7 e4c3 e6f7 e1e5 h5f6 e5e1 d7e7 d2d4 g7g8 e1e7 f7e7 c3d5 f6d5 d4d5 g8g7 d5d4 g7g8 d4e4 e7e4 f3e4 g8f7 g1f2 f7e6 f2e3 c6a6 a2a4 a6a8 d1d5 a8f8 d5b5 f8f7 a4a5 h7h6 b3b4 h6h5 h2h4 f7c7 e3d4 c7f7 b5g5 f7f1 b4b5
Jakarta Interzonal (Women),Jakarta,1993.??.??,?,Xu Yuhua,"Csoke, Adrienn",1-0,,2235,B02,e2e4 g8f6 b1c3 d7d5 e4e5 f6e4 c3e2 d5d4 d2d3 e4c5 g1f3 b8c6 b2b4 c5e6 b4b5 c6b8 c2c3 d4c3 d3d4 c7c6 e2c3 g7g6 b5c6 b7c6 f1c4 c8d7 h2h4 h7h5 e1g1 f8g7 d1d3 e8g8 c3e2 d8c8 e2g3 a7a5 f3g5 c6c5 g3h5 c5d4 h5g7 g8g7 h4h5 e6g5 c1g5 b8c6 a1c1 d7f5 d3d2 c6e5 g5h6 g7h7 h5g6 f5g6 h6f8 c8f8 d2d4 f7f6 c4e6 h7g7 c1c7 g6f7 e6f7 f8f7 d4c5 e5g6 f1c1 f7a2 c7e7 g6e7 c5e7
Jakarta Interzonal (Women),Jakarta,1993.??.??,?,Xu Yuhua,"Demina, Julia",0-1,,2365,B30,e2e4 c7c5 g1f3 b8c6 f1b5 e7e6 e1g1 g8e7 c2c3 a7a6 b5a4 d7d5 e4d5 d8d5 d2d4 b7b5 c3c4 d5d6 c4b5 c6d4 f3d4 c5d4 b5a6 e8d8 b1a3 a8a6 a4b5 a6a7 d1f3 e7f5 c1f4 d6b6 b5d3 c8b7 f3e2 f8d6 f4d6 f5d6 a3c4 d6c4 d3c4 d8e7 e2g4 h8c8 b2b3 e7f8 f1d1 c8d8 d1d3 a7a5 d3g3 g7g6 g4h4 f8g7 a2a4 a5e5 a1d1 d4d3 h4f4 e5e4 f4d2 e4e2 d2c3 f7f6 g1h1 b6f2 d1g1 e2e5 c4e6 f2g3 c3c7 g7h6 c7b7 e5h5 e6h3 h5h3 g2h3 g3g1 h1g1 d3d2
Jakarta Interzonal (Women),Jakarta,1993.??.??,?,Xu Yuhua,"Khurtsidze, Nino",1-0,,2325,B85,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f1e2 f8e7 e1g1 b8c6 c1e3 e8g8 f2f4 a7a6 g1h1 d8c7 d1e1 c6d4 e3d4 b7b5 a2a3 c8b7 e1g3 f8d8 a1e1 b7c6 e2d3 c7b7 d4f6 e7f6 e4e5 f6e7 c3e4 c6e4 d3e4 d6d5 e4d3 b5b4 f4f5 e6f5 d3f5 e7f8 e5e6 f7f6 f1f4 g7g6 f5g6 h7g6 e6e7 f8g7 e7d8q a8d8 f4g4 b7f7 g4g6
Jakarta Interzonal (Women),Jakarta,1993.??.??,?,"Amura, Claudia Noemi",Xu Yuhua,1-0,2365,,D35,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c4d5 e6d5 c1g5 c7c6 d1d2 g7g6 e2e3 b8a6 f1a6 b7a6 g1f3 f8g7 e1g1 e8g8 c3a4 d8e8 g5f6 g7f6 f1c1 f6g7 b2b3 c8d7 d2d3 f7f5 g2g3 e8e4 d3d1 e4e7 a4c5 a8e8 c5d7 e7d7 d1d3 e8e4 c1c2 d7b7 a1c1 e4e6 c2c5 f8f6 c5a5 g7h6 f3e5 h6f8 d3a6 b7b4 a5a4 b4d2 a6f1 c6c5 e5d7 f6f7 d7f8 g8f8 d4c5 e6c6 a4d4 d2a2 f1b5 c6c7 d4d5 a2b2 c1d1 c7b7 d5d8 f8g7 b5e8 b2b3 c5c6 b7e7 e8h8 g7h6 h8d4 e7e4 d4d6 f5f4 g3f4 e4e6 d6c5 f7f5 c5c1 g6g5 c6c7
Jakarta Interzonal (Women),Jakarta,1993.??.??,?,Xu Yuhua,"Ratna Sulista, Maria Lucia",1-0,,,C54,e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 d2d3 f8c5 e1g1 e8g8 c2c3 d7d5 e4d5 f6d5 f1e1 c8g4 h2h3 g4h5 g2g4 h5g6 f3e5 c6e5 e1e5 d8f6 d3d4 d5b6 c1g5 f6d6 c4b3 a8e8 e5e8 f8e8 b1d2 c5d4 c3d4 d6d4 d2c4 d4e4 c4b6 a7b6 d1d7 c7c6 a1d1 h7h5 d7e8 e4e8 d1d8 e8d8 g5d8 h5g4 h3g4 b6b5 d8e7 b7b6 f2f4 g6b1 g1f2 c6c5 b3d5 c5c4 a2a3 g7g6 g4g5
