Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
WchT U26,Mexico,1980.??.??,?,Ye Jiangchuan,"Sisniega, Marcel",0-1,2200,2420,C18,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 g8e7 a2a3 b4c3 b2c3 c7c5 d1g4 e8g8 g1f3 f7f5 e5f6 f8f6 c1g5 f6f8 g4h4 b8c6 f1d3 g7g6 f3e5 d8c7 e5g4 e7f5 d3f5 g6f5 g4h6 g8g7 g5f4 c7d8 f4g5 d8e8 f2f4 c5d4 g2g4 e6e5 e1c1 f5g4 f4e5 e8e5 h6g4 c8g4 h4g4 g7h8 h1g1 e5d6 d1d4 c6e5 g4g3 a8c8 d4d5 d6a3 c1b1 e5g6 g5e3 a3a6 g3h3 c8c7 d5g5 c7c6 e3d4 h8g8 h3h6 f8f1 g1f1 a6f1 b1b2 f1f8 h6h3 c6a6 d4c5 f8f7 h3c8 g8g7 c5a3 a6b6 a3b4 f7f6 c8d7 g7h6 g5b5 b6b5 d7b5 b7b6 b5d7 a7a6 b4d6 b6b5 d6c5 g6e5 c5e3 h6g6 d7e8 g6f5 e3d4 e5c4 b2a2 f6g6 e8f8 f5g5 f8f2 g6e6 f2g2 e6g4 d4f6 g5f5 g2g4 f5g4 h2h4 h7h5 a2b3 g4f3 b3b4 f3e2
Luzern ol (Men),Luzern,1982.??.??,1,"Watkins, C.",Ye Jiangchuan,0-1,,2385,B22,e2e4 c7c5 c2c3 d7d5 e4d5 d8d5 d2d4 e7e6 g1f3 b8c6 f1e2 g8f6 e1g1 c5d4 c3d4 f8e7 b1c3 d5d6 c3b5 d6d8 f3e5 c8d7 e5d7 d8d7 e2f3 e8g8 c1e3 a7a6 b5c3 a8d8 d4d5 d7c8 e3b6 d8d6 b6c5 d6d7 c5e7 c6e7 d1b3 f6d5 a1c1 c8b8 f1d1 f8d8 b3a4 d5c3 b2c3 b8c7 c3c4 h7h6 d1d7 d8d7 c1b1 c7c8 b1b6 d7c7 b6b4 b7b5 c4b5 c7c1 f3d1 a6b5 b4b5 c8d8
Luzern ol (Men),Luzern,1982.??.??,2,Ye Jiangchuan,"Mestel, A Jonathan",0-1,2385,2540,B76,e2e4 c7c5 g1f3 d7d6 d2d4 g8f6 b1c3 c5d4 f3d4 g7g6 c1e3 f8g7 f2f3 e8g8 d1d2 b8c6 g2g4 c8e6 e1c1 c6e5 f1e2 a8c8 c1b1 e6c4 d4b3 d8c7 e3d4 f8d8 h1e1 b7b5 g4g5 f6h5 c3d5 c7d7 f3f4 c4d5 e4d5 e5c4 d2c1 d7h3 e2h5 h3h5 d4g7 g8g7 e1e7 d8e8 d1e1 e8e7 e1e7 h5h2 a2a3 g7f8 e7e1 h2f2 e1h1 c4e3 b3d4 f2f4 c1d2 c8c4
Luzern ol (Men),Luzern,1982.??.??,3,Ye Jiangchuan,"Tan, Chor Chuan",1-0,2385,,C89,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 c2c3 d7d5 e4d5 f6d5 f3e5 c6e5 e1e5 c7c6 d2d4 e7d6 e5e1 d8h4 g2g3 h4h3 c1e3 c8g4 d1d3 a8e8 b1d2 e8e6 a2a4 f7f5 d3f1 h3h5 f2f4 f8e8 f1f2 g8h8 b3d5 c6d5 a4b5 a6b5 a1a5 e8b8 d2f1 g4f3 e1a1 h7h6 a5a8 b8a8 a1a8 h8h7 a8a1 g7g5 a1e1 e6g6 f1d2 f3g4 d2f1 g4f3 f1d2 f3g4 b2b3 g4h3 f4g5 h6g5 f2f3 h3g4 f3d5 g6h6 d2f1 f5f4 e1a1 h6f6 a1a7 h7h8 a7a8 d6f8 d5e5 h5f7 g3f4 h8h7 a8a7 f7a7 e5f6 f8g7 f6g5 g4e2 g5f5 h7h8 f5h3 h8g8 h3g2 e2d3 d4d5 d3f1 e3a7 f1g2 g1g2 g7c3 g2f3
Luzern ol (Men),Luzern,1982.??.??,4,"Vilela, Jose Luis",Ye Jiangchuan,1/2-1/2,2455,2385,A61,d2d4 g8f6 c2c4 e7e6 g1f3 c7c5 d4d5 e6d5 c4d5 d7d6 b1c3 g7g6 c1g5 f8g7 e2e3 h7h6 g5h4 g6g5 h4g3 f6h5 f1d3 h5g3 h2g3 b8d7 d1c2 d8e7 f3d2 d7e5 d3f5 c8f5 c2f5 e7d7 f5d7 e8d7 e1e2 f7f5 a2a4 h8e8 a1a3 a8b8 c3d1 e8e7 b2b3 b8f8 a3a2 e5g6 a2c2 f5f4 e3e4 f8e8 d1c3 f4g3 f2g3 e8h8 c3d1 g7d4 d1e3
Luzern ol (Men),Luzern,1982.??.??,5,Ye Jiangchuan,"Foisor, Ovidiu",1/2-1/2,2385,2400,B82,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1e3 a7a6 f2f4 d8c7 g2g4 b7b5 g4g5 b5b4 c3b5 a6b5 g5f6 g7f6 d1d2 c8d7 d4b5 c7c6 d2b4 b8a6 b4d2 a6c5 e3c5 c6c5 c2c4 f6f5 e4f5 d7b5 c4b5 c5f5 f1g2 a8c8 a1c1 c8c5 c1c5 f5c5 d2c3 c5c3 b2c3 f8g7 e1d2 e8d7 a2a4 d6d5 c3c4 h8a8 c4d5 a8a4 d5e6 f7e6 g2c6 d7e7 h1d1 a4d4 d2c2 d4d1 c2d1 g7h6 c6e4 h6f4 h2h3 h7h6 b5b6
Luzern ol (Men),Luzern,1982.??.??,6,"Hulak, Krunoslav",Ye Jiangchuan,1-0,2495,2385,E94,g1f3 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 d2d4 e8g8 f1e2 e7e5 c1e3 b8d7 e1g1 f6g4 e3g5 f7f6 g5d2 g8h8 d1c2 c7c6 a1d1 d8e7 d2c1 f6f5 e4f5 g6f5 d4d5 g4h6 f3g5 d7f6 f2f4 f6e8 b2b4 e7f6 d1d3 h6f7 d3h3 f7g5 f4g5 f6e7 g2g4 e5e4 g5g6 h8g8 g6h7 g8h8 h3g3 c8d7 g1g2 e8c7 c1f4 a8c8 c2d2 c8d8 g4f5 f8f5 e2g4 f5f8 f4g5 e7e8 f1f8 e8f8 g5d8 d7g4 c3e4 f8d8 g3g4 c6d5 c4d5 d8d7 h2h3 c7e8 d2f4 d7b5 f4f7 b5e2 e4f2
Luzern ol (Men),Luzern,1982.??.??,9,Ye Jiangchuan,"Cuartas, Carlos",1-0,2385,2340,C63,e2e4 e7e5 g1f3 b8c6 f1b5 f7f5 b1c3 c6d4 e4f5 g8f6 f3e5 f8c5 e1g1 e8g8 e5f3 c7c6 b5e2 d7d5 f3d4 c5d4 e2f3 c8f5 c3e2 d4b6 e2g3 f5e4 f3e2 d8d6 d2d4 a8e8 c2c3 b6c7 f2f4 d6d7 c1d2 e4g6 f4f5 c7g3 f5g6 g3b8 g6h7 f6h7 e2d3 f8f1 d1f1 h7f6 d2f4 b8f4 f1f4 d7e7 a1f1 e7e3 f4e3 e8e3 f1d1 g8f7 h2h3 b7b6 g1f2 e3e7 d1e1 e7e1 f2e1 c6c5 h3h4 f7e6 e1f2 a7a5 f2f3 c5c4 d3c2 b6b5 a2a3 f6g8 f3f4 g8e7 g2g4 b5b4 c2f5 e6d6 h4h5 e7c6 g4g5 d6e7 h5h6 g7h6 g5h6 e7f6 h6h7 f6g7 f5e6 c6e7 f4e5 e7g6 e5d5 g6f4 d5e5 f4d3 e5f5 d3b2 d4d5 b2a4 d5d6 a4b6 c3b4 a5b4 a3b4 g7h7 d6d7
Luzern ol (Men),Luzern,1982.??.??,10,Ye Jiangchuan,"Aldrete, Jorge",1-0,2385,2410,B32,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 e7e5 d4b5 a7a6 b5d6 f8d6 d1d6 d8f6 d6d1 f6g6 b1c3 d7d5 c3d5 g6e4 c1e3 c6d4 d5c7 e8e7 a1c1 c8g4 d1d3 e4d3 f1d3 a8d8 h2h3 g4c8 f2f4 e5f4 e3f4 d4e6 c7e6 c8e6 a2a4 g8f6 e1g1 h7h6 a4a5 d8d5 f4d2 h8c8 d2b4 e7e8 c1e1 e8d7 e1d1 d7e8 d1d2 e8d7 c2c4 d5g5 h3h4 g5g3 d3c2 d7c6 f1f6 g3g4 c2a4 b7b5 a5b6 c6b6 d2d6 b6b7 f6e6 f7e6 b2b3 c8c7 b4a5 c7f7 a4c6
Luzern ol (Men),Luzern,1982.??.??,11,Ye Jiangchuan,"Milos, Gilberto",1-0,2385,2395,B64,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1g5 e7e6 d1d2 f8e7 e1c1 e8g8 f2f4 h7h6 g5h4 c8d7 d4f3 d8a5 d2e1 f8d8 c1b1 a8c8 f1d3 c6b4 a2a3 b4d3 d1d3 a5c5 g2g4 d6d5 e4d5 d7b5 d3d2 b5c4 d5e6 f7e6 f3e5 d8d2 e1d2 c5b6 h4f2 b6a5 d2e3 c4d5 h1d1 e7c5 e3e2 c5f2 c3d5 f6d5 e2f2 a5a4 d1d4 c8c2 d4a4 c2f2 a4a7 f2f4 a7b7 f4e4 e5g6 g8h7 g6e7 d5f6 h2h3 e4e3 a3a4 e3h3 a4a5 h3d3 a5a6 d3d6 a6a7 d6a6 e7c6 f6d5 b7b8
