Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Krasnodar,Krasnodar,1980.??.??,?,"Yermolinsky, Alex","Mochalov, Evgeny V",1-0,2450,2455,E99,g1f3 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 d2d4 e8g8 f1e2 e7e5 e1g1 b8c6 d4d5 c6e7 f3e1 f6d7 e1d3 f7f5 c1d2 d7f6 f2f3 f5f4 c4c5 d6c5 d3c5 c7c6 d2e1 c6d5 c3d5 f6d5 e4d5 e7f5 e1f2 f5d4 e2c4 g8h8 c5b3 b7b5 b3d4 e5d4 c4b5 d8d5 b5d3 a8b8 b2b3 f8e8 a1c1 c8d7 d1d2 e8e3 c1c7 a7a5 f1c1 a5a4 b3a4 d7a4 f2e3 f4e3 c7c8 g7f8 d2e1 d5b7 c8c7 b7d5 e1h4 a4d7 d3g6 h7h6 g6d3 d5d6 h4e4
Krasnodar,Krasnodar,1980.??.??,?,"Yermolinsky, Alex","Bagirov, Vladimir",1-0,2450,2560,B02,e2e4 g8f6 e4e5 f6d5 b1c3 d5c3 b2c3 d7d5 c1a3 b7b6 d2d4 c7c5 f2f4 e7e6 g1f3 d8d7 f1d3 c8a6 e1g1 f8e7 a3c1 a6d3 c2d3 b8c6 d4c5 e7c5 g1h1 e8g8 d1e2 a8c8 c1d2 c5a3 a1b1 f8e8 b1b3 a3f8 a2a4 c6a5 b3b5 a5b7 f1a1 c8b8 f3d4 f8c5 d4c2 e8c8 e2f3 b7a5 h2h3 a5c6 b5b1 c5e7 b1b5 f7f6 e5f6 e7f6 d3d4 a7a6 b5b2 c6a5 c2e3 a5c4 e3c4 c8c4 a1b1 d7c6 f4f5 c4a4 d2f4 b8b7 b2e2 e6f5 b1e1 b7f7 f3h5 f7f8 e2e8 g7g6 e8f8 g8f8 h5h7 f6g7 f4h6 g7h6 h7h6 f8g8 h3h4
Krasnodar,Krasnodar,1980.??.??,?,"Tseshkovsky, Vitaly","Yermolinsky, Alex",1/2-1/2,2595,2450,B67,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 c1g5 e7e6 d1d2 a7a6 e1c1 c8d7 f2f4 b7b5 g5f6 g7f6 c1b1 d8b6 c3e2 a8c8 f4f5 c6d4 e2d4 e6e5 d4e2 b5b4 e2g3 h7h5 f1d3 h5h4 g3f1 f8h6 d2e2 a6a5 f1d2 e8e7 d2c4 b6c5 h1f1 a5a4 e2f2 c5f2 f1f2 c8c6 d1e1 h8g8 c4e3 h6e3 e1e3 c6c5 d3e2 d7c6 e2f3 d6d5 e4d5 c6d5 a2a3 b4a3 e3a3 d5f3 g2f3 h4h3 a3a4 g8g1 b1a2 g1g2 f2g2 h3g2 a4g4 c5c2 h2h4 c2f2 h4h5 f2f3 g4g2 f3h3 b2b4 h3h5 g2f2 e7d6 a2b3 d6d5 f2d2 d5c6 b3a4 h5f5 b4b5 c6b6 d2d6 b6c5 d6c6 c5d5 c6c1 f5f2 a4b3 f2f3 b3b2 f3h3 b5b6 h3h8 b6b7 h8b8 c1c7 d5e4 b2c1 f6f5 c7f7 f5f4 c1d2 e4f3 d2e1 e5e4 f7h7 e4e3 h7h3 f3e4 h3h7 b8d8 h7h4 d8g8 e1f1 e4d3 h4h7 d3e4 h7h4 g8b8 h4h7 b8d8 h7d7 d8h8 d7h7 h8b8 f1e2 f4f3 e2f1
Krasnodar,Krasnodar,1980.??.??,?,"Petrushin, Alexander I","Yermolinsky, Alex",0-1,2390,2450,B67,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 c1g5 e7e6 d1d2 a7a6 e1c1 c8d7 f2f4 b7b5 d4c6 d7c6 d2e3 f8e7 g5f6 e7f6 e4e5 f6e7 e5d6 e7d6 e3d4 d6f8 d4e5 d8b8 e5d4 f8e7 f4f5 e8g8 f5e6 f7e6 f1d3 b5b4 c3e4 c6d5 c1b1 b8c7 c2c4 d5c6 c4c5 c6d5 d3c4 a8d8 e4d6 e7f6 d4e3 d5c4 d6c4 d8d1 h1d1 g8h8 c4d6 h7h6 g2g3 a6a5 e3e6 c7c5 d6e4 c5e3 e6c4 f6e5 c4d3 e3d3 d1d3 f8f1 b1c2 f1e1 e4d2 e1e2 h2h3 e2h2 g3g4 a5a4 h3h4 e5f6 h4h5 h2g2 d3d5 h8g8 b2b3 a4a3 c2d3 g2g4 d3e3 f6g5 e3f3 g4h4 d2e4 h4f4 f3e3 f4f5 e3d4 f5d5 d4d5 g7g6 h5g6 g8g7 d5e5 g7g6 e4g3 g5d8 e5e4 g6g5 e4f3 d8c7 g3e4 g5f5 e4f2 h6h5 f2h3 c7d6
Krasnodar,Krasnodar,1980.??.??,?,"Zhidkov, Valery S","Yermolinsky, Alex",1-0,2520,2450,A37,c2c4 g7g6 g1f3 f8g7 b1c3 c7c5 g2g3 b8c6 f1g2 e7e6 e1g1 g8e7 e2e3 e7f5 f3e1 e8g8 a2a3 b7b6 b2b4 c8b7 b4c5 b6c5 a1b1 a8b8 d1a4 h7h5 e1d3 d8e7 b1b5 a7a6 b5b1 f8c8 c1b2 e7d6 a4c2 d6c7 c3e4 c6e5 b2e5 g7e5 e4c5 b7g2 b1b8 c8b8 g1g2 c7c6 f2f3 e5g7 f1c1 g6g5 c5e4 g5g4 c2d1 a6a5 e4f2 g4f3 d1f3 b8b3
Ckhaltubo,Ckhaltubo,1981.??.??,?,"Gurgenidze, Bukhuti","Yermolinsky, Alex",1-0,2490,2455,B04,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 g7g6 f1c4 d5b6 c4b3 f8g7 c1f4 e8g8 d1e2 a7a5 a2a4 b8c6 b1d2 d6e5 f4e5 c6e5 d4e5 e7e6 h2h4 c8d7 h4h5 d7c6 h5g6 h7g6 e2e3 d8e7 f3g5 f8d8 f2f4 b6d5 b3d5 d8d5 h1h7 e7c5 e3h3 d5e5 f4e5 c5e5 d2e4 c6e8 h7g7 g8g7 e1c1
Ckhaltubo,Ckhaltubo,1981.??.??,?,"Yermolinsky, Alex","Anikaev, Yuri N",1-0,2455,2425,A11,g1f3 d7d5 g2g3 g8f6 f1g2 c7c6 e1g1 c8f5 c2c4 e7e6 c4d5 e6d5 d2d3 f8e7 f3d4 f5c8 e2e4 e8g8 b1c3 d8b6 d4b3 d5e4 d3e4 f8d8 d1c2 c8e6 c1e3 b6b4 f1d1 b8a6 h2h3 e6b3 a2b3 e7c5 d1d8 a8d8 a1a4 c5e3 a4b4 a6b4 c2e2 e3b6 e4e5 f6d7 e5e6 f7e6 e2e6 g8h8 c3e4 b4d3 e4g5 d7e5 e6f5
Ckhaltubo,Ckhaltubo,1981.??.??,?,"Yermolinsky, Alex","Gipslis, Aivars",0-1,2455,2470,A30,c2c4 c7c5 g1f3 g8f6 b1c3 e7e6 g2g3 b7b6 f1g2 c8b7 e1g1 f8e7 d2d4 c5d4 d1d4 e8g8 f1d1 b8c6 d4f4 d8b8 b2b3 f8d8 c1b2 d7d6 h2h3 a7a6 d1d2 a8a7 e2e4 b7a8 a1d1 h7h6 g3g4 b6b5 c4c5 e6e5 f4e3 d6c5 d2d8 e7d8 b3b4 c5b4 c3d5 f6d7 h3h4 d7b6 f3e5 c6e5 d5b6 d8h4 f2f3 a8c6 b2d4 a7e7 d4c5 e7e8 c5b4 h4g5 e3f2 c6e4 b4d6 b8d8 f3e4 e5g4
Ckhaltubo,Ckhaltubo,1981.??.??,?,"Gaprindashvili, Nona","Yermolinsky, Alex",1-0,2300,2455,E21,d2d4 g8f6 c2c4 e7e6 g1f3 f8b4 b1c3 e8g8 c1g5 h7h6 g5h4 c7c5 e2e3 b4c3 b2c3 d7d6 f3d2 b8d7 f1d3 d8e7 e1g1 e6e5 a1c1 b7b6 d3b1 c8b7 f1e1 f8e8 f2f3 d7f8 f3f4 f8g6 h4f6 e7f6 b1e4 f6e7 f4f5 g6f8 f5f6 g7f6 d1f3 a8b8 e4b7 b8b7 d2e4 f6f5 e4d6 e7d6 f3b7 e5d4 e3d4 e8e1 c1e1 c5d4 b7d5 d6a3 c3d4 a3a2 e1f1 a2d2 g1h1 f5f4 d5e4 f8g6 g2g3 d2b4 g3f4 b4c4 f1g1 g8f8 e4a8 f8e7 f4f5 g6h4 g1e1 e7f6 a8d8
URS-FL49,Volgodonsk,1981.??.??,1,"Yermolinsky, Alex","Azmaiparashvili, Zurab",1/2-1/2,2450,2390,A08,g1f3 d7d5 g2g3 g8f6 f1g2 e7e6 e1g1 f8e7 d2d3 c7c5 b1d2 b8c6 e2e4 d8c7 f1e1 a7a5 e4d5 e6d5 d3d4 c5d4 d2b3 e8g8 b3d4 c6d4 f3d4 e7c5 c1e3 c7b6
URS-FL49,Volgodonsk,1981.??.??,2,"Yermolinsky, Alex","Ubilava, Elizbar",1-0,2450,2455,A11,g2g3 d7d5 g1f3 c8g4 f1g2 b8d7 c2c4 c7c6 c4d5 c6d5 b1c3 e7e6 d1b3 d8b6 b3b6 a7b6 f3d4 g8f6 h2h3 g4h5 d4b5 a8c8 d2d3 f8e7 e1g1 h5g6 c1f4 e8g8 f1c1 d5d4 c3a4 c8a8 b2b3 a8a5 f4d6 e7d6 b5d6 a5e5 g1f1 b6b5 a4b2 b7b6 f2f4 e5e3 f1f2 e6e5 d6b5 f6h5 b2c4 e3g3 f4e5 g3g5 h3h4 g5f5 f2e1 f5f4 g2c6 g6f5 e1d2 f7f6 c6d5 g8h8 e5e6 d7c5 e6e7 f8e8 c4b6 c5d3 c1c7 h5g3 b5d6 d3b4 d6e8 f4f2 a1e1 d4d3 e8d6 g3f1 e1f1 f2e2 d2c3
