Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
WYb10,Heraklio GRE,2004.11.04,1,"Kieu,Marc Andre",Yu Yangyi,0-1,,2140,B33,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5 d4b5 d7d6 c1g5 a7a6 b5a3 b7b5 c3d5 d8a5 g5d2 a5d8 d2g5 f8e7 g5f6 e7f6 c2c3 e8g8 f1e2 f6g5 a3c2 c6e7 c2e3 c8e6 d5e7 d8e7 e3d5 e7b7 h2h4 g5h6 g2g4 h6f4 d5f4 e5f4 e2f3 a8e8 d1d6 e6g4 f3g4 b7e4 e1d2 e8d8 g4d7 e4b7 d6f4 b7d7 d2c2 d7d3 c2b3 d3d5 b3a3 a6a5 b2b3 f8e8 h1e1 a5a4 e1e8 d8e8 b3a4 b5a4 f4d4 d5c6 a1g1 g7g6 g1g5 e8e4 g5c5 e4d4 c5c6 d4h4 c3c4 h4f4 a3a4 f4f2 a4b3 h7h5 c4c5 f2f1 c6d6 h5h4 d6d3 f1c1 b3b4 g6g5 d3h3 g8f8 b4b5 f8e7 c5c6 e7d8 b5b6 c1b1 b6c5 d8c7 h3f3 b1c1 c5b5 c7d6 f3d3 d6e5 b5b6 g5g4 b6b7 h4h3 c6c7 h3h2 d3d1 c1d1 c7c8q h2h1q b7a7 h1g1 a7b7 d1b1 b7a8 g1g2
WYb10,Heraklio GRE,2004.11.05,2,Yu Yangyi,"Gouliaros Antoniadis,Alexandros",1-0,2140,,B33,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5 d4b5 d7d6 c1g5 a7a6 b5a3 b7b5 g5f6 g7f6 c3d5 f6f5 f1d3 c8e6 e1g1 f8g7 c2c4 b5b4 a3c2 a6a5 e4f5 e6d5 c4d5 c6e7 c2e3 a5a4 d1g4 h8g8 g4b4 a4a3 b2a3 e8f8 a1b1 g7h8 d3e4 f7f6 f1c1 f8f7 e3c4 e7c8 b4b7 c8e7 b1b6 g8g4 c4d6 f7f8 c1c7 e7f5 e4f5 g4d4 c7f7 f8g8 f5h7
WYb10,Heraklio GRE,2004.11.06,3,"Laurusas,Tomas",Yu Yangyi,0-1,,2140,B22,e2e4 c7c5 c2c3 g8f6 e4e5 f6d5 d2d4 c5d4 d1d4 e7e6 f1c4 b8c6 d4e4 d5b6 c4b3 d7d5 e4e2 c8d7 g1f3 a7a6 c1e3 c6a5 b1d2 a8c8 e1g1 d7b5 e2d1 b5f1 d1f1 b6c4 d2c4 a5c4 b3c4 c8c4 a1d1 d8c7 f1d3 f8e7 h2h3 e8g8 d1d2 h7h6 d2d1 b7b5 a2a3 c7b7 e3d4 c4c8 d1e1 a6a5 e1e3 b5b4 a3b4 a5b4 c3b4 b7b4 d4c3 b4c4 d3d2 e7c5 e3d3 f8d8 f3d4 c5d4 d3d4 c4a2 d4g4 c8c4 g4g3 g8h8 d2e2 a2b1 g1h2 b1e4 e2h5 e4f4 h5e2 c4e4 e2c2 d8c8 f2f3 e4e5 c3e5 f4g3 h2g3 c8c2 b2b4 f7f6 e5d4 e6e5 d4c5 d5d4 f3f4 d4d3 c5e3 e5e4 b4b5 d3d2 e3d2 c2d2 b5b6 d2b2 f4f5 b2b6 g3f4 b6b4 g2g4 g7g5 f5g6 h8g7 h3h4 g7g6 h4h5 g6f7 g4g5 f6g5 f4e3 f7e6 e3e2 e6f5
WYb10,Heraklio GRE,2004.11.06,4,Yu Yangyi,"Moussard,J",1-0,2140,2008,B07,e2e4 d7d6 d2d4 g8f6 b1c3 b8d7 c1e3 e7e5 f2f3 f8e7 d1d2 e8g8 g2g4 e5d4 e3d4 d7e5 e1c1 c8e6 g4g5 f6d7 f3f4 e5c4 f1c4 e6c4 d4g7 g8g7 d2d4 d7e5 f4e5 e7g5 c1b1 c4e6 e5d6 d8f6 e4e5 f6f4 g1e2 f4d4 e2d4 c7c6 h1g1 g7h6 c3e4 g5f4 d4e6 f7e6 e4f6 f4g5 g1g5 h6g5 f6h7 g5h4 h7f8 a8f8 c2c4 h4h3 d1d2 f8e8 b1c2 h3g4 d2f2 g4g5 f2f6 a7a5 f6e6
WYb10,Heraklio GRE,2004.11.07,5,"Swiercz,D",Yu Yangyi,0-1,2045,2140,D46,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 d1c2 e7e6 b1c3 b8d7 e2e3 f8d6 f1d3 e8g8 e1g1 e6e5 c4d5 c6d5 d4e5 d7e5 f3e5 d6e5 h2h3 c8e6 c1d2 a8c8 c2d1 e5b8 c3b5 a7a6 b5d4 d8d6 f2f4 f6e4 d1e1 f8e8 d2b4 d6b6 d3e4 d5e4 d4e6 b6e6 b4c3 e8d8 a1d1 f7f5 e1h4 b8c7 h4g5 e6g6 d1d8 c8d8 g5e7 g6f7 e7c5 d8d5 c5c4 d5d7 c4f7 g8f7 c3d4 c7a5 f1c1 d7c7 c1c7 a5c7 g1f2 g7g6 f2e2 f7e6 e2d2 e6d5 b2b3 c7f4 d4g7 f4e5 g7f8 b7b5 f8h6 e5f6 d2e2 d5e6 h6f8 g6g5 g2g3 f6e7 f8g7 e6d5 g7b2 a6a5 b2c3 a5a4 e2e1 e7d6 e1f2 d5e6 c3d2 h7h5 f2g2 d6c5 h3h4 g5h4 g3h4 c5e7 g2h3 e6d5 h3g3 e7d6 g3f2 a4a3 f2g2 f5f4 e3f4 d5d4 g2f2 d4d3 d2e3 d6e7 e3c1 e7h4 f2g2 b5b4 f4f5 e4e3 c1e3 d3e3 g2h3 h4f6 h3g2 e3d2
WYb10,Heraklio GRE,2004.11.08,6,Yu Yangyi,"Aghasaryan,Robert",1-0,2140,,B86,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f1c4 a7a6 c4b3 b8d7 f2f4 d7c5 e4e5 d6e5 f4e5 c5b3 a2b3 f6d5 e1g1 f8c5 c3e4 c5e7 d1f3 e8g8 c2c3 d8c7 f3g3 g8h8 c1g5 e7c5 g1h1 d5e7 d4b5 c7c6 e4c5 c6c5 b5d6 e7f5 f1f5
WYb10,Heraklio GRE,2004.11.10,7,Chen Peng,Yu Yangyi,1-0,,2140,B31,e2e4 c7c5 g1f3 b8c6 f1b5 g7g6 b5c6 d7c6 d2d3 f8g7 h2h3 g8f6 b1c3 f6d7 c1e3 e7e5 d1d2 d8e7 e3h6 g7h6 d2h6 b7b6 a2a3 c8b7 f3d2 f7f6 d2c4 b7a6 c4e3 e7f8 h6h4 f8g7 g2g3 e8g8 f2f4 f8e8 f4f5 g6g5 h4h5 g7f7 h5h6 f7g7 h6h5 g7f7 h5f7 g8f7 h3h4 e8h8 h4g5 f6g5 h1h6 d7f6 e1f2 a8d8 f2f3 c5c4 d3c4 d8d2 a1h1 f7g7 b2b3 a6c8 c3b1 d2d4 b1c3 d4d2 c3d1 g5g4 e3g4 f6g4 f3g4 d2d1 h6h7 h8h7 h1d1 h7h8 g4g5 g7f7 d1d6 h8g8 g5h4 c6c5 g3g4 g8h8 h4g3 f7e7 d6d5 e7f6 d5d6 f6e7 d6c6 c8d7 c6g6 e7f7 g6d6 d7c8 g4g5 h8e8 d6h6 e8g8 g5g6 f7f6 h6h7 g8g7 h7h8 c8b7 g3f3 a7a6 f3e3 g7d7 h8f8 f6g7 f8e8 b7c6 e8e5 d7c7 e3f4 c7c8 e5e7 g7g8 f4e5 c8e8 e7e8 c6e8 e5d6 g8f8
WYb10,Heraklio GRE,2004.11.10,8,Yu Yangyi,"Mirzaei,Saleh",1-0,2140,,B33,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5 d4b5 d7d6 c1g5 a7a6 b5a3 b7b5 g5f6 g7f6 c3d5 f8g7 f1d3 e8g8 e1g1 c6e7 d5e7 d8e7 c2c4 f6f5 e4f5 e5e4 f5f6 g7f6 f1e1 c8f5 d3e4 f5e4 d1g4 g8h8 e1e4 e7b7 g4f5 f6b2 a1b1 a8e8 e4h4 f7f6 a3c2 e8e5 f5d3 b5c4 h4c4 f8e8 c2e3 b7b5 a2a4 b5b6 d3d2 b2c3 d2c2 e5e3 f2e3 b6e3 c2f2 e3d3 f2f1 d3e3 g1h1 d6d5 c4f4 c3e5 f4f3 e3e4 b1e1 e4a4 f3h3 a4d7 f1a6 d5d4 a6d3 e8c8 d3e4 c8c3 h3d3 d7b5 e1d1 c3d3 e4d3 b5d3 d1d3 h8g7 g2g3 g7g6 h1g2 h7h5 h2h3 g6g5 g2f3
WYb10,Heraklio GRE,2004.11.11,9,"Song,R",Yu Yangyi,1/2-1/2,2002,2140,C56,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f1c4 g8f6 e4e5 f6g4 d1e2 d8e7 c1f4 f7f6 e5f6 g4f6 e1g1 e7e2 c4e2 d7d6 b1d2 c8f5 e2b5 f6d5 f3d4 f5d7 f1e1 f8e7 b5c6 b7c6 f4g5 e8f7 g5e7 d5e7 d2e4 h7h6 a1d1 e7f5 e4g3 f5d4 d1d4 h8e8 g1f1 c6c5 d4f4 f7g6 f4e4 a7a5 f2f3 e8e4 e1e4 g6f7 f1e2 a8b8 b2b3 a5a4 e2d2 a4b3 a2b3 g7g5 d2c3 b8a8 c3b2 a8e8 e4e8 d7e8 g3f5 h6h5 f5e3 f7e6 b2c3 e6e5 c3d2 e8f7 e3f1 f7e6 f1g3 h5h4 g3e2 d6d5 g2g3 h4g3 h2g3 e5f5 d2d3
WYb10,Heraklio GRE,2004.11.12,10,Yu Yangyi,"Zhao,P",1-0,2140,1975,B43,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 a7a6 f1d3 d8c7 e1g1 g8f6 g1h1 b8c6 d4c6 d7c6 f2f4 e6e5 b1c3 f8d6 f4f5 h7h5 a2a4 b7b6 d1f3 c8b7 c1e3 b6b5 a4b5 c6b5 c3d5 b7d5 e4d5 c7b7 e3g5 a8c8 f3e2 e8f8 c2c4 e5e4 d3e4 c8e8 g5f6 g7f6 c4b5 b7b5 e2b5 a6b5 e4d3 b5b4 a1a6 e8d8 b2b3 f8g7 f1e1 d6e5 d3c4 d8a8 a6b6 h8b8 b6c6 b8c8 g2g3 c8c6 d5c6 a8c8 c4b5 c8c7 h1g2 g7f8 e1e4 e5d6 e4h4 f8g7 h4h5 c7a7 b5a4 a7a5 h5h4 a5c5 h4c4 c5c4 b3c4 g7f8 h2h4 b4b3 a4b3 f8e8 g2f3 e8d8 c4c5 d6c5 b3f7 d8c7 f7e8 c5f8 g3g4 f8h6 e8d7 c7d6 f3e4 h6c1 e4f3 c1h6 g4g5 f6g5 h4g5 h6g5 f3g4 g5d8 g4h5 d6e7 h5g6 e7f8 f5f6 d8c7 g6f5 f8f7 d7e6 f7e8
WYb10,Heraklio GRE,2004.11.13,11,"Srinath,N",Yu Yangyi,1/2-1/2,2042,2140,C00,e2e4 c7c5 g1f3 b8c6 d2d3 e7e6 b1d2 d7d5 g2g3 g8f6 f1g2 f8e7 e1g1 e8g8 f1e1 d5e4 d3e4 e6e5 c2c3 h7h6 d1c2 c8e6 d2f1 d8c7 f1e3 f8d8 f3h4 e7f8 c1d2 d8d7 a1d1 a8d8 b2b3 g7g6 c2c1 f8g7 e3d5 f6d5 e4d5 e6d5 g2h3 d7d6 d2h6 d5e6 d1d6 c7d6 h6g7 g8g7 h3e6 d6e6 c1e3 c5c4 e3g5 c4b3 a2b3 e6f6 g5e3 d8d7 b3b4 a7a6 g1g2 e5e4 e3e4 f6c3 e4e8 d7d8 e8e2 c3b4
zt 3.5,Shandong CHN,2007.04.28,1,Wan Yunguo,Yu Yangyi,1/2-1/2,2386,2204,B70,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 g2g3 g7g6 d4e2 f8g7 f1g2 e8g8 e1g1 c8d7 h2h3 a7a6 a2a4 a8b8 g1h2 b7b5 a4b5 a6b5 c3d5 f6d5 e4d5 c6e5 a1a7 b5b4 f1e1 b4b3 c2b3 d8b6 c1e3 b6b3 d1b3 b8b3 e2c1 b3b2 e3d4 e5f3 g2f3 g7d4 a7d7 b2f2 f3g2 f8c8 c1d3 f2d2 d3f4 c8c2 e1e7 d4e5 e7f7 e5f4
zt 3.5,Shandong CHN,2007.04.29,2,Yu Yangyi,Zhou Jianchao,0-1,2204,2572,B88,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f1c4 e7e6 c4b3 b8c6 c1e3 f8e7 e1g1 e8g8 f2f4 c6d4 e3d4 b7b5 e4e5 d6e5 f4e5 f6d7 c3e4 c8b7 e4d6 e7d6 e5d6 d8g5 d1e2 a8c8 a1d1 e6e5 d4e3 g5g6 c2c3 b7c6 b3d5 c6d5 d1d5 c8c6 e2d3 g6d3 d5d3 f7f6 f1a1 f8b8 b2b4 g8f7 a2a4 f7e6 a4b5 a6b5 e3c5 d7c5 b4c5 b8d8 a1a7 d8d7 a7a8 c6c5 a8e8 e6f7 e8b8 h7h5 g1f2 g7g6 f2e2 c5c6 b8b5 c6d6 d3d6 d7d6 c3c4 f7e6 b5b8 h5h4 b8h8 g6g5 h8b8 e6f5 b8b3 f5e4 g2g3 h4g3 h2g3 d6c6 b3f3 f6f5 f3e3 e4d4 e3d3 d4c4 d3d8 e5e4 e2e3 c6a6 d8g8 a6a3 e3f2 a3f3 f2g2 f5f4 g3f4 g5f4 g8d8 f3d3 d8f8 d3d2 g2f1 f4f3 f1e1 d2e2 e1f1 c4d3 f8a8 e2c2
zt 3.5,Shandong CHN,2007.04.30,3,Wang Li,Yu Yangyi,1/2-1/2,2337,2204,D36,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 e7e6 c1g5 b8d7 c4d5 e6d5 e2e3 f8e7 f1d3 e8g8 e1g1 f8e8 d1c2 d7f8 h2h3 g7g6 a1b1 a7a5 a2a3 f8e6 g5h6 e6g7 h6g7 g8g7 b2b4 c8e6 c3a4 a5b4 a3b4 f6d7 a4c5 d7c5 b4c5 e6c8 b1a1 a8a1 f1a1 d8d7 f3d2 e7d8 d3e2 d8c7 d2f1 d7e7 a1a8 h7h5 e2d3 e7f6 c2b2 f6e7 f1d2 g6g5 b2b1 e8h8 a8a3 e7f6 g2g3 f6e7 d3f5 c7b8 f5c8 h8c8 b1f5 c8d8 a3b3 f7f6 d2f3 d8d7 h3h4 g5g4 f3d2 e7f7 d2b1 d7c7 b1c3 f7g6 f5g6 g7g6 g1f1 g6f7 f1e2 f6f5 e2d3 f7e7 d3c2 e7d8 c3e2 c7e7 e2c1 d8c8 b3a3 e7e8 c1d3 b8c7 c2d2 c8b8 a3a1 e8e7 d3c1 e7e8 c1e2 e8e7 a1f1 b8c8 f2f3 g4f3 f1f3 e7f7 f3f1 c8d7 d2e1 f7f8 e1f2 f8a8 f2f3 d7e6 f1b1 a8a7 e2f4 c7f4 g3f4 e6f6 b1g1 a7a8 g1b1 a8b8 b1b2 f6f7 b2g2 f7f6 g2g1 b8e8 g1a1 e8g8 a1a7 g8b8 f3f2 f6e6 a7a1 b8g8 a1b1 g8g7 f2f3 e6f6 b1b2 f6e6 b2a2 g7g8 a2a7 g8b8 f3e2 e6d7
zt 3.5,Shandong CHN,2007.05.01,4,Yu Yangyi,Wu Kaiyu,1/2-1/2,2204,2287,C28,e2e4 g8f6 b1c3 e7e5 f1c4 b8c6 d2d3 f8c5 h2h3 h7h6 g1e2 e8g8 e1g1 c6a5 a2a4 a5c4 d3c4 d7d6 d1d3 c8e6 b2b3 f6d7 e2g3 c5d4 c1e3 d7c5 d3d2 d4e3 d2e3 f7f5 e4f5 e6f5 g3f5 f8f5 a1d1 d8h4 c3d5 f5f7 a4a5 a7a6 b3b4 c5e6 c4c5 a8f8 c5d6 c7d6 e3b6 e6d4 b6d6 h4g5 d5e3 f7f2 f1f2 f8f2 g1f2 g5f4 f2g1 d4e2 g1h1 e2g3 h1g1 g3e2
zt 3.5,Shandong CHN,2007.05.02,5,Gu Xiaobing,Yu Yangyi,0-1,2351,2204,B23,e2e4 c7c5 b1c3 b8c6 f1b5 c6d4 b5c4 g8f6 g1e2 e7e6 e1g1 a7a6 a2a4 d8c7 d2d3 f8e7 c4a2 d4e2 d1e2 d7d6 f2f4 f6d7 f4f5 d7e5 f5e6 c8e6 c3d5 c7d8 d5f4 e6a2 a1a2 e7g5 a2a3 e8g8 e2h5 h7h6 f4d5 g5c1 f1c1 b7b5 d3d4 c5d4 a3g3 g8h8 c1f1 a8c8 f1f6 e5g6 g3f3 d8e8 d5f4 h8h7 f4g6 f7g6 f6f8 g6h5 f8e8 c8e8 a4b5 a6b5 f3b3 e8e4 b3b5 e4e1 g1f2 e1c1 b5d5 c1c2 f2f3 c2b2 d5d6 b2d2 h2h4 g7g5 g2g3 d2d3 f3e2 d3g3 d6d4 g3g4 d4d7 h7g6 d7d6 g6f5 d6h6 g4h4 e2f2 h4f4
zt 3.5,Shandong CHN,2007.05.03,6,Yu Yangyi,Li Haoyu,1/2-1/2,2204,2285,B33,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5 d4b5 d7d6 c1g5 a7a6 b5a3 b7b5 g5f6 g7f6 c3d5 f6f5 f1d3 c8e6 e1g1 e6d5 e4d5 c6e7 c2c3 f8g7 d1h5 e5e4 d3c2 d8c8 a1d1 e8g8 c2b1 f8e8 g1h1 c8c5 a3c2 e7d5 h5f5 d5b6 c2e3 c5f5 e3f5 d6d5 f2f3 e4e3 f1e1 b6c4 d1d5 a8d8 d5d8 e8d8 f5g7 g8g7 b2b3 c4b2 h1g1 b2d1 c3c4 d1c3 b1f5 e3e2 a2a3 b5c4 b3c4 d8d4 c4c5 d4c4 f5d3 c4c5 d3a6 c5a5 a6e2 c3e2 e1e2 a5a3 g1f2 h7h6 g2g4 a3a4 f2g3 a4b4 e2a2 b4c4 h2h4 c4b4 a2e2 b4a4 e2e4 a4a5 g3f4 a5b5 h4h5 g7f6 e4d4 b5a5 d4d6 f6g7 f4e4 a5a1 f3f4 a1h1 e4f5 h1h2 d6d3 h2h1 d3e3 h1h2 f5e4 h2h1 e4f3 g7f6 e3d3 h1h3 f3e4 h3h4 d3g3 f6g7 e4e5 h4h1 g3f3 h1g1 e5f5 g1h1 f3g3 h1h2 g3a3 h2h1 a3a4 h1h2 a4e4 h2h1 f5e5 h1a1 e4d4 a1e1
