Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
URS-ch49,Frunze,1981.??.??,?,"Jussupow, Artur","Yudasin, Leonid",1-0,2585,2345,A19,c2c4 g8f6 b1c3 e7e6 e2e4 c7c5 e4e5 f6g8 g1f3 b8c6 d2d4 c5d4 f3d4 c6e5 c1f4 f7f6 d1a4 d8b6 c3b5 a7a6 e1c1 a8b8 b5c3 f8c5 d4f3 c5f2 c1b1 b6c7 f1d3 g8e7 c3e4 f2c5 h1e1 e8g8 e4c5 c7c5 f3e5 f6e5 f4e5 b7b5 c4b5 b8b5 e5d6 c5g5 d6e7 g5e7 d3b5 a6b5 a4b5 e7h4 e1f1 f8d8 b5b6 h7h6 d1d4 h4g5 h2h4 g5g6 b1a1 d8e8 g2g4 g6c2 d4f4 e6e5 f4f7 d7d5
URS-ch49,Frunze,1981.??.??,?,"Yudasin, Leonid","Mikhalchishin, Adrian",1/2-1/2,2345,2545,C87,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 d7d6 c2c3 c8g4 d2d3 e8g8 h2h3 g4d7 b1d2 f8e8 d2f1 e7f8 f1g3 g7g6 a2a3 h7h6 d3d4 f8g7 c1d2 c6a5 a4c2 a5c4 d2c1 b7b5 b2b3 c4b6 c1e3 a6a5 f3d2 h6h5 c2d3 h5h4 g3e2 f6h5 d2f3 a5a4 b3b4 b6c4 d3c4 b5c4 d4e5 d6e5 d1d5 h5f6 d5c4 d7e6 c4c6
URS-ch49,Frunze,1981.??.??,?,"Yudasin, Leonid","Psakhis, Lev",0-1,2345,2535,C91,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 c2c3 d7d6 d2d4 c8g4 c1e3 e5d4 c3d4 c6a5 b3c2 c7c5 d4c5 d6c5 d1e2 a5c6 b1c3 c6e5 a1d1 d8c8 e3f4 f6d7 c3d5 e7d8 e2e3 f8e8 g1h1 g4h5 d1c1 e5c4 e3b3 d7f8 a2a4 c4a5 b3c3 f8e6 f3d2 a5c6 c3g3 c6d4 c2d3 e6f4 d5f4 h5g6 f4d5 c5c4 d3c4 b5c4 c1c4 d4f5 g3h3 c8b7 e1c1 f5d6 c4b4 b7a7 h3f3 d8a5 h2h4 a5b4 d5b4 a7d4
URS-ch49,Frunze,1981.??.??,?,"Yudasin, Leonid","Romanishin, Oleg M",1/2-1/2,2345,2590,C87,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 d7d6 c2c3 c8g4 d2d3 e8g8 b1d2 f8e8 h2h3 g4d7 d2f1 e7f8 f1g3 g7g6 d3d4 f8g7 a2a3 c6a5 a4c2 c7c5 b2b3 c5d4 c3d4 e5d4 f3d4 a8c8 c1f4 h7h5 d4f3 h5h4 g3f1 d6d5 e4e5 f6e4 c2e4 d5e4 f4g5 d8c7 e1e4 d7f5 e4h4 f5c2 d1e2 c7c3 a1e1 c2d3 e2d2 d3f1 g1f1 a5b3 d2d5 b3c5 e1d1 c5e6 d5b7 c3a3 g5f6 c8c1 b7d7 c1d1 d7d1 g7f6 e5f6 e8d8 d1b1 d8c8 f3e1 a3c3 b1b7 c8e8 h4e4 c3f6 b7a6 e8b8 f1g1 b8b1 a6d3 b1c1 d3e2 f6c3 g1h2 c3c7 g2g3 c7c3 h3h4 g8g7 e4e3 c3a1 e2d2 c1d1 d2b4 d1b1 b4e4 b1d1 e1c2 a1b2 e3e2 b2b5 c2e3 d1d4 e4c2 b5e5 e3g2 e5f6 c2b2 d4d8 b2f6 g7f6 g2e3 d8d4 e2a2 e6c5 h2g2 c5e6 a2a7 f6g7 g2h3 e6c5 e3g4 c5d7 a7a2 f7f5 g4h2 d4d3 h3g2 d7e5 a2a5 g7f6 a5a6 f6g7 a6e6 d3d5 h2f1 g7f7 e6a6 d5d4 a6a5 f7e6 f1h2 d4b4 a5a6 e6f7 a6a2 f7f6 f2f4 e5c4 h2f3 b4b2 a2b2 c4b2 f3d4 b2a4 g2f3 a4c5 f3e3 c5e6 d4c6 e6g7 e3f3 g7e6 g3g4 f5g4 f3g4 e6g7 c6b4 g7f5 b4d5 f6g7 g4g5 f5d6
URS-ch49,Frunze,1981.??.??,?,"Yudasin, Leonid","Timoshchenko, Gennadi A",1-0,2345,2505,C91,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 d2d4 c8g4 c1e3 e5d4 c3d4 c6a5 b3c2 a5c4 e3c1 c7c5 b2b3 c4b6 b1d2 f6d7 h2h3 g4h5 d4d5 e7f6 a1b1 f6c3 e1e3 b5b4 g2g4 h5g6 d2f1 h7h5 g1g2 h5g4 h3g4 d7f6 f3g5 f8e8 f2f4 c3d4 f4f5 f6d5 e3h3 d5c3 d1e1 d8f6 e1h4 g8f8 f5g6 f6g6 g5h7 f8g8 h7f6 g8f8 f6e8 c3b1 e8c7 a8c8 c2b1 d4f6 h4h8 f8e7 c7d5
URS-ch49,Frunze,1981.??.??,?,"Yudasin, Leonid","Tseshkovsky, Vitaly",1/2-1/2,2345,2575,C91,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 c2c3 d7d6 d2d4 c8g4 c1e3 e5d4 c3d4 d6d5 e4e5 f6e4 h2h3 g4h5 g2g4 h5g6 f3h2 e7b4 e1e2 f7f5 f2f3 e4g3 e2g2 f5f4 b1c3 g8h8 e3f2 c6a5 c3d5 a5b3 d1b3 g3e2 g1f1 e2g3 f1g1 g3e2 g1f1
URS-ch49,Frunze,1981.??.??,?,"Sveshnikov, Evgeny","Yudasin, Leonid",1-0,2545,2345,B53,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 d1d4 a7a6 c2c4 g8f6 b1c3 e7e6 f1e2 f8e7 e1g1 e8g8 f1d1 d8c7 e4e5 d6e5 d4e5 c7c6 f3d4 c6e8 e2f3 b8d7 e5g3 g8h8 c1f4 f8g8 f4d6 d7c5 b2b4 c5a4 c3a4 e7d6 g3d6 e8a4 d4c6 g7g6 d6e5 h8g7 d1d4 b7c6 d4f4 g8f8 e5f6 g7g8 h2h4 h7h5 f3h5 e6e5 f6e5 a4b4 h5f3 c8f5 f3c6 a8d8 c6d5 f8e8 e5d4 f5e6 h4h5 g6h5 d4e5 b4f8 e5h5 f8g7 a1e1 g7c3 e1e3 c3c1 g1h2 e6d5 f4g4 g8f8
URS-ch49,Frunze,1981.??.??,?,"Yudasin, Leonid","Gulko, Boris F",1-0,2345,2565,C03,e2e4 e7e6 d2d4 d7d5 b1d2 b7b6 c2c3 d5e4 d2e4 c8b7 f1b5 b8d7 d1e2 g8f6 e4f6 g7f6 g1f3 f8d6 e1g1 c7c6 b5d3 d8c7 a2a4 c6c5 d3e4 h8g8 d4d5 f6f5 e4f5 b7d5 f5e4 e8c8 a4a5 g8g4 a5b6 d7b6 e4d5 e6d5 h2h3 g4g8 b2b4 b6c4 f1d1 c5b4 c3b4 d6b4 c1g5 d8d7 a1c1 b4c5 g1h1 c8b7 c1c4 d5c4 e2e4 b7b8 d1b1 c5b6 g5f4 d7d6 f3d4 g8d8 d4b5 d6d1 h1h2
URS-ch49,Frunze,1981.??.??,?,"Yudasin, Leonid","Tukmakov, Vladimir B",0-1,2345,2480,B96,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1g5 e7e6 f2f4 d8c7 d1f3 b7b5 e1c1 b5b4 e4e5 c8b7 f3h3 d6e5 f4e5 c7e5 g5f6 g7f6 f1b5 a6b5 h1e1 e5f4 c1b1 a8a6 h3h5 b4c3 d4e6 a6e6 e1e6 f8e7 h5b5 b7c6 e6c6 b8c6 b5c6 e8f8 c6c3 e7d6 g2g3 f4f5 c3c4 f5f3 d1f1 f3e3 a2a4 f8g7 f1d1 d6e5 d1d7 h8f8 b1a2 e3b6 c2c3 g7h8 b2b4 b6f2 a2b3 f2h2 a4a5 h2g3 a5a6 g3h3 d7d3 h3h1 b4b5 f8g8 b3b4 h1b1 b4a5 g8b8 a6a7 b1a1 c4a4 e5c7 a5b4 a1a4 b4a4 b8a8 c3c4 a8a7 a4b3 h8g7 c4c5 a7a1 b5b6 c7e5 b3b4 h7h5 c5c6 a1c1 b4b5 g7g6 d3d5 h5h4 d5e5 f6e5 c6c7 h4h3 b6b7 h3h2 b7b8q h2h1q b8g8 g6f6 g8d8 f6g6 d8g8 g6f5 c7c8q c1c8 g8c8 f5f4 c8c4 h1e4 c4f7 f4e3 f7a7 e4d4 a7g7 e3d3 g7g2 e5e4 g2a2 d3c3 a2g2 c3b3 g2g8 b3c3 g8a2 d4b4
URS-ch49,Frunze,1981.??.??,?,"Yudasin, Leonid","Kasparov, Gary",0-1,2345,2630,B96,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1g5 e7e6 f2f4 d8c7 g5f6 g7f6 f1e2 b8c6 d4b3 b7b5 e2h5 f8g7 d1g4 e8g8 e1c1 c6e7 b3d4 b5b4 c3e2 f6f5 e4f5 e6e5 f4e5 d6e5 g4g5 h7h6 g5g3 e7f5 d4f5 c8f5 d1d2 a8c8 g3b3 e5e4 c1b1 f5e6 b3g3 c7a5
