Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Moscow op,Moscow,1989.??.??,?,"Baikov, Vladimir A","Zvjaginsev, Vadim",1/2-1/2,2345,,D46,d2d4 d7d5 c2c4 e7e6 g1f3 g8f6 b1c3 c7c6 e2e3 b8d7 f1d3 g7g6 e1g1 f8g7 b2b4 e8g8 b4b5 c6c5 c1a3 b7b6 a1c1 c8b7 c4d5 e6d5 c3a4 c5c4 a3f8 g7f8 d3b1 a7a6 a4c3 a6b5 c3b5 a8a5 a2a4 b7a6 b1c2 a6b5 a4b5 a5b5 c1b1 b5a5 f3e5 d7e5 d4e5 f6d7 d1d4 d8c7 b1a1 c7e5 d4e5 d7e5 a1a5 b6a5 f1d1 e5c6 d1d5 c6b4 d5d2 c4c3 d2e2 f8c5 g1f1 g8f8 f1e1 f8e7 e1d1 e7d6 d1c1 d6d5 e2e1 d5c4 e1d1 b4d5 c2a4 d5b4 c1b1 b4d5 a4e8 c4b3 e8a4 b3c4 a4e8 c4b3 d1c1 c3c2 c1c2 d5c3 b1c1 c5a3 c1d2 c3e4 d2d3 e4c5 c2c5 a3c5 e8f7 b3b4 f2f4 a5a4 e3e4 c5g1 h2h3 g1h2 d3e3 b4c5 f7a2 a4a3 g2g4 c5c6 e4e5 g6g5 f4g5 h2e5 e3e4 c6d6 e4f5 e5g7 h3h4 d6e7 h4h5 g7c3 g5g6 h7h6 g4g5 h6g5 h5h6 e7f8 f5g5 c3d2 g5h5 d2c3 h5g4 c3b2 g4f5 b2c3
Moscow op,Moscow,1989.??.??,?,"Zvjaginsev, Vadim","Losev, Dmitry",1/2-1/2,,2340,A40,d2d4 g7g6 g2g3 f8g7 f1g2 c7c5 c2c3 d8b6 d4d5 g8f6 e2e4 e8g8 g1e2 e7e6 e1g1 e6d5 e4d5 d7d6 a2a4 c8g4 h2h3 g4e2 d1e2 b8d7 b1a3 a8e8 e2b5 b6c7 a3c4 d7e5 c4e5 e8e5 c1f4 e5e7 f1e1 f8e8 g1f1 a7a6 b5c4 f6d7 e1e7 e8e7 a1e1 e7e1 f1e1 g7e5 f4e3 c7a5 c4b3 d7b6 g2f3 b6a4 b3b7 a5b5 b7b5 a6b5 e3c1 b5b4 c3b4 c5b4 f3e2 a4b2 e2b5 e5c3 e1e2 g8f8 c1g5 f7f6 g5e3 f8e7 e3b6 g6g5 f2f4 g5f4 g3f4 f6f5 b6a5 e7f7 a5d8 f7f8 d8c7 f8e7 c7a5
Moscow op,Moscow,1989.??.??,?,"Zvjaginsev, Vadim","Kogan, Izrail",1-0,,2345,D46,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 e7e6 e2e3 b8d7 d1c2 f8d6 f1e2 e8g8 e1g1 d5c4 e2c4 e6e5 c4b3 e5d4 e3d4 h7h6 c1h6 g7h6 c2g6 g8h8 g6h6 h8g8 h6g6 g8h8 g6h6 h8g8 f3g5 d6f4 h6g6 g8h8 g6h6 h8g8 c3e4 f4g5 h6g5 g8h8 e4d6 d7b6 d6f7 f8f7 b3f7 c8d7 f1e1 f6h7 g5h5 d8g5 h5g5 h7g5 f7b3 b6d5 b3d5 c6d5 e1e7 a8d8 a1e1 g5e4 f2f3 e4d6 e1e5 d7c6 g1f2 h8g8 g2g4 d6c4 e5g5 g8f8 e7g7 d8e8 g7g8 f8f7 g8g7 f7f8 g7g8 f8e7 g8e8 e7e8 b2b3 c4d6 h2h4 e8f8 h4h5 d6f7 g5g6 f7h8 g6f6 f8g7 g4g5 c6e8 h5h6 g7h7 f3f4 e8b5 f4f5 b5d3 f6f8 d3b1 a2a3 a7a5 f2e3 b1c2 b3b4 a5b4 a3b4 b7b5 e3f4
Moscow op,Moscow,1989.??.??,?,"Bukhtin, Vladimir S","Zvjaginsev, Vadim",0-1,2335,,E04,d2d4 d7d5 c2c4 e7e6 g1f3 g8f6 g2g3 d5c4 d1a4 b8c6 f1g2 f6d7 a4c4 d7b6 c4d3 e6e5 e1g1 e5d4 f1d1 f8e7 b1a3 e8g8 a3c2 e7f6 f3d4 c6d4 c2d4 c7c5 d4b5 c8f5 e2e4 f5g4 g2f3 d8d3 d1d3 c5c4 d3a3 g4f3 a3f3 a8d8 c1e3 f6b2 e3b6 b2a1 b6d8 f8d8 f3f5 a1b2 b5a7 g7g6 f5c5 b2d4 c5c4 d4a7 c4c7 d8d2 c7b7 a7f2
Moscow op,Moscow,1989.??.??,?,"Zvjaginsev, Vadim","Yuferov, Sergey  N",0-1,,2440,E20,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 g1f3 c7c5 g2g3 f6e4 d1d3 c5d4 f3d4 b4c3 b2c3 e4c5 d3e3 b7b6 f1g2 c8b7 g2b7 c5b7 e3e4 b8c6 d4c6 d7c6 c1a3 d8c7 e1g1 c6c5 a1d1 e8g8 a3c1 b7a5 d1d3 c7c6 e4g4 e6e5 f1d1 c6g6 g4h4 e5e4 d3d5 f7f6 h4h3 f8e8 h3d7 a5c4 c1f4 e4e3 f2e3 g6e4 d1d3 c4b2 d3d2 b2c4 d2d3 e8e7 d7c6 a8e8 h2h4 c4b2 d3d2 b2c4 d2d3 h7h6 h4h5 c4b2 d3d2 b2c4 d2d3 c4e5 f4e5 e7e5 d5d6 e5h5 c6e8 e4e8 d6d8 h5e5 g1f2 g8f8 d8e8 f8e8 f2f3 e5e7 d3d6 e7d7 d6e6 e8d8 a2a4 d7d1 e6e4 d1f1 f3g2 f1c1 e4g4 g7g5 g4c4 d8d7 g2f3 h6h5 f3e4 d7e6 e4d3 e6d5 e3e4 d5e5
URS-ch qual,Ashkhabad,1990.??.??,?,"Zvjaginsev, Vadim","Guliev, Sarhan",0-1,,,A84,d2d4 d7d5 c2c4 c7c6 g1f3 e7e6 b1c3 f7f5 c1f4 g8f6 e2e3 f8e7 h2h3 f6e4 g2g4 b8d7 g4f5 e6f5 c4d5 c6d5 d1b3 e4c3 b2c3 d8a5 f3g5 d7b6 f1b5 c8d7 b5d7 e8d7 e1g1 e7g5 f4g5 a8c8 b3d1 a5c3 d1h5 d7e6 a1c1 c3c1 f1c1 c8c1 g1g2 c1c8 g5h4 c8f8 h5g5 f8f7 f2f3 h8c8 e3e4 g7g6 h4g3 b6c4 h3h4 c8f8 h4h5 g6h5 g5h6 f7f6 h6h7 f5e4 f3e4 f8f7 h7h5 d5e4 d4d5 e6d7 h5g4 d7d8 g4e4 c4d6 e4h4 d6f5 h4f4 f6g6 f4b8 d8e7 d5d6 f5d6 b8c7 e7e8 c7b8 e8d7 b8a7 f7g7 a7a4 d7e7 a4h4 e7e6
URS-ch qual,Ashkhabad,1990.??.??,?,"Zvjaginsev, Vadim","Ivanov, Ale",1/2-1/2,,,D07,d2d4 d7d5 c2c4 b8c6 b1c3 g8f6 g1f3 d5c4 e2e4 c8g4 c1e3 e7e6 f1c4 f8b4 d4d5 g4f3 g2f3 e6d5 e4d5 b4c3 b2c3 c6e7 c4b5 c7c6 d5c6 b7c6 d1d8 a8d8 b5a4 f6d5 c3c4 d5b6 a4b3 e7f5 a1d1 d8d1 e1d1 f5e3 f2e3 e8e7 h1g1 g7g6 g1g5 f7f5 h2h4 e7f6 e3e4 h8e8 e4f5 g6f5 g5h5 f6g6 h5g5 g6f6 g5h5
URS-ch qual,Ashkhabad,1990.??.??,?,"Zvjaginsev, Vadim","Kanstler, Boris",1-0,,2430,A42,d2d4 g7g6 c2c4 d7d6 b1c3 f8g7 e2e4 b8d7 g1f3 e7e5 f1e2 g8e7 h2h4 e5d4 f3d4 e7c6 c1g5 g7f6 c3d5 f6g5 h4g5 e8g8 f2f4 f8e8 e2f3 f7f6 d4b5 f6g5 d5c7 g5g4 d1d5 g8g7 c7e8 d8e8 b5c7 e8e7 d5e6 e7e6 c7e6 g7h8 f3g4 d7f6 e6c7 c8g4 c7a8 f6e4 h1h4 h7h5 a8c7 h8g7 c7b5 g7f6 b5c3 e4c3 b2c3 c6a5 a1b1 b7b6 b1b4 f6f5 e1f2 a5b7 f2e3 g4d1 g2g3 b7c5 b4b2 c5e4 b2b5 e4c5 h4h2 d1g4 h2d2 f5e6 b5c5 d6c5 d2d8 g4f5 d8a8 e6d6 a8a7 d6c6 e3d2 f5e6 a7g7 e6f5 d2c1 c6d6 g7b7 d6c6 b7f7 c6d6 a2a4 d6c6 c1b2 f5e4 b2b3 e4d3 f7f6 c6c7 a4a5 b6a5 b3a4
URS-ch qual,Ashkhabad,1990.??.??,?,"Solozhenkin, Evgeniy","Zvjaginsev, Vadim",1/2-1/2,2420,,D47,d2d4 d7d5 c2c4 e7e6 b1c3 c7c6 g1f3 g8f6 e2e3 b8d7 f1d3 d5c4 d3c4 b7b5 c4d3 f8d6 e1g1 e8g8 c3e4 f6e4 d3e4 c8b7 d1c2 f7f5 e4d3 c6c5 c2e2 c5c4 d3c2 d7f6 h2h3 f6e4 f3d2 d8h4 d2e4 f5e4 e2g4 h4g4 h3g4 f8f6 c1d2 a8f8 a2a3 f6h6 g2g3 g8f7 d2b4 f7e7 b2b3 c4c3 a1c1 f8c8 c2d1 d6b4 a3b4 e6e5 d4e5 h6e6 d1c2 e6e5 f1d1 e5d5 d1d5 b7d5 g1f1 d5b7 c1d1 c8d8 f1e1 d8d1 e1d1 b7d5 d1c1 h7h6 c2d1 a7a5 b4a5 b5b4 c1c2 e7d6 d1e2 d6c7 g4g5 h6g5 e2f1 c7b7 f1e2 d5e6 e2f1 b7a7 f1b5 e6d5 b5e2 d5b7 c2c1 b7a6 e2g4 a6d3 g4c8 a7b8 c8d7 b8b7 d7e6 b7a6 e6c8 a6a5 c8d7 a5b6 d7g4 b6c5 g4d7 c5d6 d7g4 d6e5 g4d7 e5f6 d7g4 f6g6 g4d7 g6h5 d7e6 d3e2 c1c2 e2f3 e6f7 h5h6 f7e6 h6g6 e6d7 g6f6 d7c8 f3h5 c8d7 h5g6 d7g4 g6f5 g4e2 f5e6 g3g4 e6d7 c2c1 f6e5 c1c2 e5d6 c2c1 d6c5 c1c2 d7b5 e2b5 c5b5
URS-ch qual,Ashkhabad,1990.??.??,?,"Zvjaginsev, Vadim","Kudriashov, Anatoli",1/2-1/2,,,E90,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f1e2 e8g8 g1f3 e7e5 d4d5 a7a5 h2h3 b8a6 c1g5 h7h6 g5e3 a6c5 f3d2 c8d7 h3h4 c7c6 g2g4 c6d5 c4d5 f6e8 d2b3 b7b6 d1d2 g8h7 h4h5 g6g5 f2f3 e8c7 e1g1 g7f6 a1b1 d8e8 f1c1 c7a6 b3c5 b6c5 b2b3 e8b8 a2a3 b8b7 b1b2 f8b8 c1b1 f6d8 e2c4 b7c8 d2e2 b8b6 a3a4 a6c7 e3d2 c8b8 c3d1 d8e7 d2c3 b8a7 g1g2 f7f6 d1e3 b6b8 e2d2 e7d8 c4f1 c7e8 e3c4 b8b7 c4a3 e8c7 f1e2 b7b8 e2c4 b8b7 d2e2 b7b8 b1a1 a7b6 c4d3 b6a7 a3c4 c7e8
