Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
AVRO,Amsterdam,1938.??.??,?,"Botvinnik, Mikhail","Capablanca, Jose Raul",1-0,,,E49,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 d7d5 a2a3 b4c3 b2c3 c7c5 c4d5 e6d5 f1d3 e8g8 g1e2 b7b6 e1g1 c8a6 d3a6 b8a6 c1b2 d8d7 a3a4 f8e8 d1d3 c5c4 d3c2 a6b8 a1e1 b8c6 e2g3 c6a5 f2f3 a5b3 e3e4 d7a4 e4e5 f6d7 c2f2 g7g6 f3f4 f7f5 e5f6 d7f6 f4f5 e8e1 f1e1 a8e8 e1e6 e8e6 f5e6 g8g7 f2f4 a4e8 f4e5 e8e7 b2a3 e7a3 g3h5 g6h5 e5g5 g7f8 g5f6 f8g8 e6e7 a3c1 g1f2 c1c2 f2g3 c2d3 g3h4 d3e4 h4h5 e4e2 h5h4 e2e4 g2g4 e4e1 h4h5
AVRO,Amsterdam,1938.??.??,?,"Botvinnik, Mikhail","Alekhine, Alexander",1-0,,,D41,g1f3 d7d5 d2d4 g8f6 c2c4 e7e6 b1c3 c7c5 c4d5 f6d5 e2e3 b8c6 f1c4 c5d4 e3d4 f8e7 e1g1 e8g8 f1e1 b7b6 c3d5 e6d5 c4b5 c8d7 d1a4 c6b8 c1f4 d7b5 a4b5 a7a6 b5a4 e7d6 f4d6 d8d6 a1c1 a8a7 a4c2 a7e7 e1e7 d6e7 c2c7 e7c7 c1c7 f7f6 g1f1 f8f7 c7c8 f7f8 c8c3 g7g5 f3e1 h7h5 h2h4 b8d7 c3c7 f8f7 e1f3 g5g4 f3e1 f6f5 e1d3 f5f4 f2f3 g4f3 g2f3 a6a5 a2a4 g8f8 c7c6 f8e7 f1f2 f7f5 b2b3 e7d8 f2e2 d7b8 c6g6 d8c7 d3e5 b8a6 g6g7 c7c8 e5c6 f5f6 c6e7 c8b8 e7d5 f6d6 g7g5 a6b4 d5b4 a5b4 g5h5 d6c6 h5b5 b8c7 b5b4 c6h6 b4b5 h6h4 e2d3
AVRO,Holland,1938.??.??,?,"Keres, Paul","Botvinnik, Mikhail",1/2-1/2,,,E17,g1f3 g8f6 d2d4 b7b6 c2c4 c8b7 g2g3 e7e6 f1g2 f8e7 e1g1 e8g8 f1e1 d7d5 b1c3 b8d7 f3e5 f6e4 c4d5 e4c3 b2c3 d7e5 d5d6 b7g2 d6e7 d8e7 g1g2 e5c6 d1a4 e7d7 e2e4 f8d8 a1b1 a8c8 c1e3 c6a5 a4d7 d8d7 b1b4 f7f6 b4a4 c8d8 e1c1 g8f7 c1d1 a5c6 d1b1 c6a5 b1d1 a5c6 d1b1 c6a5
AVRO,Holland,1938.??.??,?,"Botvinnik, Mikhail","Flohr, Salo",1/2-1/2,,,D96,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 d1b3 c7c6 c4d5 c6d5 c1g5 e7e6 e2e4 d5e4 f1b5 e8f8 c3e4 h7h6 g5f6 g7f6 e4f6 d8f6 a1c1 f6d8 e1g1 a7a6 b5d3 b8c6 d3e4 c6e7 c1c5 a8a7 f1c1 b7b6 c5c2 f8g7 b3a3 c8d7 f3e5 d7b5 a3b4 h8f8 a2a4 b5e8 b2b3 a6a5 b4d2 f7f6 e5f3 d8d6 h2h3 e8f7 d2e3 f8d8 g2g3 d8d7 e3e2 a7c7 c2c7 d7c7 c1c7 d6c7 e2d2 f7e8 h3h4 h6h5
AVRO,Holland,1938.??.??,?,"Flohr, Salo","Euwe, Max",1/2-1/2,,,E02,d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 d5c4 d1a4 b8d7 b1d2 c7c5 d2c4 f8e7 d4c5 e7c5 g1f3 e8g8 e1g1 d7b6 a4b3 c8d7 c4b6 a7b6 f3e5 d7a4 b3d3 d8e7 c1e3 f8d8 e3c5 b6c5 d3c3 f6d5 c3c1 e7c7 e5c4 a4c6 f1d1 d5b4 a2a3 d8d1 c1d1 a8d8 d1c1 b4a6 g2c6 c7c6 c1e1 c6a4 c4e3 h7h6 a1d1 d8d4 d1d2 a4a5 e3f1
AVRO,Holland,1938.??.??,?,"Botvinnik, Mikhail","Keres, Paul",1/2-1/2,,,E29,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 a2a3 b4c3 b2c3 c7c5 e2e3 e8g8 f1d3 b8c6 g1e2 d7d6 e2g3 b7b6 c1b2 c8a6 e3e4 a8c8 a1c1 c5d4 c3d4 e6e5 d1a4 c6a5 e1g1 d8e8 a4b4 a5c6 b4a4 c6a5 a4b4 a5c6 b4d2 e8d8 d4d5 c6a5 d2b4 f6d7 d3e2 d7c5 c1c3 c8c7 b2c1 a6c8 f2f4 f7f6 f4f5 d8d7 c1e3 c8a6 f1c1 f8c8 e2d1 d7e8 d1e2 c8b8 h2h3 a6c8 e3c5 c7c5 g3f1 c8a6 a3a4 a6c8 f1d2 c8d7 c1a1 e8d8 d2b3 a5b3 c3b3 b8c8 b3c3 d8c7 g1f2 c5a5 c3b3
AVRO,Holland,1938.??.??,?,"Fine, Reuben","Alekhine, Alexander",1-0,,,C76,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 d7d6 e1g1 c8d7 c2c3 g7g6 d2d4 f8g7 d4e5 c6e5 f3e5 d6e5 f2f4 d7a4 d1a4 d8d7 a4d7 e8d7 f4e5 d7e6 c1f4 a8f8 b1d2 g7e5 d2b3 e5f4 f1f4 b7b6 a2a4 e6e5 g2g3 g8f6 b3d2 f6h5 f4f2 e5e6 a4a5 f8a8 a1f1 h8d8 d2f3 e6e7 a5b6 c7b6 f3g5 h7h6 f2f7 e7d6 g5f3 g6g5 f3d4 d8e8 f7h7 e8h8 f1f7 h8h7 f7h7 a8f8 h7h6 h5f6 d4f3 d6c5 f3d2 g5g4 h6g6 f6d7 g6g4 d7e5 g4g5 c5d6 g5f5 f8d8 d2f3 e5d3 f5d5 d6e7 d5d8 e7d8 b2b3 d8e7 f3d2 a6a5 g1f1 b6b5 f1e2
AVRO,Holland,1938.??.??,?,"Euwe, Max","Fine, Reuben",0-1,,,D43,d2d4 e7e6 c2c4 g8f6 g1f3 d7d5 c1g5 h7h6 g5f6 d8f6 d1b3 c7c6 b1d2 b8d7 e2e4 d5e4 d2e4 f6f4 f1d3 e6e5 e1g1 f8e7 f1e1 e5d4 f3d4 e8g8 d3c2 d7f6 a1d1 g7g6 e4f6 e7f6 e1e4 f4c7 b3e3 g8g7 h2h4 h6h5 e4f4 f8e8 e3e8 c7f4 d4f3 a8b8 e8e4 f4e4 c2e4 c8g4 d1d2 b8e8 e4d3 e8d8 b2b3 g4f3 g2f3 f6h4 g1g2 h4g5 d2d1 g5f4 g2f1 h5h4 f1g2 f7f5 g2h3 g7f6 h3g2 d8d4 g2h3 g6g5 d3c2 d4d1 c2d1 f4d6 d1c2 f6e5 h3g2 d6c5 c2d3 a7a5 d3c2 f5f4 c2g6 e5d4 g6f5 d4c3 f5c8 c3b2
AVRO,Holland,1938.??.??,?,"Flohr, Salo","Fine, Reuben",1/2-1/2,,,E02,d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 d5c4 d1a4 c8d7 a4c4 d7c6 g1f3 c6d5 c4c2 b8c6 c2d1 f8b4 b1c3 e8g8 e1g1 d5f3 g2f3 d8d4 f3c6 d4d1 f1d1 b7c6 c3a4 f8d8 c1g5 d8d1 a1d1 f6d5 a2a3 h7h6 g5d2
AVRO,Holland,1938.??.??,?,"Flohr, Salo","Keres, Paul",1/2-1/2,,,E12,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 b1c3 c8b7 c1g5 h7h6 g5h4 f8e7 e2e3 f6e4 h4e7 d8e7 d1c2 e4c3 c2c3 e8g8 f1e2 d7d6 e1g1 b8d7 f1d1 d7f6 f3d2 c7c5 d4c5 d6c5 d2f1 f8d8 f1g3 e7c7 h2h3 g8f8 d1d8 a8d8 a1d1 d8d1 e2d1 c7d6 d1e2 f6e4 g3e4 b7e4
AVRO,Holland,1938.??.??,?,"Flohr, Salo","Reshevsky, Samuel Herman",1/2-1/2,,,E34,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 d7d5 c4d5 d8d5 g1f3 c7c5 c1d2 b4c3 d2c3 c5d4 f3d4 e8g8 e2e3 e6e5 d4f3 b8c6 f1e2 c8g4 h2h3 g4h5 e1g1 f8d8 a2a3 h5g6 c2c1 f6e4 f1d1 d5c5 d1d8 a8d8 c3e1 c5e7 b2b4 c6b8 c1b2 f7f6 a1c1 g6f7 b2b1 e4d6 b4b5 b8d7 e1a5 d7b6 f3d2 g7g6 e3e4
AVRO,Holland,1938.??.??,?,"Keres, Paul","Alekhine, Alexander",1/2-1/2,,,B14,e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 c2c4 g8f6 b1c3 b8c6 c1g5 e7e6 g1f3 f8e7 c4c5 e8g8 f1b5 f6e4 g5e7 d8e7 d1c2 e4g5 f3g5 e7g5 b5c6 b7c6 e1g1 e6e5 d4e5 g5e5 f1e1 e5f6 a1d1 a8b8 c2d2 c8g4 f2f3 g4e6 b2b3 f6e7 d2e3 f8e8 c3e2 h7h6 e3c3 e7g5 e2d4 e6h3 g2g3 g5f6 e1e3 h3d7 d1e1 e8e3 e1e3 h6h5 d4e2 f6f5 c3d3 f5f6 d3d4 f6f5 g1f2 f5b1 d4f4 b8f8 e3e5 d7h3 g3g4 h5g4 f3g4 d5d4 f2g3 d4d3 e2d4 b1f1 f4f1 h3f1 d4c6 f7f6 e5d5 f1e2 g3f2 g8f7 d5d7 f7e6 d7d6 e6f7 c6a7 e2g4 d6d3 f8a8 d3d4 a8a7 d4g4 a7a2 f2e3 a2h2 b3b4 g7g5 c5c6 f7e7 b4b5 h2b2 g4c4 e7d8 c4c5 g5g4 e3f4 b2b4 f4g3 d8c7 g3h4 c7c8 c5h5 c8c7 h5h7 c7c8 h7b7 b4c4 h4g3 f6f5 g3h4 c4c5
