Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Aachen MT playoff-1pl,Aachen,1868.??.??,?,"Anderssen, Adolf","Lange, Max",0-1,,,C77,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 d2d3 d7d6 a4c6 b7c6 h2h3 g7g6 b1c3 f8g7 c1e3 e8g8 g2g4 f8e8 c3e2 d6d5 e2g3 f6g4 e3g5 g4f6 d1e2 d8d6 e2d2 a8b8 b2b3 c6c5 c2c4 d5e4 d3e4 c8b7 d2e3 f6e4 g3e4 d6c6 f3d2 f7f5 f2f3 f5e4 f3e4 e8e6 e1c1 a6a5 a2a4 c6b6 e3c3 b6b4 c3b4 c5b4 d1e1 h7h6 g5h4 g6g5 h4g3 h6h5 e1e2 b8d8 h1g1 e6g6 g3h4 d8d3 h4g5 d3h3 e2g2 g8h7 c1d1 b7c8 g5d8 c8g4 d1c2 g6c6 d2f1 h3c3 c2b2 g7h6 g2g3 c3c1 g3d3 c1e1 d3d5 e1e2 b2a1 e2e4 f1g3 e4d4 d5d4 e5d4 g3e4 h6g7 a1b1 d4d3 b1c1 g7h6 c1b2 d3d2 e4f6 c6f6 d8f6 d2d1q g1d1 g4d1 f6d8 h6f4
Aachen MT+,Aachen,1868.??.??,1,"Zukertort, Johannes Hermann","Anderssen, Adolf",1/2-1/2,,,A10,e2e3 f7f5 c2c4 e7e6 f2f4 g8f6 g1f3 f8e7 f1e2 b7b6 e1g1 c8b7 b2b3 f6e4 c1b2 e7f6 d1c2 b8c6 d2d3 c6b4 c2c1 f6b2 c1b2 d8f6 f3e5 d7d6 d3e4 d6e5 e4f5 f6f5 b1a3 f5e4 f1f2 e4e3 b2e5 e3e5 f4e5 e8c8 e2g4 c8b8 f2e2 b4d3 a1f1 g7g5 g2g3 h7h5 g4e6 d8e8 e6d5 b7d5 c4d5 d3e5 g1g2 e5g4 f1e1 e8e2 e1e2 h8d8 h2h3 g4f6 e2e6 f6d5 a3c4 g5g4 e6e5 d5f6 e5f5 g4h3 g2h3 f6e4 f5h5 d8g8 h5h4 e4g3 h4g4 g8g4 h3g4 g3e4 g4f4
Aachen MT,Aachen,1868.??.??,1,"Zukertort, Johannes Hermann","Lange, Max",0-1,,,C54,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b6 e1g1 d7d6 c2c3 g8f6 a2a4 a7a6 d2d3 e8g8 b1a3 c8g4 a3c2 d6d5 e4d5 f6d5 c4d5 d8d5 c2e3 b6e3 f2e3 a8d8 c1a3 f8e8 b4b5 e5e4 d3e4 d5e4 d1e1 c6a5 f3g5 e4e3 e1e3 e8e3 g5f7 d8e8 a3c5 e3e2 a1b1 h7h6 b5a6 b7a6 f1f4 g4e6 b1f1 e6d5 f7h6 g8h7 f4g4 g7h6 c5d4 e8g8 g4g8 h7g8 f1f6 e2g2 g1f1 c7c6 f6h6 a5b3 h6h8 g8f7 h8h7 f7e6 h7h6 e6f5 h2h4 b3d4 h6h5 f5g4 h5d5 c6d5
Aachen MT,Aachen,1868.??.??,1,"Anderssen, Adolf","Paulsen, Wilfried",0-1,,,C39,e2e4 e7e5 f2f4 e5f4 g1f3 g7g5 h2h4 g5g4 f3e5 f8g7 d2d4 g8f6 f1c4 d7d5 e4d5 e8g8 b1c3 c7c5 c3e2 c5d4 c1f4 f6d5 e5d3 c8e6 c4b3 b8c6 f4g5 d8a5 d1d2 h7h6 g5f4 d5f4 e2f4 a5d2 e1d2 e6b3 a2b3 f8e8 a1e1 a8d8 e1e8 d8e8 h1e1 e8e1 d2e1 b7b6 e1f2 f7f5 b3b4 g8f7 b4b5 c6d8 g2g3 d8b7 f4d5 b7d6 d5c7 f7e7 c7d5 e7d7 d3f4 d6b5 f2e2 b5d6 e2d3 d6e4 f4e2 d7d6 d5f4 b6b5 f4h5 e4c5 d3d2 g7e5 c2c3 c5e4 d2d3 d4c3 b2c3 a7a5 e2d4 e5d4 d3d4 a5a4
Aachen MT,Aachen,1868.??.??,2,"Anderssen, Adolf","Zukertort, Johannes Hermann",1-0,,,C65,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 d7d6 b5c6 b7c6 h2h3 g7g6 b1c3 f8g7 c1e3 c6c5 c3e2 e8g8 g2g4 c5c4 e2g3 c4d3 c2d3 c7c5 e1g1 d8c7 f3d2 c8e6 d2c4 e6c4 d3c4 c7c6 d1d3 f8d8 e3g5 c6b6 g5f6 g7f6 f1b1 a8b8 g3e2 a7a6 e2c3 b6c6 c3d5 f6g5 b2b4 d8c8 b4b5 a6b5 c4b5 c5c4 b5c6 c4d3 b1b8 c8b8 a1d1 d3d2 g1f1 b8b5 c6c7 b5c5 f1e2 g8f8 h3h4 g5f4 d5f4 e5f4 d1d2 f8e7 e2f3 c5c7 f3f4 h7h6 d2b2
Aachen MT,Aachen,1868.??.??,2,"Anderssen, Adolf","Lange, Max",1-0,,,C51,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b6 e1g1 d7d6 a2a4 a7a6 a4a5 b6a7 b4b5 a6b5 c4b5 g8e7 d2d4 e8g8 d4e5 c6e5 f3e5 d6e5 c1a3 c7c5 d1d8 f8d8 b1c3 c8e6 f1d1 e7g6 c3d5 e6d5 e4d5 d8d6 c2c4 a8c8 a3b2 f7f6 g2g3 g8f7 b2c3 c8c7 b5a4 c7e7 d1b1 b7b6 a4c6 b6a5 a1a5 d6d8 b1a1 a7b6 a5b5 b6a7 a1a6 f7f8 b5a5 a7b8 a5c5 e5e4 c5b5 e4e3 f2e3 e7e3 c3b4
Aachen MT,Aachen,1868.??.??,2,"Schallopp, Emil","Zukertort, Johannes Hermann",0-1,,,A00,d2d4
Aachen MT,Aachen,1868.??.??,3,"Anderssen, Adolf","Schallopp, Emil",1-0,,,C51,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b6 e1g1 d7d6 a2a4 a7a6 a4a5 b6a7 b4b5 a6b5 c4b5 g8e7 d2d4 e5d4 f3d4 e8g8 d4c6 b7c6 b5d3 f7f5 b1c3 f5e4 c3e4 d6d5 e4g3 e7f5 c1f4 f5h4 a1a4 h4g2 g1g2 d8h4 d1d2 g7g5 f4e5 c8h3 g2h1 h4a4 d2g5 g8f7 g5h5 f7e6 h5h6
Aachen MT,Aachen,1868.??.??,3,"Lange, Max","Paulsen, Wilfried",1-0,,,C80,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 c1e3 f8e7 d1e2 c6a5 f3d2 e8g8 f2f4 f7f5 c2c3 a5b3 d2b3 c7c5 b1d2 a8c8 f1d1 d8b6 g1h1 a6a5 d2e4 f5e4 e2f2 a5a4 b3c1 b6d8 c1e2 d8e8 d1d2 e8c6 a2a3 g8h8 e2g3 g7g6 a1f1 f8f7 f2g1 e7d8 g3e2 d8b6 e2c1 c8f8 c1e2 h7h5 e2g3 h5h4 g3e4 d5e4 d2d6 c6d6 e5d6 e6c4 f1d1 c4d3 e3c5 b6d8 c5d4 h8h7 d4e5 g6g5 g2g3 g5f4 g3f4 d3e2 g1e1 e2f3 h1g1 e4e3 e1e3 f3d1 e3d3 f7f5 d3d1 d8b6 g1g2 f8g8 g2f3 h7h6 d1d5 g8f8 f3g4 f5f7 d5e6 h6h7 f4f5 f8g8 g4h5
Aachen MT,Aachen,1868.??.??,5,"Paulsen, Wilfried","Zukertort, Johannes Hermann",0-1,,,C65,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 d7d6 b5c6 b7c6 h2h3 g7g6 b1c3 f8g7 c1g5 h7h6 g5e3 c6c5 e1g1 e8g8 c3e2 f6h5 g2g4 d8f6 e2c3 h5f4 e3f4 e5f4 c3d5 f6d8 d5f4 g7b2 a1b1 b2g7 g1h2 c8e6 c2c4 c7c6 d1e2 d8c7 h2h1 a8e8 f4e6 e8e6 f3h4 d6d5 e2f3 d5e4 d3e4 c7e7 h4g2 e6e4 f1e1 f7f5 g4f5 g6f5 e1e3 e4e3 f2e3 e7f7 f3e2 f8e8 e2f1 e8e4 b1c1 g7e5 f1e2 g8h8 e2d3 e5c7 g2f4 c7f4 e3f4 e4f4 d3e3 f4h4 c1b1 h8h7 e3f3 h4c4 f3c6 c4b4 b1d1 b4d4 d1b1 f7d5 c6d5 d4d5 b1b7 h7g6 b7a7 c5c4 a7c7 d5a5 c7c4 a5a2 h3h4 a2e2 c4f4 e2e4 h4h5 g6g5 f4f2 e4h4 h1g1 h4g4 g1h1 f5f4 f2h2 g4h4 h2h4 g5h4 h1g2 h4h5 g2f3 h5g5 f3g2 g5g4
