Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Altona MT,Altona,1869.??.??,?,"Anderssen, Adolf","Schallopp, Emil",1-0,,,C77,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 d2d3 d7d6 a4c6 b7c6 h2h3 f8e7 b1c3 e8g8 e1g1 c6c5 f3h2 f6e8 f2f4 e5f4 c1f4 f7f5 d1d2 e7f6 f4e3 f6d4 e3d4 c5d4 c3e2 c7c5 e2g3 f5e4 f1f8 g8f8 g3e4 f8g8 d2f4 d8e7 h2f3 d6d5 e4f2 e7f6 f4d2 a8b8 a1e1 e8d6 d2a5 b8b5 a5c7 f6f8 a2a4 b5b2 c7c5 d6f7 c5d5 c8b7 d5d7 f7d6 d7e6 d6f7 f3d4 b2b4 c2c4 g7g6 f2g4 b4b2 g4f6 g8h8 f6d5 f8c5 e6f6 h8g8 e1e8 c5f8 d5e7
Altona MT,Altona,1869.??.??,?,"Anderssen, Adolf","Von Minckwitz, Johannes",1-0,,,C77,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 d2d3 d7d6 a4c6 b7c6 h2h3 h7h6 b1c3 c6c5 c1e3 g7g6 d1d2 f8g7 g2g4 a8b8 b2b3 c8e6 f3h2 f6d7 h2f1 d7b6 f1g3 d8h4 c3e2 h4e7 f2f3 c7c6 h3h4 d6d5 d2a5 d5d4 e3c1 e6c8 h4h5 e7d6 g4g5 h6g5 c1g5 f7f6 g5c1 g6h5 g3h5 g7f8 e2g3 h8g8 c1a3 e8d8 e1f2 d8c7 a1g1 g8g5 g3f5 c8f5 g1g5 f6g5 e4f5 c7b7 h5g3 b6d7 g3e4 d6e7 a3c5 d7c5 e4c5 e7c5 h1h7 c5e7 h7e7 f8e7 a5e5
Altona MT,Altona,1869.??.??,?,"Alexander, Alexander","Paulsen, Louis",0-1,,,C24,e2e4 e7e5 f1c4 g8f6 d2d3 c7c6 b1c3 d7d5 e4d5 c6d5 c4b5 b8c6 g1f3 d5d4 b5c6 b7c6 c3e2 f8d6 e2g3 e8g8 e1g1 f6d5 f1e1 d8c7 g3e4 c8g4 h2h3 g4f3 d1f3 f7f5 e4d6 c7d6 c1d2 a8e8 f3g3 d6f6 c2c3 c6c5 c3d4 c5d4 a1c1 e5e4 d3e4 f5e4 c1c5 f6f7 d2h6 d5f4 c5f5 f7g6 f5f8 e8f8 h6f4 g6f5 f4e5 f8f7 e5d4 h7h6 g3e5 f5d7 e5e4 d7a4 e4e8 a4e8 e1e8 g8h7 e8a8
Altona MT,Altona,1869.??.??,?,"Anderssen, Adolf","Paulsen, Louis",0-1,,,C77,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 d2d3 d7d6 a4c6 b7c6 h2h3 f8e7 b1c3 e8g8 e1g1 c6c5 g1h2 c8b7 d1e2 f6d7 g2g4 d7b6 b2b3 d8d7 c1d2 a8e8 f1g1 c7c6 g1g3 e7d8 a1g1 b6a8 g4g5 a8c7 g3g4 f7f5 g5f6 d8f6 f3h4 c7e6 h4f5 e6d4 f5g7 f6g7 g4g7 d7g7 g1g7 g8g7 e2h5 e8e6 f2f4 e5f4 d2f4 e6g6 f4g3 b7c8 c3e2 d4f3 h2g2 g6g5 h5f3 c8h3 g2f2 f8f3 f2f3 h3g4 f3f4 g5g6 e2c3 h7h5 g3h4 g7f7 h4g5 f7e6 c3a4 g4d1 c2c3 h5h4 a4b2 d1h5 b2c4 h4h3 c4e3 h3h2
Altona MT,Altona,1869.??.??,?,"Schallopp, Emil","Von Minckwitz, Johannes",0-1,,,C77,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 d2d3 d7d6 a4c6 b7c6 h2h3 f8e7 b1c3 e8g8 e1g1 f6e8 d3d4 e5d4 f3d4 c8d7 f2f4 c6c5 d4e2 f7f5 c3d5 e8f6 e4f5 d7f5 e2g3 f5d7 d5e7 d8e7 f4f5 d7c6 c1g5 e7e5 d1d3 e5b2 d3c4 g8h8 a1b1 c6b5 b1b2 b5c4 f1f4 c4d5 c2c4 d5c6 b2e2 a8e8 g5f6 f8f6 e2e8 c6e8 f4f3 f6f8 g3f1 e8f7 f3c3 f8b8 f1e3 b8b2 c3b3 b2b3 a2b3 h8g8 g1f2 g8f8 f2f3 f8e7 f3e4 c7c6 g2g4 a6a5 g4g5 d6d5 c4d5 c6d5 e3d5 e7d6 d5e3 f7b3 h3h4 a5a4 h4h5 a4a3 f5f6 g7g6 e3f5 d6d7
Altona MT,Altona,1869.??.??,?,"Anderssen, Adolf","Alexander, Alexander",1-0,,,C65,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 d7d6 b5c6 b7c6 h2h3 g7g6 b1c3 f8g7 c1g5 h7h6 g5e3 c6c5 d1d2 d8e7 g2g4 c8d7 e1c1 d7c6 d1g1 f6d7 c1b1 d7b6 c3e2 a7a5 b1a1 c6d7 e2g3 d7e6 g3f5 e7f8 f5g7 f8g7 c2c4 e6d7 d2e2 b6c8 f3d2 a5a4 a2a3 c8e7 d2b1 e7c6 b1c3 d7e6 e2d1 e6d7 c3d5 e8d8 g4g5 h6h5 d5f6 d8e7 g1f1 h8b8 e3d2 g7f8 f2f4 e5f4 f1f4 d7e6 h1f1 c6d4 d2c3 f8c8 c3d4 c5d4 f6d5 e7e8 f4f7 e6f7 d1f3 f7d5 c4d5
Altona MT,Altona,1869.??.??,?,"Alexander, Alexander","Von Minckwitz, Johannes",0-1,,,C50,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 g8f6 b1c3 e8g8 d2d3 d7d6 h2h3 c6e7 c1e3 c5e3 f2e3 c8e6 c4b3 e6b3 a2b3 e7g6 c3e2 d6d5 e4d5 f6d5 d1d2 f7f5 c2c4 d5e7 d3d4 e5e4 f3e1 e7c6 e1c2 d8g5 e2f4 g6f4 f1f4 g5e7 a1f1 g7g6 g2g3 a7a5 c4c5 e7e6 d2c3 c6e7 f4f2 e7d5 c3c4 a8d8 g1g2 e6f7 f2e2 d8b8 b3b4 b7b5 c4b3 d5b4 b3f7 g8f7 c2b4 a5b4 f1a1 b8a8 e2e1 b4b3 a1a8 f8a8 g2f2 f7e6 f2e2 a8a2 e1b1 e6d5 e2d2 b5b4
Altona MT,Altona,1869.??.??,?,"Zukertort, Johannes Hermann","Alexander, Alexander",1-0,,,C48,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f8e7 b1c3 d7d6 b5c6 b7c6 h2h3 e8g8 d2d3 f6e8 g2g4 h7h5 f3h2 h5g4 h3g4 c8e6 g1g2 d6d5 d1f3 d5d4 c3e2 f7f5 f3h3 f5g4 h2g4 e6g4 h3g4 e8f6 g4e6 f8f7 e6e5 c6c5 e5e6 a8b8 f1h1 b8b6 e6h3 f7f8 e2f4 d8d7 e4e5 d7h3 h1h3 f6g4 f4d5 b6e6 d5e7 e6e7 f2f4 e7e6 c1d2 g4h6 a1e1 h6f5 g2f3 c7c6 e1h1 f5h6 f3e4 h6f7 c2c3 f7d6 e4f3 d6f7 f3e2 f7h6 e2d1 f8f5 h3h5 f5f8 d1e2 f8f7 c3d4 c5d4 e2f3 f7d7 d2e1 h6f7 e1g3 g7g6 h5h2 d7d5 h1c1 d5d7 h2c2 d7b7 c2c6 e6c6 c1c6 b7b2 c6g6 g8h7 g6a6 b2d2 f3e4
Altona MT,Altona,1869.??.??,?,"Zukertort, Johannes Hermann","Anderssen, Adolf",0-1,,,C54,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d4 e5d4 c3d4 c5b4 c1d2 b4d2 b1d2 d7d5 e4d5 f6d5 d1b3 c6e7 e1g1 e8g8 f1e1 c7c6 f3e5 f7f6 e5d3 g8h8 d3c5 d8d6 c4d5 e7d5 d2c4 d6c7 b3f3 c8d7 f3g3 c7g3 h2g3 d7c8 c4d6 b7b6 c5a4 c8g4 a4c3 a8d8 c3d5 d8d6 d5b4 a7a5 b4c2 g4e6 b2b3 h8g8 a1c1 g8f7 f2f3 f8c8 e1e3 c6c5 e3c3 c5c4 c2e3 c4b3 c3c8 e6c8 a2b3 c8e6 c1c7 f7g6 f3f4 f6f5 d4d5 e6d5 e3d5 d6d5 c7c6 g6h5 c6b6 h5g4 b6b7 g7g6 g1h2 d5d3 b7h7 d3g3 h7a7 g4f4 a7a5 g3b3 a5a4 f4g5
Altona MT,Altona,1869.??.??,?,"Zukertort, Johannes Hermann","Von Minckwitz, Johannes",1-0,,,B46,e2e4 c7c5 b1c3 b8c6 g1f3 e7e6 d2d4 c5d4 f3d4 a7a6 f1e2 g7g6 f2f4 f8g7 e4e5 f7f5 c1e3 g8h6 e1g1 e8g8 e2f3 h6f7 d4c6 b7c6 e3c5 f8e8 d1e1 a8b8 b2b4 g7f8 c3a4 f8c5 a4c5 d8b6 c2c3 f7d8 g1h1 d8b7 c5b7 c8b7 a1d1 e8e7 d1d6 b8d8 e1h4 d8e8 f1d1 b7c8 a2a4 b6e3 d6d3 e3b6 a4a5 b6c7 h4f2 c8b7 f2b6 c7c8 c3c4 g8f7 b4b5 a6b5 c4b5 b7a8 d3c3 c8b8 b6b8 e8b8 b5b6 a8b7 f3e2 b8a8 c3a3 b7a6 e2a6 a8a6 b6b7 e7e8 d1d7 f7f8 d7c7 e8b8 c7c8
