Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Euwe mem,Amsterdam,1988.??.??,?,"Timman, Jan H","Karpov, Anatoly",1/2-1/2,2675,2715,C41,e2e4 c7c6 d2d3 e7e5 g1f3 d7d6 d3d4 g8f6 b1c3 b8d7 a2a4 f8e7 f1c4 e8g8 e1g1 f6e4 c4f7 f8f7 c3e4 d6d5 e4g5 e7g5 c1g5 d8c7 g5h4 e5e4 h4g3 c7d8 f3e5 d7e5 g3e5 c8f5
Euwe mem,Amsterdam,1988.??.??,?,"Short, Nigel D","Ljubojevic, Ljubomir",1-0,2630,2610,B66,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 c1g5 e7e6 d1d2 a7a6 e1c1 h7h6 g5e3 c8d7 f2f4 b7b5 f1d3 f8e7 c1b1 b5b4 c3e2 e8g8 h2h3 d8c7 g2g4 c7b7 e2g3 c6d4 e3d4 d7c6 h1e1 f8e8 g4g5 h6g5 f4g5 f6d7 d4g7 g8g7 g3h5 g7g6 e4e5 g6h5 d2f4 e7g5 f4f7 h5h4 f7h7 h4g3 h7h5 g3h2 h5g5 e8g8 d1d2 c6g2 g5f4 g8g3 d3e4 b7e4 f4e4
Euwe mem,Amsterdam,1988.??.??,?,"Short, Nigel D","Karpov, Anatoly",1/2-1/2,2630,2715,B17,e2e4 c7c6 d2d4 d7d5 b1d2 d5e4 d2e4 b8d7 g1f3 g8f6 e4f6 d7f6 c2c3 c8g4 h2h3 g4f3 d1f3 d8d5 f1e2 e7e6 e1g1
Euwe mem,Amsterdam,1988.??.??,?,"Short, Nigel D","Timman, Jan H",1-0,2630,2675,C18,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4c3 b2c3 g8e7 d1g4 c5d4 g4g7 h8g8 g7h7 d8a5 a1b1 b8c6 g1f3 c8d7 b1b7 a5c3 e1d1 c6a5 b7b4 a8c8 f3g5 g8f8 f1d3 c3c7 h1e1 a5c4 h7g7 e7f5 g7f6 a7a5 b4c4 d5c4 d3f5 c7d8 f6g7 d8e7 g5e4 e6f5 e4d6 e8d8 c1g5 f7f6 d6b7
Euwe mem,Amsterdam,1988.??.??,?,"Ljubojevic, Ljubomir","Timman, Jan H",1-0,2610,2675,B50,e2e4 c7c5 g1f3 e7e6 b1c3 d7d6 d2d4 c5d4 d1d4 b8c6 f1b5 c8d7 d4d3 g8f6 c1f4 a7a6 b5c6 d7c6 e1c1 f8e7 h1e1 d8b6 f4d6 e8c8 e4e5 f6e8 c3d5 c6d5 d6e7 d8d7 d3a3 b6f2 d1d2 f2b6 f3d4 f7f6 e7c5 b6c7 c2c4 d5c4 d2c2 f6e5 d4e6 c7c6 e1e5 e8c7 c2c4 c7e6 a3h3 e6c7 b2b3 c6f6 c5d4 h8d8 c4c7
Euwe mem,Amsterdam,1988.??.??,?,"Karpov, Anatoly","Short, Nigel D",1-0,2715,2630,E15,d2d4 g8f6 g1f3 e7e6 c2c4 b7b6 g2g3 c8a6 b2b3 f8b4 c1d2 b4d2 d1d2 e8g8 f1g2 c7c6 e1g1 d7d5 d2b4 f6e4 f1c1 b8d7 b4a3 a6b7 c4d5 e6d5 b1c3 f7f5 e2e3 d8f6 c1c2 a7a5 a1d1 a8c8 c3e2 g7g5 e2c1 g5g4 f3h4 c6c5 c1e2 c5d4 c2c8 b7c8 d1d4 c8b7 a3c1 f8c8 c1d1 d7e5 e2f4 g8h8 h2h3 e4c3 d1d2 g4h3 f4h3 c3e4 d2d1 e5c6 d4d5 e4c3 d5d6 f6e5 d1d3 c3e2 g1h2 c8g8 h3f4 e2f4 e3f4 e5c5 g2c6 b7c6 d6c6
Euwe mem,Amsterdam,1988.??.??,?,"Ljubojevic, Ljubomir","Karpov, Anatoly",1-0,2610,2715,A05,e2e4 c7c6 d2d3 e7e5 b1d2 g8f6 g1f3 d7d6 g2g3 g7g6 f1g2 f8g7 e1g1 e8g8 a2a4 b8d7 a4a5 f8e8 b2b4 a8b8 c1b2 b7b5 a5b6 a7b6 a1a7 c8b7 c2c4 d8c7 d1b3 b8a8 a7a8 b7a8 f1a1 d6d5 c4d5 c6d5 f3g5 c7d6 e4d5 a8d5 d2c4 d6c6 c4e3 d5b3 g2c6 h7h6 a1a3 h6g5 a3b3 g7f8 g1g2 e8e6 c6b5 g8g7 h2h3 f8e7 b2c3 e7d6 b3a3 d6b8 a3a8 e6e7 c3d2 e5e4 d3d4 b8c7 a8c8 d7f8 d2c3 f8h7 b5c6 h7f8 b4b5
Euwe mem,Amsterdam,1988.??.??,?,"Karpov, Anatoly","Timman, Jan H",1-0,2715,2675,E60,c2c4 g7g6 d2d4 g8f6 g1f3 f8g7 g2g3 c7c5 f1g2 d8a5 b1c3 f6e4 c1d2 e4d2 d1d2 c5d4 f3d4 b8c6 e2e3 e8g8 e1g1 a8b8 f1d1 e7e6 a2a3 a7a6 a1c1 c6e5 c3e4 a5d2 d1d2 b7b5 c4b5 a6b5 b2b3 b8b6 c1c7 c8b7 h2h3 b7e4 g2e4 d7d5 e4g2 g6g5 g2f1 f8b8 d2c2 g7f8 c7a7 f8d6 a7a5 b5b4 a3a4 e5d7 a5a7 b6b7 a7a6 d6f8 a6c6 b7a7 f1b5 h7h5 b5e2 g5g4 h3g4 h5g4 c6c7 a7c7 c2c7 d7c5 e2g4 e6e5 d4c6 f8d6 c7a7 b8b6 c6d8 c5b3 d8f7 d6b8 a7d7 b3c5 d7d5 b4b3 f7e5 b3b2 g4f5 c5a4 e5g4 b2b1q f5b1 b6b1 g1g2 g8f7 f2f4 a4c3 d5d3 c3e4 g2f3 b1b4 g4f2 e4f2 f3f2 f7e6 f2f3 b8d6 g3g4 b4a4 g4g5 a4a3 d3d4 d6b8 d4b4 b8d6 b4b5 a3c3 f4f5 e6e7 b5b7 c3c7 b7b6 c7c5 f3g4 c5d5 b6b7 e7f8 f5f6 d5a5 b7d7 d6e5 g4f5 e5b2 f5g6 f8e8 d7b7 b2e5 b7e7 e8d8 g6f7 e5b2 g5g6 a5a6 e7e6 a6a7 f7f8
Euwe mem,Amsterdam,1988.??.??,?,"Timman, Jan H","Short, Nigel D",0-1,2675,2630,D36,c2c4 e7e6 b1c3 d7d5 d2d4 g8f6 c4d5 e6d5 c1g5 f8e7 e2e3 e8g8 d1c2 c7c6 f1d3 b8d7 g1f3 f8e8 e1g1 d7f8 a1e1 f6e4 g5e7 d8e7 d3e4 d5e4 f3d2 f7f5 f2f3 e4f3 d2f3 c8e6 e3e4 f5e4 e1e4 h7h6 f1e1 a8d8 e1e3 e7f7 f3e5 f7f5 e3g3 d8d4 e5g4 g8h8 g4h6 g7h6 c2c1 f5f6 e4e3 d4f4 c3e2 f4f5 e3f3 e6d7 e2f4 f6d4 g1f1 h8h7 g3h3 f5c5
Euwe mem,Amsterdam,1988.??.??,?,"Timman, Jan H","Ljubojevic, Ljubomir",1/2-1/2,2675,2610,B46,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 e7e6 b1c3 a7a6 d4c6 b7c6 e4e5 g8e7 f1d3 d8a5 d1e2 e7d5 c1d2 f8b4 c3d5 b4d2 e2d2 a5d2 e1d2 c6d5 b2b4 d7d6 f2f4 e8e7 d2e3 c8d7 a2a4 h7h6 b4b5 h8b8 e3d4 b8b7 b5a6 b7b4 d4e3 d6e5 f4e5 d7c8 h1b1 b4b1 a1b1 c8a6 b1a1 f7f6 e3d4 e7d7 a4a5 d7c6 g2g4 a8a7 h2h3 a6b5 a5a6 b5d3 c2d3 c6b6 a1b1 b6a6 b1f1 f6e5 d4e5 a6b5 h3h4 b5b4 g4g5 h6g5 h4g5 b4c3 d3d4 a7a2 f1c1 c3d3 e5e6 d3d4 g5g6 a2f2 c1d1 d4e3 d1d5 f2f6 e6e5 f6g6 e5f5 g6g2 d5a5 g7g5 a5a3 e3f2 a3a2 f2f3 a2a3 f3f2 a3a4 f2f3 a4a3 f3f2
Euwe mem,Amsterdam,1988.??.??,?,"Karpov, Anatoly","Ljubojevic, Ljubomir",1/2-1/2,2715,2610,D94,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 e2e3 g7g6 b1c3 f8g7 f1e2 e8g8 e1g1 a7a6 d1b3 d5c4 e2c4 b7b5 c4e2 c6c5 d4c5 d8c7 a2a4 b8d7 a4b5 d7c5 b3b4 a8b8 c1d2 a6b5 c3b5 c7b6 b4a3 c8d7 d2a5 b6b7 b5d4 f6e4 b2b4 c5a4 b4b5 a4c5 f1b1 f8c8 b5b6 b8a8 a3b4 c5a4 f3d2 a4c3 d2e4 g7d4 e2f3 d7c6 e3d4 c6e4 f3e4 c3e4 b1c1 c8c1 a1c1 e4d6 b4e1 a8c8 c1c5 g8f8 h2h3 f8e8 e1e2 h7h5 e2c2 e8d7 c2a4 d7d8 a4b4 c8c6 b4b3 d8c8 b3c2 c6c5 d4c5 b7c6 a5b4 d6b7 c2a2 b7d8 b4d2 c8d7 a2a7 d8b7 d2e3 c6d5 a7a4 d5c6 a4d4 d7e8 d4f4 b7d8 f4c7 f7f6 c7g3 c6e4 g3b8 h5h4 b8c8 g6g5 c8g4 e4g4 h3g4 e7e5 g1f1 e8d7 f1e2 d7c6 e2d3 c6d5 c5c6 d5c6 d3e4 d8e6 f2f3 e6g7 e3g1 g7e6 g1e3 e6g7 e3g5 f6g5 e4e5 c6b6 e5f6 g7e8 f6g5 b6c5 g5h4 c5d6 h4g5 d6e7 g5g6 e7f8 g4g5 f8g8 f3f4 e8d6 f4f5 d6c4 f5f6 c4e3 f6f7 g8f8 g6h7 e3f5 g2g4 f5d4 h7g6 d4f3 g6f6 f3h2
Euwe mem,Amsterdam,1988.??.??,?,"Ljubojevic, Ljubomir","Short, Nigel D",1/2-1/2,2610,2630,C91,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 d2d4 c8g4 d4d5 c6a5 b3c2 c7c6 h2h3 g4c8 d5c6 d8c7 a2a4 c7c6 b1a3 a5c4 c2d3 c4a3 a1a3 c8e6 d1e2 b5a4 d3c2 f8c8 a3a4 h7h6 c1d2 c6b5 b2b3 b5e2 e1e2 a6a5 e2e1 e7d8 f3h2 d6d5 e4d5 f6d5 c3c4 d5b6 a4a5 a8a5 d2a5 b6c4 a5d8 c4a3 d8a5
