Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
It,Astana KAZ,2001.05.20,1,"Morozevich,A","Sadvakasov,D",1-0,2749,2585,B90,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f2f3 e7e5 d4b3 c8e6 c1e3 h7h5 d1d2 b8d7 e1c1 a8c8 c1b1 f8e7 h2h3 d8c7 f1d3 b7b5 g2g4 d7b6 e3b6 c7b6 g4g5 f6d7 c3d5 e6d5 e4d5 g7g6 h1e1 b6c7 h3h4 d7b6 f3f4 e5f4 d2f4 e8g8 b3d4 f8e8 d4f5 e7f8 f5h6 f8h6 g5h6 g8h7 f4f6 h7h6 e1e6
It,Astana KAZ,2001.05.20,1,"Shirov,A","Kasparov,G",0-1,2722,2827,B84,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 e7e6 f1e2 d8c7 e1g1 b7b5 a2a4 b5b4 c3a2 f6e4 c2c3 b4b3 d1b3 f8e7 e2f3 c8b7 b3c2 e4f6 f3b7 c7b7 b2b4 e8g8 b4b5 f6g4 e3f4 e6e5 c2e2 e5d4 e2g4 a6b5 a4b5 b7b5 c3d4 b5c4 a1e1 b8c6 a2c1 c4d4 c1e2 d4a4 g4g3 f8d8 e2c3 a4b3 e1e3 d6d5 f4h6 e7f8 c3e4 b3b2 e4c5 f8c5 e3c3 c5f2 f1f2 a8a1 f2f1 b2b6 c3e3 a1f1 g1f1 b6d4 g3c7 d4c4
It,Astana KAZ,2001.05.20,1,"Kramnik,V","Gelfand,B",1-0,2797,2712,E05,d2d4 g8f6 g1f3 e7e6 g2g3 d7d5 f1g2 f8e7 c2c4 e8g8 e1g1 d5c4 d1c2 a7a6 a2a4 c8d7 c2c4 d7c6 c1g5 c6d5 c4c2 d5e4 c2d1 c7c5 d4c5 e7c5 d1d8 f8d8 b1d2 e4c6 d2b3 b8d7 f1c1 c5b6 f3d2 c6g2 g1g2 d8c8 g5f6 d7f6 d2c4 b6c7 b3c5 a8b8 b2b4 g8f8 a1b1 f8e7 b4b5 c7d8 c5d3 a6b5 b1b5 b7b6 d3e5 e7f8 c4b6 c8c1 b6d7 f6d7 e5d7 f8e8 d7b8 c1c8 b8a6 c8c2 e2e3 c2a2 a6c5 d8c7 b5b7 e8d8 b7b4 d8e7 c5e4 f7f5 b4b7 a2c2 e4g5 h7h6 g5f3 e7f6 f3d4 c2c4 d4b5 c7e5 f2f4 e5c3 b7f7 f6f7 b5d6 f7e7 d6c4 e7d7 g2f3 d7c6 e3e4 c6c5 c4e5 f5e4 f3e4 c5b4 e5c6 b4a4 c6d4 a4b4 d4e6 b4c4 g3g4 c3f6 h2h3 f6b2 h3h4 b2c3 f4f5 c3b2 e6g7 b2g7 g4g5
It,Astana KAZ,2001.05.21,2,"Kasparov,G","Gelfand,B",1/2-1/2,2827,2712,C07,e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 g1f3 c5d4 e4d5 d8d5 f1c4 d5d6 e1g1 g8f6 f1e1 f8e7 d2e4 f6e4 e1e4 b8c6 f3d4 e8g8 c1f4 d6c5 d4c6 c5c6 c4d3 b7b5 a2a4 a7a6 e4e3 c8b7 d3e4 c6e4 e3e4 b7e4 d1e2 e4d5 h2h4 a8c8 a4b5 a6b5 f4g5 e7d6 a1a6 d6b8 g5e7 f8e8 e7d6 e8d8 d6b8 c8b8 a6a3 b8b7 a3g3 f7f6 g3g4 d8c8 g4d4 b7c7 e2b5 c7c2 b2b4 h7h6 d4g4 f6f5 g4g6 g8h7 h4h5 c2c7 b5d3 c7b7 d3g3 c8c1 g1h2 c1c4 b4b5 c4b4 g6e6 d5e6 g3g6
It,Astana KAZ,2001.05.21,2,"Shirov,A","Morozevich,A",1-0,2722,2749,C11,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 d5e4 c3e4 f8e7 g5f6 g7f6 g1f3 a7a6 c2c4 f6f5 e4c3 e7f6 d1d2 c7c5 d4d5 e8g8 e1c1 f6g7 h2h4 e6d5 c3d5 b8c6 h4h5 h7h6 h1h3 f5f4 h3h4 c6b4 d5b4 d8d2 d1d2 c5b4 h4f4 c8e6 f3d4 g7d4 d2d4 a8c8 b2b3 c8c5 g2g4 f8c8 f1d3 g8f8 c1b2 f8e7 d3e4 c5e5 e4b7 e5e2 b2b1 c8c5 d4e4 e2d2 e4d4 d2e2 d4e4 e2d2 f4f5 e7d6 f5c5 d6c5 e4f4 d2d1 b1c2 d1a1 c2b2 a1g1 b7d5 e6d5 c4d5 a6a5 f4f7 g1g4 f7a7 g4f4 a7a5 c5b6 a5a8 f4f2 b2b1 b6c5 a8c8 c5d5 c8c4 f2f1 b1b2 f1f2 b2b1 f2f1 b1c2 f1f2 c2d3 f2a2 c4b4 d5c5 b4a4 a2b2 d3c3 b2h2 a4a6 h2h3 c3b2 c5b4 a6b6 b4c5 b6h6 c5b4 b2c2 h3c3 c2d2 c3h3 h6h8 b4c5 d2c2 c5b5 c2d2 b5c6 h5h6 c6b7 b3b4 b7a7 d2e2 h3h4 e2f3 h4b4 h8g8 b4h4 g8g6 a7b7 f3g3 h4h1 g3f4 b7c7 f4f5 c7d7 f5f6 d7e8 f6g7
It,Astana KAZ,2001.05.21,2,"Sadvakasov,D","Kramnik,V",0-1,2585,2797,C45,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4 f8c5 d4c6 d8f6 d1d2 b7c6 b1c3 g8e7 f1d3 e8g8 e1g1 e7g6 c3a4 c5d6 g2g3 f8e8 d2e3 c8b7 c1d2 g6e5 d2c3 f6f3 e3f3 e5f3 g1g2 f3e5 c3e5 e8e5 f2f4 e5e8 e4e5 d6f8 a1e1 d7d6 e1e3 e8e7 d3e4 d6e5 f4e5 g7g6 e4f3 e7e6 f1d1 a8e8 d1d7 e6e5 e3e5 e8e5 d7c7 e5e7 c7e7 f8e7 g2f2 f7f5 c2c4 g8f7 c4c5 a7a5 a2a3 f7e6 b2b4 a5b4 a3b4 e6e5 f2e3 e7g5 e3d3 b7a6 d3c2 e5d4 a4c3 a6d3 c2b3 d3c4 b3c2 c4d3 c2b3 g5d2 c3d1 d3e4 f3e2 e4d5 b3a4 g6g5 b4b5 d4c5 b5c6 d5c6 a4b3 c5d4 e2f1 d2e1 f1e2 g5g4 e2a6 h7h5 b3c2 c6e4 c2c1 e4f3 a6c8 f5f4 g3f4 h5h4 f4f5 g4g3 h2g3 h4g3
It,Astana KAZ,2001.05.22,3,"Morozevich,A","Kasparov,G",0-1,2749,2827,B87,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f1c4 e7e6 c4b3 b7b5 e1g1 f8e7 d1f3 d8c7 f3g3 e8g8 c1h6 f6e8 a1d1 c8d7 f2f4 b8c6 f4f5 c6d4 d1d4 e7f6 d4d3 f6e5 g3g4 b5b4 f5f6 g7g6 c3e2 a6a5 h6f8 g8f8 g4h4 a5a4 h4h7 c7a7 g1h1 e8f6 h7h6 f8e7 b3c4 a7c5 b2b3 a4b3 c4b3 d7b5 e2f4 e5f4 h6f4 c5e5 h2h3 g6g5 f4f2 g5g4 f2b6 f6d7 b6f2 d7f6 f2b6 a8h8 d3d6 e5d6 b6d6 e7d6 f1f6 h8h7 h1h2 d6e5 f6f2 g4h3 g2h3 b5c6 b3c4 c6e4 f2e2 f7f5 c4d3 e5f4 d3e4 f5e4 e2f2 f4e3 f2f8 e6e5 f8e8 h7c7 e8e5 e3f4 e5b5 c7c2 h2g1 e4e3 b5b4 f4f3 b4b1 c2g2 g1h1 e3e2 a2a4 f3f2 a4a5 g2g5 h1h2 g5a5 h3h4 a5a3
It,Astana KAZ,2001.05.22,3,"Kramnik,V","Shirov,A",1/2-1/2,2797,2722,D12,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 e2e3 c8f5 b1c3 e7e6 f3h4 f5e4 f2f3 e4g6 d1b3 d8b6 h4g6 h7g6 c1d2 b8d7 e1c1 b6b3 a2b3 f8d6 h2h3 f6h5 f1d3 h5g3 h1e1 e8c8 c4d5 e6d5 e3e4 d5e4 f3e4 f7f6 e1e3 g3h5 e3f3 g6g5 e4e5 f6e5 d2g5 h5f6 d3f5 c8c7 c3e4 d6e7 d4e5 d7e5 g5f4 d8d1 c1d1 h8d8 d1c2 f6e4 f4e5 e7d6 e5g7 d8g8 f5e4 g8g7 g2g4 d6e7 c2d3 c7d6 d3d4 a7a6 e4d3 g7g8 d3c4 g8f8 f3f8 e7f8 g4g5 f8g7 d4e4 g7b2 e4f5 b7b5 c4d3 a6a5 h3h4 a5a4 b3a4 b5a4 d3c4 a4a3 c4a2 b2d4 f5g6 d6c5 h4h5 c5b4 g6f5 c6c5 f5e4 d4b2 h5h6 b2c1 e4f5 c5c4 f5e6 c1b2 g5g6 c4c3 g6g7 c3c2 g7g8q c2c1q
It,Astana KAZ,2001.05.22,3,"Gelfand,B","Sadvakasov,D",1-0,2712,2585,D27,d2d4 d7d5 c2c4 d5c4 g1f3 g8f6 e2e3 e7e6 f1c4 c7c5 e1g1 a7a6 c4b3 c5d4 e3d4 b8c6 b1c3 f8e7 f1e1 e8g8 a2a3 b7b5 d4d5 e6d5 c3d5 f6d5 b3d5 c8b7 c1f4 e7f6 e1e2 c6a5 e2d2 b7d5 d2d5 d8c8 f4e5 f6e5 f3e5 c8e6 a1c1 h7h6 f2f4 a5c4 e5c4 b5c4 c1c4 a8b8 c4c2 e6e3 g1h1 f8e8 g2g3 e3e4 h1g1 b8b3 d5d4 e4e6 c2f2 b3e3 g1g2 f7f5 d4d6 e6e4 g2h3 e8e6 d1d5 g8h7 d5e4 e3e4 d6e6 e4e6 f2c2 g7g5 h3g2 e6e3 f4g5 h6g5 c2c5
It,Astana KAZ,2001.05.24,4,"Kramnik,V","Kasparov,G",1/2-1/2,2797,2827,D85,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 f8g7 g1f3 c7c5 c1e3 d8a5 d1d2 b8c6 a1c1 c5d4 c3d4 a5d2 e1d2 e8g8 d4d5 f8d8 d2e1 c6a5 e3g5 c8d7 f1d3 d8c8 e1e2 e7e6 c1c8 a8c8 h1c1 c8c1 g5c1 e6d5 e4d5 b7b5 c1f4 a5c4 d3c4 b5c4 f4e5 g7f8 f3d2 d7b5 d2e4 f7f5 e4c3 b5d7 e2e3 f8c5 e5d4 c5b4 d4e5
It,Astana KAZ,2001.05.24,4,"Gelfand,B","Morozevich,A",1-0,2712,2749,D15,d2d4 d7d5 c2c4 c7c6 b1c3 g8f6 g1f3 a7a6 a2a4 c8f5 d1b3 a8a7 a4a5 e7e6 b3b6 d8b6 a5b6 a7a8 c4c5 b8d7 e2e3 f8e7 f1e2 e8g8 f3d2 e6e5 d2b3 f8e8 e1g1 e7f8 c1d2 f5c2 b3a5 e5d4 e3d4 d7c5 d4c5 d5d4 e2f3 d4c3 d2c3 f6e4 f1c1 c2d3 a5b7 a8b8 f3e4 e8e4 c1d1 d3e2 d1d7 e2g4 d7c7 e4c4 a1a6 h7h5 a6a7 g4e6 c7c6 e6d5 c6c7 b8e8 h2h3 c4f4 b7d6 e8e2 f2f3 e2g2 g1g2 f4f3 g2g1
It,Astana KAZ,2001.05.24,4,"Sadvakasov,D","Shirov,A",1/2-1/2,2585,2722,C11,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 d5e4 c3e4 b8d7 e4f6 d7f6 g1f3 c7c5 f1b5 c8d7 b5d7 d8d7 d1e2 f8e7 d4c5 e8g8 f3e5 d7d5 e1g1 e7c5 a1d1 d5e4 f1e1 e4e2 e1e2 f8d8 e5d3
It,Astana KAZ,2001.05.25,5,"Kasparov,G","Sadvakasov,D",1/2-1/2,2827,2585,A29,c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 g2g3 f8b4 f1g2 e8g8 e1g1 e5e4 f3g5 b4c3 b2c3 f8e8 f2f3 e4e3 d2e3 d8e7 g5h3 e7c5 h3f4 c5c4 e3e4 d7d6 d1d3 c6e5 d3c4 e5c4 g3g4 a8b8 f1d1 b7b6 g4g5 f6d7 f4d5 b8b7 f3f4 d7f8 d1d4 c4a5 f4f5 c8d7 a1b1 c7c5 d4d3 d7a4 c1f4 a4c2 b1b2 c2d3 e2d3 e8d8 h2h4 a5c6 h4h5 c6e7 d5e3 b7d7 e3g4 e7c6 h5h6 c6e5 f4e5 d6e5 h6g7 g8g7 g2f1 d7d6 g4e5 f7f6 e5g4 f6g5 b2h2 d8e8 e4e5 d6d5 f5f6 g7h8 g4h6 d5e5 h6f7 h8g8 f7h6
It,Astana KAZ,2001.05.25,5,"Shirov,A","Gelfand,B",1/2-1/2,2722,2712,C42,e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5f3 f6e4 d2d4 d6d5 f1d3 f8e7 e1g1 b8c6 c2c4 e4f6 b1c3 c8e6 c4c5 e6g4 d3b5 e8g8 b5c6 b7c6 h2h3 g4f3 d1f3 f8e8 c1e3 d8b8 a1b1 e7f8 f1e1 b8b4 a2a3 b4c4 b1c1 a8b8 f3f5 c4b3 e3g5 f6e4 c3e4 d5e4 e1e4 b3d3 c1e1 b8b2 f5f4 e8e4 f4e4 d3e4 e1e4 f7f6 g5f4 g8f7 f4c7 b2a2 c7d6 a2a3 d6f8 f7f8 e4e6 a3d3 e6c6 d3d1 g1h2 d1d4 c6c8 f8e7 c5c6 d4c4 c8c7 e7f8
It,Astana KAZ,2001.05.25,5,"Morozevich,A","Kramnik,V",0-1,2749,2797,D00,d2d4 d7d5 c1g5 c7c6 g1f3 h7h6 g5h4 d8b6 b2b3 c8f5 e2e3 e7e6 f1d3 f5d3 d1d3 f8e7 h4e7 g8e7 c2c4 b8d7 b1c3 e8g8 e1g1 b6a6 f1d1 f8d8 a1b1 b7b6 d3f1 a8c8 d1d2 d7f6 f3e5 d5c4 e5c4 e7d5 d2c2 d5c3 c2c3 c6c5 d4c5 b6b5 c4e5 f6e4 c3d3 e4d2 d3d8 c8d8 b1d1 d2f1 d1d8 g8h7 c5c6 a6a5
It,Astana KAZ,2001.05.26,6,"Kasparov,G","Shirov,A",1-0,2827,2722,C11,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4e5 f6d7 f2f4 c7c5 g1f3 b8c6 c1e3 c5d4 f3d4 f8c5 d1d2 e8g8 g2g3 d8e7 e1c1 d7b6 d4b3 c5e3 d2e3 c8d7 c1b1 f8c8 g3g4 c6b4 b3d4 c8c5 a2a3 b4c6 c3b5 c6d4 b5d4 a8c8 f1d3 b6c4 e3h3 h7h6 g4g5 c4a3 b2a3 c5c3 g5h6 g7g6 h3g2 c3a3 d4b3 e7b4 d3g6 a3b3 c2b3 b4b3 g2b2 b3b2 b1b2 f7g6 h2h4 g8h7 h4h5 h7h6 h5g6 h6g6 h1g1 g6f5 d1d4
It,Astana KAZ,2001.05.26,6,"Gelfand,B","Kramnik,V",1/2-1/2,2712,2797,D58,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8e7 c1g5 h7h6 g5h4 e8g8 e2e3 b7b6 f1d3 c8b7 e1g1 b8d7 h4g3 c7c5 c4d5 f6d5 c3d5 e6d5 b2b3 a7a6 a1c1 f8e8 f1e1 d7f6 g3h4 f6e4 h4e7 d8e7 c1c2 a6a5 d1c1 e8c8 e1d1 a5a4 h2h3 a4b3 a2b3 e7f6 c1b2 e4d6 f3e5 c8c7 d3e2 d6e4 e2f3 e4g5 f3g4 f6e7 d1c1 b7c8 g4c8
It,Astana KAZ,2001.05.26,6,"Sadvakasov,D","Morozevich,A",0-1,2585,2749,B30,e2e4 c7c5 g1f3 b8c6 b1c3 e7e5 f1c4 f8e7 d2d3 d7d6 e1g1 g8f6 f3g5 e8g8 f2f4 e5f4 c1f4 h7h6 g5f3 c8e6 c3d5 e6d5 c4d5 f6d5 e4d5 c6b4 c2c4 e7f6 d1d2 f8e8 g1h1 a7a5 a2a3 b4a6 g2g4 g7g5 f4g3 f6g7 h2h4 f7f6 f3g1 d8d7 f1f5 b7b5 c4b5 d7b5 g3d6 c5c4 d3c4 b5c4 d2g2 a8d8 d6h2 a6c5 d5d6 c5e4 f5a5 e4d6 h2d6 d8d6 a5a8 e8a8 g2a8 g7f8 a8f3 h6h5 a1e1 h5g4 f3e4 c4e4 e1e4 f6f5 e4e5 g5h4 e5f5 d6d4 g1e2 d4d1 h1g2 h4h3 g2g3 f8d6 e2f4 d1g1 g3h2 g1f1 f5g5 g8f7 g5g4 f1f3 a3a4 d6f4 h2g1 h3h2 g1g2 f3f1
It,Astana KAZ,2001.05.28,7,"Morozevich,A","Shirov,A",1-0,2749,2722,C42,e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5f3 f6e4 f1d3 d6d5 d1e2 d8e7 e1g1 e4d6 e2d1 g7g6 f1e1 c8e6 d3f1 f8g7 d2d4 e8g8 c1f4 b8c6 c2c3 e7d7 b1d2 f8e8 h2h3 f7f6 d1a4 e6f7 e1e8 a8e8 b2b4 a7a6 d2b3 d6e4 b3c5 d7f5 f4e3 c6d8 a4c2 f5c8 a2a4 e4d6 e3f4 d6c4 a4a5 d8e6 f4g3 e6c5 b4c5 g7h6 f1d3 e8e7 f3h2 c8e8 h2g4 h6g7 g3h4 e7e1 a1e1 e8e1 g1h2 f6f5 g4f6 g8h8 d3c4 d5c4 c5c6 b7c6 c2b2 g7f8 h4g3 f8d6 g3d6 c7d6 b2b8 h8g7 b8d6 e1f2 f6d7 g7h6 d6g3 f2d2 h3h4 f7e6 d7b8 e6c8 b8c6 c8b7 c6e5 b7d5 e5d7 d5e4 d7c5 h6g7 c5e6 g7h6 g3g5 d2g5 h4g5 h6h5 h2g3 h7h6 g5h6 h5h6 e6c5 h6g5 c5a6 f5f4 g3f2 g5f6 a6c5 e4c6 a5a6 f6e7 c5b7 c6d5 b7a5 e7d6 a6a7 d6c7 a5c4 g6g5 c4e5 c7b6 c3c4 d5f7
It,Astana KAZ,2001.05.28,7,"Gelfand,B","Kasparov,G",1/2-1/2,2712,2827,D80,d2d4 g8f6 g1f3 g7g6 c2c4 f8g7 b1c3 d7d5 c1g5 f6e4 g5f4 e4c3 b2c3 c7c5 e2e3 e8g8 c4d5 c5d4 c3d4 d8d5 f1e2 b8c6 e1g1 c8f5 d1a4 d5a5 a4b3 f5e4 f1c1 a8c8 h2h3 e7e5 f3e5 c6e5 f4e5 g7e5 d4e5
