Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Bad Kissingen,Bad Kissingen,1980.??.??,?,"Spassky, Boris V","Huebner, Robert",1/2-1/2,2615,2600,E13,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 b1c3 f8b4 c1g5 c8b7 e2e3 h7h6 g5h4 g7g5 h4g3 f6e4 d1c2 b4c3 b2c3 e4g3 h2g3 b8c6 d4d5
Bad Kissingen,Bad Kissingen,1980.??.??,?,"Unzicker, Wolfgang","Spassky, Boris V",1/2-1/2,2510,2615,D57,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 g1f3 f8e7 c1g5 h7h6 g5h4 e8g8 e2e3 f6e4 h4e7 d8e7 c4d5 e4c3 b2c3 e6d5 d1b3 c7c6 f1d3 b7b6 e1g1 b8d7 c3c4 d5c4 d3c4 c6c5 a2a4 c5d4 f3d4 d7c5
Bad Kissingen,Bad Kissingen,1980.??.??,?,"Unzicker, Wolfgang","Karpov, Anatoly",0-1,2510,2725,B84,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f1e2 f8e7 e1g1 e8g8 f2f4 a7a6 c1e3 d8c7 d1e1 b7b5 e2f3 c8b7 e4e5 d6e5 f4e5 f6e8 f3b7 c7b7 d4f3 b8d7 a1d1 a8c8 f1f2 d7c5 e3g5 e7g5 f3g5 h7h6 g5e4 b5b4 e4c5 c8c5 c3a4 c5d5 d1d5 b7d5 e1b4 d5e5 b4c5 e5e1 f2f1 e1e4 c2c4 e8f6 a4c3 e4c2 c5b6 c2d3 b6a6 d3d4 g1h1 f6g4 h2h3 g4e3 f1b1 f8b8 a6c6 e3c4 b1d1 d4h4 b2b3 c4e3 d1c1 e3f5 c6f3 b8b4 c3e2 b4e4 h1g1 e4e3 f3f2 h4e4 e2f4 f5g3
Bad Kissingen,Bad Kissingen,1980.??.??,?,"Unzicker, Wolfgang","Huebner, Robert",0-1,2510,2600,A64,d2d4 g8f6 c2c4 g7g6 g2g3 c7c5 d4d5 f8g7 f1g2 e8g8 b1c3 d7d6 g1f3 e7e6 e1g1 e6d5 c4d5 a7a6 a2a4 f8e8 f3d2 b8d7 d2c4 d7e5 c4a3 f6h5 e2e3 f7f5 c1d2 c8d7 d1e2 a8b8 a1b1 e5f7 g2f3 f5f4 f3h5 f4e3 h5g6 h7g6 d2e3 d7h3 f1e1 f7e5 f2f3 e5g4 f3g4 e8e3 e2e3 g7d4 a3c2 d4e3 c2e3 d8e7 e3g2 e7f6 e1e4 b8f8 e4f4 f6g7 b1f1 f8f4 f1f4 g6g5 f4e4 h3g2 g1g2 b7b5 a4b5 a6b5 e4e8 g8h7 c3e4 g7b2 g2h3 b2c1 h3g2 c1c2 g2h3 c2d1
Bad Kissingen,Bad Kissingen,1980.??.??,?,"Spassky, Boris V","Unzicker, Wolfgang",1/2-1/2,2615,2510,C11,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 d5e4 c3e4 b8d7 g1f3 f8e7 e4f6 e7f6 g5f6 d7f6 f1d3 c7c5 d1d2 c5d4 d2b4 f6d5 b4d4 e8g8 e1c1 d8e7 h1e1 f8d8 f3e5 c8d7 d4e4 d5f6 e4h4 a8c8 e1e2 a7a6 g2g4 d7b5 g4g5 b5d3 d1d3 d8d3 g5f6 e7d8 e5d3 d8d3 e2d2 d3g6 f6g7 g6g7 d2d3 g7e5 h4g3 e5g3 h2g3 c8c7 c1d2 g8g7 b2b3 g7f6 c2c4 f6e7 d2c3 c7c5 d3f3 h7h5 b3b4 c5g5 a2a4 b7b6 f3f4 e6e5 f4f3 e7e6 a4a5 b6a5 b4a5 e5e4 f3e3 g5a5 e3e4 a5e5
Bad Kissingen,Bad Kissingen,1980.??.??,?,"Spassky, Boris V","Karpov, Anatoly",1/2-1/2,2615,2725,C90,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 d2d3 c6a5 b3c2 c7c5 b1d2 f8e8 d3d4 c5d4 c3d4 a5c6 d4d5 c6b4 c2b1 a6a5 a2a3 b4a6 b2b4 c8d7 d1b3 d8b8 d2f1 f6h5 f1g3 h5g3 h2g3 a6c7 a1a2 a5b4 a3b4 a8a2 b3a2 c7a8 b1d3 a8b6 a2e2 b6a4 c1e3 e8c8 e1c1 c8c1 e3c1 e7d8 f3d2 b8c8 d2b3 c8c3 d3b5 c3b3 b5d7 b3b4 d7a4 b4a4 g1h2 d8e7 g3g4 h7h6 e2d3 e7d8 c1a3 d8e7 g2g3 e7f8 h2g2
Bad Kissingen,Bad Kissingen,1980.??.??,?,"Karpov, Anatoly","Unzicker, Wolfgang",1-0,2725,2510,D58,c2c4 e7e6 b1c3 d7d5 d2d4 g8f6 g1f3 f8e7 c1g5 e8g8 e2e3 h7h6 g5h4 b7b6 d1b3 d5c4 f1c4 c8b7 e1g1 b8d7 f1d1 f6e4 h4g3 e4c3 b2c3 e7d6 a2a4 d6g3 h2g3 d8f6 f3d2 c7c5 a4a5 f6e7 c4b5 f8c8 a5b6 d7b6 b5a6 c8c7 a6b7 c7b7 d2e4 c5d4 c3d4 b6d5 b3d3 a7a5 e4c5 b7a7 d3b3 d5f6 b3b5 e7d8 d1b1 f6d7 b5a4 d7b6 a4c6 b6d7 c5b7 d8e7 b7a5 e6e5 a5b3 a7a1 b3a1 a8a2 a1c2 e5d4 c6c8 g8h7 c8c4 a2a8 c4d3 h7g8 c2d4 d7f6 b1c1 e7e4 d3e2 a8d8 e2f3 e4e5 f3f4 e5h5 f2f3 f6d5 f4e4 d5f6 e4f5 h5f5 d4f5 d8d3 g3g4 f6d7 g1f2 d7e5 c1c5 e5g6 c5c8 g8h7 f3f4 d3d5 g2g3 d5a5 c8c7 h7g8 f5d6 g6h8 e3e4 a5a2 f2f3 a2a3 f3g2 f7f6 c7e7 a3d3 e7e8 g8h7 d6f5 h8f7 e8e6 h7g8 g2f2 g8f8 e6a6 d3d8 f2e3 d8b8 a6a7 b8d8 f5d4 d8e8 a7a6 e8b8 e3d3 b8d8 d3c3 d8c8 c3b4 c8e8 d4e6 f8g8 b4c4 f7d8 e6c5 d8f7 c4d5 e8c8 c5d7 f7d8 d7c5 d8f7 a6c6 c8a8 c6c7 g8f8 c5e6 f8g8 e4e5 f6e5 f4e5 a8e8 c7d7 e8a8 e6c5 a8e8 e5e6 f7g5 d5d6 g8f8 d7a7 e8d8 c5d7 f8e8 a7a4 g5h7 d6e5 h7f8 e5f5 f8d7 e6d7 d8d7 f5g6 e8f8 a4a8 f8e7 g6g7 d7d4 a8a7 e7e8 g7h6 d4g4 a7g7 g4a4 g3g4 e8f8 g4g5 a4g4 g7a7 g4g1 h6g6 g1g2 a7a8 f8e7 a8g8
Bad Kissingen,Bad Kissingen,1980.??.??,?,"Karpov, Anatoly","Spassky, Boris V",1/2-1/2,2725,2615,B17,e2e4 c7c6 d2d4 d7d5 b1d2 d5e4 d2e4 b8d7 g1f3 g8f6 e4f6 d7f6 f3e5 c8f5 c2c3 f5g6 h2h4 f6d7 e5c4 h7h5 c1g5 f7f6 g5f4 b7b5 f1d3 g6d3 d1d3 e8f7 c4e3 d7b6 e1g1 e7e6 f1e1 f8d6 d3e4 d6f4 e4f4 d8b8 f4f3 b8d6 b2b3 b6d5 c3c4 d5e3 f2e3 b5c4 b3c4 a8e8 a1d1 h8h6 e3e4 e6e5 d4d5 c6d5 d1d5 d6e6 c4c5 h6h8 g1h2 e8e7 e1d1 f7g6 h2g3 h8c8 d5d6 e6g4 f3g4 h5g4 c5c6 e7c7 d1c1 g6h5 c1c5 c8b8 d6d7 c7d7 c6d7 b8d8 c5d5 g7g6 a2a3 a7a6 a3a4 a6a5 g3f2 h5h4 g2g3 h4g5 f2e3 f6f5
Bad Kissingen,Bad Kissingen,1980.??.??,?,"Karpov, Anatoly","Huebner, Robert",1-0,2725,2600,B85,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f1e2 e7e6 e1g1 f8e7 f2f4 e8g8 g1h1 b8c6 c1e3 c8d7 d1e1 c6d4 e3d4 d7c6 e1g3 b7b5 a2a3 g7g6 e2f3 d8d7 a1d1 d7b7 f4f5 e6e5 d4e3 b5b4 a3b4 b7b4 e3g5 b4b2 d1d3 b2c2 f3d1 c2b2 g5f6 e7f6 d3d6 c6b5 f1f2 b2c1 d6f6 a8c8 f2c2 c1a1 f5g6 h7g6 f6d6 c8c7 g3e5 f8c8 e5d5 g8g7 d5d4 g7h7 c3b5
Bad Kissingen,Bad Kissingen,1980.??.??,?,"Huebner, Robert","Unzicker, Wolfgang",1/2-1/2,2600,2510,A18,c2c4 g8f6 b1c3 e7e6 e2e4 d7d5 e4e5 d5d4 e5f6 d4c3 b2c3 d8f6 d2d4 b7b6 g1f3 c8b7 f1d3 h7h6 d1e2 f8d6 d3e4 b7e4 e2e4 c7c6 e1g1 e8g8 a2a4 f8c8 a4a5 b6a5 a1a5 f6d8 a5a4 b8d7 c4c5 d6c7 c1d2 e6e5 e4f5 d8e7 f1e1 e7e6 f5e6 f7e6 a4a6 d7b8 a6a2 b8d7 g1f1 a7a5 f3e5 c7e5 d4e5 d7c5 d2e3 c5d3 e1a1 d3e5 a2a5 a8a5 a1a5 e5c4 a5a7 c4e3 f2e3 c8f8 f1e2 f8f5 c3c4 f5h5 h2h3 h5g5 g2g4 h6h5 g4h5
