Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Bad Nauheim/Stuttgart/Garmisch,Bad Nauheim,1937.??.??,1,"Alekhine, Alexander","Bogoljubow, Efim",1-0,,,D58,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 f8e7 g1f3 h7h6 g5h4 e8g8 e2e3 b7b6 a1c1 c8b7 f1e2 d5c4 e2c4 c7c5 e1g1 b8d7 d1e2 f6e4 c3e4 e7h4 e4c3 h4f6 f1d1 d8e7 c4a6 a8b8 a6b7 b8b7 c3e4 c5d4 e3d4 f8d8 e2a6 d7b8 e4f6 g7f6 a6e2 b7d7 d1d3 d7d5 d3c3 g8h7 h2h3 a7a5 a2a3 d8g8 c3c7 b8d7 c1c6 e7f8 e2c2 f6f5 c7c8 f8e7 c8g8 h7g8 c2c1 g8g7 c1f4 e7d8 a3a4 b6b5 f4g3 g7f8 c6d6 d8a8 a4b5 a8b7 d6d5 b7d5 b5b6 d5c6 g3c7 c6c7 b6c7 d7b6 f3e5 f8e7 e5c4 b6c8 c4a5 e7d7 g1h2 d7c7 h2g3 c7d6 g3h4 d6d5 h4h5 d5d4 h5h6 e6e5 h6g5 f5f4 h3h4 f7f6 g5f6 e5e4 a5b3 d4d5 h4h5 e4e3 f2e3 f4e3 b3c1
Bad Nauheim/Stuttgart/Garmisch,Bad Nauheim,1937.??.??,1,"Saemisch, Fritz","Euwe, Max",0-1,,,D18,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 e2e3 e7e6 f1c4 f8b4 e1g1 e8g8 f3e5 c6c5 g2g4 f5g6 c3a2 b4a5 e5g6 h7g6 d4c5 b8c6 a1b1 c6b4 a2b4 a5b4 d1f3 d8e7 b2b3 a8c8 c1b2 c8c5 h2h3 f6h7 f3g3 h7f6 f2f3 f6d5 b2d4 c5a5 c4d5 a5d5 d4a7 e6e5 e3e4 d5d2 a7f2 f8c8 b1c1 c8c2 c1c2 d2c2 g1h1 b4c5 f2c5 e7c5 f1d1 g6g5 g3e1 c2f2 d1d2 f2f3 h1g2 f3b3 e1f1 g7g6 f1f6 b3g3 g2g3 c5e3 f6f3 e3d2 f3b3 d2f4 g3g2 f4e4 g2f2 e4f4 f2g2 e5e4 b3b7 f4f3 g2h2 f3f2 h2h1 f2f1 h1h2 e4e3
Bad Nauheim/Stuttgart/Garmisch,Bad Nauheim,1937.??.??,2,"Bogoljubow, Efim","Euwe, Max",1/2-1/2,,,D12,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 e2e3 c8f5 b1c3 e7e6 c4d5 c6d5 d1b3 d8c8 c1d2 b8c6 a1c1 f8e7 f3h4 f5g4 h2h3 g4h5 g2g4 h5g6 h4g6 h7g6 f1g2 c8d7 g4g5 f6h7 f2f4 c6a5 b3b5 a5c4 g2f1 a8c8 h1g1 d7b5 c3b5 a7a6 b5c3 c4d2 e1d2 h7f8 f1g2 f8d7 e3e4 d5e4 c3e4 e7b4 d2e3 e8e7 e4f2 b4d6 c1c8 h8c8 f2d3 b7b5 g1c1 c8c1 d3c1 d7b6 c1d3 b6c4 e3e2 d6c7 b2b3 c4d6 d3e5 d6f5 d4d5 e6d5 g2d5 f5d4 e2e3 d4e6 e5c6 e7d7 d5e6 d7e6 e3e4 f7f5 g5f6 g7f6 c6d4 e6d6 f4f5 g6g5 d4c2 c7a5 b3b4 a5b6
Bad Nauheim/Stuttgart/Garmisch,Bad Nauheim,1937.??.??,2,"Alekhine, Alexander","Saemisch, Fritz",1-0,,,C86,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 d1e2 b7b5 a4b3 d7d6 c2c3 e8g8 a2a4 c8g4 h2h3 g4h5 g2g4 h5g6 d2d3 c6a5 b3c2 f6d7 b2b4 a5b7 b1a3 c7c6 c2b3 d7b6 a4a5 b6d7 c1e3 g8h8 c3c4 d7f6 c4b5 a6b5 a3b5 d8d7 a5a6 b7d8 b5c3 f6g4 b4b5 g4e3 f2e3 c6b5 b3d5 d8e6 d5a8 f8a8 e2b2 e6c7 g1g2 f7f6 b2b3 g6e8 a6a7 g7g6 a1a5 h8g7 f1a1 e8f7 c3d5 c7d5 e4d5 f7e8 e3e4 f6f5 a5a6 g6g5 b3c3 g5g4 f3e5 d6e5 c3e5 g7g8 d5d6 d7c8 d6e7 c8c2 g2h1 c2f2 e5f5
Bad Nauheim/Stuttgart/Garmisch,Bad Nauheim,1937.??.??,3,"Euwe, Max","Alekhine, Alexander",1-0,,,D29,d2d4 d7d5 c2c4 d5c4 g1f3 g8f6 e2e3 e7e6 f1c4 c7c5 e1g1 a7a6 d1e2 b7b5 c4b3 c8b7 a2a4 b8d7 f1d1 f8e7 d4c5 e8g8 b3c2 e7c5 f3e5 b5b4 e5d7 f6d7 b1d2 f7f5 d2b3 b7d5 b3d4 c5d4 d1d4 b4b3 c2d3 d7b8 d3c4 b8c6 d4d2 d8b6 c4d5 e6d5 d2d5 c6b4 d5d1 b4c2 a1b1 b6c6 c1d2 c6a4 d2c3 a4b5 e2f3 a8d8 f3g3 d8d7 d1d6 f8f7 b1d1 f5f4 e3f4 a6a5 f4f5 a5a4 f5f6 g7g6 h2h4 d7d6 g3d6 h7h5 d6e6
Bad Nauheim/Stuttgart/Garmisch,Bad Nauheim,1937.??.??,3,"Saemisch, Fritz","Bogoljubow, Efim",1-0,,,D52,d2d4 d7d5 c2c4 e7e6 g1f3 g8f6 b1c3 c7c6 c1g5 b8d7 e2e3 d8a5 f3d2 f8b4 d1c2 e8g8 f1e2 d5c4 g5f6 d7f6 d2c4 a5c7 e1g1 f6d5 e2d3 g7g6 a2a3 b4e7 a1c1 c8d7 c4e5 d7e8 d3c4 a8d8 e5d3 e7d6 g2g3 c7e7 f1d1 e8d7 e3e4 d5b6 e4e5 b6c4 c3e4 b7b5 b2b3 d6a3 b3c4 a3c1 e4f6 g8g7 c2c1 h7h6 c4c5 d7c8 c1f4 a7a5 h2h4 b5b4 f4e4 d8d5 d3f4 f8d8 h4h5 d5e5 d4e5 d8d1 g1g2 d1d8 h5g6 e7c5 g6f7 g7f8 e4h7
Bad Nauheim/Stuttgart/Garmisch,Bad Nauheim,1937.??.??,4,"Bogoljubow, Efim","Alekhine, Alexander",1-0,,,C17,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 d4c5 b8c6 g1f3 f7f6 f1b5 b4c5 e1g1 c8d7 f1e1 f6e5 f3e5 c6e5 e1e5 d7b5 c3b5 g8f6 e5e6 e8f7 e6f6 g7f6 d1h5 f7g8 c1h6 d8d7 b5c7 d7f7 h5h3 a8b8 a1e1 b8d8 c7d5 d8d5 h3g4 d5g5 g4c8 c5f8 h6f8 h7h5 f2f4 g8h7
Bad Nauheim/Stuttgart/Garmisch,Bad Nauheim,1937.??.??,4,"Euwe, Max","Saemisch, Fritz",1-0,,,E38,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 c7c5 d4c5 b8c6 g1f3 b4c5 c1g5 b7b6 e2e3 c8b7 f1e2 c5e7 e1g1 a8c8 f1d1 a7a6 a1c1 c6a5 f3e5 d8c7 b2b4 e7b4 g5f6 g7f6 e5d7 b4d6 d7f6 e8e7 c3e4 b7e4 f6e4 d6h2 g1h1 h2e5 f2f4 e5g7 c2d2 a5b7 d2e1 b7c5 e1h4 f7f6 e4c3 h8d8 f4f5 c7e5 f5e6 d8d1 e2d1 c5e6 c3d5 e7f8 d1g4 c8c6 g4e6 c6e6 h4h7 e5g5 c1f1 f8f7 e3e4 e6c6 f1f5 g5h6 h7h6 g7h6 e4e5 c6c4 f5f6 f7g7 f6b6 c4a4 e5e6 a4a2 e6e7 a2e2 b6a6 h6g5 a6a8 g5e7 a8a7
Bad Nauheim/Stuttgart/Garmisch,Bad Nauheim,1937.??.??,5,"Euwe, Max","Bogoljubow, Efim",0-1,,,E36,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 d7d5 a2a3 b4e7 c1g5 h7h6 g5h4 b8d7 e2e3 e8g8 g1f3 c7c6 a1d1 f6e8 h4g3 e8d6 c4c5 d6f5 g3f4 b7b6 b2b4 b6c5 b4c5 d8a5 f1d3 f5h4 f3h4 e7h4 f4d6 f8e8 e1g1 e6e5 d3h7 g8h8 h7f5 e5d4 e3d4 d7f8 f5c8 a8c8 d1d3 h4f6 f1d1 f8e6 c3e2 e6d4 d3d4 f6d4 d1d4 a5e1
Bad Nauheim/Stuttgart/Garmisch,Bad Nauheim,1937.??.??,5,"Saemisch, Fritz","Alekhine, Alexander",0-1,,,D19,g1f3 d7d5 d2d4 g8f6 c2c4 c7c6 b1c3 d5c4 a2a4 c8f5 e2e3 e7e6 f1c4 f8b4 e1g1 e8g8 d1e2 f6e4 g2g4 f5g6 f3e5 b4c3 b2c3 b8d7 e5g6 h7g6 c1a3 f8e8 e2c2 e4f6 h2h3 f6d5 c4e2 d8h4 g1g2 e6e5 c3c4 d5f6 d4e5 d7e5 f1h1 a8d8 a1d1 d8d1 h1d1 g6g5 a3b2 e5g6 b2f6 g7f6 e2d3 g6e5 d3f5 g8g7 d1h1 c6c5 h1b1 b7b6 b1c1 e8d8 c1d1 d8e8 d1h1 e8d8 h1d1 d8d1 c2d1 e5c4 d1d5 c4e5 a4a5 b6a5 f2f4 e5g6 f5g6 g7g6 d5d8 g6g7 d8a5 g5f4 e3f4 c5c4 a5c3 h4h8 c3c4 h8a8 g2g3 a7a5 h3h4 a5a4 h4h5 a8a7
