Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Bad Niendorf,Bad Niendorf,1927.??.??,?,"Nimzowitsch, Aaron ","Ahues, Carl Oscar",1-0,,,A53,c2c4 g8f6 b1c3 d7d6 d2d4 b8d7 e2e3 e7e5 f1d3 f8e7 f2f4 e8g8 g1f3 e5d4 e3d4 d6d5 c4c5 c7c6 e1g1 a7a5 f3e5 d8c7 d1a4 f8e8 g1h1 d7f8 a4b3 f8e6 c3e2 f6d7 e5d7 c8d7 f4f5 e6f8 c1f4 c7c8 f4e5 f7f6 e5g3 a5a4 b3b4 b7b5 b4d2 e7d8 f1f3 d8c7 a1f1 e8e7 g3d6 c7d6 c5d6 e7e8 e2g3 c8d8 d2c1 d8b6 c1f4 e8d8 g3h5 a8a7 h5f6
Bad Niendorf,Bad Niendorf,1927.??.??,?,"Steiner, Lajos","Tartakower, Saviely",0-1,,,C10,e2e4 e7e6 d2d4 d7d5 b1c3 d5e4 c3e4 g8f6 e4f6 g7f6 g1f3 b7b6 f1b5 c8d7 d1e2 d7b5 e2b5 d8d7 b5h5 b8c6 c2c3 e8c8 c1e3 f8d6 e1c1 d8g8 g2g3 e6e5 f3h4 e5d4 e3d4 c6d4 d1d4 d7e6 h5b5 c8b8 b5a6 e6c8 a6c8 b8c8 h4f5 d6c5 d4f4 g8e8 b2b4 c5f8 h1d1 e8e5 c1c2 a7a5 c2b3 h7h5 f5d4 a5b4 c3b4 e5d5 b3c4 d5d7 d1e1 f8b4 c4b4 c7c5 b4b5 c5d4 f4f6 d4d3 f6c6 c8d8 c6b6 d3d2 e1d1 d8e7 b5a4 h8c8 b6b2 d7a7
Bad Niendorf,Bad Niendorf,1927.??.??,?,"Brinckmann, Alfred","Nimzowitsch, Aaron ",0-1,,,C10,e2e4 b8c6 b1c3 e7e6 d2d4 d7d5 e4e5 g8e7 g1f3 b7b6 c3e2 c8a6 e2g3 a6f1 e1f1 h7h5 c1g5 d8c8 d1d3 e7g6 c2c3 h5h4 g3e2 f8e7 h2h3 e7g5 f3g5 c6e7 f1g1 f7f6 g5f3 c8d7 g1h2 c7c5 c3c4 d7c7 c4d5 c5c4 d3c2 e6d5 h1e1 e8g8 e2c3 f6e5 f3e5 g6e5 d4e5 d5d4 c3b5 c7c5 b5d6 d4d3 c2c4 c5c4 d6c4 f8f2 a1d1 a8c8 c4e3 c8d8 e3c4 e7f5 a2a4 g8f7 e1e4 f2e2 e4f4 f7e6 f4g4 d3d2 g4g6 e6f7 g6g4 a7a6 g4f4 f7e6 c4d6 f5e3
Bad Niendorf,Bad Niendorf,1927.??.??,?,"Tartakower, Saviely","Nimzowitsch, Aaron ",1/2-1/2,,,A15,c2c4 g8f6 g1f3 b7b6 g2g3 c8b7 f1g2 g7g6 b2b3 f8g7 c1b2 e8g8 e1g1 d7d6 d2d4 b8d7 b1c3 f6e4 d1d3 e4c3 b2c3 e7e6 f3e1 b7g2 e1g2 d8e7 a1d1 f8e8 e2e4 a8d8 f2f4 c7c5 d4d5 g7c3 d3c3 e6d5 e4d5 f7f5 f1e1 e7g7 e1e8 d8e8 c3g7 g8g7 d1e1 e8e1 g2e1 d7f6 g1g2 f6e4 g2f3 e4c3 a2a4 c3e4 f3e3 e4f6
Bad Niendorf,Bad Niendorf,1927.??.??,?,"Ahues, Carl Oscar","Kmoch, Hans",1-0,,,C77,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 d2d3 d7d6 c2c3 f8e7 e1g1 e8g8 f1e1 c8d7 b1d2 d7e8 d2f1 f6d7 f1e3 f7f6 a4c2 e8f7 c2b3 d7c5 b3d5 f7d5 e4d5 c6a7 d3d4 c5d7 e3f5 a7c8 f3h4 f8f7 d1g4 g8h8 e1e3 g7g5 g4h5 d8e8 h4g6 h8g8 f5h6 g8g7 e3h3 d7f8 g6f8 g7f8 h6f7 e8f7 h5f7 f8f7 d4e5 f6e5 h3h7 f7g6 h7h8 g6g7 h8h3 c8b6 h3g3 b6d5 c1g5 e7g5 g3g5 g7f6 g5g3 d5f4 a1e1 c7c5 g3f3 f6g5 g2g3 g5g4 h2h3 f4h3 g1g2 h3g5 f3f6 e5e4 e1h1 g5f3 f6f4 g4g5 f4e4
Bad Niendorf,Bad Niendorf,1927.??.??,?,"Kostic, Boris","Nimzowitsch, Aaron ",1/2-1/2,,,B24,e2e4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 g1e2 e7e6 d2d3 g8e7 c1e3 c6d4 d1d2 e7c6 e1g1 d7d6 c3d1 d8a5 e2d4 a5d2 e3d2 c5d4 c2c3 c8d7 f2f4 d4c3 b2c3 a8c8 a1b1 b7b6 d1e3 c6a5 f1c1 c8c7 g2f1 f7f5 e4f5 g6f5 d3d4 d7c6 f1d3 c6e4 d3e4 f5e4 f4f5 e8d7 c1f1 g7h6 f5e6 d7e6 d4d5 e6d7 f1f7 d7c8 b1f1 h8d8 f7c7 c8c7 f1f6 h6e3 d2e3 a5c4 e3d4 c4e5 f6e6 e5f3 g1f2 f3d4 c3d4 b6b5 f2e3 a7a5 e3e4 d8d7 e4d3 d7f7 e6e2 f7f3 e2e3 f3e3 d3e3 h7h5 h2h3 c7d7 a2a3 d7e7 e3d3 e7f6 d3e4 f6g5 e4e3 g5f5 e3d3 h5h4 g3g4 f5f4 d3c3 f4e4 a3a4 b5a4 c3c4 a4a3 c4b3 a3a2 b3a2 e4d5 a2a3 d5d4 a3a4 d4c4 g4g5 c4d5 a4a5 d5e5 a5b5 e5f5 b5c6 f5g5 c6d6 g5f4 d6d5 f4g3 d5e4 g3h3 e4f3
Bad Niendorf,Bad Niendorf,1927.??.??,?,"Kostic, Boris","Colle, Edgar",1/2-1/2,,,D67,c2c4 g8f6 g1f3 e7e6 b1c3 d7d5 d2d4 b8d7 c1g5 f8e7 e2e3 e8g8 a1c1 c7c6 f1d3 d5c4 d3c4 f6d5 g5f4 d5f4 e3f4 d7b6 c4b3 b6d5 g2g3 d5c3 b2c3 c6c5 e1g1 d8c7 d1e2 b7b6 f1e1 e7f6 b3c2 c8b7 c2e4 a8c8 f3e5 b7e4 e2e4 c5d4 c3d4 c7c1 e1c1 c8c1 g1g2 f8c8 e5d7 c1c4 d7f6 g7f6 e4b7 c8c7 b7a8 g8g7 d4d5 e6d5 a8d5 a7a5 d5f5 a5a4 f5g4 g7f8 g4h4 f8g7 h4g4 g7f8 g4h4 f8g7
Bad Niendorf,Bad Niendorf,1927.??.??,?,"Kostic, Boris","Ahues, Carl Oscar",1/2-1/2,,,A84,c2c4 e7e6 g1f3 f7f5 g2g3 b7b6 f1g2 c8b7 e1g1 g8f6 d2d4 f8e7 b1c3 e8g8 d4d5 d8e8 f3d4 e7c5 d4b5 b8a6 d5e6 b7g2 e6d7 e8d7 d1d7 f6d7 g1g2 c7c6 f1d1 c6b5 d1d7 b5c4 c1f4 f8f7 a1d1
Bad Niendorf,Bad Niendorf,1927.??.??,?,"Kmoch, Hans","Nimzowitsch, Aaron ",0-1,,,C15,e2e4 b8c6 b1c3 e7e6 d2d4 f8b4 g1e2 d7d5 e4e5 h7h5 e2f4 g7g6 c1e3 b4c3 b2c3 c6a5 f1d3 g8e7 f4h3 c7c5 e3g5 c5c4 d3e2 a5c6 g5f6 h8g8 e1g1 d8a5 d1d2 e7f5 f1d1 e8d7 h3g5 g8f8 h2h3 d7c7 g2g4 h5g4 h3g4 f5e7 g1g2 e7g8 f6g7 f8e8 d1h1 c8d7 h1h3 c6d8 h3f3 a8c8 a1h1 a5a2 h1h7 c7b8 g5f7 d8f7 f3f7 d7c6 g7f6 a7a5 h7h1 a2b2 f6g5 e8f8 f7h7 c8c7 h7c7 b8c7 d2c1 b2c3 c1a1 c3a1 h1a1 f8a8 g5d2 b7b6 g2g3 g8e7 e2d1 c6d7 d2b4 e7c6 b4d6 c7b7 c2c3 b6b5 a1b1 b5b4 d1a4 b4b3 a4c6 b7c6 g4g5 a8a7 b1b2 a7b7 g3f4 d7c8 f4g3 b7b4 c3b4 a5a4 b4b5 c6b5 d6a3 c4c3 b2b1 b5c4 f2f4 c4d4 g3f2 d4c4 f2e1 d5d4 e1e2 c4d5 e2f3 c8b7 b1e1 d5c4 f3f2 b3b2 f4f5 e6f5 e5e6 b7c6
Bad Niendorf,Bad Niendorf,1927.??.??,?,"Kmoch, Hans","Kostic, Boris",0-1,,,C07,d2d4 e7e6 e2e4 d7d5 b1d2 c7c5 d4c5 f8c5 f1d3 g8f6 d1e2 b8c6 c2c3 d5d4 g1f3 d4c3 b2c3 e6e5 e1g1 e8g8 d2c4 d8e7 c1g5 h7h6 g5h4 g7g5 h4g3 c8g4 c4e3 c5e3 e2e3 f6h5 h2h4 h5f4 h4g5 h6g5 f3h2 g4e6 f1d1 g8g7 f2f3 f8h8 g3f2 e7f6 d3f1 h8h5 f2g3 a8h8 d1d6 f6h6 h2g4 h5h1 g1f2 h6h5 d6c6 b7c6 g4e5 h8b8 e5c4 e6c4 e3d4 g7g8 d4c4 b8b2 f2e3 f4g2
Bad Niendorf,Bad Niendorf,1927.??.??,?,"Kmoch, Hans","Colle, Edgar",1/2-1/2,,,A17,g1f3 g8f6 c2c4 e7e6 g2g3 b7b6 f1g2 c8b7 e1g1 f8e7 d2d3 e8g8 e2e4 d7d6 b1c3 c7c5 f3e1 b8c6 e1c2 f6d7 c1e3 a8c8 b2b3 a7a6 a1c1 e7f6 d3d4 d8c7 d1d2 c5d4 c2d4 d7c5 f2f4 c8d8 f1d1 c6d4 e3d4 e6e5 d4f2 e5f4 d2f4 c7e7 c3d5 b7d5 d1d5 c5d3 d5d3 f6g5 f4f5 g5c1 f2b6 d8b8 b6d4 e7g5 f5g5 c1g5 d4c3 g5e7 g2h3 b8a8 h3d7 a8d8 d7c6 d8c8 c6d5 c8b8 b3b4 e7d8 d3f3 d8f6 c3f6 g7f6 a2a3 g8g7 g1f2 h7h5 f3f5 g7g6 f2e3 f8e8 e3d4 e8e5 f5f3 f6f5 c4c5 f5e4 d5e4 f7f5 e4d3 g6f6 c5c6 b8c8 d3f5 e5f5 f3f5 f6f5 d4d5 f5f6 d5d6 c8d8 d6c7 f6e7 a3a4 d8g8 b4b5 a6b5 a4b5 e7e6 b5b6 g8g7 c7b8 g7g8 b8c7 g8g7 c7b8 g7g8 b8c7 g8g7 c7b8 g7g8 b8b7 e6d6 h2h3 g8h8 g3g4 h5g4 h3g4 h8f8 g4g5 f8g8 g5g6 g8f8 g6g7 f8g8 c6c7 d6d7 b7a7 d7c8 a7a8 c8d7
Bad Niendorf,Bad Niendorf,1927.??.??,?,"Kmoch, Hans","Brinckmann, Alfred",1-0,,,A46,d2d4 g8f6 g1f3 d7d6 g2g3 b8d7 f1g2 e7e5 e1g1 g7g6 d4e5 d6e5 b2b3 f8g7 c1a3 c7c5 b1d2 e8g8 d2c4 e5e4 f3d2 d8e7 c4e3 b7b6 c2c4 c8b7 d1c2 a8d8 a3b2 d7b8 a1d1 f8e8 f1e1 f6h5 b2g7 h5g7 d2b1 b8c6 e3d5 e7g5 b1c3 c6d4 d1d4 c5d4 c3e4 g5e5 e4f6 g8h8 f6e8 d8e8 c2d3 e8d8 f2f4 e5f5 g2e4 f5h3 d3d4 h7h5 d4f6 h3d7 e1d1 d8e8 d5c3 d7c7 e4b7 c7b7 d1d8 h8h7 d8e8 g7e8 f6e5 b7c6 c3e4
Bad Niendorf,Bad Niendorf,1927.??.??,?,"Colle, Edgar","Tartakower, Saviely",1/2-1/2,,,C10,d2d4 e7e6 e2e4 d7d5 b1c3 d5e4 c3e4 g8f6 f1d3 f8e7 g1f3 e8g8 e1g1 b8d7 d1e2 b7b6 f3e5 c8b7 e4g5 h7h6 e5f7 f8f7 g5e6 d8c8 d3g6 d7f8 g6f7 g8f7 e6g7 b7a6 c2c4 c8g4 e2g4 f6g4 g7f5 a6c4 f1d1 h6h5 f5e7 f7e7 c1g5 e7d7 b2b3 c4d5 d1e1 f8e6 h2h4 a8h8 f2f3 g4h6 g5h6 h8h6 a1d1 d7d6 g1f2 h6f6 e1e5 e6f4 e5e3 f4g6 g2g3 g6e7 d1d3 c7c6 e3e5 e7f5 e5e8 f6g6 e8e5 g6f6 e5e8
