Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
3rd GRENKE Chess Classic,Baden Baden GER,2015.02.02,1.1,"Caruana,F","Anand,V",1/2-1/2,2811,2797,C53,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d3 d7d6 b2b4 c5b6 a2a4 a7a5 b4b5 c6e7 e1g1 e8g8 h2h3 c7c6 c4b3 e7g6 f1e1 f8e8 b1d2 d6d5 d2f1 d5e4 f3g5 e8e7 g5e4 f6e4 d3e4 c8e6 a1b1 e7d7 d1c2 g6f8 f1e3 b6e3 c1e3 h7h6 e1d1 a8c8 d1d7 d8d7 b1d1 d7e8 b5c6 e8c6 b3d5 c6c3 c2c3 c8c3 d5b7 f8d7 b7a6 d7c5 e3c5 c3c5 a6b5 g8h7 d1d6 e6c4 d6b6 c4b5 b6b5 c5b5 a4b5 a5a4 b5b6 a4a3 b6b7 a3a2 b7b8q a2a1q
3rd GRENKE Chess Classic,Baden Baden GER,2015.02.02,1.2,"Bacrot,E","Baramidze,D",1/2-1/2,2711,2594,D70,d2d4 g8f6 c2c4 g7g6 f2f3 d7d5 c4d5 f6d5 e2e4 d5b6 b1c3 f8g7 c1e3 e8g8 d1d2 b8c6 e1c1 d8d6 c3b5 d6d7 c1b1 f8d8 d4d5 a7a6 b5c3 c6a5 d2c1 d7e8 h2h4 e7e6 e3f4 d8d7 f4h6 g7h6 c1h6 e8f8 h6f8 g8f8 h4h5 e6d5 e4d5 a5c4 h5g6 f7g6 f1c4 b6c4 g1h3 d7e7 h3g5 h7h5 g2g4 h5g4 c3e4 g4f3 h1h8 f8g7 h8h7 g7f8 h7h8 f8g7 h8h7
3rd GRENKE Chess Classic,Baden Baden GER,2015.02.02,1.3,"Aronian,L","Carlsen,M",1/2-1/2,2777,2865,D36,c2c4 e7e6 b1c3 d7d5 d2d4 g8f6 c4d5 e6d5 c1g5 c7c6 d1c2 f8e7 e2e3 b8d7 f1d3 h7h6 g5h4 f6h5 h4e7 d8e7 e1c1 d7b6 g1f3 c8g4 c1b1 h5f6 d1c1 f6d7 b1a1 e8c8 f3d2 c8b8 c3a4 b6a4 c2a4 e7h4 c1f1 h4f6 a4c2 d8c8 d2b3 c8c7 f1c1 h8c8 h2h3 g4e6 h1f1 h6h5 f2f4 g7g6 f4f5 g6f5 g2g4 h5g4 h3g4 d7b6 g4f5 e6d7 b3c5 c8e8 c1e1 f6d6 a2a3 d7c8 c2f2 b6d7 e3e4 d5e4 c5e4 d6f8 f1g1 e8d8 f2h2 f8h8 h2h8 d8h8 g1g7 d7b6 e4f6 h8d8 g7g4 c6c5 f6e8 c7d7 d4c5 d7d3 c5b6 a7b6 g4f4 d8d5 e1f1 d3d1 f1d1 d5d1 a1a2 d1d5 e8g7 c8d7 a2b3 b8c7 f4e4 c7d6 g7e8 d6c6 e8g7 d5d3 b3b4 d3g3 e4c4 c6d6 c4d4 d6c7 g7h5 g3g2 h5f6 d7c6 b2b3 b6b5 f6g4 g2e2 g4h6 c6e8 h6g4 e8d7 g4h6 d7e8 h6g4
3rd GRENKE Chess Classic,Baden Baden GER,2015.02.02,1.4,"Adams,Mi","Naiditsch,A",1/2-1/2,2738,2706,C07,e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 g1f3 c5d4 f3d4 g8f6 e4d5 d8d5 d4b5 b8a6 b5c3 d5d6 f1c4 f8e7 e1g1 e8g8 d1e2 f8d8 d2e4 f6e4 c3e4 d6e5 g2g3 a6b4 c2c3 b4d5 f1e1 b7b6 e4d2 e5c7 d2f3 c8b7 c4a6 b7a6 e2a6 e7f6 c1g5 f6g5 f3g5 d8d7 a1d1 a8d8 g5f3 d5e7 d1d7 c7d7 a2a4 e7c6 g1g2 h7h6 h2h4 g8f8 e1e3 d7d5 b2b4 d5d7 a4a5 d7c8 a6c8 d8c8 a5b6 a7b6 e3d3 f8e7 g2f1 b6b5 f1e2 f7f5 e2e3 g7g5 h4g5 h6g5 f3g5 c6e5 d3d1 e7f6 f2f4 c8c3 e3e2 e5c4 d1d7 c3c2 e2f3 c4d2 f3e3 d2f1 e3f3 c2c3 f3f2 f1g3 g5h7 f6g6 h7f8 g6h5 f8e6 g3e4 f2e2 c3b3 e6d4 e4g3 e2d2 b3b4 d7d5 h5g4 d2c3 b4a4 d5b5 g3e4 c3d3 a4a3 d3c2 a3c3 c2b2 c3c5 b5c5 e4c5 d4f5 g4f5
3rd GRENKE Chess Classic,Baden Baden GER,2015.02.03,2.1,"Baramidze,D","Aronian,L",1/2-1/2,2594,2777,C65,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 f8c5 b5c6 d7c6 b1d2 e8g8 e1g1 f8e8 d2c4 f6d7 a2a4 c5d6 d3d4 e5d4 c4d6 c7d6 d1d4 d8f6 f1d1 f6d4 d1d4 d7f6 d4d6 f6e4 d6d3 c8f5 c1e3 e4f6 d3b3 b7b6 c2c4 f6e4 a4a5 f5e6 b3a3 a8b8 f3d4 e6d7 a5b6 a7b6 a3a7 e4f6 b2b4 c6c5 b4c5 b6c5 d4f3 b8c8 a1a5 d7e6 f3e5 f6g4 e5g4 e6g4 h2h3 g4e2 a5c5 c8c5 e3c5 e2c4 a7e7 e8e7 c5e7 c4e2 e7c5 h7h6 c5e7 e2c4 e7c5 f7f6 f2f3 g8f7 g1f2 g7g5 c5d4
3rd GRENKE Chess Classic,Baden Baden GER,2015.02.03,2.2,"Carlsen,M","Adams,Mi",1-0,2865,2738,A29,c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 g2g3 f8b4 c3d5 b4c5 f1g2 d7d6 e1g1 e8g8 d2d3 f6d5 c4d5 c6d4 f3d4 e5d4 c1d2 a7a5 e2e4 d4e3 f2e3 d8g5 f1f4 c8d7 a2a4 a8e8 d3d4 c5b6 d1b3 g5d8 b3c4 e8e7 b2b4 a5b4 a4a5 b6a7 c4b4 c7c5 d5c6 d7c6 b4b3 c6g2 g1g2 d8d7 a1f1 f8c8 f4f5 h7h6 f1f2 a7b8 d2b4 d7c6 f2f3 c8c7 b4e1 c6e8 g3g4 e7e4 h2h3 c7e7 e1f2 e4e6 f5b5 b8c7 b5b7 e8a8 b7b5 e7e8 b3d5 a8d5 b5d5 e8b8 f2g3 g7g6 h3h4 b8a8 g3e1 e6e4 g4g5 h6h5 d5b5 a8a7 g2f1 e4e8 f1e2 e8a8 f3f6 a7a6 e1b4 c7a5 b5a5 a6a5 b4a5 a8a5 f6d6 g8f8 d6f6 a5a3 e2f3 f8e7 f3e4 a3a5 f6f4 a5b5 d4d5 b5b3 e4d4 b3a3 e3e4 a3b3 d4e5 b3d3 f4f1 d3h3 f1a1 h3h4 d5d6 e7d7 a1a7 d7e8 a7a8 e8d7 a8f8
3rd GRENKE Chess Classic,Baden Baden GER,2015.02.03,2.3,"Anand,V","Naiditsch,A",1/2-1/2,2797,2706,D41,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 c7c5 c4d5 f6d5 e2e4 d5c3 b2c3 c5d4 c3d4 f8b4 c1d2 b4d2 d1d2 e8g8 a1c1 b8c6 f1c4 d8a5 d4d5 e6d5 d2a5 c6a5 c4d5 c8e6 d5e6 f7e6 f3e5 f8d8 e1e2 d8d4 e2e3 d4a4 h1d1 a5c6 e5c6 b7c6 d1d2 a8c8 c1c5 g8f8 h2h4 h7h6 e3f4 f8e7 f4e5 c8b8 c5c6 b8b5 e5f4 b5a5 f2f3 g7g5 h4g5 h6g5 f4g3 a4a2 c6c7 e7f6 d2d7 f6e5 d7g7 e5d6 c7d7 d6c6 d7d1 a7a6 g7d7 a5e5 d7d8 a6a5 d1c1 c6b7 d8c8 a2b2 c1c6 a5a4 c6c7 b7b6 c7c4 b6b5 c4d4 a4a3 c8a8 e5c5 a8a3 c5c2 g3g4 c2g2 g4h5 g2g3 d4d3 b2h2 h5g6 h2h3 a3b3 b5c4 b3c3 c4b4 c3b3
3rd GRENKE Chess Classic,Baden Baden GER,2015.02.03,2.4,"Caruana,F","Bacrot,E",1/2-1/2,2811,2711,E60,d2d4 g8f6 c2c4 g7g6 f2f3 d7d6 e2e4 f8g7 g1e2 e8g8 c1e3 c7c5 d1d2 b8c6 d4d5 c6e5 e2c3 f6h5 f1e2 f7f5 b1a3 f5f4 e3f2 c8d7 a3c2 a7a6 a2a4 g6g5 a4a5 d8e8 a1b1 b7b5 a5b6 a6a5 c2a3 e8b8 a3b5 b8b6 b1a1 f8b8 a1a3 b6d8 e1d1 h7h6 d1c2 h5f6 h2h4 d7e8 h4g5 h6g5 g2g3 f6h5 h1g1 b8b7 g3f4 g5f4 f2h4 a5a4 h4g5 e5g6 g1a1 d8c8 e2f1 h5g3 f1d3 e8b5 c3b5 c8h3 g5f4 g6f4 d2f4 a8f8 f4d2 f8f3 a3a4 g7h6 a4a8 g8f7 a8h8 h6d2 h8h3 d2f4 h3h7 f7g6 h7h2 f4e5 a1a8 g6g5 d3e2 f3f7 a8g8 f7g7 g8f8 g7g6 e2d3 g6f6 h2f2 f6f2 f8f2 b7b8 c2b3 e5d4 f2f3 g5g4 f3f7 d4f6 b3c2
3rd GRENKE Chess Classic,Baden Baden GER,2015.02.04,3.1,"Adams,Mi","Baramidze,D",1-0,2738,2594,C84,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 d2d3 d7d6 c2c3 e8g8 f1e1 b7b5 a4c2 d6d5 b1d2 d5e4 d3e4 c8e6 a2a4 e7c5 d1e2 c5a7 h2h3 f6h5 d2f1 d8f6 c2d3 c6e7 a4b5 a6b5 a1a7 a8a7 c1g5 f6g6 e2e3 f7f6 e3a7 f6g5 f3e5 g6f6 e5g4 e6g4 h3g4 h5f4 d3b5 f4g2 g1g2 e7g6 f1h2 g6f4 g2h1 f4h3 a7e3 h3f2 h1g2 f6e5 b5c4
3rd GRENKE Chess Classic,Baden Baden GER,2015.02.04,3.2,"Aronian,L","Caruana,F",0-1,2777,2811,E32,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 e8g8 c1g5 c7c5 d4c5 d8a5 g5d2 a5c5 e2e3 c5c7 g1f3 b4e7 f1d3 b8c6 a2a3 b7b6 c3b5 c7b8 d2c3 h7h6 a1d1 a7a6 b5d4 c6d4 c3d4 d7d6 e1g1 c8d7 e3e4 e6e5 d4c3 f8c8 c2e2 d7e6 f3h4 g7g6 g2g3 b8c7 h4g2 e6c4 g2e3 c4d3 d1d3 f6e4 c3e5 d6e5 e3d5 c7d6 e2e4 e7f8 f1d1 b6b5 e4f3 g8g7 d5c3 d6e6 d3d7 f8c5 f3e4 a8a7 d7d8 c8d8 d1d8 c5f2 g1g2 f2b6 d8d2 a7c7 e4a8 b6d4 c3e2 c7d7 b2b4 h6h5
