Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Barmen MT playoff-2pl,Barmen,1869.??.??,?,"Von Minckwitz, Johannes","Zukertort, Johannes Hermann",0-1,,,C80,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 f1e1 e4c5 a4c6 d7c6 f3e5 f8e7 d2d4 c5e6 c2c3 e8g8 f2f4 f7f6 e5d3 d8d5 c1e3 b7b5 b1d2 c8b7 d1b3 f8e8 e1e2 c6c5 b3d5 b7d5 f4f5 c5d4 e3f2 d4c3 b2c3 d5c4 d2c4 b5c4 d3b2 e6f4 e2e4 f4d3 b2c4 d3f2 g1f2 e7c5 f2f3 e8d8 a1c1 d8d3 f3g4 g8f7 c1c2 g7g5 g2g3 a8h8 g4h5 d3d5 c4e3 c5e3 e4e3 h8e8 e3e8 f7e8 g3g4 d5d3 h5h6 e8f7 h2h4 g5h4 h6h7 h4h3 h7h6 d3g3 c2h2 g3c3 h6h5 c7c5 h2b2 c3g3 b2b7 f7e8 h5g6 g3g4 g6f6 g4h4 f6e6 e8d8 f5f6 h4h6 b7d7 d8e8 d7b7 e8d8 b7d7 d8c8 d7d1 h3h2 d1h1 c8d8 h1d1 d8e8 d1b1 h6f6 e6f6
Barmen MT playoff-2pl,Barmen,1869.??.??,?,"Schallopp, Emil","Von Minckwitz, Johannes",0-1,,,C51,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b6 e1g1 d7d6 a2a4 a7a6 a4a5 b6a7 b4b5 a6b5 c4b5 g8e7 d2d4 e5d4 f3d4 c8d7 d4c6 e7c6 c1b2 e8g8 g1h1 d8g5 e4e5 c6e5 f2f4 g5d8 f4e5 d7b5 f1f3 d6e5 d1e1 b5c6 f3d3 d8g5 d3g3 g5f5 b2e5 f8e8 g3g7 g8f8 e1b4 e8e7 b1c3 f5e5 g7h7 f8g8
Barmen MT,Barmen,1869.??.??,1,"Schallopp, Emil","Paulsen, Wilfried",1-0,,,C41,e2e4 e7e5 g1f3 d7d6 d2d4 g8f6 b1c3 e5d4 f3d4 f8e7 f2f4 e8g8 f1e2 c8d7 e1g1 c7c5 d4f3 d7c6 e4e5 d6e5 f3e5 d8c7 c1e3 f8d8 d1e1 c6e8 e1g3 b8c6 a2a3 c6d4 e2d3 b7b5 e3d4 c5d4 c3e4 f6e4 d3e4 a8c8 e5g4 g7g6 e4d3 g8h8 a1e1 f7f5 g4e5 e7f6 h2h4 c7g7 g1f2 a7a6 f1h1 d8d5 h4h5 f6e5 h5h6 g7f6 f4e5 f6e6 g3g5 c8c5 g5f6 e6f6 e5f6 d5e5 b2b4 c5d5 f2g3 e5e3 e1e3 d4e3 g3f4 e8f7 h1e1 d5d6 e1e3 d6f6 e3e7 h8g8 e7c7 f6e6 c2c4 b5c4 c7c8 e6e8 c8e8 f7e8 d3c4 g8f8 c4a6 f8e7 a6c4 e7f6 b4b5 g6g5 f4e3 f6e5 a3a4 g5g4 g2g3 e5d6 e3f4 e8g6 c4d3
Barmen MT,Barmen,1869.??.??,1,"Zukertort, Johannes Hermann","Hein, R.",1-0,,,C54,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d4 e5d4 c3d4 c5b4 c1d2 b4d2 b1d2 d7d5 e4d5 f6d5 d1b3 c6e7 e1g1 e8g8 f1e1 c7c6 f3e5 f7f6 e5d3 g8h8 d3c5 b7b6 c5e6 c8e6 e1e6 d5f4 e6e4 e7d5 c4d5 f4d5 a1e1 d8d7 b3a4 g7g5 e4e6 a8c8 a4c2 f8e8 c2f5 e8e6 e1e6 c8e8 e6e8 d7e8 d2e4 h8g7 h2h4 g5h4 f5g4 e8g6 g4d7 g7h6 e4d6 d5f4 d6f5 h6h5 f5e3 f4e2 g1h2 g6e4 d7f7 e4g6 f7c4 e2g3 c4c6 h5h6 c6f3 g3h5 d4d5 g6g5 d5d6 g5f4 f3f4 h5f4 d6d7 f4e6 e3f5 h6g5 f5d6 e6d8 d6c8 g5f5 c8a7 f5e6 a7c8 b6b5 c8b6 e6d6 h2h3 d6c6 b6c8 c6d7 c8a7 b5b4 h3h4 d7e6 h4h5 e6f7 f2f4 f7g7 f4f5 g7g8 a2a4 b4a3 b2a3 d8b7 a3a4 b7a5 a7c8 a5c4 c8e7 g8f7 e7c6
Barmen MT,Barmen,1869.??.??,1,"Von Minckwitz, Johannes","Anderssen, Adolf",0-1,,,C77,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 d2d3 d7d6 a4c6 b7c6 h2h3 g7g6 b1c3 f8g7 c1g5 h7h6 g5e3 e8g8 d1d2 g8h7 g2g4 d6d5 e3c5 f8e8 e1c1 a6a5 f3h2 c8e6 c1b1 f6d7 c5a3 a5a4 d1f1 d8b8 f2f4 e5f4 f1f4 b8b7 b1a1 e8b8 h1b1 g6g5 f4f1 d5e4 c3e4 e6a2 b1e1 a2e6 d3d4 b7b5 h2f3 b5c4 e4c3 c6c5 e1d1 c5d4 f3d4 d7e5 d4e6 c4e6 c3d5 b8d8 d2e2 a8c8 d5e7 d8d1 f1d1 c8e8 e7f5 g7h8 e2b5 e5c4 b5a4 e8b8 c2c3 c4a3 a4a3 e6e2 d1c1 e2e4 f5g3 e4e3 c1f1 e3g3 f1f7 h7g8 a3e7 b8a8 a1b1 g3d3 b1c1 a8a1
Barmen MT+,Barmen,1869.??.??,1,"Von Minckwitz, Johannes","Schallopp, Emil",1/2-1/2,,,C77,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 d2d3 d7d6 a4c6 b7c6 h2h3 g7g6 b1c3 f8g7 c1g5 h7h6 g5e3 e8g8 d1d2 g8h7 g2g4 d6d5 e3c5 f8e8 e1c1 f6g4 h3g4 c8g4 f3g5 h7g8 d1g1 d5d4 c3a4 g7f6 g1g4 f6g5 g4g5 d8g5 d2g5 h6g5 c5b4 g8g7 a4c5 f7f5 b4a5 e8e7 h1g1 g5g4 e4f5 g6f5 f2f3 g7f6 f3g4 a8g8 g4g5 g8g5 g1g5 f6g5 a5c7 e7c7 c5e6 g5g4 e6c7 f5f4 c1d2 g4g3 c7a6 e5e4 a6c5 e4e3 d2e1 f4f3 c5e6 g3g2 e6f4 g2g1 f4e2 g1g2
Barmen MT+,Barmen,1869.??.??,1,"Von Minckwitz, Johannes","Zukertort, Johannes Hermann",1/2-1/2,,,C77,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 d2d3 d7d6 a4c6 b7c6 h2h3 g7g6 b1c3 f8g7 c1g5 h7h6 g5e3 e8g8 d1d2 g8h7 g2g4 d6d5 e3c5 f8e8 e1c1 c8e6 c1b1 f6d7 c5a3 d8b8 f3h4 b8b6 b1a1 d7c5 a3c5 b6c5 d1g1 a6a5 a2a3 e8b8 c3a2 d5d4 h4g2 g7f8 g1b1 f8d6 h1f1 b8b7 f2f4 a8b8 c2c4 d4c3 a2c3 e5f4 g2f4 d6e5 f4e6 f7e6 f1c1 g6g5 c1c2 b7b3 a1a2 e5d6 d2c1 c5d4 c1d2 d4c5 d2c1 c5d4 c1d2 h7g6 b1f1 d6f4 d2e2 b8b6 h3h4 b3b2 c2b2 d4c3 h4h5 g6h7 b2b6 c7b6 f1b1 f4d6 b1b6 c3a3 a2b1 d6e5 b6b7 h7g8 d3d4 e5d4 e2c4 a3d6 c4a4 d4g7 a4c2 c6c5 c2a4 d6d3
Barmen MT+,Barmen,1869.??.??,1,"Paulsen, Wilfried","Von Minckwitz, Johannes",1/2-1/2,,,A00,d2d4
Barmen MT,Barmen,1869.??.??,2,"Anderssen, Adolf","Hein, R.",1-0,,,C51,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 d7d5 e4d5 c6b4 e1g1 b4d5 f3e5 c7c6 d2d4 c5b6 b1c3 g8e7 c1a3 c8e6 c4d5 e6d5 a3e7 e8e7 c3d5 d8d5 f1e1 e7f8 c2c4 d5d8 d1f3 d8c7 d4d5 b6c5 d5c6 b7c6 a1d1 a8e8 d1d7
Barmen MT,Barmen,1869.??.??,2,"Zukertort, Johannes Hermann","Von Minckwitz, Johannes",0-1,,,C77,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 d2d3 d7d6 a4c6 b7c6 h2h3 g7g6 b1c3 f8g7 c1g5 h7h6 g5e3 e8g8 d1d2 g8h7 g2g4 d6d5 e3c5 f8e8 e1c1 a6a5 h1g1 f6d7 c5a3 d7b6 h3h4 c8e6 h4h5 g6g5 c1b1 a5a4 f3h2 b6d7 f2f3 d8b8 b1a1 b8b6 c3e2 d5d4 h2f1 g7f8 a3f8 e8f8 a2a3 d7c5 d1b1 f8b8 e2c1 a8a5 c2c4 d4c3 d2c3 b6a7 g1g2 c5b3 c1b3 b8b3 c3c2 a7d4 b1d1 a5c5
