Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Investbanka,Belgrade,1997.11.11,1,"Kovacevic, Aleksandar","Kramnik, Vladimir",0-1,2525,2770,C42,e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5f3 f6e4 d2d4 d6d5 f1d3 b8c6 e1g1 f8e7 c2c4 c6b4 d3e2 c8e6 b1c3 e8g8 c1e3 e6f5 a1c1 d5c4 e2c4 c7c6 f3e5 e4c3 b2c3 b4d5 d1f3 f5e6 e3d2 f7f6 e5d3 d8d7 f1e1 e7d6 h2h3 e6f7 c4b3 a8e8 f3g4 e8e1 c1e1 f8d8 g4d7 d8d7 d3f4 d5c7 f4e6 c7e6 b3e6 f7e6 e1e6 g8f7 e6e1 d6e7 d2e3 d7d5 g1f1 d5a5 e1e2 a5a3 e2c2 f7e6 f1e2 b7b5 e3c1 a3a4 e2d3 e6d5 c2e2 e7d6 e2c2 h7h5 c1e3 d6c7 e3c1 c7d6 c2e2 c6c5 d4c5 d6c5 f2f3 c5d6 c1e3 d6e5 e3c1 a7a6 e2c2 g7g6 c1e3 g6g5 e3d2 g5g4 h3g4 h5g4 d2e3 g4g3 e3c1 a4h4 c2e2 h4h1 c1e3 f6f5 e3d2 h1a1 d2e3 a1f1 e2c2 f1d1 d3e2 d1a1 e2d3 f5f4 e3b6 e5d6 b6d4 a1e1 d3d2 e1h1 d2d3 h1b1 c2e2 a6a5 d3c2 b1f1 c2d3 a5a4 e2b2 b5b4 b2d2 f1c1 d4f6 b4b3 a2b3 a4b3 d2b2 c1d1 d3e2 d1g1 e2d3 d6c5 f6d4 c5d4 c3d4 g1e1
Investbanka,Belgrade,1997.11.11,1,"Anand, Viswanathan","Lautier, Joel",0-1,2765,2660,B33,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 d4b5 d7d6 c1f4 e6e5 f4g5 a7a6 b5a3 b7b5 g5f6 g7f6 c3d5 f8g7 c2c4 f6f5 c4b5 c6d4 f1d3 c8e6 e1g1 e8g8 a3c2 d4c2 d3c2 f5e4 b5a6 a8a6 c2e4 f7f5 e4d3 a6c6 d3e2 c6c5 d5c3 e5e4 a1c1 d6d5 c3a4 c5c1 d1c1 d5d4 a4c5 e6d5 e2c4 g8h8 c5e6 d5e6 c4e6 d4d3 c1c4 d8f6 b2b3 f8e8 e6d5 e8d8 g2g3 f6e5 d5b7 e5e7 b7d5 e7e5 d5b7 e5e7 b7d5 e7d6 d5b7 d6b6 c4c6 b6d4 c6e6 d3d2 e6f5 d8f8
Investbanka,Belgrade,1997.11.11,1,"Shirov, Alexei","Gelfand, Boris",1-0,2700,2695,B90,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 e7e5 d4b3 c8e6 d1d2 b8d7 f2f3 f8e7 g2g4 h7h6 e1c1 b7b5 c1b1 d7b6 d2f2 a8b8 b3c5 b5b4 c3e2 b6c4 c5e6 f7e6 e2g3 c4e3 f2e3 f6d7 f1a6 d7c5 a6c4 e7g5 e3e2 b8a8 e2e1 a8b8 g3e2 g5h4 e1d2 e8g8 h1f1 b8b6 e2c1 h4g5 d2e2 d8e7 c1d3 c5d3 d1d3 g8h8 f1d1 f8c8 c4b3 c8c5 e2e1 g5h4 e1g1 h4g5 c2c3 b4c3 d3c3 c5c3 g1b6 c3f3 b6d6 e7d6 d1d6 f3f1 d6d1 f1f2 b3e6 g7g6 a2a4 g5e3 d1d7 e3d4 d7b7 f2h2 a4a5 h2h1 b1a2 h1c1 b2b4 h6h5 g4h5 g6h5 a2b3 h5h4 b4b5 h4h3 e6h3 c1c3 b3b4 c3h3 a5a6 h3h4 a6a7 d4a7 b7a7 h4e4 b4c5
Investbanka,Belgrade,1997.11.11,1,"Ivanchuk, Vassily","Georgiev, Kiril",1-0,2725,2670,B36,c2c4 c7c5 g1f3 g7g6 d2d4 c5d4 f3d4 b8c6 e2e4 g8f6 b1c3 d7d6 f2f3 c6d4 d1d4 f8g7 c1e3 e8g8 d4d2 c8e6 a1c1 d8a5 b2b3 f8c8 f1e2 a7a6 c3a4 a5d2 e1d2 f6d7 g2g4 f7f5 e4f5 g6f5 h2h3 c8f8 f3f4 d7f6 h1g1 a8d8 e3b6 d8c8 a4c3 c8c6 b6e3 f5g4 h3g4 d6d5 f4f5 f8d8 d2e1 d5d4 c1d1 c6d6 c4c5 f6d5 c5d6 d5e3 d6e7 d8e8 f5e6 e8e7 c3e4
Investbanka,Belgrade,1997.11.12,2,"Gelfand, Boris","Ljubojevic, Ljubomir",1/2-1/2,2695,2565,A30,g1f3 c7c5 c2c4 g8f6 b1c3 e7e6 g2g3 b7b6 f1g2 c8b7 e1g1 f8e7 f1e1 d7d6 e2e4 a7a6 d2d4 c5d4 f3d4 d8c7 c1e3 e8g8 a1c1 b8d7 f2f4 f8e8 e3f2 e7f8 d1e2 h7h5 h2h3 g7g6 e4e5 b7g2 g1g2 f6h7 d4f3 a8c8 b2b3 d6e5 f4e5 e8d8 f2d4 d7c5 c1d1 f8e7 e2e3 c7c6 g2h2 d8d7 d4c5 e7c5 e3e4 c6e4 c3e4 c8d8 d1d7 d8d7 h2g2 g8g7 g3g4 h5g4 h3g4 g6g5 e1e2
Investbanka,Belgrade,1997.11.12,2,"Georgiev, Kiril","Beliavsky, Alexander G",1/2-1/2,2670,2710,D58,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8e7 c1g5 h7h6 g5h4 e8g8 e2e3 b7b6 d1b3 c8b7 h4f6 e7f6 c4d5 e6d5 a1d1 f8e8 f1d3 c7c5 d4c5 b8d7 c5c6 b7c6 e1g1 d7c5 b3c2 d8e7 d3b5 c6b5 c3b5 e8d8 b5d4 c5e6 c2b3 a8c8 d1d2 c8c4 b3d1 e6d4 f3d4 f6d4 d2d4 c4d4 d1d4 e7e4 f1c1 e4d4 e3d4 d8e8 g1f1 e8e4 c1c8 g8h7 c8c7 a7a5 c7f7 e4d4 f1e2 d4b4 b2b3 a5a4 f7f3 a4b3 a2b3 g7g5 h2h3 h7g6 e2d2 d5d4 d2c2 b4b5 g2g4 h6h5 c2d2 h5g4 h3g4 b5b4 d2e2 g6g7
Investbanka,Belgrade,1997.11.12,2,"Ivanchuk, Vassily","Kovacevic, Aleksandar",1-0,2725,2525,B36,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g7g6 c2c4 g8f6 b1c3 d7d6 f1e2 c6d4 d1d4 f8g7 c1e3 e8g8 d4d2 c8e6 e1g1 d8a5 a1b1 f8c8 b2b3 b7b5 b3b4 a5c7 e4e5 d6e5 c3b5 c7b7 f1c1 c8d8 d2e1 f6g4 e3c5 e5e4 e2g4 e6g4 b5c3 g4f5 c3d5 d8d7 c5e3 e7e6 d5c3 a8c8 e1e2 h7h5 h2h3 h5h4 c3a4 g7d4 a4c5 d4c5 e3c5 e4e3 b1b2 e3f2 c5f2 g6g5 b4b5 b7e4 c4c5 e4e2 b2e2 f5d3 e2b2 a7a6 a2a4 a6b5 a4b5 d7b7 b5b6 d3e4 b2e2 e4d5 e2e5 f7f6 e5d5 e6d5 c5c6
Investbanka,Belgrade,1997.11.12,2,"Kramnik, Vladimir","Anand, Viswanathan",0-1,2770,2765,D43,g1f3 g8f6 c2c4 e7e6 b1c3 d7d5 d2d4 c7c6 c1g5 h7h6 g5h4 d5c4 e2e4 g7g5 h4g3 b7b5 f1e2 c8b7 e4e5 f6h5 a2a4 a7a6 f3g5 h5g3 g5f7 e8f7 f2g3 f7g8 e1g1 b8d7 e2g4 d8e7 c3e4 h8h7 e4d6 a8b8 b2b4 h6h5 g4h3 f8h6 g1h1 h6g5 d1c2 h7g7 c2e2 b7a8 e2h5 b8f8 d6e4 c6c5 e4g5 a8d5 g5f3 c5b4 a4b5 a6b5 f3h4 e7g5 f1f8 d7f8 h5e8 g7f7 h4f3 g5g6 e8b5 b4b3 a1f1 g6d3 h1g1 d3e3 g1h1 c4c3 h3e6 d5e6 d4d5 f7f3 g2f3 e6h3 b5c4 h3f1 c4g4 g8h7 e5e6 f8g6
Investbanka,Belgrade,1997.11.12,2,"Lautier, Joel","Shirov, Alexei",1/2-1/2,2660,2700,E76,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f4 e8g8 g1f3 c7c5 d4d5 b7b5 c4b5 a7a6 a2a4 a6b5 f1b5 c8a6 c1d2 a6b5 a4b5 a8a1 d1a1 d8b6 e1g1 b8d7 a1e1 b6b7 e4e5 f6d5 e5e6 d7b6 e6f7 f8f7 f3g5 g7d4 g1h1 f7f5 e1e6 g8h8 g5f7 h8g7 f7d8 b7a8 d8c6 a8g8 e6g8 g7g8 c3d5 b6d5 b5b6 d5b6 c6e7 g8f7 e7f5 g6f5 d2c3 f7e6 f1e1 e6d5 g2g4 f5g4 f4f5 b6d7 e1e7 d7f6 h1g2 h7h5 g2g3 f6e4 e7e4 d5e4 f5f6 d4f6 c3f6 d6d5 g3h4 d5d4 h4h5 e4f3 h5g5 d4d3 f6c3 c5c4 g5f5 f3e2 f5g4
Investbanka,Belgrade,1997.11.13,3,"Shirov, Alexei","Kramnik, Vladimir",1/2-1/2,2700,2770,C43,e2e4 e7e5 g1f3 g8f6 d2d4 f6e4 f1d3 d7d5 f3e5 b8d7 e5d7 c8d7 e1g1 f8d6 b1c3 e4c3 b2c3 e8g8 d1h5 f7f5 a1b1 b7b6 h5f3 c7c6 c1f4 d8c7 f4d6 c7d6 f1e1 a8e8 e1e8 f8e8 c3c4 d6a3 h2h4 a3a2 b1f1 d5c4 d3f5 d7f5 f3f5 c4c3 f5d3 a2d5 d3c3 e8e4 c3g3 e4d4 g3b8 d5d8 b8a7 h7h6 a7a2 g8h8 g2g3 b6b5 a2e6 d8d5 e6d5 d4d5 f1a1 d5c5 a1a2 h8h7 g1f1
