Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Berlin2,Berlin,1920.??.??,?,"Saemisch, Fritz","Schonmann, W.",1/2-1/2,,,E72,d2d4 g8f6 c2c4 d7d6 b1c3 g7g6 e2e4 f8g7 g1e2 e8g8 g2g3 b8d7 f1g2 e7e5 e1g1 c7c6 b2b3 f8e8 c1b2 d8c7 d1d2 d7f8 a1d1 c8d7 h2h3 a8d8 g1h2 c6c5 d4e5 d6e5 c3d5 f6d5 e4d5 c7d6 f2f4 f7f5 d1e1 e5e4 b2g7 g8g7 e2c3 h7h5 h3h4 f8h7 c3d1 h7f6 d1e3 b7b5 g2h3 b5b4 e1a1 a7a5 a2a4 g7f7
Berlin2,Berlin,1920.??.??,?,"Saemisch, Fritz","Schropp, A.",1-0,,,D02,d2d4 d7d5 c1f4 g8f6 e2e3 e7e6 c2c3 f8e7 b1d2 e8g8 f1d3 c7c5 g1f3 b8c6 e1g1 f6h5 d4c5 h5f4 e3f4 e7c5 d1e2 d8f6 g2g3 h7h6 d2b3 c5b6 f3e5 g7g6 a1d1 f6g7 g1g2 c6e7 h2h4 f7f6 e5f3 c8d7 b3d4 g7f7 d1e1 f8e8 e2d2 h6h5 e1e2 e7c6 f1e1 a7a6 d3c2 a8d8 d2d3 g8g7 d4e6 d7e6 e2e6 e8e6 e1e6 f7e6 d3g6 g7f8 f3g5 e6g8 g6f6 f8e8 c2f5 d5d4 g5e6 d8d7 f5g6 d7f7 e6g5
Berlin2,Berlin,1920.??.??,?,"Gobl, F.","Sprecher, L.",1-0,,,C10,d2d4 e7e6 e2e4 d7d5 b1c3 d5e4 c3e4 c8d7 g1f3 d7c6 f1d3 b8d7 d1e2 g8f6 e1g1 f8e7 f1e1 f6e4 d3e4 c6e4 e2e4 c7c6 b2b3 d7f6 e4e2 e8g8 c1b2 d8a5 f3e5 f8d8 e5f7 g8f7 e2e6 f7g6 e1e5 d8d5 e6f5 g6f7 f5e6 f7g6 c2c4 d5e5 d4e5 a5d2 e5f6 g7f6 e6e7 d2b2 a1e1 b2a2 h2h4 a2d2 h4h5 g6h5 e7f7 h5g5 f7g7 g5h5 g2g4 h5h4 g7h7 h4g4 e1e4 g4g5 f2f4 g5g4 f4f5 g4f3 h7h1 f3g3 h1h4 g3f3 h4g4
Berlin2,Berlin,1920.??.??,?,"Zirker, E.","Schonmann, W.",0-1,,,C28,e2e4 e7e5 g1f3 b8c6 b1c3 f8b4 f1c4 g8f6 d2d3 d7d6 e1g1 c8g4 c1e3 d8d7 c3d5 b4a5 c2c3 f6d5 c4d5 e8c8 d1a4 g4f3 g2f3 a5b6 e3b6 c7b6 g1h1 c8b8 f1g1 g7g6 b2b4 h8f8 a4b3 d8e8 a2a4 f7f5 a4a5 b6b5 g1g5 f5e4 d5e4 a7a6 d3d4 e5d4 c3c4 e8e4 f3e4 d7e6 b3g3 e6e4 h1g1 c6e5 c4b5 a6b5 g5e5 d6e5 f2f3 f8f3
Berlin2,Berlin,1920.??.??,?,"Zirker, E.","Blumich, Max",1/2-1/2,,,C66,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 b1c3 d7d6 d2d4 e5d4 f3d4 c8d7 e1g1 f8e7 f1e1 e8g8 c1g5 f8e8 f2f4 h7h6 g5h4 f6g4 h4g3 c6d4 d1d4 d7b5 c3b5 c7c6 b5c3 e7f6 d4d2 d8b6 g1h1 b6b2 e4e5 d6e5 a1b1 b2a3 c3e4 h6h5 e4f6 g4f6 f4e5 f6h7 b1b7 h7f8 d2f4 e8e7 b7e7 a3e7 f4f3 e7e6 f3h5 e6a2
Berlin2,Berlin,1920.??.??,?,"Woehl, E.","Saemisch, Fritz",0-1,,,C64,e2e4 e7e5 g1f3 b8c6 f1b5 f8c5 b5c6 d7c6 d2d3 f7f6 c1e3 c5d6 e1g1 c8g4 b1d2 g8e7 f1e1 c6c5 d2f1 d8d7 f1g3 h7h5 h2h3 h5h4 g3f1 g4h5 f1h2 g7g5 d1e2 e8c8 e2f1 d8g8 g1h1 e7g6 f3g1 g5g4 h3g4 h5g4 h2g4 d7g4 f1e2 g4e6 g1h3 h8h7 e1g1 h7g7 h1h2 b7b6 b2b3 f6f5 f2f3 f5f4 e3d2 g6f8 d2e1 d6e7 a1d1 f8h7 e1f2 g7g3 e2f1 h7g5 a2a4 g3h3 g2h3 g5f3 h2h1 f3g1 f2g1 g8g3 h1h2 f4f3 d1d2 e7g5
Berlin2,Berlin,1920.??.??,?,"Woehl, E.",Krusius,1-0,,,C10,e2e4 e7e6 d2d4 d7d5 b1d2 d5e4 d2e4 b8d7 g1f3 f8e7 f1d3 g8f6 e1g1 b7b6 f3e5 c8b7 d1f3 a8b8 e4f6 e7f6 e5c6 e8g8 f3h3
Berlin2,Berlin,1920.??.??,?,"Woehl, E.","Gobl, F.",0-1,,,C11,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4d5 f6d5 c3d5 d8d5 g1f3 b8c6 f1d3 c8d7 c1e3 e8c8 e1g1 d5h5 f3g5 h5d1 a1d1 d7e8 d3b5 f8e7 b5c6 b7c6 g5f3 f7f6 f3d2 e8g6 c2c3 h7h5 d2b3 h5h4 b3a5 c8d7 b2b4 a7a6 f1e1 h8h5 a2a3 e7d6 e1e2 h4h3 g2g4 h5a5 b4a5 g6e4 e2e1 e4f3 d1b1 d8h8 c3c4 h8h4 b1b8 h4g4 g1f1 d6h2
Berlin2,Berlin,1920.??.??,?,"Seitz, Jakob Adolf","Zirker, E.",1-0,,,D08,d2d4 d7d5 c2c4 e7e5 d4e5 d5d4 g1f3 b8c6 b1d2 c8g4 d2b3 g4f3 e2f3 f8b4 c1d2 g8e7 d2b4 c6b4 d1d2 a7a5 a2a3 b4c6 f3f4 a5a4 b3c5 b7b6 c5e4 c6a5 a1d1 a5b3 d2c2 d8d7 f1d3 e7g6 g2g3 e8e7 e1g1 a8a5 e5e6 f7e6 e4g5 g6f8 f1e1 e7d8 c2e2 b3c5 d3c2 h7h6 g5f3 d4d3 c2d3 d8c8 d3f5 e6f5 d1d7 f8d7 e2e7 c8b7 e1d1
Berlin2,Berlin,1920.??.??,?,"Seitz, Jakob Adolf","Sprecher, L.",0-1,,,D64,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 b8d7 e2e3 f8e7 g1f3 e8g8 a1c1 f8e8 d1c2 c7c6 f1d3 d5c4 d3c4 b7b5 c4d3 a7a6 f3e5 c8b7 e5d7 d8d7 g5f6 e7f6 d3h7 g8h8 h7e4 c6c5 e4b7 d7b7 c2e4 b7e4 c3e4 c5d4 e4f6 g7f6 e3d4 e8d8 e1e2 d8d4 h1d1 a8d8 d1d4 d8d4 c1c3 h8g7 c3c6 d4a4 a2a3 e6e5 h2h3 f6f5 g2g3 f7f6 e2d3 g7f7 d3d2 f7e7 c6c7 e7e6 c7c6 e6f7 f2f3 f7e7 c6c7 e7f8 c7c6 f8f7 d2c3 f5f4 g3g4 f7g6 c3d3 g6g5 d3e2 b5b4 c6c4 a6a5 e2d2 g5h4 d2c2 b4b3 c2b3 a4c4 b3c4 e5e4 b2b4 a5b4 a3b4 e4f3 c4d3 h4g3 b4b5 f3f2
